[333488] ['1/3', '2/9', '3/2', '4/5', '9/8'] -> ((3/2 / (1/3 - (2/9 / 4/5))) / 9/8)
[333489] ['1/3', '2/9', '3/2', '4/7', '4/7'] -> (4/7 / (3/2 * ((4/7 - 1/3) - 2/9)))
[333507] ['1/3', '2/9', '3/2', '4/7', '8/3'] -> (8/3 / ((1/3 * 3/2) - (2/9 / 4/7)))
[333510] ['1/3', '2/9', '3/2', '4/7', '8/9'] -> ((3/2 / ((2/9 / 4/7) - 1/3)) * 8/9)
[333515] ['1/3', '2/9', '3/2', '4/7', '9/8'] -> ((3/2 / ((2/9 / 4/7) - 1/3)) / 9/8)
[333527] ['1/3', '2/9', '3/2', '4/9', '7/3'] -> ((1/3 + 7/3) / (4/9 - (2/9 * 3/2)))
[333528] ['1/3', '2/9', '3/2', '4/9', '7/4'] -> ((((3/2 / 1/3) + 4/9) / 2/9) + 7/4)
[333538] ['1/3', '2/9', '3/2', '4/9', '9/4'] -> ((((3/2 + 4/9) / 1/3) / 2/9) - 9/4)
[333543] ['1/3', '2/9', '3/2', '5/2', '5/3'] -> (((3/2 + 5/2) / 2/9) * (5/3 - 1/3))
[333544] ['1/3', '2/9', '3/2', '5/2', '5/4'] -> ((((3/2 / 1/3) / 2/9) + 5/2) + 5/4)
[333547] ['1/3', '2/9', '3/2', '5/2', '5/8'] -> (((5/2 / (1/3 - 2/9)) / 3/2) / 5/8)
[333556] ['1/3', '2/9', '3/2', '5/2', '7/8'] -> (((5/2 / (1/3 - 2/9)) - 3/2) / 7/8)
[333560] ['1/3', '2/9', '3/2', '5/2', '8/7'] -> (((5/2 / (1/3 - 2/9)) - 3/2) * 8/7)
[333563] ['1/3', '2/9', '3/2', '5/2', '9/4'] -> ((((3/2 + 5/2) / 1/3) / 2/9) / 9/4)
[333566] ['1/3', '2/9', '3/2', '5/2', '9/8'] -> ((((5/2 / 1/3) - 3/2) / 2/9) / 9/8)
[333568] ['1/3', '2/9', '3/2', '5/3', '5/4'] -> ((((3/2 / 2/9) + 5/3) / 1/3) - 5/4)
[333571] ['1/3', '2/9', '3/2', '5/3', '5/8'] -> ((((5/3 / 1/3) / 2/9) / 3/2) / 5/8)
[333572] ['1/3', '2/9', '3/2', '5/3', '5/9'] -> ((1/3 + 5/9) / (2/9 * (5/3 - 3/2)))
[333576] ['1/3', '2/9', '3/2', '5/3', '7/3'] -> ((3/2 + (5/3 / 2/9)) * (1/3 + 7/3))
[333580] ['1/3', '2/9', '3/2', '5/3', '7/8'] -> ((((5/3 / 1/3) / 2/9) - 3/2) / 7/8)
[333583] ['1/3', '2/9', '3/2', '5/3', '8/5'] -> ((((5/3 / 1/3) / 2/9) / 3/2) * 8/5)
[333584] ['1/3', '2/9', '3/2', '5/3', '8/7'] -> ((((5/3 / 1/3) / 2/9) - 3/2) * 8/7)
[333588] ['1/3', '2/9', '3/2', '5/3', '9/5'] -> ((1/3 + 9/5) / ((2/9 / 3/2) / 5/3))
[333590] ['1/3', '2/9', '3/2', '5/3', '9/8'] -> (((3/2 + (5/3 / 2/9)) / 1/3) / 9/8)
[333605] ['1/3', '2/9', '3/2', '5/4', '8/3'] -> (8/3 / (2/9 * ((5/4 / 3/2) - 1/3)))
[333608] ['1/3', '2/9', '3/2', '5/4', '8/9'] -> ((3/2 / (1/3 - (2/9 * 5/4))) * 8/9)
[333609] ['1/3', '2/9', '3/2', '5/4', '9/2'] -> (((3/2 + (2/9 * 5/4)) / 1/3) * 9/2)
[333613] ['1/3', '2/9', '3/2', '5/4', '9/8'] -> ((3/2 / (1/3 - (2/9 * 5/4))) / 9/8)
[333625] ['1/3', '2/9', '3/2', '5/6', '7/8'] -> (((3/2 + 5/6) / (1/3 - 2/9)) / 7/8)
[333629] ['1/3', '2/9', '3/2', '5/6', '8/7'] -> (((3/2 + 5/6) / (1/3 - 2/9)) * 8/7)
[333631] ['1/3', '2/9', '3/2', '5/6', '9/2'] -> (((3/2 + 5/6) / 2/9) + (9/2 / 1/3))
[333635] ['1/3', '2/9', '3/2', '5/6', '9/8'] -> ((3/2 / ((1/3 * 5/6) - 2/9)) / 9/8)
[333688] ['1/3', '2/9', '3/2', '5/9', '8/5'] -> (8/5 / (1/3 - ((2/9 / 3/2) / 5/9)))
[333713] ['1/3', '2/9', '3/2', '6/5', '9/8'] -> ((3/2 / ((1/3 / 6/5) - 2/9)) / 9/8)
[333715] ['1/3', '2/9', '3/2', '6/7', '7/2'] -> ((3/2 + ((1/3 + 6/7) / 2/9)) * 7/2)
[333732] ['1/3', '2/9', '3/2', '7/2', '7/3'] -> (((7/2 - 3/2) / 2/9) * (1/3 + 7/3))
[333735] ['1/3', '2/9', '3/2', '7/2', '7/6'] -> ((1/3 + ((3/2 + 7/2) / 2/9)) + 7/6)
[333741] ['1/3', '2/9', '3/2', '7/2', '8/9'] -> ((((7/2 - 3/2) / 1/3) / 2/9) * 8/9)
[333743] ['1/3', '2/9', '3/2', '7/2', '9/4'] -> (((3/2 + (7/2 / 1/3)) / 2/9) / 9/4)
[333751] ['1/3', '2/9', '3/2', '7/3', '7/8'] -> ((((7/3 / 1/3) / 2/9) / 3/2) / 7/8)
[333755] ['1/3', '2/9', '3/2', '7/3', '8/7'] -> ((((7/3 / 1/3) / 2/9) / 3/2) * 8/7)
[333756] ['1/3', '2/9', '3/2', '7/3', '8/9'] -> ((((7/3 / 2/9) - 3/2) / 1/3) * 8/9)
[333761] ['1/3', '2/9', '3/2', '7/3', '9/8'] -> ((((7/3 / 2/9) - 3/2) / 1/3) / 9/8)
[333767] ['1/3', '2/9', '3/2', '7/4', '8/3'] -> (8/3 / ((1/3 * 3/2) - (2/9 * 7/4)))
[333768] ['1/3', '2/9', '3/2', '7/4', '8/5'] -> ((((3/2 / 2/9) - 7/4) / 1/3) * 8/5)
[333769] ['1/3', '2/9', '3/2', '7/4', '8/7'] -> (8/7 / (3/2 * (2/9 - (1/3 / 7/4))))
[333770] ['1/3', '2/9', '3/2', '7/4', '8/9'] -> ((3/2 / ((2/9 * 7/4) - 1/3)) * 8/9)
[333771] ['1/3', '2/9', '3/2', '7/4', '9/2'] -> (((1/3 + (3/2 / 2/9)) - 7/4) * 9/2)
[333791] ['1/3', '2/9', '3/2', '7/6', '7/9'] -> ((3/2 + 7/6) / (7/9 - (2/9 / 1/3)))
[333793] ['1/3', '2/9', '3/2', '7/6', '8/5'] -> ((((3/2 / 1/3) - 7/6) / 2/9) * 8/5)
[333809] ['1/3', '2/9', '3/2', '7/8', '9/5'] -> (9/5 / ((7/8 / (1/3 + 2/9)) - 3/2))
[333814] ['1/3', '2/9', '3/2', '7/9', '8/5'] -> (((3/2 + (7/9 / 2/9)) / 1/3) * 8/5)
[333817] ['1/3', '2/9', '3/2', '7/9', '9/2'] -> (((1/3 + 3/2) + (7/9 / 2/9)) * 9/2)
[333823] ['1/3', '2/9', '3/2', '8/3', '8/5'] -> ((3/2 + ((1/3 + 8/3) / 2/9)) * 8/5)
[333827] ['1/3', '2/9', '3/2', '8/3', '9/4'] -> ((((3/2 * 8/3) / 1/3) / 2/9) / 9/4)
[333834] ['1/3', '2/9', '3/2', '8/5', '9/2'] -> ((3/2 / (2/9 - (1/3 / 8/5))) / 9/2)
[333855] ['1/3', '2/9', '3/2', '9/2', '9/7'] -> ((((2/9 + 3/2) + 9/2) / 1/3) * 9/7)
[333860] ['1/3', '2/9', '3/2', '9/4', '9/8'] -> ((((3/2 / 2/9) + 9/4) / 1/3) / 9/8)
[333861] ['1/3', '2/9', '3/2', '9/5', '9/5'] -> ((3/2 + ((9/5 / 1/3) / 2/9)) - 9/5)
[333880] ['1/3', '2/9', '3/4', '3/4', '5/8'] -> ((3/4 / 3/4) / ((2/9 / 1/3) - 5/8))
[333884] ['1/3', '2/9', '3/4', '3/4', '7/2'] -> ((7/2 / 3/4) / ((3/4 - 1/3) - 2/9))
[333890] ['1/3', '2/9', '3/4', '3/4', '7/9'] -> ((2/9 + (1/3 / 3/4)) / (7/9 - 3/4))
[333894] ['1/3', '2/9', '3/4', '3/4', '8/9'] -> ((3/4 * 8/9) / ((1/3 * 3/4) - 2/9))
[333899] ['1/3', '2/9', '3/4', '3/4', '9/8'] -> ((3/4 / ((1/3 * 3/4) - 2/9)) / 9/8)
[333933] ['1/3', '2/9', '3/4', '3/7', '3/8'] -> ((((3/4 / 1/3) / 2/9) / 3/7) + 3/8)
[333934] ['1/3', '2/9', '3/4', '3/7', '4/3'] -> (4/3 / (((2/9 * 3/4) / 3/7) - 1/3))
[333963] ['1/3', '2/9', '3/4', '3/8', '3/8'] -> ((((3/4 / 2/9) - 3/8) / 1/3) / 3/8)
[333969] ['1/3', '2/9', '3/4', '3/8', '5/3'] -> ((5/3 / 1/3) / (3/8 - (2/9 * 3/4)))
[333971] ['1/3', '2/9', '3/4', '3/8', '5/6'] -> (5/6 / ((2/9 * (3/4 - 1/3)) * 3/8))
[333990] ['1/3', '2/9', '3/4', '3/8', '9/5'] -> (9/5 / (3/4 - (3/8 / (1/3 + 2/9))))
[333992] ['1/3', '2/9', '3/4', '3/8', '9/8'] -> ((((3/4 / 1/3) / 2/9) / 3/8) / 9/8)
[333993] ['1/3', '2/9', '3/4', '4/3', '4/3'] -> ((4/3 / 2/9) / ((4/3 - 1/3) - 3/4))
[333997] ['1/3', '2/9', '3/4', '4/3', '5/2'] -> (5/2 / ((2/9 / 1/3) - (3/4 / 4/3)))
[333998] ['1/3', '2/9', '3/4', '4/3', '5/3'] -> (((4/3 / (3/4 - 1/3)) / 2/9) * 5/3)
[334000] ['1/3', '2/9', '3/4', '4/3', '5/6'] -> (5/6 / (2/9 - ((1/3 * 3/4) / 4/3)))
[334006] ['1/3', '2/9', '3/4', '4/3', '7/2'] -> ((4/3 / ((3/4 - 1/3) - 2/9)) * 7/2)
[334015] ['1/3', '2/9', '3/4', '4/3', '8/7'] -> (8/7 / ((2/9 / (4/3 - 3/4)) - 1/3))
[334021] ['1/3', '2/9', '3/4', '4/3', '9/8'] -> ((3/4 / ((1/3 / 4/3) - 2/9)) / 9/8)
[334026] ['1/3', '2/9', '3/4', '4/5', '5/3'] -> ((((4/5 / 1/3) / 2/9) / 3/4) * 5/3)
[334027] ['1/3', '2/9', '3/4', '4/5', '5/4'] -> (((1/3 / (4/5 - 3/4)) / 2/9) / 5/4)
