[79786] ['1/7', '5/9', '3/2', '3/2', '5'] -> ((3/2 / 1/7) + (5 / (5/9 / 3/2)))
[79787] ['1/8', '1/7', '5/9', '3/5', '4'] -> (((4 / 5/9) - (3/5 / 1/7)) / 1/8)
[79788] ['1/9', '5/7', '7/5', '9/5', '5'] -> ((5 / (1/9 * 9/5)) - (5/7 * 7/5))
[79789] ['3/7', '3/7', '3/5', '3/5', '4'] -> ((4 * (3/7 + 3/5)) / (3/5 - 3/7))
[79790] ['1/5', '1/2', '5/6', '9/8', '8'] -> (8 / (((1/2 / 5/6) / 9/8) - 1/5))
[79791] ['1/9', '3/7', '3/4', '8/7', '7'] -> (7 / ((3/7 / 8/7) - (1/9 * 3/4)))
[79792] ['3/5', '3/5', '4/5', '1', '7/4'] -> ((3/5 + 3/5) / ((4/5 + 1) - 7/4))
[79793] ['3/7', '3/7', '3/5', '5/8', '4'] -> ((4 + (3/7 / 3/5)) / (5/8 - 3/7))
[79794] ['1/7', '5/9', '3/2', '5/3', '5'] -> (3/2 * ((5/3 / (1/7 * 5/9)) - 5))
[79795] ['1/6', '8/7', '7/6', '7/5', '9'] -> (7/5 * ((8/7 + 9) + (7/6 / 1/6)))
[79796] ['1/9', '3/7', '3/4', '7/6', '7'] -> ((7 / 3/4) / ((3/7 * 7/6) - 1/9))
[79797] ['3/7', '4/9', '3/4', '8/5', '3'] -> (8/5 * ((3 / (3/7 * 4/9)) - 3/4))
[79798] ['1/8', '2/7', '9/7', '7/4', '3'] -> (3 * (1/8 + (7/4 / (2/7 / 9/7))))
[79799] ['1/8', '1/7', '5/9', '2/3', '4'] -> (1/7 / (1/8 - (5/9 / (2/3 + 4))))
[79800] ['1/3', '3/8', '3/7', '4/9', '2'] -> (1/3 / ((4/9 * 2) - (3/8 / 3/7)))
[79801] ['1/9', '5/7', '7/5', '7/2', '5'] -> ((7/2 - 7/5) * (5 + (5/7 / 1/9)))
[79802] ['5/9', '6/5', '9/7', '7/2', '4'] -> ((4 / (5/9 * 7/2)) / (9/7 - 6/5))
[79803] ['3/7', '4/9', '3/4', '5/3', '3'] -> (3 * ((5/3 / (3/7 * 4/9)) - 3/4))
[79804] ['1/8', '1/7', '5/9', '5/7', '4'] -> ((4 - 1/7) / (5/7 * (1/8 / 5/9)))
[79805] ['1/9', '5/7', '7/5', '9/2', '5'] -> ((5/7 * 7/5) + (9/2 * (1/9 + 5)))
[79806] ['1/6', '8/7', '7/6', '5/3', '9'] -> (9 * ((8/7 + 5/3) - (1/6 / 7/6)))
[79807] ['2/7', '2/5', '2/3', '8/7', '5'] -> (8/7 / ((2/3 / (2/5 * 5)) - 2/7))
[79808] ['1/5', '6/7', '5/4', '7/4', '5'] -> (6/7 * ((5/4 + 7/4) + (5 / 1/5)))
[79809] ['5/9', '6/5', '4/3', '4/3', '4'] -> (4 * (6/5 + ((4/3 + 4/3) / 5/9)))
[79810] ['1/9', '4/5', '6/7', '6/5', '6'] -> ((4/5 / ((6/7 / 6) - 1/9)) - 6/5)
[79811] ['1/9', '3/7', '3/4', '3/2', '7'] -> ((7 / (1/9 / 3/7)) / (3/4 * 3/2))
[79812] ['3/5', '3/5', '4/5', '1', '8/3'] -> (3/5 / ((3/5 / 8/3) + (4/5 - 1)))
[79813] ['3/7', '4/9', '3/4', '7/3', '3'] -> ((7/3 * (3/7 + 3)) / (4/9 * 3/4))
[79814] ['1/9', '5/7', '3/2', '5/3', '5'] -> (3/2 * ((5/3 / (1/9 * 5/7)) - 5))
[79815] ['1/8', '1/7', '5/9', '7/9', '4'] -> ((1/7 + (4 * (5/9 / 7/9))) / 1/8)
[79816] ['1/9', '3/7', '3/4', '8/5', '7'] -> (7 / (3/7 * (3/4 - (1/9 / 8/5))))
[79817] ['2/7', '2/5', '2/3', '6/5', '5'] -> (5 * ((2/5 / 2/3) + (6/5 / 2/7)))
[79818] ['1/6', '8/7', '7/6', '9/4', '9'] -> (8/7 / ((9/4 / (7/6 * 9)) - 1/6))
[79819] ['1/9', '5/7', '3/2', '7/4', '5'] -> ((5 / (1/9 * 5/7)) / (3/2 * 7/4))
[79820] ['5/9', '6/5', '4/3', '7/3', '4'] -> (4/3 * (6/5 + (4 / (5/9 / 7/3))))
[79821] ['1/9', '3/7', '3/4', '5/3', '7'] -> (((3/7 * 7) + (5/3 / 1/9)) / 3/4)
[79822] ['1/3', '3/8', '3/7', '5/6', '2'] -> (3/7 / (3/8 - (5/6 / (1/3 + 2))))
[79823] ['1/7', '5/9', '8/5', '5/3', '5'] -> (((8/5 + 5) / (1/7 / 5/9)) - 5/3)
[79824] ['1/8', '2/7', '4/3', '7/4', '3'] -> ((4/3 * 3) * ((7/4 / 2/7) - 1/8))
[79825] ['1/5', '1/2', '6/7', '7/6', '8'] -> (8 * (6/7 + (1/2 / (1/5 * 7/6))))
[79826] ['1/5', '6/7', '5/4', '5/2', '5'] -> (5 / (1/5 * (5/2 - (5/4 / 6/7))))
