[115246] ['1/4', '3/8', '4/7', '3/4', '4'] -> (((4 / 4/7) - 1/4) / (3/8 * 3/4))
[115247] ['1/5', '7/8', '8/7', '7/3', '9'] -> (9 * ((8/7 / (1/5 / 7/8)) - 7/3))
[115248] ['2/9', '2/9', '5/9', '5/6', '7'] -> (((5/6 + 7) - (5/9 / 2/9)) / 2/9)
[115249] ['3/5', '9/7', '5/3', '9/5', '4'] -> ((9/7 * 4) * (5/3 + (9/5 / 3/5)))
[115250] ['1/7', '1/5', '8/9', '9/8', '4'] -> ((8/9 / 1/7) + (4 / (1/5 * 9/8)))
[115251] ['1/8', '3/5', '5/6', '5/4', '6'] -> (((5/4 / 1/8) + (6 / 3/5)) / 5/6)
[115252] ['2/9', '4/7', '3/5', '6/7', '8'] -> (6/7 + ((4/7 + 8) / (2/9 / 3/5)))
[115253] ['2/9', '2/9', '5/9', '6/7', '7'] -> ((7 - (2/9 + 5/9)) / (2/9 / 6/7))
[115254] ['2/3', '7/8', '6/5', '8/5', '3'] -> (6/5 / ((2/3 * 7/8) - (8/5 / 3)))
[115255] ['1/7', '1/4', '7/6', '8/5', '3'] -> (3 / ((1/4 / 7/6) - (1/7 / 8/5)))
[115256] ['1/8', '1/5', '2/3', '7/2', '7'] -> (7 / ((1/8 + 7/2) - (2/3 / 1/5)))
[115257] ['4/9', '2/3', '7/8', '7/6', '3'] -> ((2/3 + 3) / ((4/9 + 7/8) - 7/6))
[115258] ['2/7', '2/3', '3/4', '3/4', '7'] -> (3/4 * ((7 / (2/7 * 3/4)) - 2/3))
[115259] ['3/5', '9/7', '5/3', '7/3', '4'] -> ((3/5 + (9/7 * 7/3)) * (5/3 * 4))
[115260] ['1/8', '1/5', '2/3', '9/2', '7'] -> ((9/2 + (7 / 2/3)) / (1/8 / 1/5))
[115261] ['4/9', '2/3', '7/8', '6/5', '3'] -> (3 / ((4/9 - 7/8) + (2/3 / 6/5)))
[115262] ['2/3', '7/8', '6/5', '9/4', '3'] -> (((9/4 + 3) / (7/8 - 2/3)) - 6/5)
[115263] ['2/9', '4/7', '3/5', '8/9', '8'] -> ((8 / (4/7 * 3/5)) - (2/9 - 8/9))
[115264] ['2/7', '2/3', '3/4', '4/5', '7'] -> ((2/7 * 7) / ((2/3 / 4/5) - 3/4))
[115265] ['1/7', '1/5', '8/9', '6/5', '4'] -> (8/9 * ((1/5 - 6/5) + (4 / 1/7)))
[115266] ['3/8', '1/2', '7/6', '5/4', '2'] -> (2 / ((7/6 / (3/8 + 1/2)) - 5/4))
[115267] ['5/9', '8/9', '8/7', '9/4', '9'] -> ((8/7 * 9/4) * (9 - (5/9 - 8/9)))
[115268] ['4/9', '2/3', '7/8', '5/4', '3'] -> (2/3 / ((5/4 / 3) - (4/9 * 7/8)))
[115269] ['1/7', '1/4', '7/6', '9/5', '3'] -> ((9/5 / (1/4 / 7/6)) * (3 - 1/7))
[115270] ['3/5', '9/7', '5/3', '5/2', '4'] -> ((4 / 3/5) / ((5/2 / 9/7) - 5/3))
