[124111] ['1/8', '1/3', '4/5', '3/2', '7'] -> (((3/2 / (1/8 * 4/5)) - 7) / 1/3)
[124112] ['2/9', '4/5', '9/8', '3/2', '8'] -> ((8 - (3/2 / 9/8)) / (2/9 / 4/5))
[124113] ['2/7', '8/9', '9/4', '5/2', '7'] -> ((7 / 2/7) - (5/2 - (8/9 * 9/4)))
[124114] ['2/9', '1/3', '9/7', '4/3', '7'] -> (((7 * (9/7 - 1/3)) - 4/3) / 2/9)
[124115] ['2/9', '1/4', '9/7', '9/4', '9'] -> (9 * ((2/9 + 9/4) + (1/4 / 9/7)))
[124116] ['1/7', '3/7', '4/7', '3/5', '3'] -> (4/7 / (1/7 - (3/7 / (3/5 + 3))))
[124117] ['3/5', '9/8', '9/8', '8/5', '5'] -> ((9/8 + (9/8 / 3/5)) * (8/5 * 5))
[124118] ['4/9', '7/8', '8/3', '8/3', '3'] -> ((8/3 / 4/9) / ((3 / 8/3) - 7/8))
[124119] ['5/8', '6/7', '9/8', '5/3', '4'] -> (4 / (5/3 - (6/7 * (5/8 + 9/8))))
[124120] ['2/9', '4/5', '9/8', '5/3', '8'] -> ((8 / (2/9 * 4/5)) / (9/8 * 5/3))
[124121] ['1/8', '1/3', '4/5', '7/4', '7'] -> ((7 / (1/3 - 1/8)) / (4/5 * 7/4))
[124122] ['1/8', '8/9', '9/7', '3/2', '6'] -> ((6 / (3/2 * (1/8 * 9/7))) - 8/9)
[124123] ['4/9', '7/8', '8/3', '3', '7/2'] -> (8/3 / (7/2 - (3 + (4/9 * 7/8))))
[124124] ['5/7', '4/5', '7/8', '7/8', '3'] -> (3 / (5/7 * (7/8 - (4/5 * 7/8))))
[124125] ['1/8', '1/3', '4/5', '9/4', '7'] -> ((9/4 + (7 / 4/5)) / (1/8 + 1/3))
[124126] ['4/7', '5/8', '8/7', '8/5', '9'] -> ((8/7 * 9) / ((5/8 * 8/5) - 4/7))
[124127] ['2/7', '8/9', '7/3', '5/2', '7'] -> ((7/3 + (2/7 * 5/2)) / (8/9 / 7))
[124128] ['1/7', '1/3', '6/5', '7/2', '4'] -> (((1/3 / 7/2) + (4 / 6/5)) / 1/7)
[124129] ['1/7', '3/7', '4/7', '3/4', '3'] -> ((4/7 + (3/7 / 3/4)) / (1/7 / 3))
[124130] ['4/9', '7/8', '8/3', '3', '9/2'] -> (3 / (7/8 - (9/2 * (4/9 / 8/3))))
[124131] ['1/4', '4/7', '2/3', '3/4', '4'] -> (4 / ((2/3 / 4/7) - (1/4 + 3/4)))
[124132] ['2/9', '1/4', '9/7', '9/2', '9'] -> (((9 / 9/7) - (2/9 * 9/2)) / 1/4)
[124133] ['3/8', '4/7', '1', '5/4', '3/2'] -> (3/2 / (((5/4 - 1) / 4/7) - 3/8))
[124134] ['3/5', '9/8', '9/8', '9/5', '5'] -> (5 * ((9/8 / 3/5) + (9/8 + 9/5)))
[124135] ['2/9', '4/5', '9/8', '9/4', '8'] -> ((4/5 / 9/8) * ((8 / 2/9) - 9/4))
[124136] ['1/8', '8/9', '9/7', '5/3', '6'] -> (9/7 * ((8/9 * 6) + (5/3 / 1/8)))
[124137] ['2/7', '8/9', '7/3', '7/2', '7'] -> ((7/3 + 7) / (7/2 - (8/9 / 2/7)))
[124138] ['2/9', '1/3', '9/7', '9/5', '7'] -> ((1/3 + (7 * (9/7 / 9/5))) / 2/9)
