[186166] ['1/8', '8/9', '1', '7/4', '9/4'] -> ((8/9 * 9/4) + ((1 + 7/4) / 1/8))
[186167] ['3/5', '2/3', '2/3', '5/4', '6'] -> (6 / ((2/3 / 2/3) - (3/5 * 5/4)))
[186168] ['3/4', '7/9', '9/7', '8/3', '9'] -> (9 / (3/4 - ((7/9 * 9/7) / 8/3)))
[186169] ['5/7', '4/5', '7/8', '4/3', '8'] -> ((8 / (5/7 * 7/8)) / (4/3 - 4/5))
[186170] ['1/9', '3/7', '4/9', '5/9', '9'] -> (((5/9 / 3/7) - 1/9) / (4/9 / 9))
[186171] ['7/9', '9/8', '7/6', '7/3', '5'] -> (5 / (((7/3 - 7/9) / 7/6) - 9/8))
[186172] ['4/7', '9/8', '5/2', '5/2', '8'] -> (8 * ((9/8 - 5/2) + (5/2 / 4/7)))
[186173] ['2/3', '7/5', '2', '7/2', '9/2'] -> ((2 - (2/3 / 7/5)) * (7/2 * 9/2))
[186174] ['1/8', '8/9', '1', '7/4', '5/2'] -> (((7/4 * 5/2) - 1) / (1/8 / 8/9))
[186175] ['4/7', '8/7', '4/3', '8/5', '3'] -> (8/7 / ((8/5 * (4/7 + 4/3)) - 3))
[186176] ['5/7', '4/5', '7/8', '3/2', '8'] -> ((8 / (5/7 * 4/5)) / (7/8 / 3/2))
[186177] ['7/9', '9/8', '7/6', '5/2', '5'] -> ((5/2 + (7/6 * 5)) / (9/8 - 7/9))
[186178] ['4/7', '9/8', '5/2', '8/3', '8'] -> (8 / (5/2 - (4/7 * (9/8 + 8/3))))
[186179] ['3/4', '7/9', '9/7', '9/2', '9'] -> ((9/7 - 7/9) * (9 * (3/4 + 9/2)))
[186180] ['3/7', '4/9', '5/6', '8/7', '6'] -> ((6 + (8/7 / 4/9)) / (3/7 * 5/6))
[186181] ['3/5', '2/3', '2/3', '7/4', '6'] -> (6 / (3/5 * (7/4 - (2/3 + 2/3))))
[186182] ['2/3', '3/2', '3/2', '3/2', '2'] -> (2 / ((3/2 * 3/2) - (2/3 + 3/2)))
[186183] ['2/5', '4/9', '1/2', '7/3', '7'] -> ((7/3 / 4/9) + ((1/2 + 7) / 2/5))
[186184] ['4/7', '8/7', '4/3', '5/3', '3'] -> (4/3 / ((5/3 / 3) - (4/7 / 8/7)))
[186185] ['1/9', '3/7', '4/9', '5/8', '9'] -> (9 / (3/7 * (5/8 + (1/9 / 4/9))))
[186186] ['1/3', '1/2', '5/6', '6/7', '6'] -> (1/2 + ((5/6 + (6 / 6/7)) / 1/3))
[186187] ['5/7', '4/5', '7/8', '8/5', '8'] -> (8 * (5/7 + (8/5 / (4/5 * 7/8))))
[186188] ['3/4', '7/9', '4/3', '7/5', '9'] -> ((4/3 + (9 / 3/4)) / (7/9 / 7/5))
[186189] ['3/5', '2/3', '2/3', '7/2', '6'] -> (2/3 + ((7/2 * 6) / (3/5 / 2/3)))
[186190] ['3/7', '4/9', '5/6', '6/5', '6'] -> (((6 / 3/7) - 6/5) / (4/9 / 5/6))
[186191] ['1/8', '8/9', '1', '7/4', '9/2'] -> ((7/4 - 1) * (9/2 / (1/8 / 8/9)))
[186192] ['1/5', '2/9', '4/7', '5/7', '1'] -> ((4/7 / (2/9 - 1/5)) - (5/7 + 1))
[186193] ['3/7', '3/4', '9/7', '7/5', '2'] -> ((9/7 * 2) / ((3/4 / 7/5) - 3/7))
[186194] ['5/7', '4/5', '7/8', '5/3', '8'] -> ((8 / 5/3) / ((4/5 / 7/8) - 5/7))
[186195] ['4/7', '9/8', '8/3', '8/3', '8'] -> (9/8 * (8/3 + ((8/3 + 8) / 4/7)))
[186196] ['1/3', '1/2', '5/6', '9/7', '6'] -> (9/7 * (((1/2 + 6) / 1/3) - 5/6))
[186197] ['2/5', '4/9', '1/2', '8/3', '7'] -> ((1/2 + (8/3 / 4/9)) + (7 / 2/5))
[186198] ['3/7', '4/9', '5/6', '5/4', '6'] -> (6 / ((5/6 / 3/7) - (4/9 + 5/4)))
[186199] ['5/7', '4/5', '7/8', '7/4', '8'] -> ((4/5 + (8 / 5/7)) / (7/8 / 7/4))
[186200] ['2/3', '3/2', '8/5', '5/3', '2'] -> ((2 + (2/3 / 5/3)) / (8/5 - 3/2))
[186201] ['4/7', '9/8', '8/3', '9/2', '8'] -> ((9/8 * 8/3) / (8 - (9/2 / 4/7)))
[186202] ['4/7', '8/7', '7/5', '3/2', '3'] -> ((4/7 * 3) / (8/7 - (3/2 / 7/5)))
[186203] ['2/5', '4/9', '1/2', '7/2', '7'] -> ((7 / 4/9) - (1/2 - (7/2 / 2/5)))
[186204] ['3/7', '3/4', '9/7', '5/3', '2'] -> ((3/7 * 2) / (9/7 - (3/4 * 5/3)))
[186205] ['3/4', '7/9', '4/3', '7/2', '9'] -> ((9 + (7/2 / 7/9)) / (3/4 / 4/3))
[186206] ['1/7', '3/8', '4/3', '5/3', '7'] -> ((1/7 * 7) / ((3/8 + 4/3) - 5/3))
[186207] ['1/3', '1/2', '6/7', '7/8', '6'] -> (6 / (1/2 - (7/8 * (1/3 * 6/7))))
[186208] ['2/5', '4/9', '1/2', '9/2', '7'] -> ((7 + (9/2 / (2/5 / 4/9))) / 1/2)
[186209] ['5/7', '4/5', '7/8', '7/3', '8'] -> (7/3 * ((8 / 5/7) - (4/5 / 7/8)))
[186210] ['1/8', '8/9', '1', '9/5', '8/3'] -> (((8/9 + 8/3) - (1 / 9/5)) / 1/8)
[186211] ['3/4', '7/9', '7/5', '7/5', '9'] -> ((7/5 + (7/5 * 9)) / (3/4 * 7/9))
[186212] ['3/7', '3/5', '1', '5/4', '7/4'] -> (3/5 / (5/4 - (7/4 / (3/7 + 1))))
[186213] ['1/3', '1/2', '6/7', '8/9', '6'] -> (6 / (1/2 * (8/9 - (1/3 / 6/7))))
[186214] ['3/7', '3/4', '9/7', '2', '9/4'] -> (9/7 / ((3/7 + 3/4) - (9/4 / 2)))
[186215] ['1/5', '2/9', '4/7', '6/7', '1'] -> ((6/7 / 4/7) + (1 / (1/5 * 2/9)))
[186216] ['3/5', '2/3', '5/7', '7/8', '6'] -> ((6 / (3/5 * 2/3)) / (5/7 * 7/8))
[186217] ['4/7', '9/8', '9/2', '9/2', '8'] -> (((9/2 / 4/7) - 9/2) / (9/8 / 8))
[186218] ['7/9', '9/8', '6/5', '7/5', '5'] -> (5 / (7/9 * (9/8 - (6/5 / 7/5))))
[186219] ['2/3', '3/2', '8/5', '2', '7/2'] -> ((3/2 + 7/2) * (2 / (2/3 / 8/5)))
[186220] ['3/7', '4/9', '5/6', '3/2', '6'] -> ((6 / (3/7 * 3/2)) / (5/6 - 4/9))
[186221] ['5/7', '4/5', '7/8', '8/3', '8'] -> (8/3 * ((8 / (5/7 / 7/8)) - 4/5))
[186222] ['1/3', '1/2', '6/7', '9/8', '6'] -> (6 / (6/7 * (9/8 - (1/3 + 1/2))))
[186223] ['1/7', '3/8', '4/3', '9/4', '7'] -> ((4/3 * (3/8 + 9/4)) * (7 - 1/7))
[186224] ['1/9', '3/7', '4/9', '5/4', '9'] -> (9 * ((5/4 / 3/7) - (1/9 / 4/9)))
[186225] ['3/5', '2/3', '5/7', '8/9', '6'] -> ((6 + (2/3 / 5/7)) / (8/9 - 3/5))
[186226] ['2/3', '3/2', '5/3', '5/3', '2'] -> ((2/3 + (5/3 * 2)) / (5/3 - 3/2))
[186227] ['2/5', '4/9', '5/9', '3/5', '7'] -> ((7 + ((5/9 + 3/5) / 4/9)) / 2/5)
[186228] ['3/4', '7/9', '7/5', '5/3', '9'] -> ((9 + (7/5 / 7/9)) / (3/4 / 5/3))
[186229] ['4/7', '8/7', '7/5', '9/5', '3'] -> (4/7 / ((7/5 / (3 - 9/5)) - 8/7))
[186230] ['3/7', '4/9', '5/6', '8/5', '6'] -> (8/5 * ((6 / (5/6 - 4/9)) - 3/7))
[186231] ['1/3', '1/2', '6/7', '6/5', '6'] -> ((6/7 + 6/5) * ((6 / 1/2) - 1/3))
[186232] ['1/7', '3/8', '4/3', '8/3', '7'] -> (4/3 * ((7 / (1/7 * 8/3)) - 3/8))
[186233] ['7/9', '9/8', '6/5', '8/5', '5'] -> (5 / ((7/9 * (9/8 + 6/5)) - 8/5))
[186234] ['3/5', '2/3', '5/7', '9/8', '6'] -> ((6 / (2/3 * 5/7)) / (9/8 - 3/5))
[186235] ['1/9', '3/7', '4/9', '7/5', '9'] -> (((9 / 7/5) - 3/7) / (1/9 / 4/9))
[186236] ['4/7', '8/7', '8/7', '8/5', '8'] -> (8/5 * ((8/7 / 8/7) + (8 / 4/7)))
[186237] ['2/5', '4/9', '5/9', '5/8', '7'] -> ((7 - (4/9 + 5/9)) / (2/5 * 5/8))
[186238] ['2/3', '3/2', '5/3', '2', '9/4'] -> (2/3 / (9/4 - (2 / (3/2 / 5/3))))
[186239] ['1/8', '8/9', '1', '9/4', '7/2'] -> ((7/2 - (1 / (8/9 * 9/4))) / 1/8)
[186240] ['3/4', '7/9', '7/5', '9/4', '9'] -> (9 * (9/4 + ((3/4 * 7/9) / 7/5)))
[186241] ['4/7', '8/7', '8/7', '9/5', '8'] -> ((4/7 + 8) * (9/5 + (8/7 / 8/7)))
[186242] ['3/7', '3/4', '4/3', '7/5', '2'] -> (2 / (4/3 - (3/4 / (3/7 * 7/5))))
[186243] ['4/7', '8/7', '7/5', '7/3', '3'] -> (8/7 / ((4/7 * 3) - (7/3 / 7/5)))
[186244] ['2/3', '3/2', '5/3', '2', '5/2'] -> ((3/2 + 5/2) / ((5/3 / 2) - 2/3))
[186245] ['7/9', '9/8', '6/5', '7/4', '5'] -> (((7/4 * 5) / (9/8 - 7/9)) - 6/5)
[186246] ['3/7', '4/9', '5/6', '9/4', '6'] -> (((5/6 * 6) / (3/7 * 4/9)) - 9/4)
[186247] ['3/5', '2/3', '5/7', '4/3', '6'] -> ((4/3 * 6) / ((2/3 / 5/7) - 3/5))
[186248] ['4/7', '8/7', '7/5', '5/2', '3'] -> (4/7 / (((7/5 * 5/2) / 3) - 8/7))
[186249] ['5/7', '4/5', '8/9', '6/5', '8'] -> ((8 / (8/9 - (5/7 * 4/5))) - 6/5)
[186250] ['3/7', '4/9', '5/6', '7/3', '6'] -> (((5/6 * 6) - 3/7) / (4/9 / 7/3))
[186251] ['3/4', '7/9', '7/5', '5/2', '9'] -> ((9 - (7/5 / 7/9)) / (3/4 / 5/2))
[186252] ['1/3', '1/2', '6/7', '9/5', '6'] -> (((6 / 6/7) - 1/3) / (1/2 / 9/5))
[186253] ['3/7', '3/5', '1', '5/4', '9/2'] -> ((9/2 / (3/5 - 3/7)) - (1 + 5/4))
[186254] ['1/8', '8/9', '1', '7/3', '5/2'] -> (((5/2 / 1/8) - (1 - 7/3)) / 8/9)
[186255] ['4/7', '8/7', '7/5', '8/3', '3'] -> (8/7 / ((4/7 - 8/3) + (3 / 7/5)))
[186256] ['7/9', '9/8', '6/5', '7/3', '5'] -> ((7/3 + (6/5 * 5)) / (9/8 - 7/9))
[186257] ['5/7', '4/5', '8/9', '5/4', '8'] -> ((8 / (5/7 * (5/4 - 4/5))) - 8/9)
[186258] ['1/3', '1/2', '7/8', '8/9', '6'] -> (6 / (1/2 * (7/8 - (1/3 / 8/9))))
[186259] ['4/7', '8/7', '7/6', '9/5', '8'] -> ((7/6 + (4/7 / 8/7)) * (9/5 * 8))
[186260] ['3/5', '2/3', '5/7', '5/3', '6'] -> (2/3 + ((5/3 * 6) / (3/5 * 5/7)))
[186261] ['1/8', '8/9', '1', '5/2', '5/2'] -> ((5/2 / (1/8 * 8/9)) - (1 - 5/2))
[186262] ['1/9', '3/7', '4/9', '5/2', '9'] -> (4/9 / ((5/2 / 9) - (1/9 / 3/7)))
[186263] ['4/7', '8/7', '7/5', '3', '9/2'] -> ((4/7 + (8/7 * 9/2)) * (7/5 * 3))
[186264] ['7/9', '9/8', '6/5', '8/3', '5'] -> ((8/3 + (6/5 / 9/8)) / (7/9 / 5))
[186265] ['3/7', '4/9', '6/7', '7/8', '6'] -> (6 / (((3/7 / 4/9) / 6/7) - 7/8))
[186266] ['1/9', '3/7', '4/9', '8/3', '9'] -> ((8/3 - (1/9 - 4/9)) + (9 / 3/7))
[186267] ['1/7', '3/8', '7/5', '8/3', '7'] -> (((1/7 + 7) / (3/8 / 7/5)) - 8/3)
[186268] ['3/4', '7/9', '3/2', '3/2', '9'] -> (9 * ((3/2 * (7/9 + 3/2)) - 3/4))
[186269] ['1/8', '8/9', '1', '5/2', '8/3'] -> ((1 + (5/2 / 1/8)) + (8/3 / 8/9))
[186270] ['3/7', '3/4', '4/3', '2', '9/4'] -> (2 / ((4/3 / (3/7 / 3/4)) - 9/4))
[186271] ['4/7', '8/7', '3/2', '3/2', '3'] -> ((8/7 * 3/2) / (4/7 - (3/2 / 3)))
[186272] ['7/9', '9/8', '6/5', '7/2', '5'] -> ((6/5 * 7/2) * (5 / (7/9 * 9/8)))
[186273] ['2/3', '3/2', '9/5', '2', '8/3'] -> (8/3 / ((2 / 9/5) - (2/3 * 3/2)))
[186274] ['3/7', '4/9', '6/7', '6/5', '6'] -> (6 / ((3/7 / 4/9) - (6/7 / 6/5)))
[186275] ['5/7', '4/5', '8/9', '3/2', '8'] -> (8 * ((4/5 / 8/9) + (3/2 / 5/7)))
[186276] ['3/5', '2/3', '5/7', '7/3', '6'] -> (((7/3 / 5/7) - 3/5) / (2/3 / 6))
[186277] ['1/8', '8/9', '1', '5/2', '7/2'] -> ((8/9 * (1 + 7/2)) + (5/2 / 1/8))
[186278] ['2/3', '3/2', '9/5', '2', '9/2'] -> ((9/5 * 2) * (9/2 + (2/3 + 3/2)))
[186279] ['4/7', '8/7', '6/5', '5/3', '8'] -> ((5/3 / (4/7 / 6/5)) * (8 - 8/7))
[186280] ['1/9', '3/7', '1/2', '5/9', '9'] -> (9 / ((1/9 / (5/9 - 3/7)) - 1/2))
[186281] ['1/5', '2/9', '4/7', '1', '5/3'] -> ((1 + (5/3 / 1/5)) / (2/9 / 4/7))
[186282] ['3/7', '3/5', '1', '9/7', '9/4'] -> ((1 / ((3/5 / 9/7) - 3/7)) - 9/4)
[186283] ['1/3', '1/2', '7/8', '9/5', '6'] -> (((6 / 1/2) - 1/3) / (7/8 / 9/5))
[186284] ['2/3', '3/2', '2', '9/4', '9/4'] -> (2 / ((9/4 - 2/3) - (9/4 / 3/2)))
[186285] ['1/8', '8/9', '1', '8/3', '7/2'] -> ((7/2 / 1/8) - (1 + (8/3 / 8/9)))
