[203896] ['3/7', '9/8', '7/6', '7/3', '6'] -> ((7/6 * 6) / ((9/8 / 3/7) - 7/3))
[203897] ['5/8', '2/3', '7/6', '5/3', '8'] -> ((5/3 + (8 * (5/8 + 7/6))) / 2/3)
[203898] ['2/5', '5/6', '8/7', '7/6', '7'] -> ((7 + (7/6 / 5/6)) / (2/5 / 8/7))
[203899] ['5/8', '4/5', '8/5', '8/5', '6'] -> ((6 / 5/8) / ((8/5 / 4/5) - 8/5))
[203900] ['2/9', '7/9', '5/6', '8/5', '3'] -> (3 / (5/6 - (2/9 + (7/9 / 8/5))))
[203901] ['3/8', '3/7', '1/2', '4/5', '6'] -> (6 / ((3/8 / 3/7) - (1/2 / 4/5)))
[203902] ['5/6', '9/8', '9/7', '9/5', '5'] -> ((5 / (9/8 - 5/6)) / (9/7 / 9/5))
[203903] ['1/6', '3/5', '3/2', '2', '7/3'] -> ((2 / (1/6 * 3/5)) / (7/3 - 3/2))
[203904] ['5/8', '2/3', '7/6', '7/3', '8'] -> ((8 + (7/3 / 7/6)) / (5/8 * 2/3))
[203905] ['3/7', '9/8', '7/6', '8/3', '6'] -> ((3/7 + (9/8 * 8/3)) * (7/6 * 6))
[203906] ['7/9', '6/7', '8/9', '7/5', '8'] -> (8 / (((7/9 + 8/9) / 7/5) - 6/7))
[203907] ['5/6', '9/8', '9/7', '9/4', '5'] -> (5 / ((5/6 + 9/8) - (9/4 / 9/7)))
[203908] ['2/5', '5/6', '8/7', '5/4', '7'] -> ((8/7 * 7) / (5/6 - (2/5 * 5/4)))
[203909] ['1/7', '5/7', '7/9', '7/4', '7'] -> ((5/7 + 7) / (7/4 * (1/7 / 7/9)))
[203910] ['2/9', '7/9', '5/6', '5/3', '3'] -> ((3 * (7/9 + (5/3 / 2/9))) - 5/6)
[203911] ['3/7', '9/8', '7/6', '7/2', '6'] -> (9/8 * ((7/2 * (3/7 + 6)) - 7/6))
[203912] ['3/8', '3/7', '1/2', '7/8', '6'] -> (6 / ((3/8 - 1/2) + (3/7 * 7/8)))
[203913] ['3/4', '4/5', '4/3', '2', '9/2'] -> (9/2 / ((2 / (4/5 + 4/3)) - 3/4))
[203914] ['5/8', '4/5', '8/5', '7/3', '6'] -> ((8/5 + (4/5 / 5/8)) * (7/3 + 6))
[203915] ['1/7', '1/4', '5/8', '1', '5/4'] -> ((1/4 + (5/4 / 1/7)) / (1 - 5/8))
[203916] ['4/5', '6/7', '9/4', '7/2', '9'] -> ((9/4 * 9) + (7/2 / (4/5 / 6/7)))
[203917] ['7/9', '6/7', '8/9', '7/4', '8'] -> (6/7 + (8 * (7/4 + (8/9 / 7/9))))
[203918] ['1/9', '5/6', '9/8', '7/2', '9'] -> (((7/2 / 1/9) - 9) / (5/6 * 9/8))
[203919] ['5/8', '4/5', '8/5', '8/3', '6'] -> ((4/5 + 8/5) * (6 * (5/8 * 8/3)))
[203920] ['1/7', '1/4', '5/8', '1', '4/3'] -> (1 / (1/7 * (5/8 - (1/4 * 4/3))))
[203921] ['2/5', '5/6', '8/7', '4/3', '7'] -> (((8/7 * 7) + (4/3 / 5/6)) / 2/5)
