[221626] ['7/8', '9/8', '9/8', '7/5', '9'] -> (9 / ((9/8 / 9/8) - (7/8 / 7/5)))
[221627] ['1', '9/7', '8/5', '7/3', '7/2'] -> ((9/7 * 8/5) * (7/2 * (1 + 7/3)))
[221628] ['6/7', '7/8', '8/9', '9/4', '8'] -> (6/7 + ((9/4 * 8) / (7/8 * 8/9)))
[221629] ['3/8', '8/7', '5/4', '3/2', '6'] -> ((6 + (5/4 * 3/2)) / (3/8 / 8/7))
[221630] ['5/7', '5/7', '5/7', '7/6', '8'] -> ((8 / 7/6) / ((5/7 / 5/7) - 5/7))
[221631] ['3/7', '4/7', '7/6', '8/3', '7'] -> ((8/3 + (4/7 / 3/7)) / (7/6 / 7))
[221632] ['1/7', '1/2', '1', '9/8', '9/2'] -> ((((9/2 - 1/2) / 1/7) - 1) / 9/8)
[221633] ['1/5', '5/6', '1', '7/6', '5/2'] -> (((5/6 + 7/6) / (1/5 / 5/2)) - 1)
[221634] ['7/8', '9/8', '9/8', '7/4', '9'] -> (9 / ((7/8 - 9/8) - (9/8 - 7/4)))
[221635] ['1/5', '2/9', '7/6', '7/5', '2'] -> ((1/5 + (2 * (7/6 + 7/5))) / 2/9)
[221636] ['3/8', '8/7', '5/4', '5/3', '6'] -> (8/7 * (5/3 + ((5/4 + 6) / 3/8)))
[221637] ['6/7', '7/8', '8/9', '8/3', '8'] -> ((7/8 * 8) * (8/3 + (6/7 * 8/9)))
[221638] ['1/8', '2/9', '1/3', '5/6', '9'] -> (9 / ((1/3 * 5/6) - (1/8 - 2/9)))
[221639] ['1/7', '1/2', '1', '8/7', '6/5'] -> ((8/7 / 1/7) / ((1 / 6/5) - 1/2))
[221640] ['1/5', '2/9', '7/6', '5/3', '2'] -> ((7/6 + (5/3 / (1/5 * 2))) / 2/9)
[221641] ['5/7', '7/9', '7/9', '3/2', '6'] -> (6 / ((3/2 / (7/9 + 7/9)) - 5/7))
[221642] ['5/7', '5/7', '5/7', '9/7', '8'] -> (8 * ((5/7 / 5/7) + (5/7 + 9/7)))
[221643] ['1', '9/7', '8/5', '5/2', '7/2'] -> (5/2 * (8/5 + (7/2 * (1 + 9/7))))
[221644] ['1/4', '2/5', '8/7', '9/5', '3'] -> (8/7 * (3 + (9/5 / (1/4 * 2/5))))
[221645] ['3/7', '4/7', '6/5', '4/3', '7'] -> ((4/3 / (3/7 / 6/5)) * (7 - 4/7))
[221646] ['5/7', '5/7', '5/7', '4/3', '8'] -> ((5/7 * 8) / ((5/7 * 4/3) - 5/7))
[221647] ['1/8', '2/9', '1/3', '8/7', '9'] -> (8/7 * (9 + (1/3 / (1/8 * 2/9))))
[221648] ['1/5', '2/9', '7/6', '2', '9/4'] -> (((7/6 / 2) / (2/9 - 1/5)) - 9/4)
[221649] ['1/6', '2/9', '2/9', '5/7', '7'] -> (((5/7 * 7) - (2/9 / 2/9)) / 1/6)
[221650] ['5/7', '7/9', '7/9', '5/3', '6'] -> ((7/9 + (5/3 / 5/7)) / (7/9 / 6))
[221651] ['5/7', '5/7', '5/7', '7/5', '8'] -> ((5/7 + (5/7 + 5/7)) * (7/5 * 8))
[221652] ['8/9', '8/9', '9/8', '7/5', '5'] -> (7/5 / (9/8 - (8/9 + (8/9 / 5))))
[221653] ['1/8', '2/9', '1/3', '6/5', '9'] -> (9 / ((1/3 / 6/5) - (1/8 - 2/9)))
[221654] ['1/5', '5/6', '1', '6/5', '8/5'] -> (1 / (((1/5 + 6/5) / 8/5) - 5/6))
[221655] ['1/7', '1/2', '1', '8/7', '7/4'] -> ((8/7 + (1 / 7/4)) / (1/7 * 1/2))
[221656] ['1/6', '2/9', '2/9', '3/4', '7'] -> (7 / (1/6 * (3/4 + (2/9 / 2/9))))
[221657] ['5/7', '5/7', '5/7', '7/4', '8'] -> ((5/7 + (5/7 / 5/7)) * (7/4 * 8))
[221658] ['5/7', '7/9', '7/9', '7/4', '6'] -> (6 / ((5/7 * 7/4) - (7/9 / 7/9)))
[221659] ['7/9', '8/5', '9/5', '2', '9/4'] -> ((9/5 * 2) / ((7/9 * 9/4) - 8/5))
[221660] ['1', '9/7', '8/5', '8/3', '7/2'] -> (1 / ((9/7 / 8/5) - (8/3 / 7/2)))
[221661] ['3/8', '8/7', '9/7', '9/7', '6'] -> (8/7 + ((6 + (9/7 + 9/7)) / 3/8))
[221662] ['8/9', '8/9', '9/8', '3/2', '5'] -> (5 / (8/9 * (3/2 - (9/8 / 8/9))))
[221663] ['7/8', '9/8', '8/7', '8/5', '9'] -> ((8/7 + 8/5) * (9 + (7/8 - 9/8)))
[221664] ['1/5', '5/6', '1', '6/5', '9/5'] -> ((9/5 + (1 + 6/5)) / (1/5 * 5/6))
[221665] ['7/9', '8/5', '9/5', '2', '8/3'] -> (8/5 / ((7/9 * 9/5) - (8/3 / 2)))
[221666] ['5/7', '5/7', '5/7', '7/3', '8'] -> (8 / (7/3 - ((5/7 + 5/7) / 5/7)))
[221667] ['6/7', '7/8', '9/8', '8/5', '8'] -> ((9/8 + (6/7 * 7/8)) * (8/5 * 8))
[221668] ['8/9', '8/9', '9/8', '5/3', '5'] -> (5 / (5/3 * (9/8 - (8/9 / 8/9))))
[221669] ['7/8', '9/8', '8/7', '9/5', '9'] -> (9 / ((7/8 * 8/7) - (9/8 / 9/5)))
[221670] ['1/5', '2/9', '6/5', '9/7', '2'] -> ((2 - (6/5 / 9/7)) / (1/5 * 2/9))
[221671] ['5/7', '7/9', '7/9', '7/3', '6'] -> ((5/7 + (7/9 / 7/9)) * (7/3 * 6))
[221672] ['5/7', '5/7', '5/7', '5/2', '8'] -> (8 * (5/2 + (5/7 / (5/7 + 5/7))))
[221673] ['1/8', '2/9', '3/8', '3/8', '9'] -> (((2/9 * 9) + (3/8 / 3/8)) / 1/8)
[221674] ['4/9', '4/5', '4/5', '9/8', '6'] -> ((6 + (4/5 / 4/9)) / (9/8 - 4/5))
[221675] ['1/6', '2/9', '2/9', '6/5', '7'] -> ((7 / (2/9 - (1/6 - 2/9))) - 6/5)
[221676] ['5/7', '5/7', '5/7', '8/3', '8'] -> ((5/7 + (5/7 * 8)) / (5/7 / 8/3))
[221677] ['1/4', '2/5', '7/6', '9/7', '3'] -> (((3 / 2/5) - (7/6 * 9/7)) / 1/4)
[221678] ['7/9', '8/5', '9/5', '2', '9/2'] -> (8/5 / (((9/5 + 2) / 9/2) - 7/9))
[221679] ['5/7', '5/7', '5/7', '7/2', '8'] -> (8 * (7/2 - (5/7 / (5/7 + 5/7))))
[221680] ['1/6', '2/9', '2/9', '9/7', '7'] -> ((2/9 + 2/9) * (7 / (1/6 / 9/7)))
[221681] ['1/8', '2/9', '3/8', '4/7', '9'] -> ((9 + (1/8 / 3/8)) / (2/9 / 4/7))
[221682] ['6/7', '7/8', '9/8', '7/2', '8'] -> (7/2 * ((6/7 - 7/8) - (9/8 - 8)))
[221683] ['8/9', '8/9', '9/8', '5/2', '5'] -> (5 / ((8/9 * 5/2) - (8/9 + 9/8)))
[221684] ['5/7', '5/7', '3/4', '3/4', '8'] -> ((3/4 * 8) / ((5/7 / 5/7) - 3/4))
[221685] ['3/8', '8/7', '4/3', '7/5', '6'] -> (6 * ((8/7 / 3/8) + (4/3 / 7/5)))
[221686] ['1/6', '2/9', '2/9', '7/5', '7'] -> (((7 / 7/5) - (2/9 / 2/9)) / 1/6)
[221687] ['1/5', '5/6', '1', '5/4', '4/3'] -> (1 / (4/3 - (5/4 * (1/5 + 5/6))))
[221688] ['1/5', '2/9', '5/4', '9/7', '2'] -> (2 / (5/4 * (2/9 - (1/5 / 9/7))))
[221689] ['1/7', '1/2', '1', '7/6', '3/2'] -> ((1 + (3/2 / 1/2)) / (1/7 * 7/6))
[221690] ['8/9', '8/9', '9/8', '8/3', '5'] -> ((8/9 + 8/3) * (9/8 + (5 / 8/9)))
[221691] ['7/9', '8/5', '2', '9/4', '5/2'] -> (2 / (7/9 - (5/2 / (8/5 * 9/4))))
[221692] ['4/9', '4/5', '4/5', '3/2', '6'] -> ((4/5 + 4/5) * (3/2 + (6 / 4/9)))
[221693] ['1/4', '2/5', '7/6', '5/2', '3'] -> ((3 + (5/2 / (1/4 * 2/5))) / 7/6)
[221694] ['3/8', '8/7', '4/3', '5/3', '6'] -> (6 / ((3/8 + 4/3) - (5/3 / 8/7)))
[221695] ['4/9', '4/5', '4/5', '8/5', '6'] -> ((4/5 * 6) / ((4/5 / 4/9) - 8/5))
[221696] ['1/7', '1/2', '1', '7/6', '5/3'] -> (((1 / 1/2) + (5/3 / 7/6)) / 1/7)
[221697] ['7/9', '8/5', '2', '9/4', '8/3'] -> (2 / ((7/9 * 9/4) - (8/3 / 8/5)))
[221698] ['8/9', '8/9', '8/7', '8/7', '5'] -> (5 / (8/9 - ((8/9 / 8/7) / 8/7)))
[221699] ['3/7', '4/7', '5/4', '4/3', '7'] -> ((7 + (4/7 * 5/4)) / (3/7 / 4/3))
[221700] ['1/8', '2/9', '3/8', '6/7', '9'] -> ((3/8 / (1/8 * 2/9)) + (9 / 6/7))
[221701] ['1/5', '5/6', '1', '5/4', '9/5'] -> ((1 + (9/5 / 1/5)) / (5/4 - 5/6))
[221702] ['4/9', '4/5', '4/5', '5/3', '6'] -> (4/5 / (4/9 - ((4/5 + 5/3) / 6)))
[221703] ['1/5', '2/9', '5/4', '7/4', '2'] -> ((2 / 2/9) + ((5/4 + 7/4) / 1/5))
[221704] ['1/6', '2/9', '2/9', '7/3', '7'] -> (((2/9 / 2/9) + (7 / 7/3)) / 1/6)
[221705] ['5/7', '5/7', '3/4', '8/9', '8'] -> (8 / ((5/7 / 5/7) - (3/4 * 8/9)))
[221706] ['3/8', '8/7', '4/3', '5/2', '6'] -> ((6 + (5/2 / 4/3)) / (3/8 / 8/7))
