[230491] ['7/8', '8/5', '5/3', '7/2', '8'] -> (5/3 * (8 + (7/2 / (7/8 / 8/5))))
[230492] ['1/5', '3/8', '5/8', '8/9', '2'] -> ((2 / 5/8) / ((3/8 * 8/9) - 1/5))
[230493] ['3/8', '6/7', '7/5', '5/3', '8'] -> ((7/5 * 5/3) * (8 + (6/7 / 3/8)))
[230494] ['1/8', '3/8', '8/9', '7/4', '9'] -> ((9 * (8/9 + 7/4)) - (1/8 - 3/8))
[230495] ['1/7', '2/3', '7/8', '8/9', '1'] -> ((2/3 / 7/8) / ((1/7 + 8/9) - 1))
[230496] ['1/2', '1/2', '4/7', '6/5', '6'] -> (((6 / 4/7) - 1/2) / (1/2 / 6/5))
[230497] ['2/9', '2/9', '4/9', '1', '7/6'] -> ((((4/9 + 1) / 2/9) - 7/6) / 2/9)
[230498] ['3/7', '7/9', '8/5', '7/4', '7'] -> ((8/5 * 7/4) * ((7 / 7/9) - 3/7))
[230499] ['4/5', '4/3', '2', '7/2', '7/2'] -> (2 / (4/3 - (7/2 / (4/5 * 7/2))))
[230500] ['1/7', '2/3', '7/8', '1', '9/8'] -> ((1 + (9/8 / 7/8)) / (1/7 * 2/3))
[230501] ['1/9', '1/9', '9/8', '9/8', '2'] -> ((((9/8 + 2) / 9/8) - 1/9) / 1/9)
[230502] ['5/7', '9/7', '7/3', '7/3', '6'] -> (7/3 * ((7/3 * (6 - 9/7)) - 5/7))
[230503] ['1/6', '3/8', '5/7', '7/3', '7'] -> (((7/3 / 1/6) - (5/7 * 7)) / 3/8)
[230504] ['9/8', '9/7', '3/2', '5/2', '5'] -> (5 / (5/2 - (9/8 + (3/2 / 9/7))))
[230505] ['1/8', '3/8', '8/9', '5/2', '9'] -> ((8/9 * 9) * (5/2 + (1/8 + 3/8)))
[230506] ['3/7', '7/9', '8/5', '9/4', '7'] -> ((8/5 * 9/4) * (7 - (3/7 * 7/9)))
[230507] ['1/2', '1/2', '4/7', '7/5', '6'] -> ((4/7 * 6) / (1/2 - (1/2 / 7/5)))
[230508] ['2/9', '2/9', '4/9', '1', '5/4'] -> ((2/9 + 4/9) / (5/4 - (2/9 + 1)))
[230509] ['1/7', '2/3', '7/8', '1', '7/6'] -> (1 / (7/8 - (2/3 + (1/7 * 7/6))))
[230510] ['5/7', '9/7', '7/3', '7/2', '6'] -> (7/2 * (6 + ((5/7 + 9/7) / 7/3)))
[230511] ['2/5', '1/2', '2/3', '7/8', '6'] -> ((6 / 2/3) / ((1/2 / 2/5) - 7/8))
[230512] ['1/2', '1/2', '4/7', '8/5', '6'] -> ((1/2 + 8/5) * ((6 / 1/2) - 4/7))
[230513] ['1/5', '3/8', '5/8', '5/4', '2'] -> ((2 / 1/5) / ((5/8 / 3/8) - 5/4))
[230514] ['3/7', '7/9', '8/5', '7/3', '7'] -> ((7 / 3/7) / ((7/3 / 8/5) - 7/9))
[230515] ['1/9', '1/9', '9/8', '5/4', '2'] -> ((2 + (1/9 / 1/9)) / (5/4 - 9/8))
[230516] ['3/8', '6/7', '7/5', '7/3', '8'] -> ((7/3 + (8 / (6/7 * 7/5))) / 3/8)
