[248221] ['1/4', '2/5', '2/3', '1', '8/7'] -> (1 / ((1/4 / 2/5) - (2/3 / 8/7)))
[248222] ['1/9', '2/7', '5/8', '8/7', '2'] -> ((2/7 / 1/9) / ((5/8 * 2) - 8/7))
[248223] ['7/5', '7/5', '7/5', '7/5', '8'] -> ((7/5 + (7/5 + 7/5)) / (7/5 / 8))
[248224] ['4/9', '4/7', '3/2', '3/2', '7'] -> (7 * (3/2 + (3/2 / (4/9 / 4/7))))
[248225] ['5/9', '3/5', '2/3', '9/7', '6'] -> (9/7 * (2/3 + (6 / (5/9 * 3/5))))
[248226] ['2/9', '2/7', '9/8', '3/2', '6'] -> (9/8 * ((2/9 * 3/2) + (6 / 2/7)))
[248227] ['1/5', '2/3', '3/4', '5/3', '2'] -> ((2/3 + (5/3 / 1/5)) / (3/4 / 2))
[248228] ['7/5', '7/5', '7/5', '5/3', '8'] -> (8 / (((7/5 + 7/5) / 7/5) - 5/3))
[248229] ['7/8', '7/8', '7/4', '2', '8/3'] -> (2 / ((7/8 / 7/8) + (7/4 - 8/3)))
[248230] ['2/9', '3/7', '1', '7/6', '7/2'] -> (((1 / 3/7) + (7/2 / 7/6)) / 2/9)
[248231] ['7/5', '7/5', '7/5', '7/4', '8'] -> (8 * (7/5 + ((7/5 + 7/5) / 7/4)))
[248232] ['5/3', '7/4', '7/4', '5/2', '5'] -> (5/2 / ((7/4 * (5/3 * 7/4)) - 5))
[248233] ['1/6', '7/9', '8/7', '3/2', '7'] -> ((1/6 + (7 * (8/7 + 3/2))) / 7/9)
[248234] ['1/8', '7/9', '6/5', '4/3', '9'] -> (((4/3 / 6/5) - 7/9) / (1/8 / 9))
[248235] ['7/8', '7/8', '7/4', '2', '9/2'] -> ((2 * 9/2) / (7/8 - (7/8 / 7/4)))
[248236] ['5/9', '3/5', '2/3', '7/4', '6'] -> (6 / ((2/3 / (5/9 * 3/5)) - 7/4))
[248237] ['4/9', '4/7', '3/2', '7/4', '7'] -> (3/2 / ((4/7 * 7) - (7/4 / 4/9)))
[248238] ['1/6', '1/5', '1/4', '1', '4/3'] -> ((1/4 + (1 / (1/5 * 4/3))) / 1/6)
[248239] ['2/9', '2/7', '9/8', '7/4', '6'] -> (6 / ((2/7 * 7/4) - (2/9 * 9/8)))
[248240] ['1/4', '2/5', '5/7', '5/7', '1'] -> ((5/7 + 1) / (5/7 * (1/4 * 2/5)))
[248241] ['2/7', '1/3', '8/9', '3', '9/2'] -> (8/9 * ((3 / (2/7 * 1/3)) - 9/2))
[248242] ['2/5', '2/3', '9/8', '7/2', '8'] -> (((8 + (7/2 / 2/5)) / 2/3) - 9/8)
[248243] ['7/5', '7/5', '7/5', '5/2', '8'] -> (8 * (5/2 + (7/5 / (7/5 + 7/5))))
[248244] ['7/5', '7/5', '7/5', '8/3', '8'] -> ((7/5 + (7/5 * 8)) / (7/5 / 8/3))
[248245] ['3/8', '4/9', '9/7', '5/2', '9'] -> ((9/7 + 9) * (5/2 - (3/8 * 4/9)))
[248246] ['2/5', '2/3', '9/8', '9/2', '8'] -> (((8 / 2/5) - (9/2 / 9/8)) / 2/3)
[248247] ['1/6', '7/9', '8/7', '9/5', '7'] -> ((8/7 * 9/5) * (7 + (7/9 / 1/6)))
[248248] ['7/8', '7/8', '9/5', '2', '7/3'] -> (7/3 / ((2 * (7/8 / 9/5)) - 7/8))
[248249] ['7/5', '7/5', '7/5', '7/2', '8'] -> (8 * (7/2 - (7/5 / (7/5 + 7/5))))
[248250] ['5/9', '3/5', '2/3', '7/2', '6'] -> (6 * (7/2 + ((5/9 * 3/5) / 2/3)))
[248251] ['4/9', '4/7', '3/2', '7/3', '7'] -> (4/7 / ((3/2 / 7) - (4/9 / 7/3)))
[248252] ['5/3', '7/4', '9/5', '7/2', '5'] -> ((7/2 * (5/3 + 5)) / (7/4 / 9/5))
[248253] ['2/7', '1/3', '9/8', '4/3', '3'] -> (((3 / (2/7 * 9/8)) - 4/3) / 1/3)
[248254] ['2/9', '2/7', '9/8', '5/2', '6'] -> ((5/2 / 9/8) + ((2/9 + 6) / 2/7))
[248255] ['1/8', '7/9', '6/5', '5/3', '9'] -> (((9 * (7/9 / 5/3)) - 6/5) / 1/8)
[248256] ['1/6', '1/5', '1/4', '1', '8/3'] -> (8/3 / (1/4 - (1/6 / (1/5 + 1))))
[248257] ['4/9', '4/7', '3/2', '8/3', '7'] -> (7 * ((8/3 / (4/9 * 3/2)) - 4/7))
[248258] ['7/8', '7/8', '9/5', '2', '8/3'] -> (8/3 / ((2 / 9/5) - (7/8 / 7/8)))
[248259] ['7/5', '7/5', '3/2', '8/5', '8'] -> ((3/2 + (7/5 / 7/5)) * (8/5 + 8))
[248260] ['2/9', '3/7', '1', '6/5', '7/5'] -> (((1 + 7/5) / (2/9 * 3/7)) - 6/5)
[248261] ['1/8', '7/9', '6/5', '7/4', '9'] -> (9 + (7/4 / (6/5 * (1/8 * 7/9))))
[248262] ['2/7', '1/3', '9/8', '7/5', '3'] -> ((3 / 7/5) / ((1/3 * 9/8) - 2/7))
[248263] ['3/8', '4/9', '9/7', '7/2', '9'] -> (3/8 + ((7/2 + (9 / 9/7)) / 4/9))
[248264] ['1/6', '7/9', '8/7', '9/2', '7'] -> ((7 - (7/9 * 9/2)) / (1/6 / 8/7))
[248265] ['2/5', '2/3', '8/7', '4/3', '8'] -> (2/3 + ((4/3 * 8) / (2/5 * 8/7)))
[248266] ['5/9', '3/5', '5/7', '3/4', '6'] -> ((6 / 5/9) / ((3/4 / 5/7) - 3/5))
[248267] ['7/5', '7/5', '3/2', '7/4', '8'] -> ((7/5 / 7/4) + (8 * (7/5 + 3/2)))
[248268] ['5/3', '7/4', '7/3', '8/3', '5'] -> ((5 * (7/4 * 8/3)) - (5/3 - 7/3))
[248269] ['1/4', '2/5', '5/7', '1', '8/7'] -> ((1 + 8/7) / (5/7 - (1/4 / 2/5)))
[248270] ['1/6', '1/5', '2/7', '3/8', '1'] -> ((1 / 1/5) / ((1/6 / 2/7) - 3/8))
