[274816] ['1/4', '1/4', '1/3', '4/5', '6'] -> (((1/4 + 1/4) + (6 / 4/5)) / 1/3)
[274817] ['2/7', '7/8', '5/3', '3', '7/2'] -> ((7/2 + (3 / (2/7 / 5/3))) / 7/8)
[274818] ['2/5', '2/3', '5/7', '9/8', '9'] -> (9 / (5/7 * (9/8 - (2/5 / 2/3))))
[274819] ['2/9', '3/7', '2/3', '3/2', '2'] -> ((2 + (2/3 / 3/7)) / (2/9 / 3/2))
[274820] ['3/7', '7/8', '3/2', '8/3', '8'] -> ((3/2 - (3/7 * 7/8)) * (8/3 * 8))
[274821] ['2/7', '7/8', '5/3', '3', '9/2'] -> ((3 - 5/3) * (9/2 / (2/7 * 7/8)))
[274822] ['1/2', '7/9', '7/6', '5/2', '7'] -> ((5/2 - 7/6) * (7 / (1/2 * 7/9)))
[274823] ['1/4', '1/4', '1/2', '4/5', '1'] -> ((1/2 + 1) / ((1/4 / 4/5) - 1/4))
[274824] ['1/9', '4/9', '5/7', '6/5', '6'] -> ((6 / (5/7 * (4/9 - 1/9))) - 6/5)
[274825] ['2/5', '2/3', '5/7', '7/6', '9'] -> ((2/3 + (5/7 * 7/6)) + (9 / 2/5))
[274826] ['2/7', '7/8', '7/4', '7/4', '3'] -> (3 / ((2/7 * (7/4 + 7/4)) - 7/8))
[274827] ['2/9', '3/7', '2/3', '8/5', '2'] -> ((2 / 3/7) / ((2/3 / 8/5) - 2/9))
[274828] ['2/7', '3/8', '5/4', '7/5', '9'] -> (9 * (2/7 + (5/4 / (3/8 * 7/5))))
[274829] ['1/9', '8/7', '5/4', '2', '9/4'] -> (8/7 * ((9/4 / 1/9) - (5/4 - 2)))
[274830] ['1/5', '4/9', '3/4', '7/3', '7'] -> ((4/9 / 1/5) + (7 / (3/4 / 7/3)))
[274831] ['1/9', '4/9', '5/7', '5/4', '6'] -> (6 / (4/9 - (5/4 * (1/9 / 5/7))))
[274832] ['4/9', '7/8', '5/3', '2', '9/4'] -> ((4/9 * 9/4) / (7/8 - (5/3 / 2)))
[274833] ['2/5', '2/3', '5/7', '6/5', '9'] -> ((6/5 + (9 * (2/3 / 5/7))) / 2/5)
[274834] ['2/9', '3/7', '2/3', '7/4', '2'] -> ((2/3 / 7/4) / ((2/9 * 2) - 3/7))
[274835] ['1/2', '7/9', '6/5', '6/5', '7'] -> ((6/5 + (7 / (7/9 / 6/5))) / 1/2)
[274836] ['1/4', '1/4', '1/3', '8/5', '6'] -> ((6 - (1/4 / 1/4)) / (1/3 / 8/5))
[274837] ['1/5', '4/9', '3/4', '5/2', '7'] -> ((1/5 + 5/2) * ((7 / 3/4) - 4/9))
[274838] ['3/7', '7/8', '8/5', '7/3', '8'] -> ((7/8 + (3/7 * 7/3)) * (8/5 * 8))
[274839] ['1/2', '7/9', '6/5', '5/4', '7'] -> (5/4 * (6/5 + (7 / (1/2 * 7/9))))
[274840] ['4/9', '7/8', '5/3', '2', '7/2'] -> ((5/3 + 7/2) * (2 / (7/8 - 4/9)))
[274841] ['1/8', '6/7', '2', '9/2', '9/2'] -> (((9/2 / 6/7) - (9/2 / 2)) / 1/8)
[274842] ['2/5', '2/3', '5/7', '9/7', '9'] -> ((9/7 + 9) / (5/7 * (2/5 / 2/3)))
[274843] ['1/9', '2/7', '2/7', '6/5', '8'] -> ((8 / (2/7 + (1/9 * 2/7))) - 6/5)
[274844] ['2/5', '2/3', '5/7', '4/3', '9'] -> (9 * ((2/5 + 4/3) + (2/3 / 5/7)))
[274845] ['1/2', '7/9', '6/5', '4/3', '7'] -> ((7 / (1/2 * (4/3 - 7/9))) - 6/5)
[274846] ['2/7', '7/8', '9/5', '9/5', '3'] -> (((9/5 / 7/8) + (9/5 + 3)) / 2/7)
[274847] ['1/4', '1/4', '3/8', '4/9', '6'] -> ((1/4 + 6) / (3/8 * (1/4 + 4/9)))
[274848] ['1/8', '7/8', '7/8', '9/8', '2'] -> (((9/8 + 2) / 1/8) - (7/8 / 7/8))
[274849] ['1/9', '8/7', '5/4', '2', '9/2'] -> ((9/2 / (5/4 - 8/7)) - (2 / 1/9))
[274850] ['2/7', '3/8', '5/4', '8/3', '9'] -> (8/3 / ((5/4 / (2/7 * 9)) - 3/8))
[274851] ['1/9', '2/7', '2/7', '9/7', '8'] -> (8 / (((2/7 + 2/7) / 9/7) - 1/9))
[274852] ['1/9', '2/9', '5/9', '5/8', '1'] -> (1 / ((5/9 - 5/8) - (1/9 - 2/9)))
[274853] ['1/4', '1/4', '3/8', '5/9', '6'] -> ((6 - (1/4 / 1/4)) / (3/8 * 5/9))
[274854] ['3/7', '7/8', '5/3', '5/3', '8'] -> ((8 + (5/3 / 5/3)) / (3/7 * 7/8))
[274855] ['1/5', '4/9', '7/9', '5/6', '7'] -> ((7 / (1/5 / 4/9)) / (7/9 * 5/6))
[274856] ['2/5', '2/3', '5/7', '9/5', '9'] -> ((9/5 + (9 / 5/7)) / (2/5 / 2/3))
[274857] ['1/9', '8/7', '9/7', '9/7', '2'] -> (((9/7 + 9/7) / 1/9) - (8/7 - 2))
[274858] ['1/2', '7/9', '6/5', '8/5', '7'] -> ((7 / (1/2 * 7/9)) / (6/5 / 8/5))
[274859] ['1/4', '1/4', '3/8', '5/7', '6'] -> ((1/4 + ((1/4 + 6) / 5/7)) / 3/8)
[274860] ['1/4', '1/4', '1/2', '1', '7/3'] -> (1 / ((7/3 * (1/4 * 1/2)) - 1/4))
[274861] ['2/9', '3/7', '5/7', '5/7', '2'] -> ((2 + ((5/7 + 5/7) / 3/7)) / 2/9)
[274862] ['1/8', '7/8', '7/8', '9/7', '2'] -> (((7/8 + (2 / 7/8)) / 1/8) - 9/7)
[274863] ['1/9', '2/9', '5/9', '7/9', '1'] -> ((1 + (7/9 / 1/9)) / (5/9 - 2/9))
[274864] ['1/2', '7/9', '6/5', '5/3', '7'] -> ((5/3 + 7) / (7/9 - (1/2 / 6/5)))
[274865] ['1/4', '1/4', '3/8', '7/9', '6'] -> ((6 + (1/4 / 1/4)) / (3/8 * 7/9))
[274866] ['1/5', '4/9', '7/9', '7/8', '7'] -> ((7/9 + (4/9 / 1/5)) / (7/8 / 7))
