[292546] ['4/9', '5/6', '6/5', '5/2', '8'] -> ((8 / 6/5) / ((4/9 * 5/2) - 5/6))
[292547] ['3/7', '4/9', '4/9', '4/9', '5'] -> (((5 / 3/7) - (4/9 / 4/9)) / 4/9)
[292548] ['2/7', '7/9', '6/5', '7/5', '9'] -> (((9 - (7/5 / 7/9)) / 2/7) - 6/5)
[292549] ['1/8', '2/7', '5/4', '2', '7/3'] -> (7/3 * (((2/7 + 5/4) / 1/8) - 2))
[292550] ['3/7', '5/9', '7/2', '9/2', '9'] -> ((3/7 * 7/2) + (9 * (5/9 * 9/2)))
[292551] ['7/9', '8/9', '4/3', '7/5', '7'] -> ((7/5 + 7) / (7/9 / (8/9 + 4/3)))
[292552] ['1/7', '1/4', '9/7', '9/7', '2'] -> (2 / ((1/4 / 9/7) - (1/7 / 9/7)))
[292553] ['1/9', '1/2', '4/5', '1', '5/2'] -> ((5/2 * (4/5 + (1 / 1/9))) - 1/2)
[292554] ['1/9', '5/8', '8/9', '7/6', '8'] -> (8 / (((7/6 - 8/9) / 5/8) - 1/9))
[292555] ['1/4', '4/5', '9/8', '7/4', '6'] -> (6 / ((4/5 * (7/4 - 9/8)) - 1/4))
[292556] ['1/6', '3/4', '5/4', '9/5', '3'] -> ((5/4 * (9/5 + (3 / 1/6))) - 3/4)
[292557] ['3/7', '5/9', '9/2', '9/2', '9'] -> (9/2 + ((3/7 * 9) * (5/9 + 9/2)))
[292558] ['7/9', '8/9', '4/3', '8/5', '7'] -> (7 / (4/3 - ((7/9 + 8/9) / 8/5)))
[292559] ['1/7', '1/4', '9/7', '7/5', '2'] -> (9/7 / (1/7 - ((1/4 / 7/5) / 2)))
[292560] ['3/7', '4/9', '4/9', '5/9', '5'] -> (((5 / 3/7) - (4/9 + 5/9)) / 4/9)
[292561] ['1/9', '5/8', '8/9', '6/5', '8'] -> (8 / ((1/9 - 6/5) + (8/9 / 5/8)))
[292562] ['2/7', '7/9', '6/5', '8/5', '9'] -> (9 * (6/5 + (7/9 * (2/7 + 8/5))))
[292563] ['1/9', '1/2', '4/5', '1', '7/2'] -> (4/5 * ((7/2 / 1/9) - (1/2 + 1)))
[292564] ['1/2', '9/7', '7/4', '7/3', '7'] -> ((7 / (1/2 / 9/7)) / (7/4 / 7/3))
[292565] ['4/9', '5/6', '5/4', '9/7', '8'] -> (9/7 * ((5/6 / 5/4) + (8 / 4/9)))
[292566] ['2/7', '4/7', '5/7', '6/7', '1'] -> (6/7 / ((2/7 + 1) - (5/7 / 4/7)))
[292567] ['2/7', '7/9', '6/5', '5/3', '9'] -> (5/3 * (9 + (6/5 / (2/7 * 7/9))))
[292568] ['7/9', '8/9', '4/3', '9/5', '7'] -> ((8/9 + 4/3) * (9/5 + (7 / 7/9)))
[292569] ['1/4', '4/5', '9/8', '7/3', '6'] -> ((6 * (9/8 + (7/3 / 4/5))) - 1/4)
[292570] ['1/9', '1/2', '5/6', '5/6', '1'] -> ((1/2 + 5/6) / (1 - (1/9 + 5/6)))
[292571] ['1/7', '1/3', '9/7', '7/4', '8'] -> ((9/7 + (1/7 / 1/3)) * (7/4 * 8))
[292572] ['3/7', '4/7', '4/7', '3/5', '9'] -> ((((9 - 3/7) / 3/5) - 4/7) / 4/7)
[292573] ['1/2', '9/7', '7/4', '8/3', '7'] -> (9/7 * ((7/4 * 8/3) + (7 / 1/2)))
[292574] ['7/9', '8/9', '4/3', '9/4', '7'] -> ((4/3 * 9/4) * (7 / (7/9 / 8/9)))
[292575] ['2/7', '7/9', '6/5', '7/4', '9'] -> ((9 / (2/7 * 6/5)) - (7/4 / 7/9))
[292576] ['1/4', '4/5', '9/8', '7/2', '6'] -> (9/8 + (6 * (7/2 + (1/4 / 4/5))))
[292577] ['1/7', '1/3', '9/7', '9/5', '8'] -> ((9/7 / 1/7) + (9/5 * (1/3 + 8)))
[292578] ['4/9', '5/6', '5/4', '8/5', '8'] -> (((5/4 * 8/5) + (8 / 4/9)) / 5/6)
[292579] ['1/6', '3/4', '9/7', '8/5', '3'] -> (((3 / (9/7 - 3/4)) - 8/5) / 1/6)
[292580] ['1/9', '1/2', '5/6', '6/7', '1'] -> (((1/2 / (1 - 6/7)) - 5/6) / 1/9)
[292581] ['1/8', '2/7', '9/7', '9/5', '2'] -> (((2/7 + 2) + (9/7 / 9/5)) / 1/8)
[292582] ['1/7', '1/4', '9/7', '2', '9/2'] -> ((9/2 / (1/7 * 9/7)) - (1/4 * 2))
[292583] ['4/9', '5/6', '5/4', '7/4', '8'] -> ((7/4 + (5/6 - 5/4)) / (4/9 / 8))
[292584] ['3/7', '4/7', '4/7', '4/5', '9'] -> (((4/7 / 4/5) + (4/7 + 9)) / 3/7)
[292585] ['2/3', '1', '3/2', '5/2', '5/2'] -> (1 / (2/3 - (5/2 / (3/2 + 5/2))))
[292586] ['1/7', '1/3', '9/7', '5/2', '8'] -> ((1/7 + (9/7 / 1/3)) + (5/2 * 8))
[292587] ['1/2', '9/7', '9/5', '7/3', '7'] -> (((9/7 * 7) - 7/3) / (1/2 / 9/5))
[292588] ['1/2', '5/6', '6/5', '2', '8/3'] -> ((2 + 8/3) / ((5/6 / 6/5) - 1/2))
[292589] ['1/8', '2/7', '4/3', '4/3', '2'] -> ((4/3 + (4/3 / 2/7)) / (1/8 * 2))
[292590] ['1/2', '9/7', '9/5', '5/2', '7'] -> (((5/2 * 7) / (9/7 / 9/5)) - 1/2)
[292591] ['3/7', '4/9', '4/9', '4/5', '5'] -> ((4/9 / (4/9 - 3/7)) - (4/5 * 5))
[292592] ['1/9', '5/8', '9/8', '6/5', '8'] -> (8 / (1/9 * (6/5 + (9/8 / 5/8))))
[292593] ['1/7', '1/4', '4/3', '8/5', '2'] -> ((2 / 1/7) / ((4/3 / 8/5) - 1/4))
[292594] ['1/6', '3/4', '9/7', '5/2', '3'] -> (5/2 + ((3 + (3/4 / 9/7)) / 1/6))
[292595] ['2/7', '4/7', '5/7', '1', '4/3'] -> ((2/7 + 4/7) / ((1 / 4/3) - 5/7))
[292596] ['1/8', '2/7', '4/3', '3/2', '2'] -> (2 / (2/7 * (3/2 + (1/8 - 4/3))))
[292597] ['7/9', '8/9', '7/5', '9/4', '7'] -> ((7 / ((7/9 + 8/9) - 7/5)) - 9/4)
[292598] ['3/7', '4/7', '4/7', '5/4', '9'] -> (((4/7 * 5/4) + (4/7 + 9)) / 3/7)
[292599] ['1/9', '5/8', '9/8', '9/7', '8'] -> ((9/8 * 8) / ((5/8 / 9/7) - 1/9))
[292600] ['1/8', '2/7', '4/3', '5/3', '2'] -> ((4/3 + (5/3 / (1/8 * 2/7))) / 2)
[292601] ['1/9', '1/2', '6/7', '6/7', '1'] -> ((1/2 + ((6/7 + 1) / 6/7)) / 1/9)
[292602] ['1/7', '1/3', '4/3', '5/2', '8'] -> (((4/3 / 1/3) + (8 / 1/7)) / 5/2)
[292603] ['2/7', '7/9', '6/5', '9/2', '9'] -> (6/5 * ((9 / (2/7 / 7/9)) - 9/2))
[292604] ['1/9', '5/8', '9/8', '7/5', '8'] -> ((7/5 / (1/9 * 9/8)) + (8 / 5/8))
[292605] ['2/3', '1', '8/5', '8/5', '9/4'] -> (8/5 / ((8/5 / (2/3 * 9/4)) - 1))
[292606] ['3/7', '4/7', '4/7', '4/3', '9'] -> (9 * ((4/7 / (4/7 - 3/7)) - 4/3))
[292607] ['1/9', '1/2', '6/7', '7/8', '1'] -> ((1 / (1/9 * 1/2)) / (6/7 * 7/8))
[292608] ['1/2', '5/6', '5/4', '9/5', '2'] -> ((2 / 5/4) / ((1/2 * 9/5) - 5/6))
[292609] ['7/9', '8/9', '7/5', '7/2', '7'] -> (7/2 * ((8/9 / 7/5) - (7/9 - 7)))
[292610] ['2/7', '4/7', '5/7', '1', '8/5'] -> ((5/7 + 1) / ((4/7 / 8/5) - 2/7))
[292611] ['1/2', '9/7', '9/4', '7/3', '7'] -> (7 / (1/2 * (7/3 - (9/4 / 9/7))))
[292612] ['3/7', '4/7', '4/7', '7/5', '9'] -> ((4/7 + (4/7 / 3/7)) * (7/5 * 9))
[292613] ['1/7', '1/3', '4/3', '9/2', '8'] -> ((8 * (9/2 - 1/3)) - (4/3 / 1/7))
[292614] ['1/8', '2/7', '4/3', '2', '9/4'] -> (((2 / (2/7 * 4/3)) - 9/4) / 1/8)
[292615] ['2/3', '1', '8/5', '8/5', '7/2'] -> (8/5 / ((2/3 * (7/2 - 1)) - 8/5))
[292616] ['1/7', '1/4', '7/5', '7/5', '2'] -> ((7/5 + 7/5) / (1/4 / (1/7 + 2)))
[292617] ['1/2', '5/6', '5/4', '2', '7/3'] -> (2 / (5/6 - ((1/2 + 5/4) / 7/3)))
[292618] ['1/9', '5/8', '9/8', '5/3', '8'] -> ((8 / (1/9 / 5/8)) / (9/8 * 5/3))
[292619] ['4/9', '5/6', '9/7', '7/4', '8'] -> (7/4 * ((8 / (4/9 / 5/6)) - 9/7))
[292620] ['3/7', '4/7', '4/7', '8/5', '9'] -> (8/5 * ((9 / 4/7) - (3/7 / 4/7)))
[292621] ['2/3', '1', '8/5', '8/5', '9/2'] -> ((8/5 + 8/5) * (9/2 * (2/3 + 1)))
[292622] ['1/2', '5/6', '5/4', '2', '8/3'] -> (2 / (8/3 - (5/4 + (1/2 + 5/6))))
[292623] ['1/7', '1/4', '7/5', '3/2', '2'] -> (2 / ((1/4 / 7/5) - (1/7 / 3/2)))
[292624] ['1/9', '5/8', '9/8', '7/4', '8'] -> ((7/4 + (1/9 * 9/8)) / (5/8 / 8))
[292625] ['4/9', '5/6', '9/7', '9/5', '8'] -> ((9/7 * 8) * (9/5 + (4/9 / 5/6)))
[292626] ['1/9', '1/2', '6/7', '1', '7/6'] -> ((1/2 + (7/6 * (6/7 + 1))) / 1/9)
[292627] ['2/7', '4/7', '5/7', '1', '9/4'] -> ((5/7 + 1) / ((2/7 * 9/4) - 4/7))
[292628] ['7/9', '8/9', '3/2', '5/3', '7'] -> ((7 / 7/9) / ((5/3 / 8/9) - 3/2))
[292629] ['2/3', '1', '8/5', '5/3', '9/5'] -> ((8/5 * 5/3) / (2/3 - (1 / 9/5)))
[292630] ['1/2', '5/6', '9/7', '9/7', '2'] -> ((2 / 1/2) / ((9/7 / 9/7) - 5/6))
[292631] ['1/7', '1/3', '7/5', '9/5', '8'] -> ((8 / (1/7 / 1/3)) / (7/5 / 9/5))
[292632] ['1/9', '1/2', '6/7', '1', '6/5'] -> ((1 / (1/9 * (6/7 - 1/2))) - 6/5)
[292633] ['1/8', '2/7', '4/3', '2', '7/2'] -> (2 / (1/8 * (2/7 + (4/3 / 7/2))))
[292634] ['1/4', '4/5', '8/7', '7/2', '6'] -> (7/2 * (8/7 + (6 / (1/4 + 4/5))))
[292635] ['4/9', '5/6', '9/7', '7/3', '8'] -> ((8 + (4/9 * 9/7)) / (5/6 / 7/3))
[292636] ['1/6', '3/4', '7/5', '9/4', '3'] -> ((7/5 * (3/4 + (3 / 1/6))) - 9/4)
[292637] ['1/2', '9/7', '5/2', '5/2', '7'] -> ((7 / (9/7 - (5/2 / 5/2))) - 1/2)
[292638] ['3/7', '4/7', '4/7', '7/3', '9'] -> (9 * ((4/7 / 3/7) + (4/7 * 7/3)))
[292639] ['1/7', '1/4', '7/5', '2', '5/2'] -> ((5/2 / (1/7 / 7/5)) - (1/4 * 2))
[292640] ['7/9', '8/9', '3/2', '9/4', '7'] -> ((3/2 * 9/4) * (7 - (7/9 - 8/9)))
[292641] ['1/9', '5/8', '9/8', '9/2', '8'] -> ((1/9 + (5/8 / 9/8)) * (9/2 * 8))
[292642] ['2/7', '7/9', '5/4', '7/4', '9'] -> ((5/4 - 7/4) + (9 / (2/7 / 7/9)))
