[336871] ['1/8', '3/5', '5/7', '1', '7/5'] -> ((3/5 + (7/5 * (5/7 + 1))) / 1/8)
[336872] ['1/8', '8/9', '9/5', '8/3', '8'] -> (((8/9 + 8/3) / 1/8) - (8 / 9/5))
[336873] ['5/6', '1', '3/2', '3/2', '7/4'] -> ((7/4 + (3/2 * 3/2)) / (1 - 5/6))
[336874] ['5/4', '4/3', '7/2', '9/2', '7'] -> ((5/4 * 9/2) + (7 / (4/3 / 7/2)))
[336875] ['4/9', '7/6', '7/6', '9/4', '5'] -> (((7/6 + 7/6) / (4/9 / 5)) - 9/4)
[336876] ['1/6', '2/3', '9/7', '8/5', '8'] -> (2/3 + (8 / (8/5 * (1/6 * 9/7))))
[336877] ['3/8', '3/8', '4/9', '6/5', '5'] -> (((5 / (4/9 * 6/5)) - 3/8) / 3/8)
[336878] ['4/9', '7/6', '7/6', '7/3', '5'] -> (((7/3 * 5) - (7/6 / 7/6)) / 4/9)
[336879] ['3/5', '7/9', '9/7', '7/5', '7'] -> ((9/7 + (7 / 7/9)) / (3/5 / 7/5))
[336880] ['2/9', '1/4', '6/5', '7/4', '3'] -> ((7/4 / (1/4 - (2/9 / 6/5))) - 3)
[336881] ['1/6', '2/3', '9/7', '7/4', '8'] -> (2/3 / ((7/4 / 9/7) - (1/6 * 8)))
[336882] ['1/8', '8/9', '9/5', '9/2', '8'] -> (9/5 * ((8 / (1/8 * 9/2)) - 8/9))
[336883] ['5/4', '7/5', '7/5', '7/4', '7'] -> ((5/4 + 7/4) * (7 + (7/5 / 7/5)))
[336884] ['3/5', '5/8', '5/8', '7/9', '2'] -> (2 / (3/5 * (5/8 - (5/8 * 7/9))))
[336885] ['3/5', '7/9', '9/7', '8/5', '7'] -> (3/5 + (7 * (9/7 + (8/5 / 7/9))))
[336886] ['3/8', '3/8', '4/9', '4/3', '5'] -> (((4/9 + 5) + (4/3 / 3/8)) / 3/8)
[336887] ['2/9', '1/4', '6/5', '7/3', '3'] -> (3 * (2/9 + (7/3 / (1/4 * 6/5))))
[336888] ['1/8', '3/5', '5/7', '1', '9/4'] -> (9/4 / ((1/8 / (5/7 - 3/5)) - 1))
[336889] ['1/6', '2/3', '9/7', '9/4', '8'] -> (9/7 * ((8 * (1/6 + 9/4)) - 2/3))
[336890] ['3/5', '5/8', '5/8', '4/5', '2'] -> (2 / ((4/5 / 3/5) - (5/8 + 5/8)))
[336891] ['3/5', '7/9', '9/7', '7/4', '7'] -> (7/4 * ((7 / (3/5 * 7/9)) - 9/7))
[336892] ['5/4', '7/5', '7/5', '7/3', '7'] -> ((7/5 + 7) / (7/3 * (7/5 - 5/4)))
