[26596] ['7/6', '6/5', '8/3', '8/3', '4'] -> ((8/3 + 8/3) * (7/6 + (4 / 6/5)))
[26597] ['1/8', '3/7', '5/4', '4/3', '5'] -> (5 / ((1/8 / 3/7) + (5/4 - 4/3)))
[26598] ['1/3', '9/7', '5/3', '5/3', '4'] -> (9/7 * (5/3 + ((5/3 + 4) / 1/3)))
[26599] ['7/8', '9/8', '8/7', '9/7', '6'] -> (6 * ((9/7 / (9/8 - 7/8)) - 8/7))
[26600] ['3/2', '3/2', '9/5', '7/3', '3'] -> ((3/2 + (3/2 * 7/3)) * (9/5 + 3))
[26601] ['7/6', '6/5', '7/2', '7/2', '4'] -> (4 * (7/2 + (7/2 / (7/6 * 6/5))))
[26602] ['3/8', '3/7', '4/5', '5/2', '3'] -> (((4/5 * 5/2) + (3 / 3/7)) / 3/8)
[26603] ['1/7', '4/9', '7/9', '8/5', '9'] -> (9 / (4/9 - ((1/7 * 7/9) / 8/5)))
[26604] ['1/6', '1/3', '1/2', '7/5', '6'] -> (((6 - 1/6) / (1/3 / 7/5)) - 1/2)
[26605] ['1/6', '4/9', '7/9', '6/5', '5'] -> (((7/9 / 1/6) + (6/5 * 5)) / 4/9)
[26606] ['1/8', '3/7', '5/4', '3/2', '5'] -> ((3/2 / (1/8 * 3/7)) - (5 / 5/4))
[26607] ['1/2', '3/4', '1', '5/4', '7/2'] -> ((7/2 + (5/4 / 1/2)) / (1 - 3/4))
[26608] ['1/7', '4/9', '7/9', '5/3', '9'] -> ((5/3 - 1/7) * (9 / (4/9 / 7/9)))
[26609] ['1/8', '3/7', '5/4', '8/5', '5'] -> ((5 + (5/4 * 8/5)) / (1/8 / 3/7))
[26610] ['1/6', '1/3', '5/9', '4/7', '6'] -> ((1/3 + 6) / (5/9 - (1/6 / 4/7)))
[26611] ['7/6', '5/4', '5/4', '5/4', '4'] -> ((5/4 * 4) / ((7/6 * 5/4) - 5/4))
[26612] ['1/9', '1/7', '3/5', '4/3', '3'] -> ((4/3 / 3/5) + ((1/9 + 3) / 1/7))
[26613] ['1/3', '9/7', '5/3', '5/2', '4'] -> (((4 / (5/3 - 9/7)) - 5/2) / 1/3)
[26614] ['3/8', '3/7', '5/6', '5/6', '3'] -> (3 / ((5/6 / 5/6) - (3/8 / 3/7)))
[26615] ['1/2', '3/4', '1', '9/7', '4/3'] -> ((1/2 * 4/3) / ((1 / 9/7) - 3/4))
[26616] ['4/9', '1/2', '7/8', '5/3', '4'] -> ((1/2 + (4 * (7/8 + 5/3))) / 4/9)
[26617] ['7/8', '9/8', '8/7', '7/3', '6'] -> ((7/8 + (9/8 * 7/3)) * (8/7 * 6))
[26618] ['1/7', '4/9', '7/9', '9/4', '9'] -> (((9 / 9/4) - (4/9 / 7/9)) / 1/7)
[26619] ['7/6', '5/4', '5/4', '7/5', '4'] -> (4 / ((5/4 / 5/4) - (7/6 / 7/5)))
[26620] ['4/9', '1/2', '7/8', '7/4', '4'] -> (4 / (4/9 * (7/4 - (1/2 + 7/8))))
[26621] ['1/6', '1/3', '5/9', '4/5', '6'] -> (((5/9 + (6 / 4/5)) / 1/3) - 1/6)
[26622] ['7/6', '5/4', '5/4', '5/3', '4'] -> ((5/4 * 4) / (5/3 - (7/6 * 5/4)))
[26623] ['1/4', '3/5', '5/4', '8/5', '2'] -> (2 * (3/5 + ((5/4 + 8/5) / 1/4)))
[26624] ['1/6', '4/9', '7/9', '9/5', '5'] -> (((4/9 + 7/9) + (5 / 9/5)) / 1/6)
[26625] ['3/2', '8/5', '8/5', '9/5', '3'] -> (8/5 * ((9/5 / (8/5 - 3/2)) - 3))
[26626] ['1/3', '9/7', '7/4', '9/4', '4'] -> ((4 + (9/7 / 9/4)) / (1/3 / 7/4))
[26627] ['2/7', '5/8', '5/6', '7/4', '8'] -> (8 / ((7/4 * (5/6 - 2/7)) - 5/8))
[26628] ['3/8', '3/7', '5/6', '9/8', '3'] -> ((9/8 / ((3/8 / 3/7) - 5/6)) - 3)
[26629] ['7/6', '5/4', '5/4', '9/5', '4'] -> (4 / ((7/6 + 5/4) - (5/4 * 9/5)))
[26630] ['1/7', '4/9', '7/9', '8/3', '9'] -> ((8/3 / 7/9) + ((1/7 + 9) / 4/9))
[26631] ['3/2', '8/5', '8/5', '9/4', '3'] -> ((3/2 + 9/4) * (8/5 + (8/5 * 3)))
[26632] ['7/8', '9/8', '7/6', '6/5', '6'] -> ((6 / 6/5) / ((7/6 / 7/8) - 9/8))
[26633] ['1/2', '3/4', '1', '9/7', '5/3'] -> (1/2 / (3/4 - (5/3 / (1 + 9/7))))
[26634] ['1/3', '9/7', '7/4', '8/3', '4'] -> (4 / ((7/4 * (1/3 + 9/7)) - 8/3))
[26635] ['2/9', '5/8', '5/7', '8/5', '5'] -> ((8/5 + (5 / (5/8 + 5/7))) / 2/9)
[26636] ['3/8', '3/7', '5/6', '6/5', '3'] -> (3 / ((5/6 * 6/5) - (3/8 / 3/7)))
[26637] ['7/8', '9/8', '7/6', '9/7', '6'] -> ((9/7 / (7/6 - 9/8)) - (6 / 7/8))
[26638] ['1/6', '4/9', '7/9', '8/3', '5'] -> (8/3 / ((4/9 - 5) + (7/9 / 1/6)))
[26639] ['2/7', '5/8', '5/6', '7/3', '8'] -> ((7/3 / (5/8 / 5/6)) * (8 - 2/7))
[26640] ['1/7', '4/9', '4/5', '5/6', '9'] -> (5/6 * (4/5 + (9 / (1/7 / 4/9))))
[26641] ['7/6', '5/4', '9/7', '9/7', '4'] -> ((9/7 * 4) / (9/7 - (5/4 / 7/6)))
[26642] ['2/9', '5/8', '5/7', '5/3', '5'] -> (5/3 / (5/7 * (2/9 - (5/8 / 5))))
[26643] ['1/3', '9/7', '9/5', '9/5', '4'] -> (4 * (9/5 + (9/5 / (1/3 * 9/7))))
[26644] ['4/9', '1/2', '8/9', '9/8', '4'] -> (4 / (8/9 - (4/9 * (1/2 + 9/8))))
[26645] ['1/6', '1/3', '5/9', '9/7', '6'] -> (((5/9 / 1/6) + (6 / 9/7)) / 1/3)
[26646] ['1/4', '3/5', '9/7', '4/3', '2'] -> ((4/3 + (2 / 3/5)) / (1/4 / 9/7))
[26647] ['3/8', '3/7', '5/6', '5/4', '3'] -> ((3 / 3/7) / ((5/6 / 5/4) - 3/8))
[26648] ['1/8', '3/7', '9/7', '7/5', '5'] -> (7/5 / (1/8 - ((3/7 / 9/7) / 5)))
[26649] ['7/6', '5/4', '9/7', '4/3', '4'] -> (4 / ((5/4 * 4/3) - (7/6 * 9/7)))
[26650] ['3/2', '8/5', '7/4', '7/4', '3'] -> ((8/5 * 3) * (7/4 + (3/2 + 7/4)))
[26651] ['7/8', '9/8', '7/6', '8/5', '6'] -> (8/5 * ((7/8 / (7/6 - 9/8)) - 6))
[26652] ['1/6', '9/8', '8/5', '7/3', '4'] -> (4 / ((7/3 / 8/5) - (1/6 + 9/8)))
[26653] ['3/8', '3/7', '5/6', '4/3', '3'] -> ((4/3 + (3 / (3/8 * 3/7))) / 5/6)
[26654] ['2/7', '5/8', '5/6', '7/2', '8'] -> (8 / ((5/6 / 5/8) - (2/7 * 7/2)))
[26655] ['7/6', '5/4', '9/7', '7/5', '4'] -> ((4 / (7/6 * 5/4)) / (7/5 - 9/7))
[26656] ['1/8', '3/7', '9/7', '8/5', '5'] -> ((9/7 - (3/7 * 8/5)) / (1/8 / 5))
[26657] ['1/2', '3/4', '1', '9/7', '8/3'] -> (8/3 / ((1 / 9/7) - (1/2 / 3/4)))
[26658] ['4/9', '1/2', '8/9', '9/7', '4'] -> ((4 / (9/7 - (1/2 / 4/9))) - 8/9)
[26659] ['1/6', '1/3', '5/9', '8/5', '6'] -> (8/5 / (1/6 - ((1/3 / 5/9) / 6)))
[26660] ['1/3', '9/7', '9/5', '7/3', '4'] -> ((1/3 + (9/7 * 7/3)) * (9/5 * 4))
[26661] ['3/2', '8/5', '7/4', '9/5', '3'] -> ((3 / (3/2 / 9/5)) / (7/4 - 8/5))
[26662] ['1/4', '3/5', '9/7', '8/5', '2'] -> ((2 + (8/5 / 3/5)) / (1/4 / 9/7))
[26663] ['3/8', '3/7', '5/6', '7/5', '3'] -> (3 / ((7/5 * (3/7 * 5/6)) - 3/8))
[26664] ['1/9', '1/7', '5/8', '5/7', '3'] -> ((5/7 / (1/9 * 1/7)) / (5/8 * 3))
[26665] ['1/6', '9/8', '8/5', '8/3', '4'] -> (8/5 * ((4 * (9/8 + 8/3)) - 1/6))
[26666] ['1/2', '3/4', '1', '9/7', '9/2'] -> ((1 + 9/7) / (1/2 / (3/4 + 9/2)))
[26667] ['7/6', '5/4', '9/7', '5/3', '4'] -> (4 / ((7/6 * 9/7) - (5/3 / 5/4)))
[26668] ['4/9', '1/2', '8/9', '7/4', '4'] -> (((8/9 * 7/4) / (1/2 - 4/9)) - 4)
[26669] ['3/8', '3/7', '5/6', '8/5', '3'] -> (8/5 + (3 / (5/6 * (3/8 * 3/7))))
[26670] ['1/6', '1/3', '4/7', '3/5', '6'] -> ((6 / 3/5) / ((1/3 / 4/7) - 1/6))
[26671] ['1/6', '9/8', '8/5', '7/2', '4'] -> ((7/2 - 1/6) * (4 * (9/8 * 8/5)))
[26672] ['3/2', '8/5', '9/5', '9/5', '3'] -> ((9/5 + (9/5 / 3)) / (8/5 - 3/2))
[26673] ['1/3', '9/7', '9/5', '7/2', '4'] -> ((9/5 * 7/2) * (4 * (9/7 - 1/3)))
[26674] ['1/6', '9/8', '8/5', '4', '9/2'] -> ((9/8 + 9/2) * (4 + (1/6 * 8/5)))
[26675] ['2/7', '5/8', '6/7', '9/7', '8'] -> ((9/7 + (6/7 * 8)) / (5/8 - 2/7))
[26676] ['3/8', '3/7', '5/6', '5/3', '3'] -> (((5/3 / 5/6) + (3 / 3/7)) / 3/8)
[26677] ['7/6', '5/4', '9/7', '9/4', '4'] -> ((9/7 * 4) * (9/4 + (7/6 + 5/4)))
[26678] ['3/2', '8/5', '9/5', '7/3', '3'] -> ((9/5 / ((3/2 * 8/5) - 7/3)) - 3)
[26679] ['1/6', '4/9', '4/5', '7/6', '5'] -> ((7/6 + (1/6 + 4/5)) / (4/9 / 5))
[26680] ['1/7', '4/9', '4/5', '6/5', '9'] -> ((4/5 + (9 / (1/7 / 4/9))) / 6/5)
[26681] ['1/2', '3/4', '1', '4/3', '9/5'] -> (1 / ((3/4 / 9/5) - (1/2 / 4/3)))
[26682] ['1/3', '9/7', '9/5', '4', '9/2'] -> ((9/5 + 9/2) * (4 * (9/7 - 1/3)))
[26683] ['7/8', '9/8', '6/5', '9/4', '6'] -> ((9/4 / (9/8 - (7/8 * 6/5))) - 6)
[26684] ['1/6', '1/3', '4/7', '4/5', '6'] -> ((6 - 1/6) / (1/3 / (4/7 + 4/5)))
[26685] ['3/2', '8/5', '9/5', '3', '7/2'] -> ((8/5 * 3) / (7/2 - (3/2 + 9/5)))
[26686] ['2/9', '5/8', '3/4', '3/4', '5'] -> ((5 / (2/9 * 5/8)) / (3/4 + 3/4))
[26687] ['1/8', '3/7', '4/3', '3/2', '5'] -> ((5 + (4/3 * 3/2)) / (1/8 / 3/7))
[26688] ['7/8', '9/8', '6/5', '7/3', '6'] -> (6 * (7/3 + ((7/8 + 9/8) / 6/5)))
[26689] ['1/6', '4/9', '4/5', '5/4', '5'] -> ((5 - (4/5 / 4/9)) / (1/6 / 5/4))
[26690] ['1/6', '1/3', '4/7', '5/6', '6'] -> ((1/3 + 5/6) * (6 / (1/6 / 4/7)))
[26691] ['1/4', '3/5', '9/7', '2', '5/2'] -> (9/7 * (2 + (5/2 / (1/4 * 3/5))))
[26692] ['7/6', '5/4', '9/7', '5/2', '4'] -> (4 / ((7/6 * (5/2 - 9/7)) - 5/4))
[26693] ['2/7', '5/8', '6/7', '9/4', '8'] -> (((9/4 * 8) - (6/7 / 2/7)) / 5/8)
[26694] ['1/6', '9/8', '5/3', '7/3', '4'] -> (5/3 / (9/8 - (1/6 * (7/3 + 4))))
[26695] ['1/2', '3/4', '1', '7/5', '7/5'] -> ((1 + 7/5) / ((3/4 / 1/2) - 7/5))
[26696] ['1/7', '4/9', '4/5', '4/3', '9'] -> (4/5 * (9 + (4/3 / (1/7 * 4/9))))
[26697] ['1/3', '9/7', '9/4', '8/3', '4'] -> ((9/7 + (9/4 * 4)) * (8/3 - 1/3))
[26698] ['7/6', '5/4', '9/7', '8/3', '4'] -> (((5/4 * 8/3) / (9/7 - 7/6)) - 4)
[26699] ['7/8', '9/8', '5/4', '7/5', '6'] -> (6 / ((7/8 + 9/8) - (5/4 * 7/5)))
