[35461] ['3/8', '4/9', '7/4', '7/3', '4'] -> ((4 / 4/9) / ((7/4 / 7/3) - 3/8))
[35462] ['9/8', '8/7', '7/6', '6/5', '6'] -> ((6 / 6/5) / ((8/7 * 7/6) - 9/8))
[35463] ['1/4', '7/8', '9/8', '2', '9/4'] -> (9/4 / (7/8 - (1/4 * (9/8 + 2))))
[35464] ['3/8', '5/8', '2/3', '8/5', '3'] -> ((3 / 3/8) / ((5/8 * 8/5) - 2/3))
[35465] ['1/2', '1', '7/5', '8/5', '8/5'] -> ((7/5 + 8/5) / ((1 / 8/5) - 1/2))
[35466] ['1/9', '1/4', '5/9', '6/5', '3'] -> ((5/9 * 6/5) / (1/9 - (1/4 / 3)))
[35467] ['1/6', '5/9', '3/4', '5/2', '6'] -> ((6 + (5/2 / 3/4)) / (5/9 - 1/6))
[35468] ['3/8', '4/9', '7/4', '5/2', '4'] -> (4 / (4/9 * (5/2 - (3/8 + 7/4))))
[35469] ['1/9', '1/7', '3/8', '8/3', '4'] -> ((8/3 / (3/8 * (1/9 + 1/7))) - 4)
[35470] ['9/8', '8/7', '7/6', '9/7', '6'] -> ((9/7 / (7/6 - 9/8)) - (8/7 * 6))
[35471] ['1/9', '1/4', '5/9', '5/4', '3'] -> (((5/9 * 3) - (1/4 - 5/4)) / 1/9)
[35472] ['1/2', '1', '7/5', '8/5', '7/4'] -> ((7/5 + 8/5) / (1 - (1/2 * 7/4)))
[35473] ['8/5', '7/4', '7/2', '7/2', '4'] -> ((7/2 + 4) * (7/2 * (8/5 / 7/4)))
[35474] ['1/6', '5/7', '4/5', '7/4', '5'] -> ((5 - (7/4 * (5/7 * 4/5))) / 1/6)
[35475] ['9/8', '8/7', '7/6', '4/3', '6'] -> ((6 / (9/8 * 7/6)) / (4/3 - 8/7))
[35476] ['2/7', '9/8', '6/5', '6/5', '8'] -> (((8 / 2/7) - (6/5 / 6/5)) / 9/8)
[35477] ['3/8', '4/9', '7/4', '7/2', '4'] -> (3/8 + ((7/2 + (7/4 * 4)) / 4/9))
[35478] ['1/2', '1', '7/5', '8/5', '9/4'] -> ((7/5 + 8/5) / ((1/2 * 9/4) - 1))
[35479] ['1/6', '5/9', '7/9', '7/9', '6'] -> ((7/9 + 7/9) * (6 / (5/9 - 1/6)))
[35480] ['1/5', '1/4', '7/8', '7/4', '4'] -> (((7/4 / (1/5 * 7/8)) - 4) / 1/4)
[35481] ['3/8', '5/8', '5/7', '5/7', '3'] -> (5/7 / ((5/7 / 3/8) - (5/8 * 3)))
[35482] ['1/4', '7/8', '8/7', '5/4', '2'] -> ((1/4 + 2) / (7/8 * (5/4 - 8/7)))
[35483] ['2/7', '9/8', '6/5', '5/4', '8'] -> ((8 / (5/4 * (2/7 / 9/8))) - 6/5)
[35484] ['9/8', '8/7', '7/6', '3/2', '6'] -> (6 / (7/6 * (3/2 - (9/8 * 8/7))))
[35485] ['3/8', '4/9', '9/5', '9/4', '4'] -> ((4 + (4/9 * 9/4)) / (3/8 / 9/5))
[35486] ['1/7', '5/8', '8/9', '9/8', '9'] -> ((9 + (9/8 / 1/7)) / (5/8 / 8/9))
[35487] ['4/9', '5/7', '5/6', '9/7', '4'] -> (4 / ((4/9 - 5/6) + (5/7 / 9/7)))
[35488] ['8/5', '9/5', '9/5', '7/3', '4'] -> (8/5 * ((4 * (9/5 * 7/3)) - 9/5))
[35489] ['1/4', '7/8', '8/7', '9/7', '2'] -> (9/7 / ((7/8 - 1/4) - (8/7 / 2)))
[35490] ['9/8', '8/7', '7/6', '8/5', '6'] -> (6 / ((9/8 / 7/6) - (8/7 / 8/5)))
[35491] ['1/6', '5/9', '7/9', '8/7', '6'] -> (8/7 / (1/6 - ((5/9 / 7/9) / 6)))
[35492] ['1/8', '5/8', '5/8', '7/6', '5'] -> (5 / ((1/8 + 5/8) + (5/8 - 7/6)))
[35493] ['1/9', '1/4', '5/9', '8/3', '3'] -> ((8/3 - (1/9 + 5/9)) / (1/4 / 3))
[35494] ['1/7', '5/8', '8/9', '8/7', '9'] -> ((9 / (5/8 - 1/7)) / (8/9 / 8/7))
[35495] ['2/9', '6/7', '6/5', '7/2', '5'] -> ((5 / (2/9 / 6/5)) - (6/7 * 7/2))
[35496] ['1/6', '5/7', '4/5', '5/2', '5'] -> ((5/2 / (4/5 - 5/7)) - (1/6 + 5))
[35497] ['3/8', '5/8', '5/7', '4/5', '3'] -> ((4/5 * 3) / (5/8 - (3/8 / 5/7)))
[35498] ['1/5', '1/4', '7/8', '8/3', '4'] -> ((4 / 1/5) / ((7/8 / 1/4) - 8/3))
[35499] ['1/9', '1/4', '5/9', '3', '7/2'] -> (3 + (7/2 / (1/4 * (1/9 + 5/9))))
[35500] ['2/7', '9/8', '6/5', '4/3', '8'] -> (8 / ((4/3 / (6/5 - 2/7)) - 9/8))
[35501] ['8/5', '9/5', '9/5', '8/3', '4'] -> ((9/5 + 9/5) * (4 / (8/5 / 8/3)))
[35502] ['1/7', '5/8', '8/9', '7/6', '9'] -> (9 / ((5/8 / 7/6) - (1/7 / 8/9)))
[35503] ['1/6', '5/9', '7/9', '9/7', '6'] -> ((6 - (9/7 + (5/9 / 7/9))) / 1/6)
[35504] ['3/8', '5/8', '5/7', '5/6', '3'] -> (3 / (5/7 * (5/8 - (3/8 / 5/6))))
[35505] ['1/9', '1/4', '4/7', '4/7', '3'] -> (((4/7 / (1/9 * 4/7)) - 3) / 1/4)
[35506] ['4/9', '5/7', '5/6', '3/2', '4'] -> ((3/2 + (5/6 / 5/7)) / (4/9 / 4))
[35507] ['1/5', '1/4', '7/8', '7/2', '4'] -> ((7/2 / (1/5 * (7/8 - 1/4))) - 4)
[35508] ['1/8', '5/8', '5/8', '7/5', '5'] -> ((7/5 / 1/8) + (5 / (5/8 * 5/8)))
[35509] ['1/2', '1', '7/5', '5/3', '9/4'] -> ((1 / 1/2) / ((7/5 * 5/3) - 9/4))
[35510] ['3/8', '4/9', '7/3', '7/2', '4'] -> (4 * ((3/8 * 4/9) + (7/3 + 7/2)))
[35511] ['8/5', '9/5', '9/5', '4', '9/2'] -> (9/5 / ((9/2 / (4 - 8/5)) - 9/5))
[35512] ['2/7', '9/8', '6/5', '8/5', '8'] -> (((8 - 8/5) / (2/7 / 9/8)) - 6/5)
[35513] ['1/6', '5/9', '7/9', '3/2', '6'] -> ((6 - (3/2 * (5/9 + 7/9))) / 1/6)
[35514] ['9/8', '8/7', '7/6', '7/3', '6'] -> (6 / ((9/8 + 7/6) - (7/3 / 8/7)))
[35515] ['1/4', '7/8', '8/7', '5/3', '2'] -> (8/7 / (2 - (5/3 + (1/4 / 7/8))))
[35516] ['3/8', '5/8', '5/7', '8/9', '3'] -> ((3/8 / (8/9 - (5/8 / 5/7))) - 3)
[35517] ['4/9', '5/7', '5/6', '5/3', '4'] -> ((4 / (5/7 / 5/3)) / (5/6 - 4/9))
[35518] ['1/8', '5/8', '5/8', '8/3', '5'] -> (5 / (1/8 * (8/3 - (5/8 / 5/8))))
[35519] ['9/8', '8/7', '7/6', '5/2', '6'] -> (6 * (5/2 + (7/6 * (9/8 * 8/7))))
[35520] ['1/7', '5/8', '8/9', '4/3', '9'] -> (((4/3 * 9) / (5/8 - 1/7)) - 8/9)
[35521] ['1/8', '5/8', '5/8', '9/2', '5'] -> ((5 - (1/8 - 9/2)) / (5/8 * 5/8))
[35522] ['1/5', '1/4', '8/9', '5/4', '4'] -> ((1/4 + 5/4) + (4 / (1/5 * 8/9)))
[35523] ['9/8', '8/7', '7/6', '8/3', '6'] -> ((7/6 * 8/3) * (6 * (9/8 * 8/7)))
[35524] ['2/9', '6/7', '5/4', '5/3', '5'] -> (5/3 / ((5/4 / (6/7 * 5)) - 2/9))
[35525] ['3/8', '5/8', '5/7', '7/6', '3'] -> (3 / ((5/8 * 5/7) - (3/8 / 7/6)))
[35526] ['1/6', '5/9', '7/9', '5/2', '6'] -> (6 * ((1/6 + 5/9) + (7/9 + 5/2)))
[35527] ['1/4', '7/8', '8/7', '2', '9/4'] -> ((8/7 + ((2 + 9/4) / 7/8)) / 1/4)
[35528] ['1/9', '1/4', '4/7', '7/9', '3'] -> (((7/9 + (3 / 4/7)) / 1/4) - 1/9)
[35529] ['1/6', '5/7', '5/6', '9/8', '5'] -> (5 / ((1/6 - 9/8) + (5/6 / 5/7)))
[35530] ['2/7', '9/8', '6/5', '9/5', '8'] -> ((((9/8 * 8) - 9/5) / 2/7) - 6/5)
[35531] ['3/8', '5/8', '5/7', '6/5', '3'] -> (3 / (5/7 * (5/8 - (3/8 * 6/5))))
