[44326] ['1/3', '3/7', '3/2', '7/4', '8'] -> (8 * (3/7 + (3/2 / (1/3 * 7/4))))
[44327] ['5/9', '2/3', '1', '9/8', '5/2'] -> ((5/2 / (5/9 / 2/3)) / (9/8 - 1))
[44328] ['2/7', '1/3', '7/6', '2', '8/3'] -> ((8/3 / (1/3 - 2/7)) / (7/6 * 2))
[44329] ['6/5', '3/2', '7/2', '7/2', '6'] -> (6 / ((3/2 / 6/5) - (7/2 / 7/2)))
[44330] ['1/8', '8/9', '6/5', '9/4', '5'] -> ((6/5 / 9/4) * (5 / (1/8 * 8/9)))
[44331] ['1/5', '3/7', '5/8', '7/4', '4'] -> ((4 / (1/5 / 3/7)) / (5/8 / 7/4))
[44332] ['3/8', '8/9', '9/8', '7/4', '3'] -> (3/8 / ((9/8 / 8/9) + (7/4 - 3)))
[44333] ['1/4', '2/7', '2/5', '8/3', '5'] -> ((5 / (2/5 - 1/4)) - (8/3 / 2/7))
[44334] ['1/9', '1/4', '2/5', '7/8', '4'] -> (4 / (1/9 * (7/8 + (1/4 / 2/5))))
[44335] ['1/7', '7/8', '3/2', '5/2', '9'] -> ((9 - 3/2) / (5/2 * (1/7 * 7/8)))
[44336] ['1/6', '4/5', '5/3', '9/2', '6'] -> ((6 - (4/5 * 9/2)) / (1/6 / 5/3))
[44337] ['1/5', '3/7', '5/8', '9/5', '4'] -> ((9/5 / 3/7) / ((1/5 * 4) - 5/8))
[44338] ['1/6', '8/5', '8/5', '8/5', '5'] -> (((8/5 * 5) - 8/5) / (1/6 * 8/5))
[44339] ['1/9', '1/7', '3/7', '8/5', '5'] -> ((5 / (1/9 / 1/7)) / (3/7 / 8/5))
[44340] ['5/9', '2/3', '1', '8/7', '8/7'] -> (8/7 / (1 - (8/7 * (5/9 / 2/3))))
[44341] ['4/9', '8/7', '7/4', '5/2', '4'] -> (5/2 / (4/9 - (7/4 / (8/7 + 4))))
[44342] ['1/8', '8/9', '6/5', '8/3', '5'] -> (((6/5 * 5) - (8/3 / 8/9)) / 1/8)
[44343] ['1/4', '2/7', '3/7', '4/9', '5'] -> ((2/7 * 5) / (1/4 - (3/7 * 4/9)))
[44344] ['3/8', '5/7', '8/9', '7/3', '4'] -> ((4 / ((3/8 * 7/3) - 5/7)) - 8/9)
[44345] ['1/5', '3/7', '5/8', '7/3', '4'] -> ((4 - (3/7 * 7/3)) / (1/5 * 5/8))
[44346] ['1/9', '1/4', '2/5', '8/7', '4'] -> ((4 - 1/9) / (1/4 / (2/5 + 8/7)))
[44347] ['1/6', '4/5', '7/4', '7/3', '6'] -> (6 / ((4/5 * (1/6 + 7/3)) - 7/4))
[44348] ['2/7', '1/3', '6/5', '4/3', '2'] -> ((2 + (4/3 / 2/7)) / (1/3 / 6/5))
[44349] ['1/4', '2/7', '3/7', '5/9', '5'] -> ((5 / (1/4 / 2/7)) / (3/7 * 5/9))
[44350] ['1/5', '3/7', '5/8', '5/2', '4'] -> (((4 / (3/7 - 1/5)) - 5/2) / 5/8)
[44351] ['1/9', '2/5', '8/9', '5/3', '3'] -> ((8/9 / 5/3) / ((2/5 / 3) - 1/9))
[44352] ['1/6', '4/5', '7/4', '5/2', '6'] -> (6 / (1/6 * (4/5 + (7/4 / 5/2))))
[44353] ['1/9', '1/7', '3/7', '7/2', '5'] -> (7/2 * (3/7 + (5 / (1/9 / 1/7))))
[44354] ['3/8', '5/7', '8/9', '8/3', '4'] -> (((8/3 + 4) / (3/8 * 5/7)) - 8/9)
[44355] ['2/7', '1/3', '6/5', '3/2', '2'] -> (2 / ((3/2 / 6/5) - (1/3 / 2/7)))
[44356] ['1/7', '7/8', '8/5', '7/4', '9'] -> ((9 / 8/5) + ((7/8 + 7/4) / 1/7))
[44357] ['1/6', '4/5', '7/4', '8/3', '6'] -> (6 / ((4/5 * (8/3 - 1/6)) - 7/4))
[44358] ['1/3', '3/7', '8/5', '8/3', '8'] -> (8/5 * (8 + ((1/3 + 8/3) / 3/7)))
[44359] ['1/8', '8/9', '5/4', '4/3', '5'] -> (((5 / 5/4) - 4/3) / (1/8 * 8/9))
[44360] ['1/5', '3/7', '5/8', '4', '9/2'] -> ((4 + (9/2 / 5/8)) / (1/5 / 3/7))
[44361] ['2/7', '1/3', '6/5', '7/4', '2'] -> (2 / ((7/4 * (2/7 / 6/5)) - 1/3))
[44362] ['6/5', '8/5', '7/3', '5/2', '6'] -> (5/2 * ((7/3 * (6 - 6/5)) - 8/5))
[44363] ['1/4', '2/7', '3/7', '8/9', '5'] -> ((3/7 / 2/7) + (5 / (1/4 * 8/9)))
[44364] ['1/3', '3/7', '8/5', '9/2', '8'] -> (8/5 * (9/2 + (8 / (1/3 + 3/7))))
[44365] ['1/9', '1/7', '4/9', '3/5', '5'] -> (((4/9 + (3/5 * 5)) / 1/7) - 1/9)
[44366] ['1/8', '8/9', '5/4', '5/3', '5'] -> ((5 - 5/3) / (5/4 * (1/8 * 8/9)))
[44367] ['6/5', '8/5', '7/2', '7/2', '6'] -> (6 / ((7/2 / 7/2) - (6/5 / 8/5)))
[44368] ['1/9', '2/5', '8/9', '3', '7/2'] -> (((3 + (8/9 / 1/9)) / 2/5) - 7/2)
[44369] ['1/9', '1/4', '2/5', '7/3', '4'] -> ((2/5 / (1/9 * 1/4)) * (4 - 7/3))
[44370] ['1/6', '4/5', '7/3', '7/3', '6'] -> ((6 - (7/3 / 7/3)) / (1/6 / 4/5))
[44371] ['4/9', '8/7', '9/5', '8/3', '4'] -> ((8/7 * 9/5) * (8/3 + (4 / 4/9)))
[44372] ['6/5', '5/3', '5/3', '5/3', '6'] -> ((5/3 + (5/3 + 5/3)) * (6 - 6/5))
[44373] ['5/9', '2/3', '1', '8/7', '7/2'] -> ((8/7 * 7/2) / (1 - (5/9 / 2/3)))
[44374] ['2/7', '1/3', '6/5', '2', '7/2'] -> ((6/5 * 7/2) * ((2 / 1/3) - 2/7))
[44375] ['1/9', '1/4', '2/5', '7/2', '4'] -> ((4 / (1/9 * 2/5)) / (1/4 + 7/2))
[44376] ['1/5', '3/7', '2/3', '8/9', '4'] -> (4 * ((2/3 / 3/7) + (8/9 / 1/5)))
[44377] ['1/6', '4/5', '7/3', '7/2', '6'] -> (((6 - 7/3) / (1/6 * 4/5)) - 7/2)
[44378] ['1/6', '8/5', '7/4', '9/2', '5'] -> (8/5 * (((5 - 7/4) / 1/6) - 9/2))
[44379] ['6/5', '5/3', '5/3', '9/4', '6'] -> ((6 / 5/3) / ((9/4 / 5/3) - 6/5))
[44380] ['1/7', '7/8', '5/3', '5/3', '9'] -> ((5/3 + 9) + (5/3 / (1/7 * 7/8)))
[44381] ['1/9', '1/4', '3/7', '3/7', '4'] -> (((1/4 + 3/7) / (1/9 / 4)) - 3/7)
[44382] ['1/6', '4/5', '8/3', '9/2', '6'] -> ((8/3 - 1/6) * (6 + (4/5 * 9/2)))
[44383] ['1/6', '8/5', '9/5', '9/4', '5'] -> ((8/5 - (9/5 / 9/4)) / (1/6 / 5))
[44384] ['2/7', '1/3', '5/4', '5/4', '2'] -> (((5/4 / 5/4) + (2 / 2/7)) / 1/3)
[44385] ['5/9', '2/3', '1', '7/6', '5/4'] -> ((1 / 5/4) / ((2/3 / 5/9) - 7/6))
[44386] ['1/9', '2/5', '9/8', '5/4', '3'] -> ((5/4 / (1/9 * 2/5)) - (9/8 + 3))
[44387] ['1/8', '8/9', '9/7', '4/3', '5'] -> ((8/9 + (5 / (1/8 * 9/7))) / 4/3)
[44388] ['6/5', '5/3', '5/3', '7/2', '6'] -> (6/5 * ((7/2 * 6) - (5/3 / 5/3)))
[44389] ['1/9', '1/7', '4/9', '7/8', '5'] -> (5 / (4/9 - (1/9 + (1/7 * 7/8))))
[44390] ['1/6', '8/5', '9/5', '5/2', '5'] -> ((5 - (8/5 + 9/5)) / (1/6 / 5/2))
[44391] ['5/9', '2/3', '1', '7/6', '9/7'] -> ((1 + 9/7) * (7/6 / (2/3 - 5/9)))
[44392] ['1/4', '2/7', '4/9', '5/9', '5'] -> (((4/9 / 2/7) - (5/9 - 5)) / 1/4)
[44393] ['6/5', '5/3', '5/3', '9/2', '6'] -> (6 + ((6/5 * 9/2) * (5/3 + 5/3)))
[44394] ['1/9', '2/5', '9/8', '4/3', '3'] -> (((4/3 / (1/9 * 2/5)) - 3) / 9/8)
[44395] ['1/3', '3/7', '7/4', '9/2', '8'] -> (9/2 * ((1/3 + 3/7) + (8 / 7/4)))
[44396] ['3/8', '8/9', '8/7', '3', '7/2'] -> ((8/9 + 8/7) * (7/2 * (3/8 + 3)))
[44397] ['1/6', '5/6', '5/6', '7/6', '6'] -> (6 / ((5/6 / (5/6 + 7/6)) - 1/6))
[44398] ['6/5', '5/3', '7/4', '7/4', '6'] -> (6 * ((6/5 + 7/4) + (7/4 / 5/3)))
[44399] ['1/9', '1/4', '3/7', '2/3', '4'] -> (((4 / 3/7) - 2/3) / (1/9 + 1/4))
[44400] ['1/4', '2/7', '4/9', '4/7', '5'] -> (((4/7 / 4/9) - (2/7 - 5)) / 1/4)
[44401] ['1/5', '3/7', '2/3', '8/5', '4'] -> ((8/5 / (2/3 * (1/5 * 3/7))) - 4)
[44402] ['4/9', '8/7', '9/4', '7/2', '4'] -> (7/2 * ((9/4 * (4 - 4/9)) - 8/7))
[44403] ['1/7', '7/8', '5/3', '8/3', '9'] -> (((5/3 + (8/3 / 7/8)) / 1/7) - 9)
[44404] ['2/7', '1/3', '5/4', '9/5', '2'] -> (5/4 * ((2 / (2/7 * 1/3)) - 9/5))
[44405] ['1/9', '1/7', '4/9', '7/6', '5'] -> ((1/7 + 5) * (7/6 / (1/9 / 4/9)))
[44406] ['1/6', '8/5', '9/4', '8/3', '5'] -> (8/3 + (5 / (9/4 * (1/6 / 8/5))))
[44407] ['1/9', '1/4', '3/7', '7/9', '4'] -> ((4 - (7/9 / (1/4 / 3/7))) / 1/9)
[44408] ['3/8', '5/7', '9/8', '7/3', '4'] -> (4 / ((5/7 * 7/3) - (3/8 + 9/8)))
[44409] ['5/9', '2/3', '1', '7/6', '9/4'] -> ((1 / 9/4) / (2/3 - (5/9 * 7/6)))
[44410] ['4/9', '8/7', '7/3', '7/3', '4'] -> ((7/3 * (8/7 + (7/3 * 4))) - 4/9)
[44411] ['1/9', '1/4', '3/7', '4/5', '4'] -> (4 / (3/7 * (1/4 + (1/9 / 4/5))))
[44412] ['3/8', '8/9', '7/6', '9/7', '3'] -> ((3 / 9/7) / ((3/8 + 8/9) - 7/6))
[44413] ['1/5', '3/7', '2/3', '9/5', '4'] -> (((9/5 / 3/7) - 1/5) / (2/3 / 4))
[44414] ['1/6', '5/6', '5/6', '8/5', '6'] -> (5/6 / ((5/6 / 6) - (1/6 / 8/5)))
[44415] ['1/3', '3/7', '9/5', '5/2', '8'] -> ((5/2 * (1/3 + 9/5)) + (8 / 3/7))
[44416] ['4/9', '8/7', '7/3', '8/3', '4'] -> (4 + ((8/7 + 8/3) / (4/9 / 7/3)))
[44417] ['2/7', '1/3', '9/7', '9/7', '2'] -> (((9/7 / 9/7) + (2 / 2/7)) / 1/3)
[44418] ['5/9', '2/3', '1', '7/6', '8/3'] -> (8/3 / ((5/9 / (7/6 - 2/3)) - 1))
[44419] ['1/9', '1/4', '3/7', '7/8', '4'] -> ((4 / (1/9 / 1/4)) / (3/7 * 7/8))
[44420] ['1/8', '8/9', '9/7', '9/4', '5'] -> (9/7 * (8/9 + (5 / (1/8 * 9/4))))
[44421] ['1/5', '3/7', '2/3', '9/4', '4'] -> ((4 / (2/3 * (3/7 - 1/5))) - 9/4)
[44422] ['1/7', '7/8', '7/4', '9/4', '9'] -> (9 / (9/4 - (7/4 + (1/7 * 7/8))))
[44423] ['1/9', '2/5', '9/8', '7/3', '3'] -> (7/3 / ((9/8 / 3) - (1/9 / 2/5)))
[44424] ['1/9', '1/7', '4/9', '7/5', '5'] -> (((5 - 1/9) / (1/7 * 7/5)) - 4/9)
[44425] ['1/9', '1/4', '3/7', '8/9', '4'] -> ((8/9 / 4) / ((1/9 / 3/7) - 1/4))
[44426] ['1/6', '5/6', '5/6', '9/2', '6'] -> (6 / ((5/6 / 5/6) - (1/6 * 9/2)))
[44427] ['2/7', '1/3', '9/7', '7/5', '2'] -> (((2 / 2/7) - 9/7) / (1/3 / 7/5))
[44428] ['5/9', '2/3', '1', '7/6', '7/2'] -> (2/3 / ((7/2 * (7/6 - 1)) - 5/9))
[44429] ['1/8', '8/9', '9/7', '7/3', '5'] -> (5 / (1/8 * (9/7 + (8/9 / 7/3))))
[44430] ['1/4', '2/7', '4/9', '7/8', '5'] -> ((5 / (1/4 + 2/7)) / (4/9 * 7/8))
[44431] ['1/7', '7/8', '7/4', '7/3', '9'] -> (7/3 / (1/7 * (7/8 - (7/4 / 9))))
[44432] ['3/8', '5/7', '8/7', '8/7', '4'] -> (8/7 / ((8/7 / (3/8 * 4)) - 5/7))
[44433] ['1/6', '5/6', '6/7', '7/8', '6'] -> (6 / ((1/6 + 5/6) - (6/7 * 7/8)))
[44434] ['6/5', '5/3', '7/2', '9/2', '6'] -> ((7/2 + 9/2) * (6 / (6/5 * 5/3)))
[44435] ['1/7', '7/8', '7/4', '5/2', '9'] -> (7/8 + (5/2 * (9 + (1/7 * 7/4))))
[44436] ['3/8', '5/7', '8/7', '6/5', '4'] -> (4 / ((5/7 / 6/5) - (3/8 * 8/7)))
[44437] ['1/4', '2/7', '4/9', '9/8', '5'] -> (((4/9 / 2/7) + (5 / 9/8)) / 1/4)
[44438] ['1/9', '1/7', '4/9', '9/5', '5'] -> (5 * ((4/9 / 1/7) - (1/9 - 9/5)))
[44439] ['4/9', '8/7', '5/2', '4', '9/2'] -> (4 / ((5/2 / 9/2) - (4/9 / 8/7)))
[44440] ['6/5', '7/4', '7/4', '9/4', '6'] -> (7/4 + (6 * (9/4 + (7/4 / 6/5))))
[44441] ['1/9', '1/4', '3/7', '4/3', '4'] -> ((4/3 + (4 / 3/7)) / (1/9 / 1/4))
[44442] ['1/9', '1/7', '4/9', '9/4', '5'] -> ((5 / (4/9 - (1/9 + 1/7))) - 9/4)
[44443] ['1/4', '2/7', '4/9', '6/5', '5'] -> ((5 / (2/7 * (1/4 + 4/9))) - 6/5)
[44444] ['1/9', '1/4', '3/7', '7/5', '4'] -> ((4 / (1/9 * 7/5)) - (3/7 / 1/4))
[44445] ['1/7', '7/8', '9/5', '9/5', '9'] -> (9/5 / ((9/5 / 9) - (1/7 * 7/8)))
[44446] ['6/5', '7/4', '7/4', '8/3', '6'] -> (6 / (((7/4 + 7/4) / 6/5) - 8/3))
[44447] ['1/6', '5/3', '7/4', '9/5', '5'] -> ((5 / 1/6) / ((5/3 * 9/5) - 7/4))
[44448] ['1/3', '3/7', '7/3', '9/2', '8'] -> ((9/2 * 8) * ((3/7 * 7/3) - 1/3))
[44449] ['1/9', '1/7', '4/9', '7/3', '5'] -> (7/3 * (5 + ((1/7 + 4/9) / 1/9)))
