[53191] ['1/4', '3/7', '8/3', '8/3', '5'] -> (3/7 * (8/3 + (5 / (1/4 / 8/3))))
[53192] ['5/9', '7/8', '1', '8/3', '9/2'] -> (((8/3 * (7/8 + 9/2)) - 1) / 5/9)
[53193] ['1/7', '1/6', '5/7', '7/2', '5'] -> ((7/2 - 1/6) / (5/7 / (1/7 + 5)))
[53194] ['1/9', '2/5', '7/9', '7/4', '4'] -> (4 / ((7/9 / 7/4) - (1/9 / 2/5)))
[53195] ['3/8', '5/4', '5/4', '4/3', '4'] -> ((5/4 / 5/4) / (3/8 - (4/3 / 4)))
[53196] ['1/3', '4/5', '8/7', '9/2', '8'] -> ((4/5 * 9/2) * ((8 / 8/7) - 1/3))
[53197] ['1/5', '3/5', '7/8', '8/7', '4'] -> ((7/8 * 8/7) + ((3/5 + 4) / 1/5))
[53198] ['1/7', '1/6', '5/7', '9/2', '5'] -> ((1/7 + 5) / (9/2 - (5/7 / 1/6)))
[53199] ['1/9', '2/9', '5/7', '7/2', '5'] -> ((5 / (5/7 / 7/2)) - (1/9 / 2/9))
[53200] ['1/4', '3/7', '7/2', '7/2', '5'] -> (((7/2 * 5) - 7/2) / (1/4 / 3/7))
[53201] ['1/9', '3/5', '3/5', '7/4', '3'] -> ((3/5 + (3 / 1/9)) / (7/4 - 3/5))
[53202] ['1/7', '1/6', '3/4', '3/4', '5'] -> ((5 / 1/6) - (3/4 + (3/4 / 1/7)))
[53203] ['1/5', '3/5', '7/8', '5/4', '4'] -> (3/5 / (1/5 - ((7/8 / 5/4) / 4)))
[53204] ['1/5', '2/7', '4/9', '2/3', '5'] -> (((2/3 / 2/7) - 1/5) / (4/9 / 5))
[53205] ['1/4', '3/7', '9/2', '9/2', '5'] -> ((5 + (9/2 + 9/2)) / (1/4 / 3/7))
[53206] ['1/6', '1/5', '3/4', '7/3', '9'] -> ((9 / (1/6 + 7/3)) / (1/5 * 3/4))
[53207] ['1/9', '2/5', '7/9', '7/2', '4'] -> (((4 + (7/9 / 1/9)) / 2/5) - 7/2)
[53208] ['1/9', '3/5', '3/5', '3', '7/2'] -> (3 + (7/2 * (3/5 + (3/5 / 1/9))))
[53209] ['3/8', '5/4', '5/4', '9/5', '4'] -> ((4 + (5/4 / 5/4)) / (3/8 / 9/5))
[53210] ['1/9', '1/9', '5/4', '7/5', '7'] -> (7 + ((1/9 + 7/5) / (1/9 / 5/4)))
[53211] ['2/7', '4/9', '8/9', '8/7', '2'] -> (2 / (((8/9 - 2/7) / 8/7) - 4/9))
[53212] ['5/9', '8/9', '8/9', '1', '6/5'] -> ((8/9 / 5/9) / ((8/9 * 6/5) - 1))
[53213] ['1/6', '1/5', '7/9', '7/9', '9'] -> ((9 - (7/9 / (1/5 * 7/9))) / 1/6)
[53214] ['1/4', '4/9', '4/9', '5/8', '5'] -> (5 / (5/8 * (4/9 - (1/4 * 4/9))))
[53215] ['1/7', '1/6', '3/4', '8/9', '5'] -> ((5 / 3/4) / ((1/6 / 1/7) - 8/9))
[53216] ['3/8', '5/4', '5/4', '8/3', '4'] -> (((5/4 + 5/4) / (3/8 / 4)) - 8/3)
