[70921] ['1/5', '4/7', '9/7', '9/7', '6'] -> (((9/7 / 1/5) + (9/7 + 6)) / 4/7)
[70922] ['1/6', '3/5', '9/8', '5/2', '9'] -> (1/6 + (5/2 * (9 + (3/5 / 9/8))))
[70923] ['2/9', '2/7', '4/7', '4/7', '4'] -> ((4/7 + 4) / (2/9 * (2/7 + 4/7)))
[70924] ['1/7', '2/5', '4/5', '7/5', '5'] -> (((5 - 7/5) / 1/7) - (2/5 + 4/5))
[70925] ['1/4', '8/5', '7/2', '7/2', '5'] -> (((5 * (7/2 - 8/5)) - 7/2) / 1/4)
[70926] ['1/5', '1/3', '5/9', '7/8', '8'] -> (1/3 / ((8 * (1/5 * 5/9)) - 7/8))
[70927] ['2/5', '7/9', '6/7', '8/9', '4'] -> ((8/9 / (2/5 * (6/7 - 7/9))) - 4)
[70928] ['1/5', '3/5', '6/7', '7/8', '5'] -> ((3/5 / 7/8) / (1/5 - (6/7 / 5)))
[70929] ['1/9', '5/9', '5/7', '7/9', '5'] -> (((7/9 / 5/7) - 5/9) / (1/9 / 5))
[70930] ['4/7', '5/6', '1', '5/4', '5/2'] -> (1 / ((5/4 / (4/7 * 5/2)) - 5/6))
[70931] ['1/4', '5/3', '5/3', '5/3', '5'] -> ((5/3 + (5/3 * 5)) / (1/4 * 5/3))
[70932] ['2/9', '2/7', '4/7', '3/5', '4'] -> ((4 / 3/5) / ((2/7 / 4/7) - 2/9))
[70933] ['1/7', '2/5', '4/5', '3/2', '5'] -> (((5 - 3/2) / 1/7) - (2/5 / 4/5))
[70934] ['1/5', '4/7', '9/7', '3/2', '6'] -> (((4/7 * 3/2) + (6 / 1/5)) / 9/7)
[70935] ['2/7', '6/7', '8/7', '8/5', '2'] -> (8/7 / (2/7 - (6/7 / (8/5 + 2))))
[70936] ['2/7', '6/7', '8/7', '5/3', '2'] -> (8/7 / ((2/7 * 5/3) - (6/7 / 2)))
[70937] ['2/5', '6/7', '3/2', '9/5', '3'] -> ((2/5 * 3) / (9/5 - (3/2 / 6/7)))
[70938] ['2/9', '2/7', '4/7', '5/8', '4'] -> (4 / (2/9 * (4/7 + (2/7 * 5/8))))
[70939] ['1/7', '2/5', '4/5', '5/3', '5'] -> ((4/5 + (2/5 / 1/7)) * (5/3 + 5))
[70940] ['1/9', '5/9', '5/7', '5/6', '5'] -> ((5 / (5/7 - 5/9)) - (5/6 / 1/9))
[70941] ['1/5', '4/7', '9/7', '5/3', '6'] -> ((4/7 / 5/3) / ((9/7 / 6) - 1/5))
