[141719] ['(2-8i)', '3', '(4-4i)', '(8-5i)'] -> ((4-4i) * ((8-5i) - ((2-8i) + 3)))
[141740] ['(2-8i)', '3', '(4-3i)', '(5+7i)'] -> ((3-3i) * (((5+3i) + (6+6i)) - (7+5i)))
[141745] ['(2-8i)', '3', '(4-3i)', '(6-5i)'] -> (3 * ((6-5i) - ((2-8i) - (4-3i))))
[141790] ['(2-8i)', '3', '(4-2i)', '(6-6i)'] -> (3 * ((6-6i) - ((2-8i) - (4-2i))))
[141815] ['(2-8i)', '3', '(4-2i)', '(9+i)'] -> (((4-2i) * ((9+i) - 3)) - (2-8i))
[141823] ['(2-8i)', '3', '(4-i)', '(4+3i)'] -> (((3-7i) + (9-i)) - (-4i * (2-3i)))
[141842] ['(2-8i)', '3', '(4-i)', '(6-7i)'] -> (3 * ((6-7i) - ((2-8i) - (4-i))))
[141846] ['(2-8i)', '3', '(4-i)', '(6+3i)'] -> (((2-8i) + (4-i)) + (3 * (6+3i)))
[141877] ['(2-8i)', '3', '4', '(5-8i)'] -> (4 * ((5-8i) - ((2-8i) - 3)))
[141883] ['(2-8i)', '3', '4', '(6-8i)'] -> (3 * ((6-8i) - ((2-8i) - 4)))
[141898] ['(2-8i)', '3', '4', '(7+8i)'] -> (4 * ((7+8i) + ((2-8i) - 3)))
[141935] ['(2-8i)', '3', '(4+i)', '(6-9i)'] -> (((3-3i) * (5+3i)) - ((7-5i) - (7+i)))
[141957] ['(2-8i)', '3', '(4+i)', '(8-2i)'] -> (3 * ((8-2i) - ((2-8i) / (4+i))))
[141960] ['(2-8i)', '3', '(4+i)', '(8+2i)'] -> ((-9i - 3i) * ((1-5i) - (1-7i)))
[141980] ['(2-8i)', '3', '(4+2i)', '(5+2i)'] -> (((2-8i) + (4+2i)) * ((5+2i) - 3))
[141991] ['(2-8i)', '3', '(4+2i)', '(6+2i)'] -> (((2-8i) + (4+2i)) + (3 * (6+2i)))
[141993] ['(2-8i)', '3', '(4+2i)', '(6+3i)'] -> (((2-8i) * 3) + ((4+2i) * (6+3i)))
[141994] ['(2-8i)', '3', '(4+2i)', '(6+6i)'] -> (((4-3i) + (6-2i)) + ((7+2i) + (7+3i)))
[142058] ['(2-8i)', '3', '(4+4i)', '(4+5i)'] -> ((3-3i) * (((5+3i) + 7) - (8-i)))
[142063] ['(2-8i)', '3', '(4+4i)', '(5-3i)'] -> (((2-8i) * 3) * ((4+4i) / (5-3i)))
[142076] ['(2-8i)', '3', '(4+4i)', '(7-i)'] -> (((3-3i) * (5+3i)) - ((7+i) - (7+7i)))
[142111] ['(2-8i)', '3', '(4+5i)', '(6+i)'] -> (((2-8i) + (4+5i)) + (3 * (6+i)))
[142124] ['(2-8i)', '3', '(4+5i)', '(6+9i)'] -> ((6+9i) + (3 * ((2-8i) + (4+5i))))
[142159] ['(2-8i)', '3', '(4+6i)', '(6+6i)'] -> ((6+6i) + (3 * ((2-8i) + (4+6i))))
[142189] ['(2-8i)', '3', '(4+7i)', '(6+3i)'] -> ((6+3i) + (3 * ((2-8i) + (4+7i))))
[142225] ['(2-8i)', '3', '(4+8i)', '7'] -> (((2-8i) + (4+8i)) * (7 - 3))
[142233] ['(2-8i)', '3', '(4+8i)', '8'] -> (8 * ((4+8i) + ((2-8i) - 3)))
[142244] ['(2-8i)', '3', '(4+8i)', '(9-2i)'] -> ((-9i - 3i) * ((1-i) - (1-3i)))
[142260] ['(2-8i)', '3', '(4+9i)', '(6-3i)'] -> (3i * (-9i - ((1-3i) / (3+i))))
[142293] ['(2-8i)', '3', '(5-9i)', '(5+i)'] -> (3 * ((5+i) - ((2-8i) - (5-9i))))
[142376] ['(2-8i)', '3', '(5-7i)', '(5-i)'] -> (3 * ((5-i) - ((2-8i) - (5-7i))))
[142417] ['(2-8i)', '3', '(5-6i)', '(5-2i)'] -> (((4-3i) * (6+4i)) - ((6-i) + (6-i)))
[142456] ['(2-8i)', '3', '(5-5i)', '(5-3i)'] -> (3 * ((5-3i) - ((2-8i) - (5-5i))))
[142476] ['(2-8i)', '3', '(5-5i)', '(7-i)'] -> (((3-3i) * (5+3i)) - ((9-8i) - (9-2i)))
[142497] ['(2-8i)', '3', '(5-5i)', '(9+i)'] -> (((2-8i) - (5-5i)) + (3 * (9+i)))
[142499] ['(2-8i)', '3', '(5-4i)', '(5-4i)'] -> (3 * ((5-4i) - ((2-8i) - (5-4i))))
[142506] ['(2-8i)', '3', '(5-4i)', '6'] -> (((5-4i) * 6) - ((2-8i) * 3))
[142557] ['(2-8i)', '3', '(5-3i)', '(7+i)'] -> (3 * ((7+i) + ((2-8i) / (5-3i))))
[142560] ['(2-8i)', '3', '(5-3i)', '(8-8i)'] -> ((6-9i) + (-9i * (3i - (1+i))))
[142571] ['(2-8i)', '3', '(5-3i)', '(9-i)'] -> (((4-3i) + (6-i)) + ((6+4i) + 8))
[142595] ['(2-8i)', '3', '(5-2i)', '(7-2i)'] -> ((3 * (7-2i)) - ((2-8i) - (5-2i)))
[142612] ['(2-8i)', '3', '(5-2i)', '(9+2i)'] -> ((-9i * 3i) + ((1+2i) - (4+2i)))
[142656] ['(2-8i)', '3', '5', '(7+8i)'] -> (((2-8i) + (7+8i)) + (3 * 5))
[142677] ['(2-8i)', '3', '(5+i)', '(7-3i)'] -> ((3 * (7-3i)) - ((2-8i) - (5+i)))
[142680] ['(2-8i)', '3', '(5+i)', '(7+5i)'] -> (((2-8i) + (7+5i)) + (3 * (5+i)))
[142686] ['(2-8i)', '3', '(5+i)', '(9+3i)'] -> (((2-8i) - (5+i)) + (3 * (9+3i)))
[142710] ['(2-8i)', '3', '(5+2i)', '(7+2i)'] -> (((2-8i) + (7+2i)) + (3 * (5+2i)))
[142728] ['(2-8i)', '3', '(5+3i)', '(7-i)'] -> (((2-8i) + (7-i)) + (3 * (5+3i)))
[142763] ['(2-8i)', '3', '(5+4i)', '(9+4i)'] -> (((2-8i) - (5+4i)) + (3 * (9+4i)))
