[112121] ['-4i', '(1+7i)', '(1+7i)', '(6-8i)'] -> (-4i * ((1+7i) + ((6-8i) / (1+7i))))
[112144] ['-4i', '(1+7i)', '(1+8i)', '(2+9i)'] -> (-4i * (((1+7i) + (1+8i)) - (2+9i)))
[112148] ['-4i', '(1+7i)', '(1+8i)', '(3+i)'] -> (-4i * ((1+8i) - ((1+7i) / (3+i))))
[112164] ['-4i', '(1+7i)', '(1+8i)', '(5+4i)'] -> ((-4i * (1+7i)) + ((1+8i) - (5+4i)))
[112170] ['-4i', '(1+7i)', '(1+8i)', '(7-9i)'] -> (-4i * ((1+7i) + ((7-9i) / (1+8i))))
[112189] ['-4i', '(1+7i)', '(1+8i)', '(9+3i)'] -> ((4-4i) * (((1-i) * (7+5i)) - (9-5i)))
[112202] ['-4i', '(1+7i)', '(1+9i)', '3'] -> ((-4i * 3) * ((1+9i) - (1+7i)))
[112214] ['-4i', '(1+7i)', '(1+9i)', '(5+4i)'] -> (-4i * ((1+7i) - ((1+9i) / (5+4i))))
[112216] ['-4i', '(1+7i)', '(1+9i)', '(5+5i)'] -> ((7+7i) + ((1-i) * ((4-4i) + (8+9i))))
[112241] ['-4i', '(1+7i)', '(2-9i)', '(2+5i)'] -> ((-4i * (1+7i)) - ((2-9i) + (2+5i)))
[112245] ['-4i', '(1+7i)', '(2-9i)', '(3-8i)'] -> (-4i * (((1+7i) + (2-9i)) - (3-8i)))
[112252] ['-4i', '(1+7i)', '(2-9i)', '(3+4i)'] -> ((6-i) - ((4-7i) * (7 - (8+2i))))
[112257] ['-4i', '(1+7i)', '(2-9i)', '(5-3i)'] -> (((1-i) * (4-4i)) * ((8-5i) - (8-8i)))
[112292] ['-4i', '(1+7i)', '(2-8i)', '(2-2i)'] -> ((8-6i) - ((1-i) * ((4-4i) - (9+7i))))
[112294] ['-4i', '(1+7i)', '(2-8i)', '(2+4i)'] -> (((1-i) * (4-4i)) * ((8-2i) - (8-5i)))
[112296] ['-4i', '(1+7i)', '(2-8i)', '(2+6i)'] -> (8 * ((8-5i) - ((1-i) + (4-4i))))
[112299] ['-4i', '(1+7i)', '(2-8i)', '(3-7i)'] -> (-4i * (((1+7i) + (2-8i)) - (3-7i)))
[112306] ['-4i', '(1+7i)', '(2-8i)', '(4-4i)'] -> (((4-7i) + (6-i)) + ((7+4i) + (7+4i)))
[112342] ['-4i', '(1+7i)', '(2-7i)', '(2+3i)'] -> ((8 / ((1-i) / (4-4i))) - 8)
[112347] ['-4i', '(1+7i)', '(2-7i)', '(3-6i)'] -> (-4i * (((1+7i) + (2-7i)) - (3-6i)))
[112349] ['-4i', '(1+7i)', '(2-7i)', '(3+6i)'] -> (-4i * ((3+6i) - ((1+7i) + (2-7i))))
[112374] ['-4i', '(1+7i)', '(2-7i)', '(8-4i)'] -> (((1+7i) + (2-7i)) * ((8-4i) - -4i))
[112378] ['-4i', '(1+7i)', '(2-7i)', '(8+4i)'] -> ((-9i - -5i) * ((4+5i) - (4-i)))
[112382] ['-4i', '(1+7i)', '(2-7i)', '(9-5i)'] -> (-4i * ((1+7i) - ((9-5i) / (2-7i))))
[112388] ['-4i', '(1+7i)', '(2-6i)', '(2-5i)'] -> ((-4i * (2-5i)) + ((1+7i) * (2-6i)))
[112391] ['-4i', '(1+7i)', '(2-6i)', '(2+2i)'] -> ((-4i * (1+7i)) - ((2-6i) + (2+2i)))
[112392] ['-4i', '(1+7i)', '(2-6i)', '(2+4i)'] -> (-4i * ((1+7i) + ((2-6i) / (2+4i))))
[112397] ['-4i', '(1+7i)', '(2-6i)', '(3-5i)'] -> (-4i * (((1+7i) + (2-6i)) - (3-5i)))
[112403] ['-4i', '(1+7i)', '(2-6i)', '(3+7i)'] -> (-4i * ((3+7i) - ((1+7i) + (2-6i))))
[112407] ['-4i', '(1+7i)', '(2-6i)', '(4-6i)'] -> ((2-6i) + ((4-6i) * (-4i + (1+7i))))
[112409] ['-4i', '(1+7i)', '(2-6i)', '4'] -> (4 + ((2-6i) * (-4i + (1+7i))))
[112410] ['-4i', '(1+7i)', '(2-6i)', '(4+4i)'] -> ((4+4i) * ((2-6i) + (-4i + (1+7i))))
[112413] ['-4i', '(1+7i)', '(2-6i)', '(4+8i)'] -> ((2-6i) * (((4+8i) / (1+7i)) - -4i))
[112416] ['-4i', '(1+7i)', '(2-6i)', '(5-i)'] -> (((1+7i) + (5-i)) * ((2-6i) - -4i))
[112434] ['-4i', '(1+7i)', '(2-6i)', '(8-4i)'] -> (-4i * ((1+7i) - ((8-4i) / (2-6i))))
[112450] ['-4i', '(1+7i)', '(2-5i)', '(2+i)'] -> ((-4i * (1+7i)) - ((2-5i) + (2+i)))
[112452] ['-4i', '(1+7i)', '(2-5i)', '(3-4i)'] -> (-4i * (((1+7i) + (2-5i)) - (3-4i)))
[112455] ['-4i', '(1+7i)', '(2-5i)', '(3+8i)'] -> (-4i * ((3+8i) - ((1+7i) + (2-5i))))
[112469] ['-4i', '(1+7i)', '(2-5i)', '(5-i)'] -> ((5-i) - ((1+7i) + (-4i * (2-5i))))
[112471] ['-4i', '(1+7i)', '(2-5i)', '(6-9i)'] -> ((-4i * (1+7i)) + ((2-5i) - (6-9i)))
[112475] ['-4i', '(1+7i)', '(2-5i)', '(7-3i)'] -> (-4i * ((1+7i) - ((7-3i) / (2-5i))))
[112477] ['-4i', '(1+7i)', '(2-5i)', '(7-i)'] -> ((7-i) + ((2-5i) * (-4i + (1+7i))))
[112498] ['-4i', '(1+7i)', '(2-4i)', '2'] -> ((-4i * (1+7i)) - ((2-4i) + 2))
