[219071] ['(2-2i)', '(4-8i)', '(5-3i)', '(5+i)'] -> ((2-2i) * ((5+i) - ((4-8i) - (5-3i))))
[219080] ['(2-2i)', '(4-8i)', '(5-3i)', '(8-6i)'] -> (((5-3i) * ((8-6i) - (4-8i))) - (2-2i))
[219082] ['(2-2i)', '(4-8i)', '(5-3i)', '(9+2i)'] -> (((9+2i) / ((2-2i) / (4-8i))) - (5-3i))
[219084] ['(2-2i)', '(4-8i)', '(5-2i)', '5'] -> ((2-2i) * (5 - ((4-8i) - (5-2i))))
[219091] ['(2-2i)', '(4-8i)', '(5-i)', '(5-i)'] -> ((2-2i) * ((5-i) - ((4-8i) - (5-i))))
[219110] ['(2-2i)', '(4-8i)', '5', '(6-2i)'] -> ((-i - (8-i)) * ((3+i) - (6+i)))
[219121] ['(2-2i)', '(4-8i)', '5', '(9+5i)'] -> ((9+5i) + (5 / ((2-2i) / (4-8i))))
[219124] ['(2-2i)', '(4-8i)', '(5+i)', '(6-6i)'] -> ((6-6i) * ((5+i) - ((4-8i) / (2-2i))))
[219134] ['(2-2i)', '(4-8i)', '(5+i)', '(8+2i)'] -> ((8+2i) + ((5+i) / ((2-2i) / (4-8i))))
[219144] ['(2-2i)', '(4-8i)', '(5+2i)', '(7-i)'] -> ((7-i) + ((5+2i) / ((2-2i) / (4-8i))))
[219145] ['(2-2i)', '(4-8i)', '(5+2i)', '(8-8i)'] -> ((4-8i) + ((8-8i) / ((2-2i) / (5+2i))))
[219151] ['(2-2i)', '(4-8i)', '(5+3i)', '(6-4i)'] -> ((6-4i) + ((5+3i) / ((2-2i) / (4-8i))))
[219154] ['(2-2i)', '(4-8i)', '(5+3i)', '(6+i)'] -> ((5+3i) + ((6+i) / ((2-2i) / (4-8i))))
[219186] ['(2-2i)', '(4-8i)', '(5+5i)', '(8-8i)'] -> (((2-2i) * (5+5i)) - ((4-8i) - (8-8i)))
[219190] ['(2-2i)', '(4-8i)', '(5+5i)', '(9+3i)'] -> ((9+3i) * ((2-2i) - ((4-8i) / (5+5i))))
[219208] ['(2-2i)', '(4-8i)', '(5+7i)', '(6-2i)'] -> ((2-2i) * ((5+7i) + ((4-8i) / (6-2i))))
[219215] ['(2-2i)', '(4-8i)', '(5+7i)', '(8+5i)'] -> (((8+5i) / ((2-2i) / (4-8i))) - (5+7i))
[219221] ['(2-2i)', '(4-8i)', '(5+8i)', '(6-2i)'] -> (((2-2i) * (5+8i)) + ((4-8i) - (6-2i)))
[219249] ['(2-2i)', '(4-8i)', '(5+9i)', '8'] -> (((2-2i) * (5+9i)) + ((4-8i) - 8))
[219262] ['(2-2i)', '(4-8i)', '(6-9i)', '(8+5i)'] -> ((2-2i) * ((8+5i) + ((4-8i) - (6-9i))))
[219276] ['(2-2i)', '(4-8i)', '(6-8i)', '(8+6i)'] -> ((2-2i) * ((8+6i) + ((4-8i) - (6-8i))))
[219280] ['(2-2i)', '(4-8i)', '(6-7i)', '(6-6i)'] -> (((6-7i) * ((6-6i) - (4-8i))) - (2-2i))
[219287] ['(2-2i)', '(4-8i)', '(6-7i)', '(8+7i)'] -> ((2-2i) * ((8+7i) + ((4-8i) - (6-7i))))
[219289] ['(2-2i)', '(4-8i)', '(6-6i)', '6'] -> (6 * ((6-6i) + ((2-2i) - (4-8i))))
[219292] ['(2-2i)', '(4-8i)', '(6-6i)', '(6+5i)'] -> (((2-2i) * (6+5i)) - ((4-8i) - (6-6i)))
[219293] ['(2-2i)', '(4-8i)', '(6-6i)', '(6+7i)'] -> (((2-2i) * (6+7i)) + ((4-8i) - (6-6i)))
[219300] ['(2-2i)', '(4-8i)', '(6-6i)', '(8+4i)'] -> (((2-2i) / (4-8i)) * ((6-6i) * (8+4i)))
[219301] ['(2-2i)', '(4-8i)', '(6-6i)', '(8+8i)'] -> ((2-2i) * ((8+8i) + ((4-8i) - (6-6i))))
[219311] ['(2-2i)', '(4-8i)', '(6-5i)', '(8+9i)'] -> (((1+6i) + (7-6i)) * ((3-9i) - -9i))
[219337] ['(2-2i)', '(4-8i)', '(6-2i)', '(7-2i)'] -> (((7-2i) * ((6-2i) - (2-2i))) - (4-8i))
[219338] ['(2-2i)', '(4-8i)', '(6-2i)', '(7+4i)'] -> (((2-2i) * (7+4i)) - ((4-8i) - (6-2i)))
[219339] ['(2-2i)', '(4-8i)', '(6-2i)', '(7+5i)'] -> ((2-2i) * ((7+5i) - ((4-8i) / (6-2i))))
[219340] ['(2-2i)', '(4-8i)', '(6-2i)', '(8-7i)'] -> (((6-2i) * ((8-7i) - (4-8i))) - (2-2i))
[219348] ['(2-2i)', '(4-8i)', '(6-i)', '(7+9i)'] -> ((7+9i) + ((6-i) / ((2-2i) / (4-8i))))
[219349] ['(2-2i)', '(4-8i)', '(6-i)', '8'] -> (8 * ((6-i) - ((4-8i) / (2-2i))))
[219354] ['(2-2i)', '(4-8i)', '6', '(6+6i)'] -> ((5+8i) - ((4-3i) * ((3-5i) - (7-4i))))
[219356] ['(2-2i)', '(4-8i)', '6', '(7-i)'] -> ((2-9i) + ((7+8i) / ((3-2i) / (4-7i))))
[219368] ['(2-2i)', '(4-8i)', '6', '(9+3i)'] -> (((9+3i) / ((2-2i) / (4-8i))) - 6)
[219378] ['(2-2i)', '(4-8i)', '(6+2i)', '(6+2i)'] -> (((2-2i) * (4-8i)) + ((6+2i) * (6+2i)))
[219379] ['(2-2i)', '(4-8i)', '(6+2i)', '(7-8i)'] -> (((2-2i) + (6+2i)) * ((7-8i) - (4-8i)))
[219386] ['(2-2i)', '(4-8i)', '(6+2i)', '(8-8i)'] -> (((8-8i) + ((4-8i) * (6+2i))) / (2-2i))
[219389] ['(2-2i)', '(4-8i)', '(6+2i)', '(8+3i)'] -> (((2-2i) * (8+3i)) - ((4-8i) - (6+2i)))
[219420] ['(2-2i)', '(4-8i)', '(6+4i)', '(8-4i)'] -> ((-9i - (3+5i)) + ((1+6i) * (3-4i)))
[219465] ['(2-2i)', '(4-8i)', '(6+6i)', '(9+2i)'] -> (((2-2i) * (9+2i)) - ((4-8i) - (6+6i)))
[219466] ['(2-2i)', '(4-8i)', '(6+6i)', '(9+8i)'] -> (((2-2i) * (9+8i)) - ((4-8i) + (6+6i)))
[219480] ['(2-2i)', '(4-8i)', '(6+8i)', '(8-4i)'] -> (((2-2i) * (6+8i)) + ((4-8i) - (8-4i)))
[219483] ['(2-2i)', '(4-8i)', '(6+8i)', '(8+4i)'] -> ((8+4i) * ((2-2i) - ((4-8i) / (6+8i))))
[219512] ['(2-2i)', '(4-8i)', '(7-9i)', '(8+2i)'] -> (((8+2i) * ((7-9i) - (4-8i))) - (2-2i))
[219516] ['(2-2i)', '(4-8i)', '(7-9i)', '(9+5i)'] -> ((2-2i) * ((9+5i) + ((4-8i) - (7-9i))))
[219530] ['(2-2i)', '(4-8i)', '(7-8i)', '(9+6i)'] -> ((2-2i) * ((9+6i) + ((4-8i) - (7-8i))))
[219546] ['(2-2i)', '(4-8i)', '(7-7i)', '(9+7i)'] -> ((2-2i) * ((9+7i) + ((4-8i) - (7-7i))))
[219555] ['(2-2i)', '(4-8i)', '(7-6i)', '(9+8i)'] -> ((2-2i) * ((9+8i) + ((4-8i) - (7-6i))))
[219565] ['(2-2i)', '(4-8i)', '(7-5i)', '(9+9i)'] -> ((2-2i) * ((9+9i) + ((4-8i) - (7-5i))))
[219584] ['(2-2i)', '(4-8i)', '(7-3i)', '8'] -> ((4-8i) + (8 / ((2-2i) / (7-3i))))
[219592] ['(2-2i)', '(4-8i)', '(7-2i)', '(8-8i)'] -> (((8-8i) / ((2-2i) / (7-2i))) - (4-8i))
[219639] ['(2-2i)', '(4-8i)', '(7+3i)', '8'] -> (((2-2i) * (7+3i)) - ((4-8i) - 8))
[219643] ['(2-2i)', '(4-8i)', '(7+3i)', '(9+4i)'] -> (((5-8i) - (5-2i)) * ((5-3i) - (5-7i)))
[219675] ['(2-2i)', '(4-8i)', '(7+7i)', '(8-8i)'] -> (((2-2i) * (7+7i)) + ((4-8i) - (8-8i)))
[219691] ['(2-2i)', '(4-8i)', '(7+9i)', '(9-7i)'] -> ((7+9i) * ((2-2i) - ((4-8i) / (9-7i))))
[219728] ['(2-2i)', '(4-8i)', '(8-4i)', '(8-3i)'] -> ((((8-4i) * (8-3i)) - (4-8i)) / (2-2i))
[219730] ['(2-2i)', '(4-8i)', '(8-4i)', '(8+3i)'] -> ((((4-8i) * (8+3i)) - (8-4i)) / (2-2i))
[219754] ['(2-2i)', '(4-8i)', '8', '(8+4i)'] -> ((8+4i) * ((2-2i) + (8 / (4-8i))))
[219758] ['(2-2i)', '(4-8i)', '8', '(9-3i)'] -> (((2-2i) / (4-8i)) * (8 * (9-3i)))
[219770] ['(2-2i)', '(4-8i)', '(8+2i)', '(8+4i)'] -> (((2-2i) * (8+2i)) - ((4-8i) - (8+4i)))
[219800] ['(2-2i)', '(4-8i)', '(8+6i)', '(9+5i)'] -> (((9+5i) / ((2-2i) / (4-8i))) - (8+6i))
[219809] ['(2-2i)', '(4-8i)', '(8+8i)', '(9+i)'] -> ((6+i) - ((6+8i) / ((2-4i) / (4+7i))))
[219813] ['(2-2i)', '(4-8i)', '(8+8i)', '(9+9i)'] -> (((2-2i) * (9+9i)) - ((4-8i) + (8+8i)))
[219841] ['(2-2i)', '(4-8i)', '(9-3i)', '(9+9i)'] -> ((9+9i) * ((2-2i) - ((4-8i) / (9-3i))))
[219857] ['(2-2i)', '(4-8i)', '(9+i)', '(9+9i)'] -> (((2-2i) + (4-8i)) + ((9+i) + (9+9i)))
[219859] ['(2-2i)', '(4-8i)', '(9+2i)', '(9+8i)'] -> ((-i - (3+2i)) * ((4-3i) - (8-7i)))
[219860] ['(2-2i)', '(4-8i)', '(9+3i)', '(9+7i)'] -> (((4-4i) * (5-i)) - (-4i * (6-2i)))
[219862] ['(2-2i)', '(4-8i)', '(9+4i)', '(9+6i)'] -> (((2-2i) + (4-8i)) + ((9+4i) + (9+6i)))
[219869] ['(2-2i)', '(4-8i)', '(9+6i)', '(9+9i)'] -> ((7-i) + ((1+3i) * ((1-3i) + (1-2i))))
[219880] ['(2-2i)', '(4-7i)', '(4-7i)', '(5+6i)'] -> ((2-2i) * ((5+6i) + ((4-7i) / (4-7i))))
[219884] ['(2-2i)', '(4-7i)', '(4-7i)', '(7+6i)'] -> ((2-2i) * ((7+6i) - ((4-7i) / (4-7i))))
[219903] ['(2-2i)', '(4-7i)', '(4-6i)', '(6+5i)'] -> ((-i * (3+2i)) + ((4-i) * (5+2i)))
[219904] ['(2-2i)', '(4-7i)', '(4-6i)', '(6+7i)'] -> ((2-2i) * ((6+7i) + ((4-7i) - (4-6i))))
[219937] ['(2-2i)', '(4-7i)', '(4-5i)', '(6+4i)'] -> ((2-2i) * ((6+4i) - ((4-7i) - (4-5i))))
[219938] ['(2-2i)', '(4-7i)', '(4-5i)', '(6+8i)'] -> ((2-2i) * ((6+8i) + ((4-7i) - (4-5i))))
[219955] ['(2-2i)', '(4-7i)', '(4-4i)', '(5-2i)'] -> (((1-3i) * (4+7i)) + ((1-2i) - (2-7i)))
[219959] ['(2-2i)', '(4-7i)', '(4-4i)', '(6-5i)'] -> (((3-2i) * (5+i)) - ((2-9i) - (9-2i)))
[219962] ['(2-2i)', '(4-7i)', '(4-4i)', '(6+3i)'] -> ((2-2i) * ((6+3i) - ((4-7i) - (4-4i))))
[219965] ['(2-2i)', '(4-7i)', '(4-4i)', '(6+9i)'] -> ((2-2i) * ((6+9i) + ((4-7i) - (4-4i))))
[219973] ['(2-2i)', '(4-7i)', '(4-4i)', '(8+7i)'] -> (((4-7i) + (8+7i)) / ((2-2i) / (4-4i)))
[219975] ['(2-2i)', '(4-7i)', '(4-4i)', '(9-6i)'] -> ((4-4i) * ((9-6i) - ((2-2i) + (4-7i))))
[219983] ['(2-2i)', '(4-7i)', '(4-3i)', '(5+7i)'] -> (((2-2i) * (5+7i)) + ((4-7i) - (4-3i)))
[219984] ['(2-2i)', '(4-7i)', '(4-3i)', '(6-6i)'] -> ((6-6i) * ((4-3i) + ((2-2i) - (4-7i))))
[219985] ['(2-2i)', '(4-7i)', '(4-3i)', '(6+2i)'] -> ((2-2i) * ((6+2i) - ((4-7i) - (4-3i))))
[219988] ['(2-2i)', '(4-7i)', '(4-3i)', '(7+5i)'] -> (((2-2i) * (7+5i)) - ((4-7i) - (4-3i)))
[220002] ['(2-2i)', '(4-7i)', '(4-2i)', '(6+i)'] -> ((2-2i) * ((6+i) - ((4-7i) - (4-2i))))
[220011] ['(2-2i)', '(4-7i)', '(4-2i)', '(8+7i)'] -> (((4-7i) + (8+7i)) * ((4-2i) - (2-2i)))
[220019] ['(2-2i)', '(4-7i)', '(4-i)', '(5+2i)'] -> (((4-i) * ((2-2i) + (5+2i))) - (4-7i))
[220028] ['(2-2i)', '(4-7i)', '(4-i)', '(8+8i)'] -> (((7-2i) * (8+2i)) - ((2-4i) * (4+7i)))
[220031] ['(2-2i)', '(4-7i)', '(4-i)', '(9-2i)'] -> (((4-i) * ((9-2i) - (2-2i))) - (4-7i))
[220034] ['(2-2i)', '(4-7i)', '4', '(4+5i)'] -> (4 * ((4+5i) - ((2-2i) - (4-7i))))
[220035] ['(2-2i)', '(4-7i)', '4', '(5-9i)'] -> (((4-7i) * 4) - ((2-2i) * (5-9i)))
[220042] ['(2-2i)', '(4-7i)', '4', '(6-i)'] -> ((2-2i) * ((6-i) - ((4-7i) - 4)))
[220057] ['(2-2i)', '(4-7i)', '(4+i)', '(4+8i)'] -> (((2-2i) * (4+8i)) + ((4-7i) - (4+i)))
[220061] ['(2-2i)', '(4-7i)', '(4+i)', '(5-2i)'] -> (((4-7i) * ((4+i) - (2-2i))) - (5-2i))
[220064] ['(2-2i)', '(4-7i)', '(4+i)', '(6-2i)'] -> ((2-2i) * ((6-2i) - ((4-7i) - (4+i))))
[220068] ['(2-2i)', '(4-7i)', '(4+i)', '(6+6i)'] -> (((4-7i) - (4+i)) / ((2-2i) / (6+6i)))
[220077] ['(2-2i)', '(4-7i)', '(4+i)', '(8+4i)'] -> (((2-2i) * (8+4i)) - ((4-7i) - (4+i)))
[220091] ['(2-2i)', '(4-7i)', '(4+2i)', '(6-3i)'] -> ((2-2i) * ((6-3i) - ((4-7i) - (4+2i))))
[220098] ['(2-2i)', '(4-7i)', '(4+2i)', '(8-7i)'] -> (((2-2i) + (4+2i)) * ((8-7i) - (4-7i)))
[220121] ['(2-2i)', '(4-7i)', '(4+3i)', '(6-4i)'] -> ((2-2i) * ((6-4i) - ((4-7i) - (4+3i))))
[220126] ['(2-2i)', '(4-7i)', '(4+3i)', '(6+9i)'] -> (((2-2i) * (4+3i)) + ((4-7i) + (6+9i)))
[220138] ['(2-2i)', '(4-7i)', '(4+3i)', '(9+7i)'] -> (((2-2i) * (9+7i)) - ((4-7i) + (4+3i)))
[220141] ['(2-2i)', '(4-7i)', '(4+4i)', '(4+5i)'] -> (((4-7i) - (4+5i)) / ((2-2i) / (4+4i)))
[220142] ['(2-2i)', '(4-7i)', '(4+4i)', '(4+7i)'] -> ((-4i * ((7+2i) - (6-5i))) - (4-4i))
[220144] ['(2-2i)', '(4-7i)', '(4+4i)', '(5-8i)'] -> ((4+4i) * ((5-8i) + ((2-2i) - (4-7i))))
[220148] ['(2-2i)', '(4-7i)', '(4+4i)', '(6-5i)'] -> ((2-2i) * ((6-5i) - ((4-7i) - (4+4i))))
[220157] ['(2-2i)', '(4-7i)', '(4+4i)', '(8+2i)'] -> (((6-6i) + ((2-9i) * (6+6i))) / (3-2i))
[220170] ['(2-2i)', '(4-7i)', '(4+5i)', '(6-6i)'] -> ((2-2i) * ((6-6i) - ((4-7i) - (4+5i))))
[220187] ['(2-2i)', '(4-7i)', '(4+5i)', '(9+3i)'] -> (-4i - ((7-5i) * ((4-4i) - (6-2i))))
[220193] ['(2-2i)', '(4-7i)', '(4+6i)', '(6-7i)'] -> ((2-2i) * ((6-7i) - ((4-7i) - (4+6i))))
[220195] ['(2-2i)', '(4-7i)', '(4+6i)', '(6+2i)'] -> ((4+6i) * ((2-2i) - ((6+2i) / (4-7i))))
[220210] ['(2-2i)', '(4-7i)', '(4+7i)', '(5-2i)'] -> (((4-7i) + (4+7i)) * ((5-2i) - (2-2i)))
[220215] ['(2-2i)', '(4-7i)', '(4+7i)', '(6-8i)'] -> ((2-2i) * ((6-8i) - ((4-7i) - (4+7i))))
