[223905] ['-i', '(3+4i)', '(6+4i)', '(8+i)'] -> (((1-3i) + (1-i)) + ((4-2i) * (4+3i)))
[223918] ['-i', '(3+4i)', '(6+5i)', '8'] -> (8 * ((6+5i) + (-i - (3+4i))))
[223948] ['-i', '(3+4i)', '(6+8i)', '(8+3i)'] -> ((6+8i) * (-i + ((8+3i) / (3+4i))))
[224059] ['-i', '(3+4i)', '(7-4i)', '(9+9i)'] -> (((7-4i) * (-i + (3+4i))) - (9+9i))
[224314] ['-i', '(3+4i)', '8', '(9+9i)'] -> ((8 * (9+9i)) / (-i + (3+4i)))
[224329] ['-i', '(3+4i)', '(8+4i)', '(8+9i)'] -> ((8+4i) * (-i + ((8+9i) / (3+4i))))
[224346] ['-i', '(3+4i)', '(8+8i)', '9'] -> (((8+8i) * 9) / (-i + (3+4i)))
[224352] ['-i', '(3+4i)', '(8+9i)', '(9-3i)'] -> (((1-6i) - (1-2i)) * ((2+3i) - (2-3i)))
[224683] ['-i', '(3+5i)', '(4-5i)', '(8+i)'] -> (((4-5i) * (-i + (3+5i))) - (8+i))
[224686] ['-i', '(3+5i)', '(4-5i)', '(8+8i)'] -> (((3+5i) * ((4-5i) - -i)) - (8+8i))
[224693] ['-i', '(3+5i)', '(4-4i)', '(4+4i)'] -> (((9-5i) - (1-i)) / ((1-3i) / (6-6i)))
[224703] ['-i', '(3+5i)', '(4-4i)', '(6+7i)'] -> ((4-4i) * ((6+7i) - (-i + (3+5i))))
[224705] ['-i', '(3+5i)', '(4-4i)', '(6+9i)'] -> ((6-9i) + (-9i * ((1+8i) - (2+6i))))
[224710] ['-i', '(3+5i)', '(4-4i)', '(8-6i)'] -> ((4-4i) * (((8-6i) / -i) - (3+5i)))
[224714] ['-i', '(3+5i)', '(4-4i)', '(8+7i)'] -> (((2-4i) - (5-7i)) * ((5+2i) - (9+6i)))
[224715] ['-i', '(3+5i)', '(4-4i)', '(8+9i)'] -> (((3+5i) * (4-4i)) - (-i + (8+9i)))
[224735] ['-i', '(3+5i)', '(4-3i)', '(6+8i)'] -> ((-i + (4-3i)) * ((6+8i) - (3+5i)))
[224744] ['-i', '(3+5i)', '(4-3i)', '(8+8i)'] -> (((3+5i) * (-i + (4-3i))) - (8+8i))
[224791] ['-i', '(3+5i)', '(4-i)', '(6+3i)'] -> ((-i - (3+5i)) + ((4-i) * (6+3i)))
[224817] ['-i', '(3+5i)', '4', '(5-9i)'] -> (4 * (((5-9i) / -i) - (3+5i)))
[224851] ['-i', '(3+5i)', '4', '(9+4i)'] -> (4 * ((9+4i) - (-i + (3+5i))))
[224852] ['-i', '(3+5i)', '4', '(9+6i)'] -> (4 * ((9+6i) + (-i - (3+5i))))
[224881] ['-i', '(3+5i)', '(4+i)', '(9+5i)'] -> (-4i * ((4 + (4+5i)) - (8-i)))
