[326348] ['(2-3i)', '(6-2i)', '(8-i)', '(8+6i)'] -> (((2-3i) + (6-2i)) + ((8-i) + (8+6i)))
[326350] ['(2-3i)', '(6-2i)', '(8-i)', '(9+4i)'] -> (((8-i) * ((6-2i) - (2-3i))) - (9+4i))
[326352] ['(2-3i)', '(6-2i)', '8', '(8+5i)'] -> (-3i * ((8-5i) - ((2-9i) + (6-4i))))
[326354] ['(2-3i)', '(6-2i)', '8', '(8+8i)'] -> ((8 * ((6-2i) - (2-3i))) - (8+8i))
[326358] ['(2-3i)', '(6-2i)', '(8+i)', '(8+4i)'] -> (((2-3i) + (6-2i)) + ((8+i) + (8+4i)))
[326361] ['(2-3i)', '(6-2i)', '(8+2i)', '(8+3i)'] -> ((2-6i) - ((2-3i) * ((2-6i) - 4)))
[326413] ['(2-3i)', '(6-2i)', '(9+7i)', '(9+9i)'] -> (((2-3i) * ((9+7i) - (6-2i))) - (9+9i))
[326417] ['(2-3i)', '(6-i)', '(6-i)', '(6+8i)'] -> (((2-3i) * (6+8i)) - ((6-i) + (6-i)))
[326421] ['(2-3i)', '(6-i)', '(6-i)', '(9-9i)'] -> (((6-i) * (6-i)) - ((2-3i) + (9-9i)))
[326424] ['(2-3i)', '(6-i)', '6', '(6+6i)'] -> ((6+6i) * (6 + ((2-3i) - (6-i))))
[326428] ['(2-3i)', '(6-i)', '6', '(8+2i)'] -> (((6+3i) - (9+9i)) - (-3i * (2-9i)))
[326463] ['(2-3i)', '(6-i)', '(6+3i)', '(9-i)'] -> (((2-3i) + (6+3i)) * ((9-i) - (6-i)))
[326465] ['(2-3i)', '(6-i)', '(6+4i)', '(6+9i)'] -> (((2-3i) * (6+4i)) - ((6-i) - (6+9i)))
[326473] ['(2-3i)', '(6-i)', '(6+4i)', '(9-8i)'] -> ((6+4i) * ((6-i) - ((9-8i) / (2-3i))))
[326488] ['(2-3i)', '(6-i)', '(6+5i)', '(9-9i)'] -> (((2-3i) * (6+5i)) + ((6-i) - (9-9i)))
[326498] ['(2-3i)', '(6-i)', '(6+6i)', '(8+9i)'] -> (((6-i) - (8+9i)) / ((2-3i) / (6+6i)))
[326511] ['(2-3i)', '(6-i)', '(6+7i)', '(9+6i)'] -> ((4+8i) - ((5-2i) * ((1-6i) - (5-6i))))
[326512] ['(2-3i)', '(6-i)', '(6+7i)', '(9+7i)'] -> (((1-6i) + (5-6i)) * ((4+8i) / 5))
[326527] ['(2-3i)', '(6-i)', '(6+9i)', '(9+i)'] -> (((2-3i) * (6+9i)) - ((6-i) + (9+i)))
[326535] ['(2-3i)', '(6-i)', '(7-9i)', '(8+7i)'] -> (((2-6i) * (2+5i)) - ((2-6i) + (8+4i)))
[326572] ['(2-3i)', '(6-i)', '(7-5i)', '(9+9i)'] -> (((2-3i) + (6-i)) + ((7-5i) + (9+9i)))
[326578] ['(2-3i)', '(6-i)', '(7-4i)', '(9+8i)'] -> (((2-3i) + (6-i)) + ((7-4i) + (9+8i)))
[326583] ['(2-3i)', '(6-i)', '(7-3i)', '(9+7i)'] -> (((2-3i) + (6-i)) + ((7-3i) + (9+7i)))
[326585] ['(2-3i)', '(6-i)', '(7-2i)', '(7+i)'] -> (((6-i) * ((7-2i) - (2-3i))) - (7+i))
[326593] ['(2-3i)', '(6-i)', '(7-2i)', '(8+6i)'] -> (((7-2i) * ((6-i) - (2-3i))) - (8+6i))
[326596] ['(2-3i)', '(6-i)', '(7-2i)', '(9+6i)'] -> (((2-3i) + (6-i)) + ((7-2i) + (9+6i)))
[326602] ['(2-3i)', '(6-i)', '(7-i)', '(8+7i)'] -> (((6-i) * ((7-i) - (2-3i))) - (8+7i))
[326606] ['(2-3i)', '(6-i)', '(7-i)', '(9+5i)'] -> (((2-3i) + (6-i)) + ((7-i) + (9+5i)))
[326611] ['(2-3i)', '(6-i)', '7', '(9+4i)'] -> (((2-3i) + (6-i)) + (7 + (9+4i)))
[326617] ['(2-3i)', '(6-i)', '(7+i)', '(9+3i)'] -> (((2-3i) + (6-i)) + ((7+i) + (9+3i)))
[326620] ['(2-3i)', '(6-i)', '(7+2i)', '8'] -> ((6+6i) * (((2-i) + (5+5i)) - (5+6i)))
[326622] ['(2-3i)', '(6-i)', '(7+2i)', '(9+2i)'] -> (((2-3i) + (6-i)) + ((7+2i) + (9+2i)))
[326628] ['(2-3i)', '(6-i)', '(7+3i)', '(9+i)'] -> (((2-3i) + (6-i)) + ((7+3i) + (9+i)))
[326632] ['(2-3i)', '(6-i)', '(7+4i)', '9'] -> (((2-3i) + (6-i)) + ((7+4i) + 9))
[326639] ['(2-3i)', '(6-i)', '(7+5i)', '(9-i)'] -> (((2-3i) + (6-i)) + ((7+5i) + (9-i)))
[326647] ['(2-3i)', '(6-i)', '(7+6i)', '(9-2i)'] -> (((2-3i) + (6-i)) + ((7+6i) + (9-2i)))
[326650] ['(2-3i)', '(6-i)', '(7+7i)', '(9-3i)'] -> (((2-3i) + (6-i)) + ((7+7i) + (9-3i)))
[326657] ['(2-3i)', '(6-i)', '(7+8i)', '(8-4i)'] -> (((2-3i) * (7+8i)) - ((6-i) + (8-4i)))
[326658] ['(2-3i)', '(6-i)', '(7+8i)', '(9-4i)'] -> (((2-3i) + (6-i)) + ((7+8i) + (9-4i)))
[326668] ['(2-3i)', '(6-i)', '(7+9i)', '(9-5i)'] -> (((1-3i) + (5+3i)) + ((9-7i) + (9+7i)))
[326695] ['(2-3i)', '(6-i)', '(8-5i)', '(8+9i)'] -> (((2-3i) + (6-i)) + ((8-5i) + (8+9i)))
[326699] ['(2-3i)', '(6-i)', '(8-4i)', '(8+8i)'] -> (((2-3i) + (6-i)) + ((8-4i) + (8+8i)))
[326702] ['(2-3i)', '(6-i)', '(8-3i)', '(8+7i)'] -> (((2-3i) + (6-i)) + ((8-3i) + (8+7i)))
[326706] ['(2-3i)', '(6-i)', '(8-2i)', '(8+2i)'] -> (((6-i) * (8-2i)) - ((2-3i) * (8+2i)))
[326708] ['(2-3i)', '(6-i)', '(8-2i)', '(8+6i)'] -> (((2-3i) + (6-i)) + ((8-2i) + (8+6i)))
[326710] ['(2-3i)', '(6-i)', '(8-i)', '(8+5i)'] -> (((2-3i) + (6-i)) + ((8-i) + (8+5i)))
[326713] ['(2-3i)', '(6-i)', '8', '(8+4i)'] -> (((2-3i) + (6-i)) + (8 + (8+4i)))
