[310429] ['(2-i)', '(4+2i)', '(6-2i)', '(8+8i)'] -> (-3i * (((1+3i) + (3+2i)) - (4-3i)))
[310432] ['(2-i)', '(4+2i)', '(6-2i)', '(9+5i)'] -> (((2-i) * (9+5i)) + ((6-2i) / (4+2i)))
[310441] ['(2-i)', '(4+2i)', '(6-i)', '(8+i)'] -> (((2-i) * (4+2i)) + ((6-i) + (8+i)))
[310444] ['(2-i)', '(4+2i)', '(6-i)', '(9+6i)'] -> (((2-i) * (6-i)) + ((4+2i) + (9+6i)))
[310447] ['(2-i)', '(4+2i)', '6', '6'] -> (6 * (((2-i) * (4+2i)) - 6))
[310449] ['(2-i)', '(4+2i)', '6', '(6+2i)'] -> (((2-i) * (6+2i)) + ((4+2i) + 6))
[310451] ['(2-i)', '(4+2i)', '6', '(6+8i)'] -> (6 * ((2-i) + ((6+8i) / (4+2i))))
[310454] ['(2-i)', '(4+2i)', '6', '(8-4i)'] -> (((4+2i) * ((8-4i) - (2-i))) - 6)
[310457] ['(2-i)', '(4+2i)', '6', '8'] -> ((4-8i) * (((3+3i) / (1+3i)) - -3i))
[310467] ['(2-i)', '(4+2i)', '6', '(9+9i)'] -> ((9+9i) * ((2-i) - ((4+2i) / 6)))
[310480] ['(2-i)', '(4+2i)', '(6+i)', '(8-i)'] -> (((2-i) * (4+2i)) + ((6+i) + (8-i)))
[310493] ['(2-i)', '(4+2i)', '(6+2i)', '(8-2i)'] -> (((2-i) * (4+2i)) + ((6+2i) + (8-2i)))
[310502] ['(2-i)', '(4+2i)', '(6+3i)', '(8-3i)'] -> (((2-i) * (4+2i)) + ((6+3i) + (8-3i)))
[310510] ['(2-i)', '(4+2i)', '(6+3i)', '(9+4i)'] -> (((2-i) * (9+4i)) - ((4+2i) - (6+3i)))
[310514] ['(2-i)', '(4+2i)', '(6+4i)', '(8-4i)'] -> (((2-i) * (4+2i)) + ((6+4i) + (8-4i)))
[310517] ['(2-i)', '(4+2i)', '(6+4i)', '(9+3i)'] -> ((9+3i) * ((4+2i) - ((6+4i) / (2-i))))
[310520] ['(2-i)', '(4+2i)', '(6+5i)', '7'] -> (((2-i) * 7) + ((4+2i) + (6+5i)))
[310521] ['(2-i)', '(4+2i)', '(6+5i)', '(7+6i)'] -> (((2-i) * ((4+2i) + (7+6i))) - (6+5i))
[310524] ['(2-i)', '(4+2i)', '(6+5i)', '(8-5i)'] -> (((2-i) * (4+2i)) + ((6+5i) + (8-5i)))
