[278411] ['(1-3i)', '(3-6i)', '(7-i)', '9'] -> (9 + ((7-i) / ((1-3i) / (3-6i))))
[278503] ['(1-3i)', '(3-6i)', '(7+6i)', '(8-9i)'] -> (((7+6i) * ((3-6i) - (1-3i))) - (8-9i))
[278562] ['(1-3i)', '(3-6i)', '(8-9i)', '(8+9i)'] -> (((1-3i) * (8+9i)) - ((3-6i) + (8-9i)))
[278570] ['(1-3i)', '(3-6i)', '(8-8i)', '(9-9i)'] -> (((9-9i) - (3-6i)) / ((1-3i) / (8-8i)))
[278582] ['(1-3i)', '(3-6i)', '(8-6i)', '(8+3i)'] -> (((1-3i) * ((8+3i) - (3-6i))) - (8-6i))
[278648] ['(1-3i)', '(3-6i)', '(9-9i)', '(9+3i)'] -> (((1-3i) * ((9+3i) - (3-6i))) - (9-9i))
[278718] ['(1-3i)', '(3-5i)', '(3-5i)', '(6+8i)'] -> (((1-3i) * (6+8i)) - ((3-5i) + (3-5i)))
[278730] ['(1-3i)', '(3-5i)', '(3-5i)', '(9-9i)'] -> (((8-i) + (9-7i)) - (-i - (7+7i)))
[278777] ['(1-3i)', '(3-5i)', '(3-3i)', '(3+7i)'] -> (((1-3i) * (3+7i)) - ((3-5i) - (3-3i)))
[278779] ['(1-3i)', '(3-5i)', '(3-3i)', '(3+9i)'] -> (((3-5i) - (1-3i)) * ((3-3i) + (3+9i)))
[278788] ['(1-3i)', '(3-5i)', '(3-3i)', '(6+2i)'] -> ((3-3i) * ((6+2i) + ((1-3i) - (3-5i))))
[278793] ['(1-3i)', '(3-5i)', '(3-3i)', '(8-4i)'] -> ((3-3i) * ((8-4i) - ((1-3i) + (3-5i))))
[278796] ['(1-3i)', '(3-5i)', '(3-3i)', '(9+5i)'] -> (((3-5i) + (9+5i)) * ((3-3i) - (1-3i)))
[278802] ['(1-3i)', '(3-5i)', '(3-2i)', '(3+8i)'] -> (((3-5i) - (1-3i)) * ((3-2i) + (3+8i)))
[278809] ['(1-3i)', '(3-5i)', '(3-2i)', '(4+8i)'] -> ((4+8i) * ((3-2i) - ((3-5i) / (1-3i))))
[278816] ['(1-3i)', '(3-5i)', '(3-2i)', '(5+3i)'] -> ((5+3i) * ((3-2i) + ((1-3i) / (3-5i))))
[278824] ['(1-3i)', '(3-5i)', '(3-2i)', '(6+6i)'] -> (((3-2i) * ((1-3i) + (6+6i))) - (3-5i))
[278843] ['(1-3i)', '(3-5i)', '(3-2i)', '8'] -> (((3-2i) * (8 - (1-3i))) - (3-5i))
[278858] ['(1-3i)', '(3-5i)', '(3-i)', '(3-i)'] -> (((3-5i) + (3-i)) * ((3-i) - (1-3i)))
[278864] ['(1-3i)', '(3-5i)', '(3-i)', '(3+7i)'] -> ((-i * (9+8i)) + ((7+7i) + (9+2i)))
[278873] ['(1-3i)', '(3-5i)', '(3-i)', '(5-3i)'] -> (((3-i) * (5-3i)) - ((1-3i) * (3-5i)))
[278882] ['(1-3i)', '(3-5i)', '(3-i)', '(6-2i)'] -> ((-7i * ((6+8i) - (7+4i))) - (4+7i))
[278883] ['(1-3i)', '(3-5i)', '(3-i)', '(6+3i)'] -> (((1-3i) * ((6+3i) - (3-5i))) - (3-i))
[278884] ['(1-3i)', '(3-5i)', '(3-i)', '(6+6i)'] -> (4 * ((7+3i) + ((2-3i) - 3)))
[278887] ['(1-3i)', '(3-5i)', '(3-i)', '(8-4i)'] -> (((3-5i) + (3-i)) / ((1-3i) / (8-4i)))
[278889] ['(1-3i)', '(3-5i)', '(3-i)', '(8+2i)'] -> (3i * ((1-9i) + ((3+3i) / -3i)))
[278893] ['(1-3i)', '(3-5i)', '3', '(3+6i)'] -> (((3-5i) - (1-3i)) * (3 + (3+6i)))
[278897] ['(1-3i)', '(3-5i)', '3', '(4+8i)'] -> (3 * ((4+8i) + ((1-3i) + (3-5i))))
[278901] ['(1-3i)', '(3-5i)', '3', '(6+2i)'] -> (3 * ((6+2i) - ((1-3i) - (3-5i))))
[278914] ['(1-3i)', '(3-5i)', '(3+i)', '(3+5i)'] -> (((3-5i) - (1-3i)) * ((3+i) + (3+5i)))
[278918] ['(1-3i)', '(3-5i)', '(3+i)', '(4+4i)'] -> ((4+4i) * (((1-3i) * (3+i)) - (3-5i)))
[278933] ['(1-3i)', '(3-5i)', '(3+i)', '(9-2i)'] -> ((3+i) * ((9-2i) - ((3-5i) / (1-3i))))
[278939] ['(1-3i)', '(3-5i)', '(3+2i)', '(3+4i)'] -> (((3-5i) - (1-3i)) * ((3+2i) + (3+4i)))
[278942] ['(1-3i)', '(3-5i)', '(3+2i)', '(4-2i)'] -> ((4-2i) * ((3+2i) + ((3-5i) / (1-3i))))
[278955] ['(1-3i)', '(3-5i)', '(3+2i)', '(6+6i)'] -> (3 * ((6-7i) - ((2-3i) - (4+4i))))
[278964] ['(1-3i)', '(3-5i)', '(3+2i)', '(7+5i)'] -> (((3-3i) * ((5-3i) - -9i)) - (9+3i))
[278967] ['(1-3i)', '(3-5i)', '(3+2i)', '(8-8i)'] -> (((3-5i) + (3+2i)) / ((1-3i) / (8-8i)))
[278970] ['(1-3i)', '(3-5i)', '(3+3i)', '(3+3i)'] -> (((3-5i) - (1-3i)) * ((3+3i) + (3+3i)))
[278971] ['(1-3i)', '(3-5i)', '(3+3i)', '(3+5i)'] -> (((2-i) * (6+5i)) + ((3-5i) + (4+i)))
[278975] ['(1-3i)', '(3-5i)', '(3+3i)', '(4-2i)'] -> ((3+3i) * ((3-5i) + ((4-2i) / (1-3i))))
[278978] ['(1-3i)', '(3-5i)', '(3+3i)', '(6-6i)'] -> ((3+3i) * ((6-6i) + ((1-3i) - (3-5i))))
[278985] ['(1-3i)', '(3-5i)', '(3+3i)', '(9-5i)'] -> (((1-3i) + (3+3i)) * ((9-5i) - (3-5i)))
[278987] ['(1-3i)', '(3-5i)', '(3+3i)', '(9+3i)'] -> (((3-5i) - (3+3i)) / ((1-3i) / (9+3i)))
[278988] ['(1-3i)', '(3-5i)', '(3+4i)', '(3+9i)'] -> (((1-3i) * ((3+4i) - (3-5i))) - (3+9i))
[278990] ['(1-3i)', '(3-5i)', '(3+4i)', '4'] -> (((3-5i) * (3+4i)) - ((1-3i) + 4))
[278995] ['(1-3i)', '(3-5i)', '(3+4i)', '(6-6i)'] -> (3i * ((1-6i) - ((6-3i) / -3i)))
