[283005] ['(1-6i)', '(3-9i)', '(3-3i)', '(8+7i)'] -> ((1-6i) + ((8+7i) * ((3-9i) / (3-3i))))
[283007] ['(1-6i)', '(3-9i)', '(3-3i)', '(9-9i)'] -> (((3-9i) * ((3-3i) - (1-6i))) - (9-9i))
[283029] ['(1-6i)', '(3-9i)', '(3-2i)', '(8-8i)'] -> (((3-9i) * (8-8i)) / ((1-6i) - (3-2i)))
[283057] ['(1-6i)', '(3-9i)', '(3-i)', '(8+6i)'] -> (((3-i) * ((1-6i) + (8+6i))) - (3-9i))
[283070] ['(1-6i)', '(3-9i)', '3', '(6+3i)'] -> (3 * ((6+3i) - ((1-6i) - (3-9i))))
[283071] ['(1-6i)', '(3-9i)', '3', '(6+9i)'] -> ((3-9i) + (3 * ((1-6i) + (6+9i))))
[283072] ['(1-6i)', '(3-9i)', '3', '(7-9i)'] -> ((7-9i) - (((1-6i) * (3-9i)) / 3))
[283077] ['(1-6i)', '(3-9i)', '3', '(8+3i)'] -> ((3 * ((1-6i) + (8+3i))) - (3-9i))
[283089] ['(1-6i)', '(3-9i)', '(3+i)', '(6-3i)'] -> ((6-3i) - (((1-6i) * (3-9i)) / (3+i)))
[283098] ['(1-6i)', '(3-9i)', '(3+i)', '(9-9i)'] -> ((3-9i) * (((9-9i) / (3+i)) - (1-6i)))
[283110] ['(1-6i)', '(3-9i)', '(3+2i)', '(6-6i)'] -> (((1-6i) + (3+2i)) * ((6-6i) - (3-9i)))
[283124] ['(1-6i)', '(3-9i)', '(3+3i)', '(3+4i)'] -> (((3-9i) * (3+4i)) - ((1-6i) * (3+3i)))
[283126] ['(1-6i)', '(3-9i)', '(3+3i)', '(4+4i)'] -> ((3-9i) + ((3+3i) * ((1-6i) + (4+4i))))
[283129] ['(1-6i)', '(3-9i)', '(3+3i)', '(6-7i)'] -> ((6+6i) * ((1+3i) - (-3i - (1-8i))))
[283131] ['(1-6i)', '(3-9i)', '(3+3i)', '(6+6i)'] -> (((1-8i) - (1-5i)) + ((1+2i) * (6-9i)))
[283135] ['(1-6i)', '(3-9i)', '(3+3i)', '(7-8i)'] -> ((1-6i) - ((7-8i) * ((3-9i) / (3+3i))))
[283168] ['(1-6i)', '(3-9i)', '(3+4i)', '(8+8i)'] -> (((3-9i) * (8+8i)) / ((1-6i) + (3+4i)))
[283176] ['(1-6i)', '(3-9i)', '(3+5i)', '(3+7i)'] -> (((3+7i) * ((3-9i) - (1-6i))) - (3+5i))
[283187] ['(1-6i)', '(3-9i)', '(3+5i)', '(6-4i)'] -> (((1-6i) * (3+5i)) - ((3-9i) + (6-4i)))
[283201] ['(1-6i)', '(3-9i)', '(3+6i)', '(3+9i)'] -> (((1-6i) + (3+6i)) * ((3-9i) + (3+9i)))
[283222] ['(1-6i)', '(3-9i)', '(3+6i)', '(9-9i)'] -> (((1-6i) + (3+6i)) * ((9-9i) - (3-9i)))
[283262] ['(1-6i)', '(3-9i)', '(3+8i)', '(6+7i)'] -> (((3+8i) * ((3-9i) - (1-6i))) - (6+7i))
[283297] ['(1-6i)', '(3-9i)', '(3+9i)', '(5-6i)'] -> (((3-9i) + (3+9i)) * ((5-6i) - (1-6i)))
[283326] ['(1-6i)', '(3-9i)', '(3+9i)', '(9+9i)'] -> (((3+9i) * ((3-9i) - (1-6i))) - (9+9i))
[283335] ['(1-6i)', '(3-9i)', '(4-9i)', '(6+3i)'] -> (((6+3i) * ((4-9i) - (1-6i))) - (3-9i))
[283345] ['(1-6i)', '(3-9i)', '(4-9i)', '(9-9i)'] -> (((1-6i) * (9-9i)) - ((3-9i) * (4-9i)))
[283405] ['(1-6i)', '(3-9i)', '(4-7i)', '9'] -> ((9 * ((4-7i) - (1-6i))) - (3-9i))
[283414] ['(1-6i)', '(3-9i)', '(4-6i)', '(5+9i)'] -> (((1-3i) * (3+8i)) - ((7-9i) / (3-2i)))
[283426] ['(1-6i)', '(3-9i)', '(4-6i)', '(9-3i)'] -> (((9-3i) * ((4-6i) - (1-6i))) - (3-9i))
[283444] ['(1-6i)', '(3-9i)', '(4-5i)', '(6+6i)'] -> ((6+6i) * ((4-5i) + ((1-6i) - (3-9i))))
[283465] ['(1-6i)', '(3-9i)', '(4-4i)', '5'] -> (((1-8i) - (1-5i)) * ((2+i) - (2-7i)))
[283471] ['(1-6i)', '(3-9i)', '(4-4i)', '(7-i)'] -> (4 * (8 + ((2-7i) - (4-7i))))
[283487] ['(1-6i)', '(3-9i)', '(4-3i)', '(5+6i)'] -> (((1-3i) - (4-8i)) + ((3-2i) * (7+3i)))
[283511] ['(1-6i)', '(3-9i)', '(4-2i)', '(6-6i)'] -> (((3-9i) * (4-2i)) - ((1-6i) * (6-6i)))
[283520] ['(1-6i)', '(3-9i)', '(4-2i)', '(9+2i)'] -> (((3-9i) / (4-2i)) * ((9+2i) - (1-6i)))
[283526] ['(1-6i)', '(3-9i)', '(4-i)', '(5+2i)'] -> (((1-8i) * ((3-2i) - (2-5i))) - (1-5i))
[283530] ['(1-6i)', '(3-9i)', '(4-i)', '(6-6i)'] -> ((6-6i) * ((4-i) + ((1-6i) - (3-9i))))
[283543] ['(1-6i)', '(3-9i)', '4', '(4+3i)'] -> (4 * ((4+3i) - ((1-6i) - (3-9i))))
[283556] ['(1-6i)', '(3-9i)', '4', '(8-3i)'] -> (4 * ((8-3i) + ((1-6i) - (3-9i))))
[283612] ['(1-6i)', '(3-9i)', '(4+3i)', '5'] -> (((1-6i) + (3-9i)) + ((4+3i) * 5))
[283638] ['(1-6i)', '(3-9i)', '(4+4i)', '(5-6i)'] -> (-3i + ((3+6i) * ((1-8i) / (2-i))))
[283707] ['(1-6i)', '(3-9i)', '(4+7i)', '(5+2i)'] -> (((4+7i) * ((3-9i) - (1-6i))) - (5+2i))
[283755] ['(1-6i)', '(3-9i)', '(4+8i)', '(8+4i)'] -> (((4+8i) * ((3-9i) - (1-6i))) - (8+4i))
[283829] ['(1-6i)', '(3-9i)', '(5-8i)', '(8+8i)'] -> (((3-9i) * (8+8i)) / ((5-8i) - (1-6i)))
[283832] ['(1-6i)', '(3-9i)', '(5-7i)', '5'] -> (((1-6i) + 5) * ((5-7i) - (3-9i)))
[283900] ['(1-6i)', '(3-9i)', '(5-4i)', '(8-7i)'] -> (((1-6i) * ((5-4i) - (3-9i))) - (8-7i))
[283911] ['(1-6i)', '(3-9i)', '(5-3i)', '8'] -> (8 * ((5-3i) + ((1-6i) - (3-9i))))
[283948] ['(1-6i)', '(3-9i)', '5', '(5+6i)'] -> (-3i * (((2+9i) / (2+9i)) - (1-8i)))
[284041] ['(1-6i)', '(3-9i)', '(5+6i)', '(7-9i)'] -> (((1-6i) + (5+6i)) * ((7-9i) - (3-9i)))
[284063] ['(1-6i)', '(3-9i)', '(5+7i)', '(7-i)'] -> (((5+7i) * ((3-9i) - (1-6i))) - (7-i))
