[292112] ['(1-8i)', '(1-2i)', '(4+2i)', '(8-2i)'] -> ((8-2i) + ((4+2i) * ((1-8i) / (1-2i))))
[292131] ['(1-8i)', '(1-2i)', '(4+4i)', '(5+4i)'] -> (((1-2i) * ((5+4i) - (1-8i))) - (4+4i))
[292145] ['(1-8i)', '(1-2i)', '(4+4i)', '(9+6i)'] -> (((1-2i) * (9+6i)) - ((1-8i) - (4+4i)))
[292146] ['(1-8i)', '(1-2i)', '(4+5i)', '(5+7i)'] -> (((1-2i) * ((4+5i) - (1-8i))) - (5+7i))
[292162] ['(1-8i)', '(1-2i)', '(4+6i)', '6'] -> ((-3i - (4-7i)) * ((1-5i) - (4-2i)))
[292167] ['(1-8i)', '(1-2i)', '(4+6i)', '(7+8i)'] -> (((1-2i) * ((4+6i) - (1-8i))) - (7+8i))
[292171] ['(1-8i)', '(1-2i)', '(4+6i)', '(9-6i)'] -> (((1-2i) * (4+6i)) - ((1-8i) - (9-6i)))
[292174] ['(1-8i)', '(1-2i)', '(4+7i)', '(4+9i)'] -> ((1-2i) * ((4+9i) - ((1-8i) / (4+7i))))
[292177] ['(1-8i)', '(1-2i)', '(4+7i)', '(5+9i)'] -> (((1-3i) + (5-3i)) * ((5+6i) - (3+4i)))
[292181] ['(1-8i)', '(1-2i)', '(4+7i)', '(7-7i)'] -> (((1-5i) + (5-7i)) - (-3i * (4-6i)))
[292187] ['(1-8i)', '(1-2i)', '(4+7i)', '(9+9i)'] -> (((1-2i) * ((4+7i) - (1-8i))) - (9+9i))
[292188] ['(1-8i)', '(1-2i)', '(4+8i)', '(5-8i)'] -> (((1-2i) * (4+8i)) - ((1-8i) - (5-8i)))
[292214] ['(1-8i)', '(1-2i)', '(5-9i)', '(6+i)'] -> (((6+i) * ((5-9i) - (1-8i))) - (1-2i))
[292220] ['(1-8i)', '(1-2i)', '(5-8i)', '(5+2i)'] -> (((1-2i) + (5+2i)) * ((5-8i) - (1-8i)))
[292268] ['(1-8i)', '(1-2i)', '(5-3i)', '(6+7i)'] -> (((1-2i) * (6+7i)) - ((1-8i) - (5-3i)))
[292273] ['(1-8i)', '(1-2i)', '(5-3i)', '(8+3i)'] -> (((1-2i) * ((8+3i) - (1-8i))) - (5-3i))
[292277] ['(1-8i)', '(1-2i)', '(5-2i)', '(5+8i)'] -> (((1-8i) + (5+8i)) * ((5-2i) - (1-2i)))
[292289] ['(1-8i)', '(1-2i)', '5', '(5+8i)'] -> ((1-2i) * ((5+8i) - ((1-8i) / 5)))
[292296] ['(1-8i)', '(1-2i)', '5', '(7+6i)'] -> ((7+6i) + (5 * ((1-8i) / (1-2i))))
[292312] ['(1-8i)', '(1-2i)', '(5+2i)', '(6-2i)'] -> (((1-8i) + (5+2i)) / ((1-2i) / (6-2i)))
[292313] ['(1-8i)', '(1-2i)', '(5+2i)', '(6+4i)'] -> (((1-2i) * ((6+4i) - (1-8i))) - (5+2i))
[292322] ['(1-8i)', '(1-2i)', '(5+2i)', '(8+6i)'] -> (((4-9i) - (6+i)) / ((2-3i) / (6+6i)))
[292347] ['(1-8i)', '(1-2i)', '(5+5i)', '(6+5i)'] -> (((1-2i) * ((5+5i) - (1-8i))) - (6+5i))
[292351] ['(1-8i)', '(1-2i)', '(5+6i)', '(6-6i)'] -> (((1-8i) + (5+6i)) / ((1-2i) / (6-6i)))
[292354] ['(1-8i)', '(1-2i)', '(5+6i)', '(8-4i)'] -> (-3i * (((1-5i) + (4+9i)) - (5-4i)))
[292356] ['(1-8i)', '(1-2i)', '(5+6i)', '(8+6i)'] -> (((1-2i) * ((5+6i) - (1-8i))) - (8+6i))
