[326245] ['-6i', 'i', '(4+5i)', '(5-8i)'] -> (-6i * (((4+5i) / i) - (5-8i)))
[326248] ['-6i', 'i', '(4+5i)', '6'] -> (6 * ((4+5i) + (-6i + i)))
[326256] ['-6i', 'i', '(4+5i)', '(9-4i)'] -> (-6i * ((i * (9-4i)) - (4+5i)))
[326258] ['-6i', 'i', '(4+6i)', '(4+9i)'] -> (-6i * ((4+9i) + (i - (4+6i))))
[326266] ['-6i', 'i', '(4+6i)', '(6-8i)'] -> (-6i * (((4+6i) / i) - (6-8i)))
[326267] ['-6i', 'i', '(4+6i)', '(6-i)'] -> ((-6i + (4+6i)) * (i + (6-i)))
[326268] ['-6i', 'i', '(4+6i)', '(6+i)'] -> (-3i * ((7+7i) - ((2-9i) + (5+8i))))
[326286] ['-6i', 'i', '(4+7i)', '6'] -> (6 * ((4+7i) + (-6i - i)))
[326289] ['-6i', 'i', '(4+7i)', '(7-8i)'] -> (-6i * (((4+7i) / i) - (7-8i)))
[326311] ['-6i', 'i', '(4+8i)', '(8-8i)'] -> (-6i * (((4+8i) / i) - (8-8i)))
[326313] ['-6i', 'i', '(4+8i)', '(8-i)'] -> ((4+8i) / (((8-i) / -6i) - i))
[326320] ['-6i', 'i', '(4+9i)', '(9-8i)'] -> (-6i * (((4+9i) / i) - (9-8i)))
[326323] ['-6i', 'i', '(5-9i)', '(5-6i)'] -> (-6i * ((5-6i) + (i - (5-9i))))
[326324] ['-6i', 'i', '(5-9i)', '(5-4i)'] -> (-6i * ((5-4i) - (i + (5-9i))))
[326328] ['-6i', 'i', '(5-9i)', '(5+5i)'] -> (-6i * (((5+5i) / i) - (5-9i)))
[326340] ['-6i', 'i', '(5-9i)', '(9+i)'] -> (-6i * ((i * (5-9i)) - (9+i)))
[326341] ['-6i', 'i', '(5-8i)', '(5-5i)'] -> (-6i * ((5-5i) + (i - (5-8i))))
[326343] ['-6i', 'i', '(5-8i)', '(5-3i)'] -> (-6i * ((5-3i) - (i + (5-8i))))
[326349] ['-6i', 'i', '(5-8i)', '(8+i)'] -> (-6i * ((i * (5-8i)) - (8+i)))
[326355] ['-6i', 'i', '(5-7i)', '(5-4i)'] -> (-6i * ((5-4i) + (i - (5-7i))))
[326356] ['-6i', 'i', '(5-7i)', '(5-2i)'] -> (-6i * ((5-2i) - (i + (5-7i))))
[326362] ['-6i', 'i', '(5-7i)', '(7+i)'] -> (-6i * ((i * (5-7i)) - (7+i)))
[326372] ['-6i', 'i', '(5-6i)', '(5-3i)'] -> (-6i * ((5-3i) + (i - (5-6i))))
[326373] ['-6i', 'i', '(5-6i)', '(5-i)'] -> (-6i * ((5-i) - (i + (5-6i))))
[326375] ['-6i', 'i', '(5-6i)', '(6+i)'] -> (-6i * ((i * (5-6i)) - (6+i)))
[326380] ['-6i', 'i', '(5-5i)', '(5-2i)'] -> (-6i * ((5-2i) + (i - (5-5i))))
[326382] ['-6i', 'i', '(5-5i)', '5'] -> (((2-2i) * (4-8i)) - ((2-6i) * (2-6i)))
[326383] ['-6i', 'i', '(5-5i)', '(5+i)'] -> (-6i * ((i * (5-5i)) - (5+i)))
[326395] ['-6i', 'i', '(5-4i)', '(5-i)'] -> (-6i * ((5-i) + (i - (5-4i))))
