[385828] ['-6i', '(1+7i)', '(2+2i)', '(7-5i)'] -> ((2+2i) * ((7-5i) - (-6i + (1+7i))))
[385833] ['-6i', '(1+7i)', '(2+2i)', '(7+7i)'] -> ((2+2i) * ((7+7i) + (-6i - (1+7i))))
[385838] ['-6i', '(1+7i)', '(2+2i)', '(9-i)'] -> ((-6i / (2+2i)) * ((1+7i) - (9-i)))
[385844] ['-6i', '(1+7i)', '(2+3i)', '(3+6i)'] -> (-6i * (((1+7i) + (2+3i)) - (3+6i)))
[385852] ['-6i', '(1+7i)', '(2+3i)', '(5+5i)'] -> ((-6i * (2+3i)) + ((1+7i) + (5+5i)))
[385857] ['-6i', '(1+7i)', '(2+3i)', '(7-9i)'] -> (-6i * ((1+7i) + ((7-9i) / (2+3i))))
[385868] ['-6i', '(1+7i)', '(2+4i)', '(3+7i)'] -> ((6-6i) * ((5+8i) + (-3i - (3+3i))))
[385873] ['-6i', '(1+7i)', '(2+4i)', '(5-i)'] -> ((-6i + (2+4i)) * ((1+7i) + (5-i)))
[385889] ['-6i', '(1+7i)', '(2+5i)', '(3+8i)'] -> (-6i * (((1+7i) + (2+5i)) - (3+8i)))
[385898] ['-6i', '(1+7i)', '(2+5i)', '(7-5i)'] -> ((-6i * (2+5i)) + ((1+7i) - (7-5i)))
[385902] ['-6i', '(1+7i)', '(2+5i)', '(8+4i)'] -> ((-6i * (8+4i)) / ((2+5i) - (1+7i)))
[385912] ['-6i', '(1+7i)', '(2+6i)', '(3+9i)'] -> (-6i * (((1+7i) + (2+6i)) - (3+9i)))
[385915] ['-6i', '(1+7i)', '(2+6i)', '(4+4i)'] -> ((-6i * (4+4i)) / ((2+6i) - (1+7i)))
[385945] ['-6i', '(1+7i)', '(2+8i)', '(4-4i)'] -> ((-6i * (4-4i)) / ((1+7i) - (2+8i)))
[385957] ['-6i', '(1+7i)', '(2+8i)', '(7+i)'] -> ((-6i + (2+8i)) * ((7+i) - (1+7i)))
[385975] ['-6i', '(1+7i)', '(2+9i)', '(8-4i)'] -> ((9-9i) + (-3i * ((3+3i) - (6-2i))))
[385988] ['-6i', '(1+7i)', '(3-9i)', '(4-6i)'] -> (-6i * (((1+7i) + (3-9i)) - (4-6i)))
[385989] ['-6i', '(1+7i)', '(3-9i)', '(4+2i)'] -> (((1-8i) - (7-2i)) * ((4-7i) - (6-9i)))
[386003] ['-6i', '(1+7i)', '(3-9i)', '(9-3i)'] -> ((-6i + (1+7i)) * ((3-9i) + (9-3i)))
[386012] ['-6i', '(1+7i)', '(3-8i)', '(4-5i)'] -> (-6i * (((1+7i) + (3-8i)) - (4-5i)))
[386014] ['-6i', '(1+7i)', '(3-8i)', '(4+3i)'] -> (-6i * ((4+3i) - ((1+7i) + (3-8i))))
[386018] ['-6i', '(1+7i)', '(3-8i)', '6'] -> ((6 * ((1+7i) + (3-8i))) - -6i)
[386024] ['-6i', '(1+7i)', '(3-8i)', '(9-4i)'] -> ((-6i + (1+7i)) * ((3-8i) + (9-4i)))
[386033] ['-6i', '(1+7i)', '(3-7i)', '(4-4i)'] -> (-6i * (((1+7i) + (3-7i)) - (4-4i)))
[386034] ['-6i', '(1+7i)', '(3-7i)', '(4+4i)'] -> (-6i * ((4+4i) - ((1+7i) + (3-7i))))
[386040] ['-6i', '(1+7i)', '(3-7i)', '(6-6i)'] -> (((1+7i) + (3-7i)) * ((6-6i) - -6i))
[386043] ['-6i', '(1+7i)', '(3-7i)', '(6+6i)'] -> ((-6i + (6+6i)) * ((1+7i) + (3-7i)))
[386049] ['-6i', '(1+7i)', '(3-7i)', '(9-5i)'] -> ((-6i + (1+7i)) * ((3-7i) + (9-5i)))
[386055] ['-6i', '(1+7i)', '(3-6i)', '(4-3i)'] -> (-6i * (((1+7i) + (3-6i)) - (4-3i)))
[386056] ['-6i', '(1+7i)', '(3-6i)', '(4+5i)'] -> (-6i * ((4+5i) - ((1+7i) + (3-6i))))
[386059] ['-6i', '(1+7i)', '(3-6i)', '6'] -> (-6i + (6 * ((1+7i) + (3-6i))))
[386063] ['-6i', '(1+7i)', '(3-6i)', '(7-7i)'] -> (((1+7i) + (7-7i)) * ((3-6i) - -6i))
[386071] ['-6i', '(1+7i)', '(3-6i)', '(9-6i)'] -> ((-6i + (1+7i)) * ((3-6i) + (9-6i)))
[386076] ['-6i', '(1+7i)', '(3-5i)', '(3+3i)'] -> ((3+3i) * ((3-5i) + (-6i + (1+7i))))
[386080] ['-6i', '(1+7i)', '(3-5i)', '(4-2i)'] -> (-6i * (((1+7i) + (3-5i)) - (4-2i)))
[386082] ['-6i', '(1+7i)', '(3-5i)', '(4+6i)'] -> (-6i * ((4+6i) - ((1+7i) + (3-5i))))
