[428725] ['-8i', '(1+7i)', '(6-9i)', '(7-5i)'] -> (-8i * (((1+7i) + (6-9i)) - (7-5i)))
[428726] ['-8i', '(1+7i)', '(6-9i)', '(7+i)'] -> (-8i * ((7+i) - ((1+7i) + (6-9i))))
[428736] ['-8i', '(1+7i)', '(6-8i)', '(7-4i)'] -> (-8i * (((1+7i) + (6-8i)) - (7-4i)))
[428739] ['-8i', '(1+7i)', '(6-8i)', '(7+2i)'] -> (-8i * ((7+2i) - ((1+7i) + (6-8i))))
[428751] ['-8i', '(1+7i)', '(6-7i)', '(7-3i)'] -> (-8i * (((1+7i) + (6-7i)) - (7-3i)))
[428752] ['-8i', '(1+7i)', '(6-7i)', '(7+3i)'] -> (-8i * ((7+3i) - ((1+7i) + (6-7i))))
[428761] ['-8i', '(1+7i)', '(6-6i)', '(7-2i)'] -> (-8i * (((1+7i) + (6-6i)) - (7-2i)))
[428763] ['-8i', '(1+7i)', '(6-6i)', '(7+4i)'] -> (-8i * ((7+4i) - ((1+7i) + (6-6i))))
[428768] ['-8i', '(1+7i)', '(6-5i)', '(7-i)'] -> (-8i * (((1+7i) + (6-5i)) - (7-i)))
[428769] ['-8i', '(1+7i)', '(6-5i)', '(7+5i)'] -> (-8i * ((7+5i) - ((1+7i) + (6-5i))))
[428771] ['-8i', '(1+7i)', '(6-5i)', '(8-8i)'] -> ((-8i * (6-5i)) + ((1+7i) * (8-8i)))
[428781] ['-8i', '(1+7i)', '(6-4i)', '7'] -> (-8i * (((1+7i) + (6-4i)) - 7))
[428782] ['-8i', '(1+7i)', '(6-4i)', '(7+6i)'] -> (-8i * ((7+6i) - ((1+7i) + (6-4i))))
[428788] ['-8i', '(1+7i)', '(6-3i)', '(7+i)'] -> (-8i * (((1+7i) + (6-3i)) - (7+i)))
[428789] ['-8i', '(1+7i)', '(6-3i)', '(7+7i)'] -> (-8i * ((7+7i) - ((1+7i) + (6-3i))))
[428798] ['-8i', '(1+7i)', '(6-2i)', '(7+2i)'] -> (-8i * (((1+7i) + (6-2i)) - (7+2i)))
[428800] ['-8i', '(1+7i)', '(6-2i)', '(7+8i)'] -> (-8i * ((7+8i) - ((1+7i) + (6-2i))))
[428812] ['-8i', '(1+7i)', '(6-i)', '(7+3i)'] -> (-8i * (((1+7i) + (6-i)) - (7+3i)))
[428814] ['-8i', '(1+7i)', '(6-i)', '(7+9i)'] -> (-8i * ((7+9i) - ((1+7i) + (6-i))))
[428820] ['-8i', '(1+7i)', '6', '(7+4i)'] -> (-8i * (((1+7i) + 6) - (7+4i)))
[428829] ['-8i', '(1+7i)', '6', '(9+9i)'] -> (6 + ((9+9i) * (-8i + (1+7i))))
[428831] ['-8i', '(1+7i)', '(6+i)', '(7+5i)'] -> (-8i * (((1+7i) + (6+i)) - (7+5i)))
[428842] ['-8i', '(1+7i)', '(6+2i)', '(7+6i)'] -> (-8i * (((1+7i) + (6+2i)) - (7+6i)))
[428852] ['-8i', '(1+7i)', '(6+3i)', '(6+9i)'] -> (((9-i) * ((3-5i) - -6i)) - (4+6i))
[428857] ['-8i', '(1+7i)', '(6+3i)', '(7+7i)'] -> (-8i * (((1+7i) + (6+3i)) - (7+7i)))
[428864] ['-8i', '(1+7i)', '(6+4i)', '(6+8i)'] -> ((-8i + (1+7i)) * ((6+4i) + (6+8i)))
[428868] ['-8i', '(1+7i)', '(6+4i)', '(7+8i)'] -> (-8i * (((1+7i) + (6+4i)) - (7+8i)))
[428873] ['-8i', '(1+7i)', '(6+5i)', '(6+7i)'] -> ((-8i + (1+7i)) * ((6+5i) + (6+7i)))
[428876] ['-8i', '(1+7i)', '(6+5i)', '(7+9i)'] -> (-8i * (((1+7i) + (6+5i)) - (7+9i)))
[428884] ['-8i', '(1+7i)', '(6+6i)', '(6+6i)'] -> ((-8i + (1+7i)) * ((6+6i) + (6+6i)))
[428906] ['-8i', '(1+7i)', '(6+9i)', '(9-3i)'] -> ((9-3i) + ((6+9i) * (-8i + (1+7i))))
[428909] ['-8i', '(1+7i)', '(7-9i)', '(8-5i)'] -> (-8i * (((1+7i) + (7-9i)) - (8-5i)))
[428910] ['-8i', '(1+7i)', '(7-9i)', '(8+i)'] -> (-8i * ((8+i) - ((1+7i) + (7-9i))))
[428914] ['-8i', '(1+7i)', '(7-8i)', '(8-4i)'] -> (-8i * (((1+7i) + (7-8i)) - (8-4i)))
[428915] ['-8i', '(1+7i)', '(7-8i)', '(8+2i)'] -> (-8i * ((8+2i) - ((1+7i) + (7-8i))))
[428920] ['-8i', '(1+7i)', '(7-7i)', '(8-3i)'] -> (-8i * (((1+7i) + (7-7i)) - (8-3i)))
[428923] ['-8i', '(1+7i)', '(7-7i)', '(8+3i)'] -> (-8i * ((8+3i) - ((1+7i) + (7-7i))))
[428934] ['-8i', '(1+7i)', '(7-6i)', '(8-2i)'] -> (-8i * (((1+7i) + (7-6i)) - (8-2i)))
[428936] ['-8i', '(1+7i)', '(7-6i)', '(8+4i)'] -> (-8i * ((8+4i) - ((1+7i) + (7-6i))))
[428940] ['-8i', '(1+7i)', '(7-5i)', '(8-i)'] -> (-8i * (((1+7i) + (7-5i)) - (8-i)))
[428942] ['-8i', '(1+7i)', '(7-5i)', '(8+5i)'] -> (-8i * ((8+5i) - ((1+7i) + (7-5i))))
[428947] ['-8i', '(1+7i)', '(7-4i)', '8'] -> (-8i * (((1+7i) + (7-4i)) - 8))
[428948] ['-8i', '(1+7i)', '(7-4i)', '(8+6i)'] -> (-8i * ((8+6i) - ((1+7i) + (7-4i))))
[428953] ['-8i', '(1+7i)', '(7-3i)', '(8+i)'] -> (-8i * (((1+7i) + (7-3i)) - (8+i)))
[428954] ['-8i', '(1+7i)', '(7-3i)', '(8+7i)'] -> (-8i * ((8+7i) - ((1+7i) + (7-3i))))
[428962] ['-8i', '(1+7i)', '(7-2i)', '(8+2i)'] -> (-8i * (((1+7i) + (7-2i)) - (8+2i)))
[428963] ['-8i', '(1+7i)', '(7-2i)', '(8+8i)'] -> (-8i * ((8+8i) - ((1+7i) + (7-2i))))
[428969] ['-8i', '(1+7i)', '(7-i)', '(8+3i)'] -> (-8i * (((1+7i) + (7-i)) - (8+3i)))
[428973] ['-8i', '(1+7i)', '7', '(8+4i)'] -> (-8i * (((1+7i) + 7) - (8+4i)))
[428981] ['-8i', '(1+7i)', '(7+i)', '(8+5i)'] -> (-8i * (((1+7i) + (7+i)) - (8+5i)))
[428984] ['-8i', '(1+7i)', '(7+i)', '(9+8i)'] -> ((7+i) + ((9+8i) * (-8i + (1+7i))))
[428985] ['-8i', '(1+7i)', '(7+2i)', '8'] -> ((-8i * (7+2i)) + ((1+7i) * 8))
[428986] ['-8i', '(1+7i)', '(7+2i)', '(8+6i)'] -> (-8i * (((1+7i) + (7+2i)) - (8+6i)))
[428991] ['-8i', '(1+7i)', '(7+3i)', '(8+7i)'] -> (-8i * (((1+7i) + (7+3i)) - (8+7i)))
[428999] ['-8i', '(1+7i)', '(7+4i)', '(8+8i)'] -> (-8i * (((1+7i) + (7+4i)) - (8+8i)))
[429003] ['-8i', '(1+7i)', '(7+5i)', '(8+9i)'] -> (-8i * (((1+7i) + (7+5i)) - (8+9i)))
[429021] ['-8i', '(1+7i)', '(7+8i)', '(9-i)'] -> ((9-i) + ((7+8i) * (-8i + (1+7i))))
[429023] ['-8i', '(1+7i)', '(7+9i)', '(8-2i)'] -> ((8-2i) + ((7+9i) * (-8i + (1+7i))))
[429031] ['-8i', '(1+7i)', '(8-9i)', '(9-5i)'] -> (-8i * (((1+7i) + (8-9i)) - (9-5i)))
[429032] ['-8i', '(1+7i)', '(8-9i)', '(9+i)'] -> (-8i * ((9+i) - ((1+7i) + (8-9i))))
[429037] ['-8i', '(1+7i)', '(8-8i)', '(9-4i)'] -> (-8i * (((1+7i) + (8-8i)) - (9-4i)))
[429038] ['-8i', '(1+7i)', '(8-8i)', '(9+2i)'] -> (-8i * ((9+2i) - ((1+7i) + (8-8i))))
[429046] ['-8i', '(1+7i)', '(8-7i)', '(9-3i)'] -> (-8i * (((1+7i) + (8-7i)) - (9-3i)))
[429047] ['-8i', '(1+7i)', '(8-7i)', '(9+3i)'] -> ((9-3i) + (3 * ((1-5i) + (4+6i))))
[429055] ['-8i', '(1+7i)', '(8-6i)', '(9-2i)'] -> (-8i * (((1+7i) + (8-6i)) - (9-2i)))
[429058] ['-8i', '(1+7i)', '(8-6i)', '(9+4i)'] -> (-8i * ((9+4i) - ((1+7i) + (8-6i))))
[429067] ['-8i', '(1+7i)', '(8-5i)', '(9-i)'] -> (-8i * (((1+7i) + (8-5i)) - (9-i)))
[429070] ['-8i', '(1+7i)', '(8-5i)', '(9+5i)'] -> (-8i * ((9+5i) - ((1+7i) + (8-5i))))
[429074] ['-8i', '(1+7i)', '(8-4i)', '9'] -> (-8i * (((1+7i) + (8-4i)) - 9))
[429076] ['-8i', '(1+7i)', '(8-4i)', '(9+6i)'] -> (-8i * ((9+6i) - ((1+7i) + (8-4i))))
[429079] ['-8i', '(1+7i)', '(8-3i)', '(9+i)'] -> (-8i * (((1+7i) + (8-3i)) - (9+i)))
[429081] ['-8i', '(1+7i)', '(8-3i)', '(9+7i)'] -> (-8i * ((9+7i) - ((1+7i) + (8-3i))))
[429087] ['-8i', '(1+7i)', '(8-2i)', '(9+2i)'] -> (-8i * (((1+7i) + (8-2i)) - (9+2i)))
[429088] ['-8i', '(1+7i)', '(8-2i)', '(9+8i)'] -> (-8i * ((9+8i) - ((1+7i) + (8-2i))))
[429090] ['-8i', '(1+7i)', '(8-i)', '(9+3i)'] -> (-8i * (((1+7i) + (8-i)) - (9+3i)))
[429092] ['-8i', '(1+7i)', '(8-i)', '(9+9i)'] -> (-8i * ((9+9i) - ((1+7i) + (8-i))))
