[470150] ['-8i', '(3+8i)', '(5-5i)', '(8+6i)'] -> (-8i * ((8+6i) - ((3+8i) + (5-5i))))
[470158] ['-8i', '(3+8i)', '(5-4i)', '(8+i)'] -> (-8i * (((3+8i) + (5-4i)) - (8+i)))
[470160] ['-8i', '(3+8i)', '(5-4i)', '(8+7i)'] -> (-8i * ((8+7i) - ((3+8i) + (5-4i))))
[470161] ['-8i', '(3+8i)', '(5-4i)', '(9+7i)'] -> ((-8i / (5-4i)) * ((3+8i) + (9+7i)))
[470165] ['-8i', '(3+8i)', '(5-3i)', '(6+7i)'] -> ((-8i / (5-3i)) * ((3+8i) + (6+7i)))
[470170] ['-8i', '(3+8i)', '(5-3i)', '8'] -> ((-8i * (3+8i)) - ((5-3i) * 8))
[470171] ['-8i', '(3+8i)', '(5-3i)', '(8+2i)'] -> (-8i * (((3+8i) + (5-3i)) - (8+2i)))
[470173] ['-8i', '(3+8i)', '(5-3i)', '(8+8i)'] -> (-8i * ((8+8i) - ((3+8i) + (5-3i))))
[470175] ['-8i', '(3+8i)', '(5-3i)', '(9+9i)'] -> ((9+9i) + ((5-3i) * (-8i + (3+8i))))
[470179] ['-8i', '(3+8i)', '(5-2i)', '(6+6i)'] -> ((6+6i) * ((5-2i) - (-8i + (3+8i))))
[470185] ['-8i', '(3+8i)', '(5-2i)', '(8+3i)'] -> (-8i * (((3+8i) + (5-2i)) - (8+3i)))
[470187] ['-8i', '(3+8i)', '(5-2i)', '(8+9i)'] -> (-8i * ((8+9i) - ((3+8i) + (5-2i))))
[470189] ['-8i', '(3+8i)', '(5-2i)', '(9+6i)'] -> ((9+6i) + ((5-2i) * (-8i + (3+8i))))
[470194] ['-8i', '(3+8i)', '(5-i)', '(8+4i)'] -> (-8i * (((3+8i) + (5-i)) - (8+4i)))
[470195] ['-8i', '(3+8i)', '(5-i)', '(9+3i)'] -> ((9+3i) + ((5-i) * (-8i + (3+8i))))
[470200] ['-8i', '(3+8i)', '5', '(8+5i)'] -> (-8i * (((3+8i) + 5) - (8+5i)))
[470201] ['-8i', '(3+8i)', '5', '9'] -> (9 + (5 * (-8i + (3+8i))))
[470202] ['-8i', '(3+8i)', '(5+i)', '(6-7i)'] -> ((-8i / (5+i)) * ((3+8i) - (6-7i)))
[470203] ['-8i', '(3+8i)', '(5+i)', '(8+6i)'] -> (-8i * (((3+8i) + (5+i)) - (8+6i)))
[470204] ['-8i', '(3+8i)', '(5+i)', '(9-3i)'] -> ((9-3i) + ((5+i) * (-8i + (3+8i))))
[470206] ['-8i', '(3+8i)', '(5+2i)', '(6-6i)'] -> ((6-6i) * ((5+2i) - (-8i + (3+8i))))
[470208] ['-8i', '(3+8i)', '(5+2i)', '(8+7i)'] -> (-8i * (((3+8i) + (5+2i)) - (8+7i)))
[470209] ['-8i', '(3+8i)', '(5+2i)', '(9-7i)'] -> ((-8i / (5+2i)) * ((3+8i) - (9-7i)))
[470210] ['-8i', '(3+8i)', '(5+2i)', '(9-6i)'] -> ((9-6i) + ((5+2i) * (-8i + (3+8i))))
[470213] ['-8i', '(3+8i)', '(5+3i)', '(8+8i)'] -> (-8i * (((3+8i) + (5+3i)) - (8+8i)))
[470214] ['-8i', '(3+8i)', '(5+3i)', '(9-9i)'] -> ((9-9i) + ((5+3i) * (-8i + (3+8i))))
[470217] ['-8i', '(3+8i)', '(5+4i)', '(8+9i)'] -> (-8i * (((3+8i) + (5+4i)) - (8+9i)))
[470223] ['-8i', '(3+8i)', '(5+5i)', '(9+6i)'] -> ((-8i * (9+6i)) / ((5+5i) - (3+8i)))
[470225] ['-8i', '(3+8i)', '(5+6i)', '(6+6i)'] -> ((-8i * (6+6i)) / ((5+6i) - (3+8i)))
[470227] ['-8i', '(3+8i)', '(5+6i)', '(8+4i)'] -> (((8+4i) * ((5+6i) - (3+8i))) - -8i)
[470237] ['-8i', '(3+8i)', '(5+9i)', '(8-8i)'] -> (((8-8i) * ((5+9i) - (3+8i))) - -8i)
[470241] ['-8i', '(3+8i)', '(6-9i)', '(6+3i)'] -> ((-6i * 8) / ((8-2i) - 8))
[470248] ['-8i', '(3+8i)', '(6-9i)', '(9-4i)'] -> ((-6i + (8-2i)) + ((8+2i) + (8+6i)))
