[487652] ['-2i', '(3-3i)', '3', '(9+i)'] -> ((3 * (-2i + (9+i))) - (3-3i))
[487653] ['-2i', '(3-3i)', '(3+i)', '(4-5i)'] -> (((4-5i) * ((3+i) - -2i)) - (3-3i))
[487654] ['-2i', '(3-3i)', '(3+i)', '(4+3i)'] -> (((3-3i) * (4+3i)) - (-2i - (3+i)))
[487655] ['-2i', '(3-3i)', '(3+i)', '(4+5i)'] -> ((-2i - (3+i)) + ((3-3i) * (4+5i)))
[487656] ['-2i', '(3-3i)', '(3+i)', '(5-9i)'] -> (((3+i) + (5-9i)) / (-2i / (3-3i)))
[487657] ['-2i', '(3-3i)', '(3+i)', '(5-i)'] -> ((-2i * (3-3i)) * ((3+i) - (5-i)))
[487660] ['-2i', '(3-3i)', '(3+i)', '(6+3i)'] -> ((3-3i) + ((6+3i) * (-2i + (3+i))))
[487664] ['-2i', '(3-3i)', '(3+i)', '(7+3i)'] -> ((3-3i) * ((7+3i) - (-2i + (3+i))))
[487665] ['-2i', '(3-3i)', '(3+i)', '(7+7i)'] -> ((3-3i) * ((7+7i) + (-2i - (3+i))))
[487666] ['-2i', '(3-3i)', '(3+i)', '(8-3i)'] -> ((-2i - (3-3i)) + ((3+i) * (8-3i)))
[487667] ['-2i', '(3-3i)', '(3+i)', '(8+3i)'] -> (((8+3i) * ((3-3i) - -2i)) - (3+i))
[487669] ['-2i', '(3-3i)', '(3+2i)', '(4-2i)'] -> ((3-3i) * ((3+2i) + ((4-2i) / -2i)))
[487670] ['-2i', '(3-3i)', '(3+2i)', '(5-3i)'] -> (((3+2i) * (5-3i)) - (-2i - (3-3i)))
[487671] ['-2i', '(3-3i)', '(3+2i)', '5'] -> ((-2i * (3-3i)) * ((3+2i) - 5))
[487672] ['-2i', '(3-3i)', '(3+2i)', '(5+3i)'] -> ((-2i + (3+2i)) * ((3-3i) + (5+3i)))
[487673] ['-2i', '(3-3i)', '(3+2i)', '(5+9i)'] -> ((5+9i) + ((3+2i) * (-2i + (3-3i))))
[487675] ['-2i', '(3-3i)', '(3+2i)', '(7+i)'] -> ((3-3i) + ((7+i) * (-2i + (3+2i))))
[487676] ['-2i', '(3-3i)', '(3+2i)', '(7+4i)'] -> ((3-3i) * ((7+4i) - (-2i + (3+2i))))
[487677] ['-2i', '(3-3i)', '(3+2i)', '(7+8i)'] -> ((3-3i) * ((7+8i) + (-2i - (3+2i))))
[487679] ['-2i', '(3-3i)', '(3+2i)', '(8-2i)'] -> ((3-3i) * ((8-2i) - (-2i * (3+2i))))
[487680] ['-2i', '(3-3i)', '(3+2i)', '(9-i)'] -> ((-5i + (4+9i)) * ((4-8i) - (1-5i)))
[487682] ['-2i', '(3-3i)', '(3+2i)', '(9+i)'] -> (((3-3i) * (3+2i)) - (-2i - (9+i)))
[487683] ['-2i', '(3-3i)', '(3+2i)', '(9+5i)'] -> ((-2i + (9+5i)) + ((3-3i) * (3+2i)))
[487685] ['-2i', '(3-3i)', '(3+3i)', '(4-7i)'] -> (((3+3i) * ((4-7i) - -2i)) - (3-3i))
[487686] ['-2i', '(3-3i)', '(3+3i)', '(4-3i)'] -> (((3+3i) * (-2i + (4-3i))) - (3-3i))
[487687] ['-2i', '(3-3i)', '(3+3i)', '(4-2i)'] -> (((3-3i) + (3+3i)) * ((4-2i) - -2i))
[487688] ['-2i', '(3-3i)', '(3+3i)', '(4-i)'] -> ((3-3i) + ((3+3i) * (-2i + (4-i))))
[487689] ['-2i', '(3-3i)', '(3+3i)', '(4+2i)'] -> ((-8i + (6+2i)) * ((8+6i) - (6+4i)))
[487691] ['-2i', '(3-3i)', '(3+3i)', '(4+3i)'] -> (((3-3i) * ((4+3i) - -2i)) - (3+3i))
[487692] ['-2i', '(3-3i)', '(3+3i)', '(4+4i)'] -> ((4+4i) * ((-2i * (3+3i)) - (3-3i)))
[487693] ['-2i', '(3-3i)', '(3+3i)', '(4+5i)'] -> ((3+3i) + ((3-3i) * (-2i + (4+5i))))
[487694] ['-2i', '(3-3i)', '(3+3i)', '(4+7i)'] -> (((3-3i) * (-2i + (4+7i))) - (3+3i))
[487695] ['-2i', '(3-3i)', '(3+3i)', '(5-i)'] -> ((-2i * (3+3i)) * ((5-i) - (3-3i)))
[487696] ['-2i', '(3-3i)', '(3+3i)', '(5+i)'] -> ((-2i * (3-3i)) * ((3+3i) - (5+i)))
[487697] ['-2i', '(3-3i)', '(3+3i)', '(6-8i)'] -> ((3+3i) + ((6-8i) / (-2i / (3-3i))))
[487698] ['-2i', '(3-3i)', '(3+3i)', '(6-4i)'] -> ((-2i * (3-3i)) + ((3+3i) * (6-4i)))
[487699] ['-2i', '(3-3i)', '(3+3i)', '(6-2i)'] -> (((3-3i) * (3+3i)) - (-2i - (6-2i)))
[487700] ['-2i', '(3-3i)', '(3+3i)', '(6+2i)'] -> ((-2i + (6+2i)) + ((3-3i) * (3+3i)))
[487701] ['-2i', '(3-3i)', '(3+3i)', '(6+4i)'] -> (((3-3i) * (6+4i)) - (-2i * (3+3i)))
[487703] ['-2i', '(3-3i)', '(3+3i)', '(6+8i)'] -> ((3-3i) - ((6+8i) / (-2i / (3+3i))))
[487704] ['-2i', '(3-3i)', '(3+3i)', '(7-9i)'] -> ((3+3i) * ((7-9i) - (-2i + (3-3i))))
[487705] ['-2i', '(3-3i)', '(3+3i)', '(7-5i)'] -> ((3+3i) * ((7-5i) + (-2i - (3-3i))))
[487707] ['-2i', '(3-3i)', '(3+3i)', '(7+5i)'] -> ((3-3i) * ((7+5i) - (-2i + (3+3i))))
[487708] ['-2i', '(3-3i)', '(3+3i)', '(7+9i)'] -> ((3-3i) * ((7+9i) + (-2i - (3+3i))))
[487709] ['-2i', '(3-3i)', '(3+3i)', '(8-9i)'] -> (((3+3i) + ((3-3i) * (8-9i))) / -2i)
[487710] ['-2i', '(3-3i)', '(3+3i)', '(8-8i)'] -> ((4-4i) * ((4-7i) - (-5i + (1-5i))))
[487712] ['-2i', '(3-3i)', '(3+3i)', '(8-7i)'] -> ((((3-3i) * (8-7i)) - (3+3i)) / -2i)
[487714] ['-2i', '(3-3i)', '(3+3i)', '8'] -> (((3-3i) - (3+3i)) / (-2i / 8))
[487715] ['-2i', '(3-3i)', '(3+3i)', '(8+7i)'] -> (((3-3i) - ((3+3i) * (8+7i))) / -2i)
[487716] ['-2i', '(3-3i)', '(3+3i)', '(8+8i)'] -> ((-8i + (6+2i)) * ((8+8i) - (6+6i)))
[487717] ['-2i', '(3-3i)', '(3+4i)', '(3+9i)'] -> (((3-3i) * ((3+4i) - -2i)) - (3+9i))
[487718] ['-2i', '(3-3i)', '(3+4i)', '(5-3i)'] -> (((3+4i) * (-2i + (3-3i))) - (5-3i))
[487720] ['-2i', '(3-3i)', '(3+4i)', '(5+2i)'] -> ((-2i * (3-3i)) * ((3+4i) - (5+2i)))
[487722] ['-2i', '(3-3i)', '(3+4i)', '(7+6i)'] -> ((3-3i) * ((7+6i) - (-2i + (3+4i))))
[487724] ['-2i', '(3-3i)', '(3+4i)', '(9+3i)'] -> ((9+3i) + ((3-3i) * (-2i + (3+4i))))
[487726] ['-2i', '(3-3i)', '(3+5i)', '(4-5i)'] -> (((4-5i) * (-2i + (3+5i))) - (3-3i))
[487727] ['-2i', '(3-3i)', '(3+5i)', '(4-3i)'] -> ((3-3i) + ((4-3i) * (-2i + (3+5i))))
[487728] ['-2i', '(3-3i)', '(3+5i)', '4'] -> (4 * ((3+5i) + (-2i + (3-3i))))
[487729] ['-2i', '(3-3i)', '(3+5i)', '(4+3i)'] -> ((-2i + (3+5i)) + ((3-3i) * (4+3i)))
[487730] ['-2i', '(3-3i)', '(3+5i)', '(4+5i)'] -> (((3-3i) * (4+5i)) - (-2i + (3+5i)))
[487732] ['-2i', '(3-3i)', '(3+5i)', '(5+3i)'] -> ((-2i * (3-3i)) * ((3+5i) - (5+3i)))
[487735] ['-2i', '(3-3i)', '(3+5i)', '(7-7i)'] -> ((-2i + (3+5i)) * ((7-7i) - (3-3i)))
[487736] ['-2i', '(3-3i)', '(3+5i)', '(7+7i)'] -> ((3-3i) * ((7+7i) - (-2i + (3+5i))))
[487739] ['-2i', '(3-3i)', '(3+6i)', '(3+7i)'] -> ((-2i - (3+7i)) + ((3-3i) * (3+6i)))
[487742] ['-2i', '(3-3i)', '(3+6i)', '(4+2i)'] -> ((3-3i) * ((3+6i) - ((4+2i) / -2i)))
[487743] ['-2i', '(3-3i)', '(3+6i)', '(5-9i)'] -> ((3+6i) + ((5-9i) / (-2i / (3-3i))))
[487745] ['-2i', '(3-3i)', '(3+6i)', '(5+4i)'] -> ((-2i * (3-3i)) * ((3+6i) - (5+4i)))
[487746] ['-2i', '(3-3i)', '(3+6i)', '(6-9i)'] -> (-2i * (((3-3i) + (3+6i)) - (6-9i)))
[487747] ['-2i', '(3-3i)', '(3+6i)', '(7+5i)'] -> (((3-3i) * (7+5i)) - (-2i * (3+6i)))
[487748] ['-2i', '(3-3i)', '(3+6i)', '(7+8i)'] -> ((3-3i) * ((7+8i) - (-2i + (3+6i))))
[487752] ['-2i', '(3-3i)', '(3+6i)', '(9+9i)'] -> ((-2i * (3+6i)) + ((3-3i) + (9+9i)))
[487753] ['-2i', '(3-3i)', '(3+7i)', '(4-6i)'] -> (((3+7i) * ((4-6i) - (3-3i))) - -2i)
[487755] ['-2i', '(3-3i)', '(3+7i)', '(5+2i)'] -> (((3-3i) * (5+2i)) - (-2i - (3+7i)))
[487756] ['-2i', '(3-3i)', '(3+7i)', '(5+5i)'] -> ((-2i * (3-3i)) * ((3+7i) - (5+5i)))
[487758] ['-2i', '(3-3i)', '(3+7i)', '(6-8i)'] -> (-2i * (((3-3i) + (3+7i)) - (6-8i)))
[487759] ['-2i', '(3-3i)', '(3+7i)', '(6-3i)'] -> ((-2i * (6-3i)) + ((3-3i) * (3+7i)))
[487760] ['-2i', '(3-3i)', '(3+7i)', '(6+2i)'] -> ((3-3i) * ((3+7i) - ((6+2i) / -2i)))
[487762] ['-2i', '(3-3i)', '(3+8i)', '(3+9i)'] -> (((3-3i) * (-2i + (3+8i))) - (3+9i))
[487764] ['-2i', '(3-3i)', '(3+8i)', '(5+6i)'] -> ((-2i * (3-3i)) * ((3+8i) - (5+6i)))
[487765] ['-2i', '(3-3i)', '(3+8i)', '(5+9i)'] -> ((-2i * (3+8i)) + ((3-3i) + (5+9i)))
[487766] ['-2i', '(3-3i)', '(3+8i)', '(6-7i)'] -> (-2i * (((3-3i) + (3+8i)) - (6-7i)))
[487769] ['-2i', '(3-3i)', '(3+8i)', '(8+2i)'] -> ((3-3i) * ((3+8i) - ((8+2i) / -2i)))
[487770] ['-2i', '(3-3i)', '(3+9i)', '(3+9i)'] -> ((-2i * (3+9i)) + ((3-3i) + (3+9i)))
[487771] ['-2i', '(3-3i)', '(3+9i)', '4'] -> (((3-3i) - (3+9i)) / (-2i / 4))
[487772] ['-2i', '(3-3i)', '(3+9i)', '(4+2i)'] -> ((3-3i) - ((4+2i) / (-2i / (3+9i))))
[487775] ['-2i', '(3-3i)', '(3+9i)', '(5+4i)'] -> ((3+9i) + ((3-3i) * (-2i + (5+4i))))
[487776] ['-2i', '(3-3i)', '(3+9i)', '(5+7i)'] -> ((-2i * (3-3i)) * ((3+9i) - (5+7i)))
[487777] ['-2i', '(3-3i)', '(3+9i)', '(6-6i)'] -> (-2i * (((3-3i) + (3+9i)) - (6-6i)))
[487779] ['-2i', '(3-3i)', '(3+9i)', '(7-6i)'] -> ((((3-3i) * (7-6i)) - (3+9i)) / -2i)
