[94479] ['(4-4i)', '(6+5i)', '(7-3i)', '(7+2i)'] -> (((4-4i) + (6+5i)) + ((7-3i) + (7+2i)))
[94495] ['(4-4i)', '(6+5i)', '(7-2i)', '(7+i)'] -> (((4-4i) + (6+5i)) + ((7-2i) + (7+i)))
[94513] ['(4-4i)', '(6+5i)', '(7-i)', '7'] -> (((4-4i) + (6+5i)) + ((7-i) + 7))
[94556] ['(4-4i)', '(6+5i)', '(7+i)', '8'] -> (3 * ((9-6i) - (-i + (1-5i))))
[94591] ['(4-4i)', '(6+5i)', '(7+3i)', '(8-4i)'] -> (((7+3i) * (8-4i)) - ((4-4i) * (6+5i)))
[94595] ['(4-4i)', '(6+5i)', '(7+3i)', '(9-3i)'] -> (((4-4i) * (9-3i)) / ((7+3i) - (6+5i)))
[94626] ['(4-4i)', '(6+5i)', '(7+6i)', '(8-8i)'] -> (((4-4i) + (8-8i)) * ((7+6i) - (6+5i)))
[94685] ['(4-4i)', '(6+5i)', '(8-8i)', '(9+7i)'] -> (((6+5i) * (8-8i)) - ((4-4i) * (9+7i)))
[94718] ['(4-4i)', '(6+5i)', '(8-4i)', '(9+6i)'] -> (((8-4i) * ((9+6i) - (6+5i))) - (4-4i))
[94778] ['(4-4i)', '(6+5i)', '(8+3i)', '(8+6i)'] -> (((8+6i) * ((8+3i) - (6+5i))) - (4-4i))
[94786] ['(4-4i)', '(6+5i)', '(8+4i)', '(8+5i)'] -> (((4-4i) + (8+4i)) * ((8+5i) - (6+5i)))
[94790] ['(4-4i)', '(6+5i)', '(8+4i)', '(9+3i)'] -> (((5-i) * 7) - ((4-7i) + 7))
[94876] ['(4-4i)', '(6+5i)', '(9+5i)', '(9+9i)'] -> ((-4i + (9+7i)) / ((1+2i) / (4+4i)))
[94884] ['(4-4i)', '(6+6i)', '(6+6i)', '(7-6i)'] -> (((6+6i) * ((7-6i) - (4-4i))) - (6+6i))
[94892] ['(4-4i)', '(6+6i)', '(6+6i)', '(8-8i)'] -> (((4-4i) + (6+6i)) + ((6+6i) + (8-8i)))
[94899] ['(4-4i)', '(6+6i)', '(6+6i)', '(8+4i)'] -> ((4+5i) + ((6+7i) * (-4i + (1+2i))))
[94900] ['(4-4i)', '(6+6i)', '(6+6i)', '(8+6i)'] -> (((1-i) * (9+8i)) + ((3+7i) + (4-6i)))
[94904] ['(4-4i)', '(6+6i)', '(6+6i)', '(9+9i)'] -> ((4-4i) * (((6+6i) + (6+6i)) - (9+9i)))
[94910] ['(4-4i)', '(6+6i)', '(6+7i)', '(8-9i)'] -> (((4-4i) + (6+6i)) + ((6+7i) + (8-9i)))
[94915] ['(4-4i)', '(6+6i)', '(6+7i)', '(8+5i)'] -> ((6+6i) * (((4-4i) + (6+7i)) - (8+5i)))
[94917] ['(4-4i)', '(6+6i)', '(6+7i)', '(8+7i)'] -> (-8i * (2 - (-9i + (2+6i))))
[94935] ['(4-4i)', '(6+6i)', '(6+8i)', '(8+6i)'] -> ((6+6i) * (((4-4i) + (6+8i)) - (8+6i)))
