[483221] ['-5i', '4i', '(3-9i)', '(3+2i)'] -> (4i * ((3-9i) - (-5i + (3+2i))))
[483226] ['-5i', '4i', '(3-9i)', '(7-9i)'] -> ((-5i * 4i) - ((3-9i) - (7-9i)))
[483228] ['-5i', '4i', '(3-9i)', '8'] -> (8 * ((3-9i) - (-5i - 4i)))
[483229] ['-5i', '4i', '(3-9i)', '(8+4i)'] -> ((3-9i) * (4i - ((8+4i) / -5i)))
[483232] ['-5i', '4i', '(3-8i)', '(3-7i)'] -> (4i * ((-5i + (3-8i)) - (3-7i)))
[483234] ['-5i', '4i', '(3-8i)', '(3+3i)'] -> (4i * ((3-8i) - (-5i + (3+3i))))
[483236] ['-5i', '4i', '(3-8i)', '4'] -> ((4i + 4) * ((3-8i) - -5i))
[483240] ['-5i', '4i', '(3-8i)', '(7-8i)'] -> ((-5i * 4i) - ((3-8i) - (7-8i)))
[483242] ['-5i', '4i', '(3-8i)', '(8+7i)'] -> ((-5i - (8+7i)) + (4i * (3-8i)))
[483244] ['-5i', '4i', '(3-7i)', '(3-6i)'] -> (4i * ((-5i + (3-7i)) - (3-6i)))
[483245] ['-5i', '4i', '(3-7i)', '(3+4i)'] -> (4i * ((3-7i) - (-5i + (3+4i))))
[483248] ['-5i', '4i', '(3-7i)', '(4-i)'] -> ((4i + (3-7i)) * ((4-i) - -5i))
[483249] ['-5i', '4i', '(3-7i)', '(4+7i)'] -> ((-5i - (4+7i)) + (4i * (3-7i)))
[483250] ['-5i', '4i', '(3-7i)', '(4+9i)'] -> ((-5i + (4+9i)) * (4i + (3-7i)))
[483251] ['-5i', '4i', '(3-7i)', '(7-7i)'] -> ((-5i * 4i) - ((3-7i) - (7-7i)))
[483252] ['-5i', '4i', '(3-6i)', '(3-5i)'] -> (4i * ((-5i + (3-6i)) - (3-5i)))
[483253] ['-5i', '4i', '(3-6i)', '(3+5i)'] -> (4i * ((3-6i) - (-5i + (3+5i))))
[483254] ['-5i', '4i', '(3-6i)', '(4-4i)'] -> ((4-4i) * ((3-6i) - (-5i - 4i)))
[483255] ['-5i', '4i', '(3-6i)', '(4+8i)'] -> ((3-6i) * (4i - ((4+8i) / -5i)))
[483256] ['-5i', '4i', '(3-6i)', '(7-6i)'] -> ((-5i * 4i) - ((3-6i) - (7-6i)))
[483257] ['-5i', '4i', '(3-5i)', '(3-4i)'] -> (4i * ((-5i + (3-5i)) - (3-4i)))
[483258] ['-5i', '4i', '(3-5i)', '(3+6i)'] -> (4i * ((3-5i) - (-5i + (3+6i))))
[483260] ['-5i', '4i', '(3-5i)', '(4-7i)'] -> ((-5i + (4-7i)) + (4i * (3-5i)))
[483262] ['-5i', '4i', '(3-5i)', '(7-5i)'] -> ((-5i * 4i) - ((3-5i) - (7-5i)))
[483264] ['-5i', '4i', '(3-5i)', '(8-4i)'] -> ((4i + (8-4i)) * ((3-5i) - -5i))
[483266] ['-5i', '4i', '(3-4i)', '(3-3i)'] -> (4i * ((-5i + (3-4i)) - (3-3i)))
[483267] ['-5i', '4i', '(3-4i)', '(3+7i)'] -> (4i * ((3-4i) - (-5i + (3+7i))))
[483268] ['-5i', '4i', '(3-4i)', '(4+4i)'] -> ((4+4i) * ((3-4i) - (-5i + 4i)))
[483271] ['-5i', '4i', '(3-4i)', '(7-4i)'] -> ((-5i * 4i) - ((3-4i) - (7-4i)))
[483273] ['-5i', '4i', '(3-4i)', '(8-7i)'] -> ((-5i + (8-7i)) + (4i * (3-4i)))
[483274] ['-5i', '4i', '(3-4i)', '(8-5i)'] -> ((4i + (3-4i)) * ((8-5i) - -5i))
