[55845] ['(2-5i)', '(3+6i)', '(4+4i)', '(4+8i)'] -> (((3-i) + (6+3i)) + ((7-6i) + (8+4i)))
[55856] ['(2-5i)', '(3+6i)', '(4+4i)', '(7-6i)'] -> (((2-5i) * (4+4i)) + ((3+6i) - (7-6i)))
[55862] ['(2-5i)', '(3+6i)', '(4+4i)', '(8-7i)'] -> (((2-5i) * (3+6i)) - ((4+4i) + (8-7i)))
[55864] ['(2-5i)', '(3+6i)', '(4+4i)', '(8-2i)'] -> ((4+4i) * ((8-2i) - ((2-5i) + (3+6i))))
[55885] ['(2-5i)', '(3+6i)', '(4+5i)', '(7+6i)'] -> (((2-5i) + (4+5i)) * ((7+6i) - (3+6i)))
[55887] ['(2-5i)', '(3+6i)', '(4+5i)', '(8-8i)'] -> (((2-5i) * (3+6i)) - ((4+5i) + (8-8i)))
[55910] ['(2-5i)', '(3+6i)', '(4+6i)', '(8-9i)'] -> (((2-5i) * (3+6i)) - ((4+6i) + (8-9i)))
[56030] ['(2-5i)', '(3+6i)', '(5-9i)', '(7+6i)'] -> (((2-5i) * (3+6i)) - ((5-9i) + (7+6i)))
[56037] ['(2-5i)', '(3+6i)', '(5-9i)', '(9+6i)'] -> (((1-i) * (8+5i)) + ((2+9i) + (9-6i)))
[56055] ['(2-5i)', '(3+6i)', '(5-8i)', '(7+5i)'] -> (((2-5i) * (3+6i)) - ((5-8i) + (7+5i)))
[56088] ['(2-5i)', '(3+6i)', '(5-7i)', '(7+4i)'] -> (((2-5i) * (3+6i)) - ((5-7i) + (7+4i)))
[56102] ['(2-5i)', '(3+6i)', '(5-6i)', '(5-5i)'] -> (((3+6i) + (5-6i)) * ((5-5i) - (2-5i)))
[56114] ['(2-5i)', '(3+6i)', '(5-6i)', '(7+3i)'] -> (((2-5i) * (3+6i)) - ((5-6i) + (7+3i)))
[56150] ['(2-5i)', '(3+6i)', '(5-5i)', '(7+2i)'] -> (((2-5i) * (3+6i)) - ((5-5i) + (7+2i)))
[56164] ['(2-5i)', '(3+6i)', '(5-5i)', '(9+2i)'] -> (((9+2i) * ((5-5i) - (2-5i))) - (3+6i))
[56178] ['(2-5i)', '(3+6i)', '(5-4i)', '(7+i)'] -> (((2-5i) * (3+6i)) - ((5-4i) + (7+i)))
[56181] ['(2-5i)', '(3+6i)', '(5-4i)', '(8-8i)'] -> (((3+6i) * (8-8i)) / ((5-4i) - (2-5i)))
[56199] ['(2-5i)', '(3+6i)', '(5-3i)', '7'] -> (((2-5i) * (3+6i)) - ((5-3i) + 7))
[56223] ['(2-5i)', '(3+6i)', '(5-2i)', '(7-i)'] -> (8 - ((4-4i) * (4 - (6+2i))))
[56245] ['(2-5i)', '(3+6i)', '(5-i)', '(7-2i)'] -> (((3-i) * 9) + ((6+3i) - (9-6i)))
[56267] ['(2-5i)', '(3+6i)', '5', '(7-3i)'] -> (((2-5i) * (3+6i)) - (5 + (7-3i)))
[56295] ['(2-5i)', '(3+6i)', '(5+i)', '(7-4i)'] -> (-6i * ((-7i - -6i) - -5i))
[56323] ['(2-5i)', '(3+6i)', '(5+2i)', '(7-5i)'] -> (((1-7i) - (3-9i)) * ((2-6i) - 8))
[56346] ['(2-5i)', '(3+6i)', '(5+3i)', '(7-6i)'] -> (((3-i) * (6+4i)) - ((6+7i) - (8+i)))
[56393] ['(2-5i)', '(3+6i)', '(5+4i)', '(7-7i)'] -> (((2-5i) * (3+6i)) - ((5+4i) + (7-7i)))
[56428] ['(2-5i)', '(3+6i)', '(5+5i)', '(7-8i)'] -> ((8-8i) - ((4-8i) * ((7+7i) - (7+9i))))
[56456] ['(2-5i)', '(3+6i)', '(5+6i)', '(7-9i)'] -> (((2-5i) * (3+6i)) - ((5+6i) + (7-9i)))
[56584] ['(2-5i)', '(3+6i)', '(6-9i)', '(6+6i)'] -> (((2-5i) * (3+6i)) - ((6-9i) + (6+6i)))
[56617] ['(2-5i)', '(3+6i)', '(6-8i)', '(6+5i)'] -> (((2-6i) - (1-7i)) * ((3-3i) * 4))
[56653] ['(2-5i)', '(3+6i)', '(6-7i)', '(6+4i)'] -> (((4-i) * (5+2i)) - ((6+9i) - (8+6i)))
[56675] ['(2-5i)', '(3+6i)', '(6-6i)', '(7+3i)'] -> ((6-6i) * ((7+3i) - ((2-5i) + (3+6i))))
[56696] ['(2-5i)', '(3+6i)', '(6-5i)', '(6+2i)'] -> (((2-5i) * (3+6i)) - ((6-5i) + (6+2i)))
[56723] ['(2-5i)', '(3+6i)', '(6-4i)', '(6+i)'] -> (((2-5i) * (3+6i)) - ((6-4i) + (6+i)))
[56747] ['(2-5i)', '(3+6i)', '(6-3i)', '6'] -> (((4-i) + (5+2i)) + ((7-5i) + (8+4i)))
[56760] ['(2-5i)', '(3+6i)', '(6-3i)', '(9-9i)'] -> (((6-3i) * ((2-5i) + (3+6i))) - (9-9i))
[56769] ['(2-5i)', '(3+6i)', '(6-2i)', '(6-i)'] -> (((2-5i) * (3+6i)) - ((6-2i) + (6-i)))
[56784] ['(2-5i)', '(3+6i)', '(6-2i)', '(8-4i)'] -> (((6-2i) * ((2-5i) + (3+6i))) - (8-4i))
[56805] ['(2-5i)', '(3+6i)', '(6-i)', '(7+i)'] -> (-4i * ((4-4i) - ((1-7i) + (3-3i))))
[56830] ['(2-5i)', '(3+6i)', '6', '(6+6i)'] -> ((6 * ((2-5i) + (3+6i))) - (6+6i))
[56849] ['(2-5i)', '(3+6i)', '6', '(9+i)'] -> (6 * ((9+i) - ((2-5i) + (3+6i))))
[56933] ['(2-5i)', '(3+6i)', '(6+5i)', '(6+6i)'] -> (((2-5i) + (6+5i)) * ((6+6i) - (3+6i)))
[56955] ['(2-5i)', '(3+6i)', '(6+6i)', '(7-i)'] -> (3 * ((7+3i) - (-4i - (1-7i))))
[57007] ['(2-5i)', '(3+6i)', '(6+9i)', '(8-8i)'] -> (((6+9i) * (8-8i)) / ((2-5i) + (3+6i)))
[57302] ['(2-5i)', '(3+6i)', '8', '(8+i)'] -> (8 * ((8+i) - ((2-5i) + (3+6i))))
[57305] ['(2-5i)', '(3+6i)', '8', '(9-9i)'] -> ((6+6i) - (-6i * (-7i - (1-4i))))
[57350] ['(2-5i)', '(3+6i)', '(8+8i)', '(9-6i)'] -> (((8+8i) * (9-6i)) / ((2-5i) + (3+6i)))
[57356] ['(2-5i)', '(3+6i)', '(8+9i)', '9'] -> (9 - ((8+9i) / ((2-5i) / (3+6i))))
[57455] ['(2-5i)', '(3+7i)', '(3+9i)', '(4+2i)'] -> (((2-5i) * (4+2i)) + ((3+7i) + (3+9i)))
[57516] ['(2-5i)', '(3+7i)', '(4-8i)', '4'] -> ((4-8i) + (4 * ((2-5i) + (3+7i))))
[57628] ['(2-5i)', '(3+7i)', '(4-5i)', '(9-7i)'] -> (((3+7i) + (9-7i)) * ((4-5i) - (2-5i)))
[57633] ['(2-5i)', '(3+7i)', '(4-4i)', '(4+2i)'] -> ((4-4i) * ((4+2i) + ((3+7i) / (2-5i))))
[57634] ['(2-5i)', '(3+7i)', '(4-4i)', '(4+4i)'] -> ((4+4i) * ((4-4i) + ((3+7i) / (2-5i))))
[57653] ['(2-5i)', '(3+7i)', '(4-4i)', '(8+5i)'] -> ((4-4i) * ((8+5i) - ((2-5i) + (3+7i))))
[57717] ['(2-5i)', '(3+7i)', '(4-i)', '(5+9i)'] -> (((2-5i) + (4-i)) * ((5+9i) - (3+7i)))
[57729] ['(2-5i)', '(3+7i)', '(4-i)', '8'] -> (8 * ((4-i) + ((3+7i) / (2-5i))))
[57745] ['(2-5i)', '(3+7i)', '4', '(5+i)'] -> (4 * ((5+i) - ((3+7i) / (2-5i))))
[57750] ['(2-5i)', '(3+7i)', '4', '(7-i)'] -> (4 * ((7-i) + ((3+7i) / (2-5i))))
[57837] ['(2-5i)', '(3+7i)', '(4+4i)', '(4+9i)'] -> (-4i * ((6-5i) - ((1-7i) + (5-4i))))
[57853] ['(2-5i)', '(3+7i)', '(4+4i)', '(7-5i)'] -> (((2-5i) * (4+4i)) + ((3+7i) - (7-5i)))
[57861] ['(2-5i)', '(3+7i)', '(4+4i)', '(8-i)'] -> ((4+4i) * ((8-i) - ((2-5i) + (3+7i))))
[57896] ['(2-5i)', '(3+7i)', '(4+5i)', '(7+7i)'] -> (((2-5i) + (4+5i)) * ((7+7i) - (3+7i)))
[58068] ['(2-5i)', '(3+7i)', '(5-7i)', '(5-5i)'] -> (((6-9i) * 8) / ((8+5i) - (6+8i)))
[58169] ['(2-5i)', '(3+7i)', '(5-3i)', '(7-5i)'] -> ((1-i) * ((9-3i) - ((3-9i) - (6+6i))))
[58180] ['(2-5i)', '(3+7i)', '(5-2i)', '5'] -> (((5-2i) * ((2-5i) + (3+7i))) - 5)
[58216] ['(2-5i)', '(3+7i)', '(5-i)', '6'] -> (6 * ((5-i) + ((3+7i) / (2-5i))))
[58271] ['(2-5i)', '(3+7i)', '(5+2i)', '(8-9i)'] -> ((3+7i) * ((2-5i) - ((8-9i) / (5+2i))))
[58443] ['(2-5i)', '(3+7i)', '(6-6i)', '(7+4i)'] -> ((6-6i) * ((7+4i) - ((2-5i) + (3+7i))))
[58525] ['(2-5i)', '(3+7i)', '(6-i)', '(8+7i)'] -> (((6-i) * ((2-5i) + (3+7i))) - (8+7i))
[58555] ['(2-5i)', '(3+7i)', '6', '(9+2i)'] -> (6 * ((9+2i) - ((2-5i) + (3+7i))))
[58557] ['(2-5i)', '(3+7i)', '6', '(9+9i)'] -> (6 - ((9+9i) / ((2-5i) / (3+7i))))
[58618] ['(2-5i)', '(3+7i)', '(6+5i)', '(6+7i)'] -> (((2-5i) + (6+5i)) * ((6+7i) - (3+7i)))
[58636] ['(2-5i)', '(3+7i)', '(6+6i)', '7'] -> ((6+6i) * (7 - ((2-5i) + (3+7i))))
[58691] ['(2-5i)', '(3+7i)', '(6+9i)', '(9-3i)'] -> ((9-3i) - ((6+9i) / ((2-5i) / (3+7i))))
[58742] ['(2-5i)', '(3+7i)', '(7-7i)', '(9-8i)'] -> ((-6i / (3-i)) * ((4+5i) - -7i))
[58825] ['(2-5i)', '(3+7i)', '(7-i)', '(8+9i)'] -> ((7-i) - ((8+9i) / ((2-5i) / (3+7i))))
[58860] ['(2-5i)', '(3+7i)', '(7+i)', '(9+8i)'] -> ((7+i) - ((9+8i) / ((2-5i) / (3+7i))))
[58919] ['(2-5i)', '(3+7i)', '(7+7i)', '(8+9i)'] -> ((3+7i) - ((8+9i) / ((2-5i) / (7+7i))))
[58931] ['(2-5i)', '(3+7i)', '(7+8i)', '(9-i)'] -> ((9-i) - ((7+8i) / ((2-5i) / (3+7i))))
[58936] ['(2-5i)', '(3+7i)', '(7+9i)', '(8-2i)'] -> ((8-2i) - ((7+9i) / ((2-5i) / (3+7i))))
[58952] ['(2-5i)', '(3+7i)', '(8-9i)', '(9+8i)'] -> (((2-5i) * (3+7i)) - ((8-9i) + (9+8i)))
[58962] ['(2-5i)', '(3+7i)', '(8-8i)', '(9+7i)'] -> (((2-5i) * (3+7i)) - ((8-8i) + (9+7i)))
[58974] ['(2-5i)', '(3+7i)', '(8-7i)', '(9+6i)'] -> (((2-5i) * (3+7i)) - ((8-7i) + (9+6i)))
[58986] ['(2-5i)', '(3+7i)', '(8-6i)', '(9+5i)'] -> (((2-5i) * (3+7i)) - ((8-6i) + (9+5i)))
[58997] ['(2-5i)', '(3+7i)', '(8-5i)', '(9+4i)'] -> ((4-4i) * (((4+2i) + (7-3i)) - (8-4i)))
[59004] ['(2-5i)', '(3+7i)', '(8-4i)', '(9+3i)'] -> (((4-4i) - (4+2i)) * ((7+2i) - (7-2i)))
[59013] ['(2-5i)', '(3+7i)', '(8-3i)', '(9+2i)'] -> (((2-5i) * (3+7i)) - ((8-3i) + (9+2i)))
[59017] ['(2-5i)', '(3+7i)', '(8-2i)', '(9+i)'] -> (((2-5i) * (3+7i)) - ((8-2i) + (9+i)))
[59034] ['(2-5i)', '(3+7i)', '(8-i)', '9'] -> (((2-5i) * (3+7i)) - ((8-i) + 9))
[59039] ['(2-5i)', '(3+7i)', '8', '(8+2i)'] -> (8 * ((8+2i) - ((2-5i) + (3+7i))))
[59040] ['(2-5i)', '(3+7i)', '8', '(8+8i)'] -> (8 - ((8+8i) / ((2-5i) / (3+7i))))
[59041] ['(2-5i)', '(3+7i)', '8', '(9-8i)'] -> (((9-8i) - (3+7i)) / ((2-5i) / 8))
[59043] ['(2-5i)', '(3+7i)', '8', '(9-i)'] -> (((2-5i) * (3+7i)) - (8 + (9-i)))
[59050] ['(2-5i)', '(3+7i)', '(8+i)', '(9-2i)'] -> (((2-5i) * (3+7i)) - ((8+i) + (9-2i)))
[59053] ['(2-5i)', '(3+7i)', '(8+2i)', '(9-3i)'] -> (((2-5i) * (3+7i)) - ((8+2i) + (9-3i)))
[59056] ['(2-5i)', '(3+7i)', '(8+2i)', '(9+7i)'] -> ((8+2i) - ((9+7i) / ((2-5i) / (3+7i))))
[59060] ['(2-5i)', '(3+7i)', '(8+3i)', '(9-4i)'] -> (((2-5i) * (3+7i)) - ((8+3i) + (9-4i)))
[59070] ['(2-5i)', '(3+7i)', '(8+4i)', '(9-5i)'] -> (((2-5i) * (3+7i)) - ((8+4i) + (9-5i)))
[59077] ['(2-5i)', '(3+7i)', '(8+5i)', '(9-6i)'] -> (((2-5i) * (3+7i)) - ((8+5i) + (9-6i)))
[59084] ['(2-5i)', '(3+7i)', '(8+6i)', '(9-7i)'] -> (((2-5i) * (3+7i)) - ((8+6i) + (9-7i)))
[59092] ['(2-5i)', '(3+7i)', '(8+7i)', '(9-8i)'] -> (((2-5i) * (3+7i)) - ((8+7i) + (9-8i)))
[59094] ['(2-5i)', '(3+7i)', '(8+7i)', '(9+i)'] -> ((9+i) - ((8+7i) / ((2-5i) / (3+7i))))
