[138260] ['(3-3i)', '5', '(5+5i)', '(9-9i)'] -> (((3-3i) + (9-9i)) / (5 / (5+5i)))
[138265] ['(3-3i)', '5', '(5+6i)', '(6+2i)'] -> (((2-4i) * ((2-4i) - -9i)) - 2i)
[138289] ['(3-3i)', '5', '(5+7i)', '(6+3i)'] -> ((3-3i) * ((5 + (5+7i)) - (6+3i)))
[138296] ['(3-3i)', '5', '(5+7i)', '(7+6i)'] -> (((3-3i) * (5+7i)) - (5 + (7+6i)))
[138316] ['(3-3i)', '5', '(5+8i)', '(6+4i)'] -> ((3-3i) * ((5 + (5+8i)) - (6+4i)))
[138330] ['(3-3i)', '5', '(5+8i)', '(9+9i)'] -> (((1-7i) * (3+5i)) - ((5-7i) + (9-9i)))
[138335] ['(3-3i)', '5', '(5+9i)', '(6+5i)'] -> ((3-3i) * ((5 + (5+9i)) - (6+5i)))
[138348] ['(3-3i)', '5', '(5+9i)', '(8+8i)'] -> ((5 - (5+9i)) / ((3-3i) / (8+8i)))
[138428] ['(3-3i)', '5', '(6-7i)', '(9+4i)'] -> (((6-7i) * (5 - (3-3i))) - (9+4i))
[138432] ['(3-3i)', '5', '(6-6i)', '(6-5i)'] -> ((6-6i) * (((3-3i) + 5) - (6-5i)))
[138433] ['(3-3i)', '5', '(6-6i)', '(6-4i)'] -> ((5 * (6-6i)) - ((3-3i) * (6-4i)))
[138436] ['(3-3i)', '5', '(6-6i)', '(6+6i)'] -> (((6-6i) * (5 - (3-3i))) - (6+6i))
[138438] ['(3-3i)', '5', '(6-6i)', '7'] -> ((5 + 7) / ((3-3i) / (6-6i)))
[138447] ['(3-3i)', '5', '(6-6i)', '8'] -> ((8+4i) + (2i * (-9i - (2-i))))
[138459] ['(3-3i)', '5', '(6-5i)', '(7-9i)'] -> ((3-3i) * ((5 + (6-5i)) - (7-9i)))
[138474] ['(3-3i)', '5', '(6-5i)', '(9-4i)'] -> ((5 * ((9-4i) - (3-3i))) - (6-5i))
[138486] ['(3-3i)', '5', '(6-4i)', '(7-8i)'] -> ((3-3i) * ((5 + (6-4i)) - (7-8i)))
[138502] ['(3-3i)', '5', '(6-3i)', '(7-7i)'] -> ((3-3i) * ((5 + (6-3i)) - (7-7i)))
[138514] ['(3-3i)', '5', '(6-2i)', '(7-6i)'] -> ((3-3i) * ((5 + (6-2i)) - (7-6i)))
[138537] ['(3-3i)', '5', '(6-i)', '(6+6i)'] -> (((6-6i) * (6-i)) - ((4-3i) * (6-6i)))
[138542] ['(3-3i)', '5', '(6-i)', '(7-5i)'] -> ((3-3i) * ((5 + (6-i)) - (7-5i)))
[138547] ['(3-3i)', '5', '(6-i)', '8'] -> (((3-3i) * 8) / ((6-i) - 5))
[138552] ['(3-3i)', '5', '(6-i)', '(9-8i)'] -> (((3-3i) - (9-8i)) + (5 * (6-i)))
[138558] ['(3-3i)', '5', '6', '(6+3i)'] -> (6 * ((6+3i) + ((3-3i) - 5)))
[138564] ['(3-3i)', '5', '6', '(7-4i)'] -> ((3-3i) * ((5 + 6) - (7-4i)))
[138571] ['(3-3i)', '5', '6', '(9+9i)'] -> (((1-i) + (5+i)) * ((9-3i) - (5-3i)))
[138579] ['(3-3i)', '5', '(6+i)', '(7-3i)'] -> ((3-3i) * ((5 + (6+i)) - (7-3i)))
[138589] ['(3-3i)', '5', '(6+i)', '(9-9i)'] -> (((3-3i) + (9-9i)) * ((6+i) - 5))
[138593] ['(3-3i)', '5', '(6+i)', '(9-3i)'] -> (((1-4i) * (7+3i)) + ((3+2i) * (5+5i)))
[138594] ['(3-3i)', '5', '(6+i)', '(9+2i)'] -> ((6-6i) - ((6+6i) * ((4-3i) - (6-4i))))
[138602] ['(3-3i)', '5', '(6+2i)', '(7-2i)'] -> ((3-3i) * ((5 + (6+2i)) - (7-2i)))
[138614] ['(3-3i)', '5', '(6+2i)', '(9+7i)'] -> (((3-3i) - (9+7i)) + (5 * (6+2i)))
[138623] ['(3-3i)', '5', '(6+3i)', '(7-i)'] -> ((6-6i) * (((4-3i) + (6-3i)) - (8-8i)))
[138631] ['(3-3i)', '5', '(6+3i)', '(8-9i)'] -> (((3-3i) * (6+3i)) + (5 - (8-9i)))
[138643] ['(3-3i)', '5', '(6+4i)', '7'] -> ((6-6i) * (((4-3i) + (6-2i)) - (8-7i)))
[138654] ['(3-3i)', '5', '(6+5i)', '(7+i)'] -> (((3-8i) + 5) - (-4i * (2-4i)))
[138662] ['(3-3i)', '5', '(6+5i)', '(9-2i)'] -> ((5 * ((9-2i) - (3-3i))) - (6+5i))
[138668] ['(3-3i)', '5', '(6+6i)', '(7-7i)'] -> (((3-3i) + (7-7i)) / (5 / (6+6i)))
[138672] ['(3-3i)', '5', '(6+6i)', '7'] -> ((6-6i) - (6 * ((4-3i) - (7-2i))))
[138673] ['(3-3i)', '5', '(6+6i)', '(7+2i)'] -> ((3-3i) * ((5 + (6+6i)) - (7+2i)))
[138683] ['(3-3i)', '5', '(6+6i)', '(9+6i)'] -> (((3-3i) * ((9+6i) - 5)) - (6+6i))
[138689] ['(3-3i)', '5', '(6+7i)', '(7+3i)'] -> ((3-3i) * ((5 + (6+7i)) - (7+3i)))
[138701] ['(3-3i)', '5', '(6+8i)', '(7+4i)'] -> ((3-3i) * ((5 + (6+8i)) - (7+4i)))
[138718] ['(3-3i)', '5', '(6+9i)', '(7+5i)'] -> ((3-3i) * ((5 + (6+9i)) - (7+5i)))
[138721] ['(3-3i)', '5', '(6+9i)', '8'] -> (((6+9i) * 8) / (5 - (3-3i)))
[138773] ['(3-3i)', '5', '(7-7i)', '9'] -> (9 * (5 - ((7-7i) / (3-3i))))
[138785] ['(3-3i)', '5', '(7-6i)', '(7+5i)'] -> (((3-3i) * (7+5i)) - (5 + (7-6i)))
[138789] ['(3-3i)', '5', '(7-6i)', '(8+9i)'] -> (((7-6i) * (5 - (3-3i))) - (8+9i))
[138793] ['(3-3i)', '5', '(7-6i)', '(9+9i)'] -> (((6+7i) + (8-5i)) / ((4-3i) / (6-6i)))
[138797] ['(3-3i)', '5', '(7-5i)', '(8-9i)'] -> ((3-3i) * ((5 + (7-5i)) - (8-9i)))
[138808] ['(3-3i)', '5', '(7-5i)', '(9+8i)'] -> ((6-6i) * (6 - ((1-7i) + (3+5i))))
[138815] ['(3-3i)', '5', '(7-4i)', '(8-8i)'] -> ((3-3i) * ((5 + (7-4i)) - (8-8i)))
[138821] ['(3-3i)', '5', '(7-4i)', '(9+7i)'] -> (((3-3i) + 5) + ((7-4i) + (9+7i)))
