[69599] ['(1-i)', '(3-3i)', '(3-i)', '(6+2i)'] -> (((1-i) + (3-3i)) * ((6+2i) - (3-i)))
[69600] ['(1-i)', '(3-3i)', '(3-i)', '(6+5i)'] -> ((3-3i) * ((6+5i) - ((3-i) / (1-i))))
[69614] ['(1-i)', '(3-3i)', '(3-i)', '(8+8i)'] -> (((3-3i) * (8+8i)) / ((3-i) - (1-i)))
[69618] ['(1-i)', '(3-3i)', '(3-i)', '(9-3i)'] -> ((3-3i) + ((9-3i) / ((1-i) / (3-i))))
[69619] ['(1-i)', '(3-3i)', '(3-i)', '(9+3i)'] -> (((3-3i) + (9+3i)) * ((3-i) - (1-i)))
[69625] ['(1-i)', '(3-3i)', '3', '(3+5i)'] -> ((1-i) * ((3-3i) + (3 * (3+5i))))
[69626] ['(1-i)', '(3-3i)', '3', '(3+6i)'] -> (((4-i) * (6+i)) + ((6+5i) - (7+3i)))
[69632] ['(1-i)', '(3-3i)', '3', '(4-4i)'] -> (((4-i) + (6+i)) + ((6+5i) + (8-5i)))
[69635] ['(1-i)', '(3-3i)', '3', '4'] -> (((5-2i) * ((9-i) - (4-4i))) - (7+5i))
[69638] ['(1-i)', '(3-3i)', '3', '(4+4i)'] -> (3 * ((4+4i) + ((1-i) + (3-3i))))
[69643] ['(1-i)', '(3-3i)', '3', '(5-5i)'] -> (((3-3i) + (5-5i)) / ((1-i) / 3))
[69653] ['(1-i)', '(3-3i)', '3', '(6+3i)'] -> (((1-i) + (3-3i)) * ((6+3i) - 3))
[69654] ['(1-i)', '(3-3i)', '3', '(6+5i)'] -> (-4i * ((9+4i) - ((1-4i) + (8+2i))))
[69656] ['(1-i)', '(3-3i)', '3', '(6+6i)'] -> ((6+6i) * ((1-i) + ((3-3i) / 3)))
[69659] ['(1-i)', '(3-3i)', '3', '(7-7i)'] -> (((3-3i) + (3 * (7-7i))) / (1-i))
[69661] ['(1-i)', '(3-3i)', '3', '(7+4i)'] -> (3 * (((1-i) * (7+4i)) - (3-3i)))
[69667] ['(1-i)', '(3-3i)', '3', '(8+2i)'] -> (((1-i) * (3-3i)) + (3 * (8+2i)))
[69668] ['(1-i)', '(3-3i)', '3', '(8+3i)'] -> (((5-2i) * (5+i)) + (6 - (9-5i)))
[69673] ['(1-i)', '(3-3i)', '3', '(8+6i)'] -> (((3-7i) + (5+6i)) + ((7+3i) + (9-2i)))
[69675] ['(1-i)', '(3-3i)', '3', '(8+8i)'] -> (((3-3i) - 3) / ((1-i) / (8+8i)))
[69677] ['(1-i)', '(3-3i)', '3', '(9-9i)'] -> (((3 * (9-9i)) - (3-3i)) / (1-i))
[69682] ['(1-i)', '(3-3i)', '3', '(9+9i)'] -> (-3i * ((-7i / -i) - (7-8i)))
[69686] ['(1-i)', '(3-3i)', '(3+i)', '(3+2i)'] -> ((3-3i) * ((3+2i) + ((3+i) / (1-i))))
[69687] ['(1-i)', '(3-3i)', '(3+i)', '(3+3i)'] -> (((1-i) + (3+i)) * ((3-3i) + (3+3i)))
[69688] ['(1-i)', '(3-3i)', '(3+i)', '(3+9i)'] -> (((1-i) * (3+9i)) + ((3-3i) * (3+i)))
[69692] ['(1-i)', '(3-3i)', '(3+i)', '(4+i)'] -> ((1-i) + ((3+i) * ((3-3i) + (4+i))))
[69693] ['(1-i)', '(3-3i)', '(3+i)', '(4+2i)'] -> ((3-3i) * ((3+i) + ((4+2i) / (1-i))))
[69702] ['(1-i)', '(3-3i)', '(3+i)', '(5-i)'] -> (((3+i) + (5-i)) / ((1-i) / (3-3i)))
[69706] ['(1-i)', '(3-3i)', '(3+i)', '(5+6i)'] -> ((3-3i) * ((5+6i) - ((3+i) / (1-i))))
[69712] ['(1-i)', '(3-3i)', '(3+i)', '(6+4i)'] -> (((1-i) + (3-3i)) * ((6+4i) - (3+i)))
