[16632] ['(1-7i)', '(1-2i)', '(5-3i)', '(6+6i)'] -> ((3+6i) * (-4i - (-4i / (1+2i))))
[16635] ['(1-7i)', '(1-2i)', '(5-3i)', '(7-4i)'] -> (((1-7i) + ((5-3i) * (7-4i))) / (1-2i))
[16644] ['(1-7i)', '(1-2i)', '(5-3i)', '(8+4i)'] -> (((1-2i) * ((8+4i) - (1-7i))) - (5-3i))
[16650] ['(1-7i)', '(1-2i)', '(5-3i)', '(9+2i)'] -> (((9+2i) * ((1-7i) / (1-2i))) - (5-3i))
[16653] ['(1-7i)', '(1-2i)', '(5-2i)', '(5+7i)'] -> (((1-7i) + (5+7i)) * ((5-2i) - (1-2i)))
[16657] ['(1-7i)', '(1-2i)', '(5-2i)', '(6-7i)'] -> ((-4i + -4i) + ((1+2i) * (8-8i)))
[16661] ['(1-7i)', '(1-2i)', '(5-2i)', '(6+7i)'] -> (((1-2i) * (6+7i)) - ((1-7i) - (5-2i)))
[16683] ['(1-7i)', '(1-2i)', '(5-i)', '(6-8i)'] -> (((5-i) + (6-8i)) - ((1-7i) * (1-2i)))
[16684] ['(1-7i)', '(1-2i)', '(5-i)', '(6-7i)'] -> (((1-7i) + ((5-i) * (6-7i))) / (1-2i))
[16700] ['(1-7i)', '(1-2i)', '5', '(6-9i)'] -> ((9+3i) - ((1+3i) + (-4i * -4i)))
[16720] ['(1-7i)', '(1-2i)', '5', '(9+5i)'] -> ((9+5i) + (5 * ((1-7i) / (1-2i))))
[16722] ['(1-7i)', '(1-2i)', '(5+i)', '(6-6i)'] -> (4 * ((5+2i) - ((3-4i) - (4-6i))))
[16724] ['(1-7i)', '(1-2i)', '(5+i)', '(6-2i)'] -> (((4+4i) * (9-9i)) / ((7-9i) - (4-9i)))
[16738] ['(1-7i)', '(1-2i)', '(5+i)', '(8+2i)'] -> (((2-5i) * (2+3i)) - ((3+i) - (8+5i)))
[16747] ['(1-7i)', '(1-2i)', '(5+2i)', '(6+5i)'] -> ((-4i + (1+5i)) * (-4i * (3+3i)))
[16764] ['(1-7i)', '(1-2i)', '(5+3i)', '(6-4i)'] -> ((6-4i) + ((5+3i) * ((1-7i) / (1-2i))))
[16767] ['(1-7i)', '(1-2i)', '(5+3i)', '(6+i)'] -> ((5+3i) + ((6+i) * ((1-7i) / (1-2i))))
[16777] ['(1-7i)', '(1-2i)', '(5+3i)', '(8+6i)'] -> (-4i * ((1+8i) - (-4i + (1+6i))))
[16804] ['(1-7i)', '(1-2i)', '(5+5i)', '(6-6i)'] -> (((1-7i) + (5+5i)) / ((1-2i) / (6-6i)))
[16826] ['(1-7i)', '(1-2i)', '(5+6i)', '(6+5i)'] -> (((1-2i) * ((5+6i) - (1-7i))) - (6+5i))
[16831] ['(1-7i)', '(1-2i)', '(5+6i)', '(8-3i)'] -> (((1-2i) * (5+6i)) - ((1-7i) - (8-3i)))
[16840] ['(1-7i)', '(1-2i)', '(5+7i)', '(6-4i)'] -> (((4-2i) + (5+6i)) + ((6-8i) + (9+4i)))
[16853] ['(1-7i)', '(1-2i)', '(5+7i)', '(8+5i)'] -> (((8+5i) * ((1-7i) / (1-2i))) - (5+7i))
[16854] ['(1-7i)', '(1-2i)', '(5+7i)', '(8+6i)'] -> (((2-5i) * (3+5i)) + ((2+3i) - (9-2i)))
[16897] ['(1-7i)', '(1-2i)', '(5+9i)', '(8-6i)'] -> (((1-2i) * (5+9i)) + ((8-6i) / (1-7i)))
[16905] ['(1-7i)', '(1-2i)', '(6-9i)', '6'] -> (6 * ((6-9i) - ((1-7i) + (1-2i))))
[16965] ['(1-7i)', '(1-2i)', '(6-6i)', '(7-9i)'] -> (((7-9i) - (1-7i)) / ((1-2i) / (6-6i)))
[16976] ['(1-7i)', '(1-2i)', '(6-6i)', '(8+4i)'] -> (((6-6i) * (8+4i)) / ((1-7i) / (1-2i)))
[17018] ['(1-7i)', '(1-2i)', '(6-5i)', '(9+4i)'] -> (((1-2i) * ((9+4i) - (1-7i))) - (6-5i))
[17085] ['(1-7i)', '(1-2i)', '(6-i)', '(7+9i)'] -> ((7+9i) + ((6-i) * ((1-7i) / (1-2i))))
[17087] ['(1-7i)', '(1-2i)', '(6-i)', '8'] -> (8 * ((6-i) - ((1-7i) / (1-2i))))
[17094] ['(1-7i)', '(1-2i)', '6', '(6+6i)'] -> ((6+6i) + (6 * ((1-7i) / (1-2i))))
[17103] ['(1-7i)', '(1-2i)', '6', '(7-i)'] -> (6 * ((7-i) - ((1-7i) / (1-2i))))
[17106] ['(1-7i)', '(1-2i)', '6', '(7+5i)'] -> (((1-2i) * ((7+5i) - (1-7i))) - 6)
[17114] ['(1-7i)', '(1-2i)', '6', '(9+3i)'] -> (((9+3i) * ((1-7i) / (1-2i))) - 6)
[17122] ['(1-7i)', '(1-2i)', '(6+i)', '(7+6i)'] -> (((1-2i) * (7+6i)) - ((1-7i) - (6+i)))
[17159] ['(1-7i)', '(1-2i)', '(6+3i)', '(8-8i)'] -> (((6+3i) * (8-8i)) / ((1-7i) / (1-2i)))
[17213] ['(1-7i)', '(1-2i)', '(6+5i)', '9'] -> (((1-2i) * (6+5i)) - ((1-7i) - 9))
[17224] ['(1-7i)', '(1-2i)', '(6+6i)', '(7+3i)'] -> (((1-2i) * ((6+6i) - (1-7i))) - (7+3i))
[17241] ['(1-7i)', '(1-2i)', '(6+6i)', '(9+5i)'] -> (-4i - ((2-2i) * (-4i - (5+3i))))
[17259] ['(1-7i)', '(1-2i)', '(6+7i)', '(9+4i)'] -> (((1-2i) * ((6+7i) - (1-7i))) - (9+4i))
[17279] ['(1-7i)', '(1-2i)', '(6+8i)', '(8+8i)'] -> ((8+8i) * ((1-2i) - ((1-7i) / (6+8i))))
[17310] ['(1-7i)', '(1-2i)', '(7-9i)', '(8+4i)'] -> ((8+4i) * ((1-2i) + ((7-9i) / (1-7i))))
[17428] ['(1-7i)', '(1-2i)', '(7-2i)', '(8+5i)'] -> (((1-2i) * ((8+5i) - (1-7i))) - (7-2i))
[17477] ['(1-7i)', '(1-2i)', '(7+3i)', '(9+4i)'] -> (((9+4i) * ((1-7i) / (1-2i))) - (7+3i))
[17483] ['(1-7i)', '(1-2i)', '(7+4i)', '(8+5i)'] -> (((1-2i) * (8+5i)) - ((1-7i) - (7+4i)))
[17491] ['(1-7i)', '(1-2i)', '(7+5i)', '(8+2i)'] -> (((1-2i) * (7+5i)) - ((1-7i) - (8+2i)))
[17498] ['(1-7i)', '(1-2i)', '(7+6i)', '(8+i)'] -> (((1-2i) * ((7+6i) - (1-7i))) - (8+i))
[17560] ['(1-7i)', '(1-2i)', '(8-4i)', '(9+5i)'] -> (((1-2i) * ((9+5i) - (1-7i))) - (8-4i))
[17587] ['(1-7i)', '(1-2i)', '8', '(9-3i)'] -> ((8 * (9-3i)) / ((1-7i) / (1-2i)))
[17593] ['(1-7i)', '(1-2i)', '(8+i)', '(9+7i)'] -> ((3+3i) * ((7-4i) + ((3-7i) - (6-7i))))
[17609] ['(1-7i)', '(1-2i)', '(8+4i)', '(9+5i)'] -> (((1-2i) * (8+4i)) - ((1-7i) - (9+5i)))
[17620] ['(1-7i)', '(1-2i)', '(8+6i)', '(9-i)'] -> (((3-i) - (5-3i)) + ((4+2i) * (5-3i)))
[17624] ['(1-7i)', '(1-2i)', '(8+6i)', '(9+5i)'] -> (((9+5i) * ((1-7i) / (1-2i))) - (8+6i))
[17629] ['(1-7i)', '(1-2i)', '(8+7i)', '(9+4i)'] -> (((1-2i) * (9+4i)) - ((1-7i) - (8+7i)))
[17686] ['(1-7i)', '(1-2i)', '(9+6i)', '(9+9i)'] -> (((9+6i) * ((1-7i) / (1-2i))) - (9+9i))
[17687] ['(1-7i)', '(1-i)', '(1-i)', '(1+5i)'] -> (((1-i) * (1-i)) * ((1+5i) - (1-7i)))
[17689] ['(1-7i)', '(1-i)', '(1-i)', '(2-2i)'] -> (((1-i) - (1-7i)) * ((1-i) * (2-2i)))
[17696] ['(1-7i)', '(1-i)', '(1-i)', '(4+3i)'] -> ((((1-7i) * (4+3i)) - (1-i)) / (1-i))
[17697] ['(1-7i)', '(1-i)', '(1-i)', '(4+4i)'] -> (((1-7i) - (1-i)) / ((1-i) / (4+4i)))
[17699] ['(1-7i)', '(1-i)', '(1-i)', '(4+9i)'] -> ((1-i) * (((1-i) * (4+9i)) - (1-7i)))
[17710] ['(1-7i)', '(1-i)', '(1-i)', '(6+4i)'] -> (((7-7i) - (7-5i)) * ((9+7i) - (9-5i)))
[17712] ['(1-7i)', '(1-i)', '(1-i)', '(7-i)'] -> (((7-7i) - (7-5i)) * ((9+8i) - (9-4i)))
[17747] ['(1-7i)', '(1-i)', '1', '(4+3i)'] -> (((6-7i) + (6-i)) + ((6+2i) + (6+6i)))
[17748] ['(1-7i)', '(1-i)', '1', '(4+4i)'] -> ((4+4i) * (((1-7i) / (1-i)) - 1))
[17780] ['(1-7i)', '(1-i)', '(1+i)', '(2+2i)'] -> (((1-7i) - (1-i)) * ((1+i) * (2+2i)))
[17787] ['(1-7i)', '(1-i)', '(1+i)', '(3+3i)'] -> (((1-7i) - (1+i)) / ((1-i) / (3+3i)))
[17791] ['(1-7i)', '(1-i)', '(1+i)', '(4-4i)'] -> ((-4i + (8+4i)) * ((3-4i) - -4i))
