[1] ['4/7', '3/5', '8/5', '3', '5'] -> 3/5 + 3 * (5 + 8/5 / 4/7)
[2] ['1/5', '5/7', '5/3', '6', '8'] -> 8 / (5/7 * (5/3 - 1/5 * 6))
[3] ['2/3', '6/5', '9/4', '7', '8'] -> 6/5 * (8 * 9/4 / 2/3 - 7)
[4] ['2/3', '2/3', '6/5', '2', '7'] -> (2 * 7 - 2/3) * 6/5 / 2/3
[5] ['1/8', '4/7', '2/3', '3', '7'] -> (7 * 4/7 / 2/3 - 3) / 1/8
[6] ['3/7', '7/6', '6/5', '3', '3'] -> 3 / (3/7 * 3 - 7/6) - 6/5
[7] ['1/5', '4/3', '9/4', '3', '4'] -> (3 + 4) / (1/5 * 4/3) - 9/4
[8] ['1/9', '1/2', '1', '7/4', '8'] -> 8 / (1 / (1/2 + 7/4) - 1/9)
[9] ['2/7', '2/5', '2/3', '3', '6'] -> 6 / (2/7 * 2/3) - 3 / 2/5
[10] ['5/9', '4/7', '5/6', '2', '5'] -> (2 / 4/7 - 5/6) * 5 / 5/9
[11] ['1/9', '1/4', '4/5', '4', '6'] -> 4 / (1/4 - 1/9) - 4/5 * 6
[12] ['5/7', '7/8', '8/7', '3', '7'] -> 7 / (7/8 * (5/7 - 8/7 / 3))
[13] ['2/5', '7/9', '5/6', '4', '9'] -> 9 * (4 - (2/5 + 7/9 / 5/6))
[14] ['1/9', '1/4', '6/7', '4', '6'] -> (6 + 4 / 6/7) * 1/4 / 1/9
[16] ['2/5', '7/9', '7/8', '4', '9'] -> 4 + 9 / (7/8 * 2/5 / 7/9)
[15] ['1/5', '7/5', '9/4', '3', '4'] -> (9/4 * 4 - 7/5 * 3) / 1/5
[17] ['1/9', '5/9', '5/9', '1', '8'] -> (1 + 1/9 + 5/9) * 8 / 5/9
[18] ['2/5', '3/7', '1', '7/3', '4'] -> (4 / (7/3 * (3/7 / 2/5)) - 1))
[20] ['2/3', '5/7', '3/4', '2', '7'] -> 7 * (2 + 5/7 / (2/3 * 3/4))
[19] ['5/9', '4/7', '8/9', '2', '5'] -> 5 * (2 + 8/9 / (5/9 * 4/7))
[21] ['4/7', '3/5', '3', '7/2', '5'] -> (3 - 3/5) * 5 * 4/7 * 7/2
[22] ['2/3', '5/4', '7/5', '7', '8'] -> 8 / (2/3 / 5/4 - 7/5 / 7)
[23] ['2/5', '3/7', '1', '5/2', '4'] -> 4 / (5/2 * (1 - 2/5 / 3/7))
[24] ['1/9', '5/9', '4/7', '1', '8'] -> (8 / 4/7 - 1/9) / 5/9 - 1
[25] ['2/7', '2/5', '5/6', '3', '6'] -> 6 / (2/7 * 5/6) - 2/5 * 3
[26] ['7/9', '9/7', '2', '2', '9/4'] -> 2 / (7/9 - 9/4 + 2 / 9/7)
[27] ['2/3', '5/7', '7/9', '2', '7'] -> (2 * 7 - 2/3) / (5/7 * 7/9)
[28] ['1/5', '5/7', '7/2', '6', '8'] -> 7/2 * 6 * 8 * 1/5 * 5/7
[29] ['4/7', '3/5', '3', '9/2', '5'] -> 4/7 * (3/5 + 5) * (3 + 9/2)
[30] ['2/5', '7/9', '8/7', '4', '9'] -> 4 + 8/7 * 9 * 7/9 / 2/5
[31] ['2/3', '5/7', '4/5', '2', '7'] -> (2/3 + 2) * (7 / 5/7 - 4/5)
[32] ['2/3', '5/4', '9/5', '7', '8'] -> 7 * 8 / (9/5 + 2/3 / 5/4)
