[89511] ['2/7', '1', '9/7', '7/4', '3'] -> 2/7 / ((9/7 + 7/4) / 3 - 1)
[89512] ['1/7', '4/9', '5/6', '1', '2'] -> (2 / (1/7 / 5/6) - 1) / 4/9
[89513] ['1/8', '2/5', '1', '1', '9/4'] -> (9/4 - 1) / (1/8 * 2/5) - 1
[89514] ['1/6', '1/6', '5/8', '6', '7'] -> (7 / (1/6 + 1/6) - 6) / 5/8
[89515] ['5/9', '7/6', '6/5', '5', '9'] -> (7/6 * 5 + 9 / 6/5) / 5/9
[89516] ['2/9', '4/7', '7/6', '5', '7'] -> 7 / 2/9 - 5 / (4/7 * 7/6)
[89517] ['1/7', '4/9', '6/7', '1', '2'] -> 6/7 / 1/7 / (1 / 4/9 - 2)
[89518] ['1/8', '2/5', '1', '1', '7/3'] -> 1 / (1 / 2/5 - (1/8 + 7/3))
[89519] ['3/7', '9/5', '5/2', '4', '4'] -> 9/5 * 5/2 * (4 / 3/7 - 4)
[89520] ['7/6', '5/3', '5/3', '5', '8'] -> 8 / (5 / (5/3 + 5/3) - 7/6)
[89521] ['9/8', '8/7', '7/5', '8', '8'] -> 8 / (7/5 - 8/7) - 8 / 9/8
[89522] ['1/6', '1/6', '7/9', '6', '7'] -> 7/9 * 6 / (7 * 1/6 * 1/6)
[89523] ['2/7', '1', '9/7', '9/4', '3'] -> 2/7 * 3 / (1 + 9/7 - 9/4)
[89524] ['1', '3/2', '2', '5/2', '5/2'] -> (3/2 + 5/2) * (1 + 2 * 5/2)
[89525] ['1/8', '2/5', '1', '1', '5/2'] -> (2/5 * 5/2 + 1 + 1) / 1/8
[89526] ['2/9', '4/7', '5/4', '5', '7'] -> 5/4 - 5 / 4/7 + 7 / 2/9
[89527] ['4/9', '8/7', '3/2', '4', '4'] -> (8/7 + 4) * (4 + 4/9 * 3/2)
[89528] ['3/7', '9/5', '8/3', '4', '4'] -> (8/3 + 4) / (3/7 / 9/5) - 4
[89529] ['2/7', '1', '9/7', '5/2', '3'] -> 3 * (1 + 5/2 + 9/7 / 2/7)
[89530] ['1/8', '2/5', '1', '1', '8/3'] -> 1 / (8/3 - (1/8 + 1 / 2/5))
[89531] ['1/6', '9/8', '9/7', '3', '9'] -> 9 / (9/8 / 9/7 - 1/6 * 3)
[89532] ['7/6', '7/4', '9/5', '5', '8'] -> (9/5 + 8) * 5 / (7/6 * 7/4)
[89533] ['4/9', '8/7', '8/5', '4', '4'] -> (4/9 + 4) * (4 + 8/5 / 8/7)
[89534] ['2/9', '4/7', '4/3', '5', '7'] -> (5 + 4/3 / (4/7 * 7)) / 2/9
[89535] ['1/6', '1/6', '8/7', '6', '7'] -> (6 / (1/6 * 7) - 8/7) / 1/6
[89536] ['2/7', '1', '9/7', '3', '9/2'] -> 3 * (9/7 / 2/7 - (1 - 9/2))
[89537] ['1/8', '2/9', '6/7', '5', '6'] -> 5 / (6/7 * (2/9 + 1/8 / 6))
[89538] ['4/9', '8/7', '5/3', '4', '4'] -> (4 - 5/3) * 4 / (4/9 / 8/7)
[89539] ['2/3', '5/7', '1', '9/7', '5'] -> (1 + 9/7) * 5 / (2/3 * 5/7)
[89540] ['2/9', '1/4', '4/7', '6', '9'] -> 4/7 * (1/4 * 6 + 9 / 2/9)
[89541] ['2/7', '1', '4/3', '4/3', '3'] -> (1 + 3) * (4/3 + 4/3 / 2/7)
[89542] ['7/6', '9/5', '9/5', '5', '8'] -> 9/5 * (5 + 7/6 * 8) - 9/5
[89543] ['9/8', '8/7', '9/5', '8', '8'] -> (8 + 8 / 8/7) / (9/8 / 9/5)
[89544] ['1/7', '4/9', '1', '8/7', '2'] -> 8/7 / (1 - 4/9 * (1/7 + 2))
[89545] ['1/6', '9/8', '8/5', '3', '9'] -> (9 / 8/5 - 9/8) / 1/6 - 3
[89546] ['2/9', '4/7', '3/2', '5', '7'] -> 5 + 3/2 / 2/9 + 7 / 4/7
[89547] ['1/8', '3/7', '3/7', '1', '1'] -> (3/7 / 3/7 + 1 + 1) / 1/8
[89548] ['1/6', '1/6', '9/7', '6', '7'] -> 6 / (1/6 * 1/6) / (9/7 * 7)
[89549] ['2/3', '5/7', '1', '7/5', '5'] -> 7/5 * (5/7 + 5) / (1 - 2/3)
[89550] ['1', '8/5', '8/5', '2', '5/2'] -> (8/5 + 8/5) * 5/2 * (1 + 2)
[89551] ['5/9', '7/6', '7/4', '5', '9'] -> (5 + 9 - 7/6 / 7/4) / 5/9
[89552] ['1/8', '3/7', '4/9', '1', '1'] -> (1 / 3/7 - 1) / (1/8 * 4/9)
[89553] ['1/6', '1/6', '8/5', '6', '7'] -> 8/5 * (7 / (1/6 + 1/6) - 6)
[89554] ['3/7', '9/4', '8/3', '4', '4'] -> 9/4 * (4 / 3/7 - (8/3 - 4))
[89555] ['2/7', '1', '4/3', '8/5', '3'] -> 8/5 * (1 + 3 / (2/7 / 4/3))
[89556] ['2/3', '5/7', '1', '8/5', '5'] -> 5 / (1 / (5/7 * 8/5) - 2/3)
[89557] ['9/8', '8/7', '7/3', '8', '8'] -> 8 / (8/7 - 9/8) / (7/3 * 8)
[89558] ['1/8', '3/7', '1/2', '1', '1'] -> 1 / (1/2 / 3/7 - (1/8 + 1))
[89559] ['4/9', '8/7', '9/4', '4', '4'] -> 4 / (8/7 - 4/9 * 9/4) - 4
[89560] ['1/8', '2/9', '6/5', '5', '6'] -> (6 - 6/5 / 2/9) / (1/8 / 5)
[89561] ['1', '8/5', '8/5', '2', '7/2'] -> 8/5 / (8/5 / (7/2 - 2) - 1)
[89562] ['2/9', '4/7', '5/3', '5', '7'] -> (4/7 + 5 - 5/3 / 7) / 2/9
[89563] ['1/6', '1/6', '9/5', '6', '7'] -> 9/5 * (1/6 + 1/6 + 6 + 7)
[89564] ['3/7', '9/4', '7/2', '4', '4'] -> 4 / (3/7 / 9/4) / (7/2 / 4)
[89565] ['1/6', '8/7', '6/5', '3', '9'] -> 8/7 * 9 * (3 / 6/5 - 1/6)
[89566] ['2/9', '4/7', '7/4', '5', '7'] -> 5 + 4/7 * (7/4 + 7 / 2/9)
[89567] ['3/7', '9/4', '4', '4', '9/2'] -> 9/2 / (3/7 / 4) / (4 - 9/4)
[89568] ['1', '8/5', '5/3', '2', '7/3'] -> 1 / (7/3 - (5/3 + 2) / 8/5)
[89569] ['7/6', '9/4', '8/3', '5', '8'] -> 8 / (7/6 - 5 / (9/4 * 8/3))
[89570] ['5/9', '7/6', '8/3', '5', '9'] -> 5 * 7/6 * 8/3 - (5/9 - 9)
[89571] ['2/3', '5/7', '1', '9/4', '5'] -> 5 / (2/3 * (1 - 5/7)) - 9/4
[89572] ['2/9', '1/4', '8/7', '6', '9'] -> (1/4 + 2/9 / 8/7) * 6 * 9
[89573] ['4/9', '8/7', '8/3', '4', '4'] -> 8/3 / (4 - (4/9 + 4) / 8/7)
[89574] ['1', '8/5', '5/3', '2', '8/3'] -> 8/5 / (8/3 - (2 + 1 / 5/3))
[89575] ['7/6', '5/2', '5/2', '5', '8'] -> 5/2 * 8 / (5 / 5/2 - 7/6)
[89576] ['5/9', '3/5', '3/5', '2', '4'] -> 4 / (5/9 * (3/5 - 3/5 / 2))
