[8952] ['1/4', '4/5', '7/3', '3', '7'] -> 3 + 7/3 * (1/4 + 7 / 4/5)
[8953] ['3/7', '5/8', '6/5', '3', '4'] -> (4 - 3/7) / (5/8 / (6/5 + 3))
[8954] ['2/9', '5/8', '7/2', '4', '6'] -> 6 / (2/9 * (4 + 5/8 - 7/2))
[8955] ['4/7', '8/9', '7/3', '3', '6'] -> 6 * (4/7 * 7/3 + 8/9 * 3)
[8956] ['4/7', '1', '6/5', '5/2', '4'] -> 6/5 * 5/2 * (1 + 4 / 4/7)
[8957] ['7/9', '6/5', '2', '9/4', '5'] -> 6/5 * 5 / (2 - 7/9 * 9/4)
[8958] ['1/8', '2/5', '4/7', '3', '8'] -> (8 + 3 / (1/8 + 2/5)) / 4/7
[8959] ['8/9', '6/5', '3', '9/2', '5'] -> 9/2 * (8/9 + 5) - 3 / 6/5
[8960] ['1/4', '4/5', '3', '9/2', '7'] -> 3 / (1/4 / 4/5) * (7 - 9/2)
[8961] ['1/9', '1/3', '5/4', '7', '9'] -> (9 + 7 / (1/9 / 1/3)) / 5/4
[8962] ['4/7', '8/9', '8/3', '3', '6'] -> (8/3 - 8/9) * (3 + 6 / 4/7)
[8963] ['7/9', '6/5', '2', '7/2', '5'] -> 7/2 * 5 * (2 / 7/9 - 6/5)
[8964] ['2/9', '2/3', '7/5', '4', '6'] -> (7/5 * (2/3 + 6) - 4) / 2/9
[8965] ['3/7', '5/8', '2/3', '6', '8'] -> 8 / (2/3 - 3/7) - 6 / 5/8
[8966] ['1/8', '2/5', '3/4', '3', '8'] -> 2/5 * (8 / 1/8 - 3 / 3/4)
[8967] ['1/4', '5/6', '8/9', '3', '7'] -> 7 / (1/4 * (8/9 + 5/6 / 3))
[8968] ['3/7', '5/8', '8/5', '3', '4'] -> 4 * (3 / 3/7 - 5/8 * 8/5)
[8969] ['1/9', '1/5', '1/4', '2', '3'] -> 2 / (1/5 * 3) / (1/4 - 1/9)
[8970] ['7/9', '6/5', '2', '9/2', '5'] -> (2 - 7/9 * 6/5) * 9/2 * 5
[8971] ['5/8', '4/5', '7/6', '3', '3'] -> (4/5 + 7/6 / 5/8) * 3 * 3
[8972] ['1/5', '2/7', '8/5', '3', '5'] -> 5 * (8/5 / 2/7 - 1/5) - 3
[8973] ['1/9', '2/9', '5/7', '2', '8'] -> 8 * ((2/9 + 2) / 5/7 - 1/9)
[8974] ['3/7', '5/8', '4/5', '6', '8'] -> 6 / (3/7 / 4/5) + 8 / 5/8
[8975] ['1/5', '2/7', '7/4', '3', '5'] -> 7/4 * (5 * (3 - 1/5) - 2/7)
[8976] ['5/7', '8/7', '9/4', '4', '9'] -> (8/7 + 9 / (9/4 / 4)) / 5/7
