[71605] ['4/9', '4/7', '7/2', '5', '8'] -> (4/9 * (5 + (8 / (4/7 / 7/2))))
[71606] ['2/3', '1', '8/5', '7/2', '9'] -> ((7/2 - 1) * (9 * (2/3 * 8/5)))
[71607] ['1/2', '1', '7/6', '7/6', '2'] -> (2 / (7/6 - (1/2 * (1 + 7/6))))
[71608] ['2/9', '7/9', '1', '7/2', '6'] -> (((6 * (7/2 - 2/9)) - 1) / 7/9)
[71609] ['5/9', '5/8', '8/5', '9', '9'] -> (8/5 + ((9 + (5/9 * 9)) / 5/8))
[71610] ['5/7', '1', '8/5', '9/2', '7'] -> (7 * (9/2 - ((5/7 + 1) / 8/5)))
[71611] ['1/9', '4/7', '1', '7/6', '7'] -> ((7 + (1 / 1/9)) / (4/7 * 7/6))
[71612] ['2/3', '1', '8/5', '9/2', '9'] -> (8/5 * ((1 / 2/3) + (9/2 + 9)))
[71613] ['1/2', '1', '7/6', '6/5', '2'] -> (2 / (((1/2 + 1) / 6/5) - 7/6))
[71614] ['7/9', '7/9', '8/7', '5', '6'] -> (6 * ((7/9 * (8/7 + 5)) - 7/9))
[71615] ['3/7', '9/5', '2', '7/2', '5'] -> (5 * (9/5 + (7/2 * (3/7 * 2))))
[71616] ['4/9', '3/5', '5/8', '5', '8'] -> (((8 / 4/9) - (3/5 * 5)) / 5/8)
[71617] ['5/7', '1', '5/3', '5/3', '7'] -> ((5/3 + (5/3 / 5/7)) * (7 - 1))
[71618] ['6/7', '9/5', '4', '9/2', '6'] -> ((4 + 6) * (9/2 - (9/5 / 6/7)))
[71619] ['4/7', '7/8', '5/3', '6', '6'] -> ((6 * (6 - (5/3 / 7/8))) - 4/7)
[71620] ['3/7', '9/5', '2', '9/2', '5'] -> (5 * ((2 * 9/2) - (9/5 / 3/7)))
[71621] ['5/9', '5/8', '9/5', '9', '9'] -> ((9 + (5/9 * (9/5 + 9))) / 5/8)
[71622] ['5/7', '1', '5/3', '9/5', '7'] -> ((1 + 5/3) * (7 * (5/7 * 9/5)))
[71623] ['1/9', '4/7', '1', '5/4', '7'] -> ((1 / (1/9 * 4/7)) + (5/4 + 7))
