[62658] ['1/4', '3/8', '5/9', '5', '8'] -> (5 / 5/9 - 3/8 * 8) / 1/4
[62659] ['8/5', '7/4', '7/4', '4', '7'] -> 8/5 / 7/4 * (4 * 7 - 7/4)
[62660] ['7/8', '7/4', '8/3', '5', '5'] -> 5 / 5 / (8/3 - (7/8 + 7/4))
[62661] ['3/8', '1/2', '9/5', '6', '6'] -> 9/5 * (1/2 / 3/8 + 6 + 6)
[62662] ['1/4', '7/9', '9/5', '2', '5'] -> 2 / (7/9 - 5 * 1/4 / 9/5)
[62663] ['5/7', '8/9', '9/4', '4', '8'] -> (8/9 + 8) / (5/7 / 9/4) - 4
[62664] ['3/8', '5/7', '1', '6/5', '2'] -> 6/5 / (2 * 3/8 / 5/7 - 1)
[62665] ['1/9', '2/9', '5/8', '7', '8'] -> (7 + 5/8 * 8) / (1/9 / 2/9)
[62666] ['1/8', '4/9', '7/2', '7', '7'] -> 4/9 * (7 / 1/8 - 7 / 7/2)
[62667] ['7/8', '9/5', '9/5', '5', '5'] -> 9/5 / (7/8 - 9/5 + 5 / 5)
[62668] ['1/4', '8/7', '9/7', '2', '2'] -> 2 * ((9/7 + 2) / 1/4 - 8/7)
[62669] ['1/4', '3/8', '5/6', '5', '8'] -> 8 / (3/8 - 1/4 * 5/6 / 5)
[62670] ['2/7', '8/5', '7/3', '4', '9'] -> 8/5 * (9 + 4 / (2/7 * 7/3))
[62671] ['1/8', '1/6', '5/7', '1', '6'] -> (6 - 1) / (5/7 * (1/8 + 1/6))
[62672] ['1/9', '2/9', '3/4', '7', '8'] -> (1/9 + 3/4) / (2/9 / 8) - 7
[62673] ['7/8', '9/5', '9/4', '5', '5'] -> (5 - 9/5 / 9/4) / (7/8 / 5)
[62674] ['2/3', '1', '8/7', '5/2', '6'] -> (5/2 * 6 - 1) / (2/3 / 8/7)
[62675] ['4/9', '1', '7/6', '7/4', '7'] -> (7/4 + 1 / 4/9) / (7/6 / 7)
[62676] ['2/3', '1', '8/7', '9/2', '6'] -> (1 + 6) * 9/2 * 2/3 * 8/7
[62677] ['2/7', '8/5', '7/2', '4', '9'] -> (4 - 8/5) * (9 + 2/7 * 7/2)
[62678] ['1/4', '8/7', '8/5', '2', '2'] -> (2 + 2 / 8/7) / (1/4 / 8/5)
[62679] ['1/9', '2/9', '6/7', '7', '8'] -> 6/7 * 7 * 8 * 1/9 / 2/9
[62680] ['1/4', '4/5', '7/8', '2', '5'] -> 5 * (2 + 7/8 / (1/4 / 4/5))
[62681] ['7/8', '9/5', '7/2', '5', '5'] -> 5 * (9/5 + 7/2 / 7/8) - 5
[62682] ['2/5', '1', '8/5', '9/4', '9'] -> 8/5 / (2/5 / 9/4 - 1 / 9)
[62683] ['1/8', '1/2', '7/9', '7', '7'] -> 7 / 7/9 / (1/8 * 7 - 1/2)
[62684] ['5/7', '9/8', '9/8', '4', '8'] -> 8 / (9/8 / 9/8 - 5/7) - 4
[62685] ['3/8', '5/7', '1', '5/3', '2'] -> 1 / (3/8 + 2 - 5/3 / 5/7)
[62686] ['1/4', '4/5', '8/9', '2', '5'] -> 8/9 * (2 + 5 / (1/4 * 4/5))
[62687] ['7/8', '9/5', '9/2', '5', '5'] -> 9/5 * 5 / (7/8 + 9/2 - 5)
[62688] ['1/4', '2/5', '4/9', '5', '8'] -> 8 / (2/5 - 1/4) / (4/9 * 5)
[62689] ['3/8', '5/9', '5/6', '6', '6'] -> 6 / (6 * (5/9 - 3/8) - 5/6)
[62690] ['2/7', '5/3', '7/4', '4', '9'] -> 4 * 9 * (5/3 / 7/4 - 2/7)
[62691] ['1/4', '4/5', '9/8', '2', '5'] -> (2 + 5 / (1/4 * 4/5)) / 9/8
[62692] ['1/9', '2/9', '9/7', '7', '8'] -> 9/7 * 7 * 8 * (1/9 + 2/9)
[62693] ['1/8', '1/6', '1', '7/5', '6'] -> 7/5 / (1/8 + 1/6) * (6 - 1)
[62694] ['1/4', '8/7', '2', '2', '9/4'] -> (2 / 8/7 + 2 + 9/4) / 1/4
[62695] ['3/8', '5/7', '1', '9/5', '2'] -> 9/5 / (2 - (3/8 + 1) / 5/7)
[62696] ['1/4', '4/5', '8/7', '2', '5'] -> 5 * (2 + 4/5 / (1/4 * 8/7))
[62697] ['8/5', '9/4', '4', '9/2', '7'] -> 8/5 * (7 + 9/2 / (9/4 / 4))
[62698] ['1/8', '1/6', '1', '9/5', '6'] -> 1 / (1/8 / 9/5 - 1/6 / 6)
[62699] ['1/4', '2/5', '4/7', '5', '8'] -> 4/7 * (5 / (1/4 * 2/5) - 8)
[62700] ['1/4', '4/5', '7/6', '2', '5'] -> 4/5 / 2 / (1/4 - 7/6 / 5)
[62701] ['3/8', '5/9', '9/8', '6', '6'] -> 3/8 + (6 + 9/8 + 6) / 5/9
[62702] ['1/8', '1/2', '6/5', '7', '7'] -> (7 / (6/5 - 1/2) - 7) / 1/8
