[826615] ['1/6', '2/9', '4/3', '5/3', '8/9'] -> (8/9 / (2/9 * ((5/3 - 1/6) - 4/3)))
[826616] ['1/6', '2/9', '4/3', '5/3', '9/2'] -> ((((4/3 / 1/6) - 5/3) / 2/9) - 9/2)
[826617] ['1/6', '2/9', '4/3', '5/3', '9/4'] -> (((4/3 + 5/3) / (2/9 - 1/6)) / 9/4)
[826618] ['1/6', '2/9', '4/3', '5/3', '9/5'] -> ((((4/3 + 5/3) / 2/9) - 1/6) * 9/5)
[826622] ['1/6', '2/9', '4/3', '5/4', '5/6'] -> ((((4/3 / 1/6) / 2/9) / 5/4) * 5/6)
[826624] ['1/6', '2/9', '4/3', '5/4', '5/8'] -> ((4/3 / (2/9 - (1/6 / 5/4))) / 5/8)
[826625] ['1/6', '2/9', '4/3', '5/4', '5/9'] -> (5/9 / (1/6 * ((2/9 + 5/4) - 4/3)))
[826626] ['1/6', '2/9', '4/3', '5/4', '6/5'] -> ((((4/3 / 1/6) / 2/9) / 5/4) / 6/5)
[826630] ['1/6', '2/9', '4/3', '5/4', '7/4'] -> ((((5/4 / 2/9) - 4/3) / 1/6) - 7/4)
[826634] ['1/6', '2/9', '4/3', '5/4', '7/9'] -> (7/9 / ((1/6 + 2/9) * (4/3 - 5/4)))
[826636] ['1/6', '2/9', '4/3', '5/4', '8/5'] -> ((4/3 / (2/9 - (1/6 / 5/4))) * 8/5)
[826672] ['1/6', '2/9', '4/3', '5/7', '7/3'] -> (((4/3 / 2/9) + (5/7 / 1/6)) * 7/3)
[826685] ['1/6', '2/9', '4/3', '5/7', '9/7'] -> (((4/3 + (5/7 / 1/6)) / 2/9) - 9/7)
[826687] ['1/6', '2/9', '4/3', '5/8', '5/8'] -> (((4/3 * 5/8) / (2/9 - 1/6)) / 5/8)
[826696] ['1/6', '2/9', '4/3', '5/8', '7/8'] -> (((4/3 + (5/8 / 2/9)) / 1/6) - 7/8)
[826698] ['1/6', '2/9', '4/3', '5/8', '8/3'] -> (8/3 / (2/9 * (5/8 - (1/6 / 4/3))))
[826699] ['1/6', '2/9', '4/3', '5/8', '8/5'] -> (((4/3 * 5/8) / (2/9 - 1/6)) * 8/5)
[826701] ['1/6', '2/9', '4/3', '5/8', '8/9'] -> (8/9 / (4/3 * (1/6 - (2/9 * 5/8))))
[826706] ['1/6', '2/9', '4/3', '5/8', '9/8'] -> (((4/3 + (5/8 / 1/6)) / 2/9) + 9/8)
[826708] ['1/6', '2/9', '4/3', '5/9', '6/5'] -> ((((4/3 * 5/9) / 1/6) / 2/9) * 6/5)
[826710] ['1/6', '2/9', '4/3', '5/9', '7/2'] -> ((4/3 / ((1/6 / 2/9) - 5/9)) * 7/2)
[826713] ['1/6', '2/9', '4/3', '5/9', '7/5'] -> ((4/3 / ((1/6 / 5/9) - 2/9)) * 7/5)
[826720] ['1/6', '2/9', '4/3', '5/9', '8/9'] -> (8/9 / (5/9 - ((1/6 + 2/9) * 4/3)))
[826724] ['1/6', '2/9', '4/3', '5/9', '9/7'] -> ((4/3 / (1/6 - (2/9 * 5/9))) / 9/7)
[826735] ['1/6', '2/9', '4/3', '6/5', '8/3'] -> (8/3 / (4/3 * (2/9 - (1/6 / 6/5))))
[826736] ['1/6', '2/9', '4/3', '6/5', '8/5'] -> (8/5 / (2/9 * ((1/6 + 4/3) - 6/5)))
[826739] ['1/6', '2/9', '4/3', '6/5', '9/2'] -> ((((4/3 / 6/5) - 2/9) / 1/6) * 9/2)
[826745] ['1/6', '2/9', '4/3', '6/7', '7/2'] -> (((4/3 - (2/9 * 6/7)) / 1/6) * 7/2)
[826746] ['1/6', '2/9', '4/3', '6/7', '7/3'] -> ((4/3 / ((2/9 * 6/7) - 1/6)) / 7/3)
[826747] ['1/6', '2/9', '4/3', '6/7', '7/4'] -> ((((4/3 / 1/6) / 2/9) / 6/7) / 7/4)
[826748] ['1/6', '2/9', '4/3', '6/7', '7/5'] -> ((7/5 * ((6/7 / 1/6) - 4/3)) / 2/9)
[826752] ['1/6', '2/9', '4/3', '6/7', '8/3'] -> (8/3 / (((2/9 * 4/3) - 1/6) * 6/7))
[826757] ['1/6', '2/9', '4/3', '6/7', '9/4'] -> (((2/9 + (4/3 / 6/7)) / 1/6) * 9/4)
[826762] ['1/6', '2/9', '4/3', '7/2', '7/3'] -> ((((4/3 / 1/6) / 2/9) / 7/2) * 7/3)
[826773] ['1/6', '2/9', '4/3', '7/2', '9/4'] -> (((1/6 + (4/3 * 7/2)) / 2/9) + 9/4)
[826782] ['1/6', '2/9', '4/3', '7/3', '7/9'] -> ((4/3 / (1/6 - (2/9 / 7/3))) / 7/9)
[826788] ['1/6', '2/9', '4/3', '7/3', '9/4'] -> (((2/9 + (7/3 / 1/6)) / 4/3) * 9/4)
[826790] ['1/6', '2/9', '4/3', '7/3', '9/7'] -> ((4/3 / (1/6 - (2/9 / 7/3))) * 9/7)
[826791] ['1/6', '2/9', '4/3', '7/3', '9/8'] -> ((((7/3 - 4/3) / 1/6) / 2/9) / 9/8)
