[913612] ['1/7', '1/8', '2/9', '7/6', '9/2'] -> ((2/9 / ((1/7 * 7/6) - 1/8)) * 9/2)
[913618] ['1/7', '1/8', '2/9', '7/8', '7/9'] -> ((((7/8 / 1/8) - 1/7) / 2/9) * 7/9)
[913622] ['1/7', '1/8', '2/9', '7/8', '8/9'] -> ((((7/8 / 1/7) - 1/8) / 2/9) * 8/9)
[913626] ['1/7', '1/8', '2/9', '7/8', '9/7'] -> ((((7/8 / 1/8) - 1/7) / 2/9) / 9/7)
[913627] ['1/7', '1/8', '2/9', '7/8', '9/8'] -> ((((7/8 / 1/7) - 1/8) / 2/9) / 9/8)
[913628] ['1/7', '1/8', '2/9', '7/9', '7/9'] -> ((((2/9 / 1/7) + 7/9) / 1/8) / 7/9)
[913641] ['1/7', '1/8', '2/9', '8/3', '8/9'] -> (8/9 / ((1/7 * (2/9 - 1/8)) * 8/3))
[913648] ['1/7', '1/8', '2/9', '8/5', '8/7'] -> (8/7 / (2/9 * (1/8 + (1/7 / 8/5))))
[913663] ['1/7', '1/8', '2/9', '8/9', '9/2'] -> ((((2/9 / 1/7) - 8/9) / 1/8) * 9/2)
[913671] ['1/7', '1/8', '2/9', '9/2', '9/7'] -> (((9/2 - (1/7 / 2/9)) / 1/8) / 9/7)
[913677] ['1/7', '1/8', '2/9', '9/5', '9/5'] -> (9/5 / (1/7 * (1/8 + (2/9 * 9/5))))
[913680] ['1/7', '1/8', '2/9', '9/7', '9/7'] -> (9/7 / (1/8 * (1/7 + (2/9 * 9/7))))
[913683] ['1/7', '1/8', '3/2', '3/2', '3/2'] -> (((3/2 / 1/7) + (3/2 / 1/8)) + 3/2)
[913695] ['1/7', '1/8', '3/2', '3/2', '5/6'] -> ((3/2 / 3/2) / ((1/8 / 1/7) - 5/6))
[913696] ['1/7', '1/8', '3/2', '3/2', '5/7'] -> ((3/2 / ((1/8 * 3/2) - 1/7)) * 5/7)
[913697] ['1/7', '1/8', '3/2', '3/2', '5/8'] -> (((3/2 / 1/7) + 3/2) / (5/8 - 1/8))
[913699] ['1/7', '1/8', '3/2', '3/2', '6/5'] -> ((3/2 / (1/7 - (1/8 / 3/2))) - 6/5)
[913701] ['1/7', '1/8', '3/2', '3/2', '7/2'] -> ((((3/2 / 3/2) - 1/7) / 1/8) * 7/2)
[913704] ['1/7', '1/8', '3/2', '3/2', '7/5'] -> ((3/2 / ((1/8 * 3/2) - 1/7)) / 7/5)
[913705] ['1/7', '1/8', '3/2', '3/2', '7/6'] -> ((3/2 / 3/2) / ((1/7 * 7/6) - 1/8))
[913716] ['1/7', '1/8', '3/2', '3/2', '9/8'] -> ((3/2 + 3/2) * (1/8 + (9/8 / 1/7)))
[913722] ['1/7', '1/8', '3/2', '3/4', '4/5'] -> ((((3/4 / 1/7) - 3/2) / 1/8) * 4/5)
[913727] ['1/7', '1/8', '3/2', '3/4', '5/4'] -> ((((3/4 / 1/7) - 3/2) / 1/8) / 5/4)
[913729] ['1/7', '1/8', '3/2', '3/4', '5/7'] -> (((1/7 + (3/2 / 3/4)) / 1/8) / 5/7)
[913734] ['1/7', '1/8', '3/2', '3/4', '7/2'] -> ((3/2 / (1/8 - (1/7 * 3/4))) / 7/2)
[913737] ['1/7', '1/8', '3/2', '3/4', '7/5'] -> (((1/7 + (3/2 / 3/4)) / 1/8) * 7/5)
[913743] ['1/7', '1/8', '3/2', '3/4', '8/7'] -> (8/7 / ((1/7 * 3/2) - (1/8 / 3/4)))
[913751] ['1/7', '1/8', '3/2', '3/5', '3/7'] -> (3/7 / ((1/8 - (1/7 / 3/2)) * 3/5))
[913765] ['1/7', '1/8', '3/2', '3/5', '6/7'] -> (6/7 / ((1/7 - (1/8 / 3/2)) * 3/5))
[913778] ['1/7', '1/8', '3/2', '3/5', '9/4'] -> (((3/2 / (3/5 - 1/7)) / 1/8) - 9/4)
[913779] ['1/7', '1/8', '3/2', '3/5', '9/5'] -> (9/5 / (1/7 * (1/8 + (3/5 / 3/2))))
[913780] ['1/7', '1/8', '3/2', '3/5', '9/7'] -> (9/7 / (((1/7 * 3/2) - 1/8) * 3/5))
[913784] ['1/7', '1/8', '3/2', '3/7', '4/3'] -> ((((3/2 - 1/7) / 1/8) / 3/7) - 4/3)
[913786] ['1/7', '1/8', '3/2', '3/7', '4/7'] -> (((3/2 / (3/7 - 1/7)) / 1/8) * 4/7)
[913788] ['1/7', '1/8', '3/2', '3/7', '5/2'] -> ((3/7 / ((1/8 * 3/2) - 1/7)) * 5/2)
[913789] ['1/7', '1/8', '3/2', '3/7', '5/3'] -> ((3/7 / (1/8 - (1/7 / 3/2))) * 5/3)
[913793] ['1/7', '1/8', '3/2', '3/7', '5/8'] -> (((3/2 / 1/8) + (3/7 / 1/7)) / 5/8)
[913798] ['1/7', '1/8', '3/2', '3/7', '7/3'] -> (7/3 / (((1/7 / 3/2) / 3/7) - 1/8))
[913799] ['1/7', '1/8', '3/2', '3/7', '7/4'] -> (((3/2 / (3/7 - 1/7)) / 1/8) / 7/4)
[913802] ['1/7', '1/8', '3/2', '3/7', '7/8'] -> (((3/2 / (1/7 + 3/7)) / 1/8) / 7/8)
[913804] ['1/7', '1/8', '3/2', '3/7', '8/3'] -> (((3/2 / 1/8) - (3/7 / 1/7)) * 8/3)
[913805] ['1/7', '1/8', '3/2', '3/7', '8/5'] -> (((3/2 / 1/8) + (3/7 / 1/7)) * 8/5)
[913806] ['1/7', '1/8', '3/2', '3/7', '8/7'] -> (((3/2 / (1/7 + 3/7)) / 1/8) * 8/7)
[913813] ['1/7', '1/8', '3/2', '3/8', '3/8'] -> ((((3/8 / 1/7) - 3/2) / 1/8) / 3/8)
[913819] ['1/7', '1/8', '3/2', '3/8', '5/3'] -> ((((3/2 - 1/8) / 1/7) / 3/8) - 5/3)
[913829] ['1/7', '1/8', '3/2', '3/8', '7/4'] -> (((3/2 / (3/8 - 1/8)) / 1/7) / 7/4)
[913833] ['1/7', '1/8', '3/2', '3/8', '7/9'] -> ((((3/2 / 3/8) - 1/7) / 1/8) * 7/9)
[913834] ['1/7', '1/8', '3/2', '3/8', '8/3'] -> ((((3/8 / 1/7) - 3/2) / 1/8) * 8/3)
[913846] ['1/7', '1/8', '3/2', '4/3', '4/9'] -> (((3/2 / 1/7) + (1/8 * 4/3)) / 4/9)
[913851] ['1/7', '1/8', '3/2', '4/3', '5/7'] -> (((1/7 + (3/2 * 4/3)) / 1/8) / 5/7)
[913859] ['1/7', '1/8', '3/2', '4/3', '7/5'] -> ((7/5 * (1/7 + (3/2 * 4/3))) / 1/8)
[913865] ['1/7', '1/8', '3/2', '4/3', '8/7'] -> (8/7 / ((1/7 * 3/2) - (1/8 * 4/3)))
[913868] ['1/7', '1/8', '3/2', '4/3', '9/4'] -> (((3/2 / 1/7) + (1/8 * 4/3)) * 9/4)
[913870] ['1/7', '1/8', '3/2', '4/3', '9/7'] -> (9/7 / (1/8 - ((1/7 / 3/2) / 4/3)))
[913873] ['1/7', '1/8', '3/2', '4/5', '4/7'] -> (4/7 / ((1/8 - (1/7 / 3/2)) * 4/5))
[913878] ['1/7', '1/8', '3/2', '4/5', '5/6'] -> ((3/2 / ((1/8 / 1/7) - 4/5)) / 5/6)
[913882] ['1/7', '1/8', '3/2', '4/5', '6/5'] -> ((3/2 / ((1/8 / 1/7) - 4/5)) * 6/5)
[913887] ['1/7', '1/8', '3/2', '4/5', '7/5'] -> (7/5 / (1/7 * ((4/5 / 3/2) - 1/8)))
[913888] ['1/7', '1/8', '3/2', '4/5', '7/6'] -> ((3/2 / ((1/7 / 4/5) - 1/8)) / 7/6)
[913893] ['1/7', '1/8', '3/2', '4/5', '8/7'] -> (8/7 / ((1/7 - (1/8 / 3/2)) * 4/5))
[913895] ['1/7', '1/8', '3/2', '4/5', '9/2'] -> (9/2 / ((1/7 + 1/8) * (3/2 - 4/5)))
[913904] ['1/7', '1/8', '3/2', '4/7', '5/4'] -> ((4/7 / (1/8 - (1/7 / 3/2))) * 5/4)
[913905] ['1/7', '1/8', '3/2', '4/7', '5/6'] -> ((((4/7 / 1/7) - 3/2) / 1/8) / 5/6)
[913906] ['1/7', '1/8', '3/2', '4/7', '5/7'] -> (5/7 / (1/8 * ((4/7 / 3/2) - 1/7)))
[913909] ['1/7', '1/8', '3/2', '4/7', '6/5'] -> ((((4/7 / 1/7) - 3/2) / 1/8) * 6/5)
[913912] ['1/7', '1/8', '3/2', '4/7', '7/3'] -> ((((3/2 - 1/7) / 1/8) - 4/7) * 7/3)
[913913] ['1/7', '1/8', '3/2', '4/7', '7/4'] -> ((((1/7 + 3/2) / 1/8) + 4/7) * 7/4)
[913915] ['1/7', '1/8', '3/2', '4/7', '7/6'] -> (((3/2 / (4/7 - 1/7)) / 1/8) / 7/6)
[913916] ['1/7', '1/8', '3/2', '4/7', '7/8'] -> ((3/2 / (1/7 - (1/8 * 4/7))) / 7/8)
[913920] ['1/7', '1/8', '3/2', '4/7', '8/7'] -> ((3/2 / (1/7 - (1/8 * 4/7))) * 8/7)
[913925] ['1/7', '1/8', '3/2', '4/7', '9/7'] -> (9/7 / ((3/2 - (1/8 / 1/7)) - 4/7))
[913932] ['1/7', '1/8', '3/2', '4/9', '5/7'] -> (5/7 / (1/8 - ((1/7 * 3/2) * 4/9)))
[913961] ['1/7', '1/8', '3/2', '5/2', '6/7'] -> ((5/2 / ((1/7 * 3/2) - 1/8)) * 6/7)
[913964] ['1/7', '1/8', '3/2', '5/2', '7/4'] -> ((5/2 / (1/7 - (1/8 / 3/2))) / 7/4)
[913966] ['1/7', '1/8', '3/2', '5/2', '7/6'] -> ((5/2 / ((1/7 * 3/2) - 1/8)) / 7/6)
[913968] ['1/7', '1/8', '3/2', '5/2', '7/9'] -> ((((3/2 + 5/2) - 1/7) / 1/8) * 7/9)
[913976] ['1/7', '1/8', '3/2', '5/2', '9/7'] -> ((((3/2 + 5/2) - 1/7) / 1/8) / 9/7)
[913985] ['1/7', '1/8', '3/2', '5/3', '6/7'] -> ((5/3 / (1/7 - (1/8 / 3/2))) * 6/7)
[913986] ['1/7', '1/8', '3/2', '5/3', '7/2'] -> ((7/2 * 1/7) / (1/8 * (5/3 - 3/2)))
[913990] ['1/7', '1/8', '3/2', '5/3', '7/6'] -> ((5/3 / (1/7 - (1/8 / 3/2))) / 7/6)
[913995] ['1/7', '1/8', '3/2', '5/3', '8/7'] -> (8/7 / (((1/7 * 3/2) / 1/8) - 5/3))
[914000] ['1/7', '1/8', '3/2', '5/3', '9/7'] -> ((9/7 * 5/3) / ((1/7 * 3/2) - 1/8))
[914009] ['1/7', '1/8', '3/2', '5/4', '7/2'] -> (((3/2 / 1/7) + (5/4 / 1/8)) + 7/2)
[914011] ['1/7', '1/8', '3/2', '5/4', '7/4'] -> ((5/4 / (1/8 - (1/7 / 3/2))) / 7/4)
[914014] ['1/7', '1/8', '3/2', '5/4', '7/8'] -> ((5/4 / (1/7 - (1/8 / 3/2))) / 7/8)
[914018] ['1/7', '1/8', '3/2', '5/4', '8/7'] -> ((5/4 / (1/7 - (1/8 / 3/2))) * 8/7)
[914023] ['1/7', '1/8', '3/2', '5/4', '9/7'] -> (9/7 / (1/7 * ((1/8 + 3/2) - 5/4)))
[914031] ['1/7', '1/8', '3/2', '5/6', '7/2'] -> (7/2 / (1/7 * ((1/8 * 3/2) + 5/6)))
