[1019617] ['1/7', '5/4', '7/4', '8/5', '9/5'] -> (7/4 + 8/5) / 1/7 - 5/4 + 9/5
[1019623] ['1/7', '5/4', '7/4', '8/7', '9/4'] -> 9/4 / (1/7 * (7/4 - 5/4 / 8/7))
[1019631] ['1/7', '5/4', '7/4', '8/9', '9/7'] -> 9/7 * 8/9 * (5/4 + 7/4) / 1/7
[1019638] ['1/7', '5/4', '7/4', '9/4', '9/4'] -> 7/4 + (5/4 + 9/4) / 1/7 - 9/4
[1019646] ['1/7', '5/4', '7/4', '9/7', '9/8'] -> (5/4 + 7/4) * 9/7 / 1/7 / 9/8
[1019665] ['1/7', '5/4', '7/5', '7/6', '8/5'] -> 8/5 / (1/7 * (7/5 - 7/6 / 5/4))
[1019680] ['1/7', '5/4', '7/5', '7/8', '9/4'] -> 9/4 / (1/7 * 5/4 * (7/5 - 7/8))
[1019681] ['1/7', '5/4', '7/5', '7/8', '9/5'] -> 9/5 / (1/7 * 7/5 * (5/4 - 7/8))
[1019684] ['1/7', '5/4', '7/5', '7/9', '7/9'] -> 7/9 / (5/4 / (1/7 + 7/5) - 7/9)
[1019699] ['1/7', '5/4', '7/5', '8/3', '9/4'] -> 8/3 / (1/7 * /4 * /5) * 9/4
[1019707] ['1/7', '5/4', '7/5', '8/5', '9/4'] -> 5/4 * (7/5 + 8/5) / 1/7 - 9/4
[1019709] ['1/7', '5/4', '7/5', '8/5', '9/7'] -> 9/7 / (1/7 * (5/4 - 7/5 / 8/5))
[1019744] ['1/7', '5/4', '7/6', '7/6', '8/7'] -> 8/7 / (1/7 + 5/4 / 7/6 - 7/6)
[1019754] ['1/7', '5/4', '7/6', '7/8', '8/5'] -> 8/5 / (1/7 * (7/6 - 7/8 / 5/4))
[1019760] ['1/7', '5/4', '7/6', '7/8', '9/7'] -> 9/7 / (5/4 / 7/6 - 1/7 - 7/8)
[1019768] ['1/7', '5/4', '7/6', '7/9', '9/4'] -> (5/4 + 7/6) / 1/7 / 7/9 + 9/4
[1019777] ['1/7', '5/4', '7/6', '8/3', '9/4'] -> (5/4 + 8/3) / 1/7 - 7/6 - 9/4
[1019808] ['1/7', '5/4', '7/6', '9/4', '9/5'] -> (9/4 / 1/7 - 5/4 - 7/6) * 9/5
[1019817] ['1/7', '5/4', '7/8', '7/8', '7/8'] -> (5/4 + 7/8 + 7/8) / 1/7 / 7/8
[1019819] ['1/7', '5/4', '7/8', '7/8', '8/3'] -> (5/4 / 1/7 - 7/8) / 7/8 * 8/3
[1019821] ['1/7', '5/4', '7/8', '7/8', '8/7'] -> (5/4 + 7/8 + 7/8) / 1/7 * 8/7
[1019824] ['1/7', '5/4', '7/8', '7/8', '9/4'] -> 9/4 / ((5/4 - 1/7) * 7/8 - 7/8)
[1019827] ['1/7', '5/4', '7/8', '7/8', '9/8'] -> (9/8 / (1/7 * (5/4 - 7/8)) * 7/8))
[1019838] ['1/7', '5/4', '7/8', '8/3', '8/3'] -> 5/4 * 8/3 / 1/7 / 7/8 - 8/3
[1019840] ['1/7', '5/4', '7/8', '8/3', '8/7'] -> (5/4 / 1/7 - 7/8) * 8/3 * 8/7
[1019852] ['1/7', '5/4', '7/8', '8/5', '9/5'] -> 9/5 / (1/7 * (5/4 + 7/8 - 8/5))
[1019871] ['1/7', '5/4', '7/8', '9/2', '9/7'] -> 9/7 / (7/8 - 1/7 * (5/4 + 9/2))
[1019875] ['1/7', '5/4', '7/8', '9/4', '9/7'] -> 9/7 / (5/4 - 1/7 * 9/4 - 7/8)
[1019921] ['1/7', '5/4', '7/9', '8/9', '9/7'] -> 9/7 / (1/7 * (5/4 - 7/9 / 8/9))
[1019931] ['1/7', '5/4', '7/9', '9/4', '9/8'] -> (5/4 / 7/9 + 9/4) / 1/7 / 9/8
[1019938] ['1/7', '5/4', '8/3', '8/3', '8/3'] -> 5/4 * (8/3 / 1/7 + 8/3) - 8/3
[1019951] ['1/7', '5/4', '8/3', '8/5', '9/4'] -> 5/4 * (8/5 / 1/7 - 8/3) * 9/4
[1019958] ['1/7', '5/4', '8/3', '8/7', '9/4'] -> 8/3 / (1/7 + 5/4 - 8/7) * 9/4
[1019960] ['1/7', '5/4', '8/3', '8/7', '9/7'] -> 9/7 / (5/4 - 1/7 / 8/3 - 8/7)
[1019961] ['1/7', '5/4', '8/3', '8/7', '9/8'] -> 9/8 * (8/3 + 8/7) / (1/7 * 5/4)
[1019964] ['1/7', '5/4', '8/3', '8/9', '9/4'] -> 5/4 * 8/3 / 1/7 / 8/9 - 9/4
[1019983] ['1/7', '5/4', '8/5', '8/5', '8/5'] -> 5/4 * 8/5 * 8/5 / 1/7 + 8/5
[1020010] ['1/7', '5/4', '8/5', '9/4', '9/5'] -> (5/4 + 8/5) / 1/7 + 9/4 + 9/5
[1020016] ['1/7', '5/4', '8/5', '9/7', '9/7'] -> 9/7 / (1/7 / 8/5 + 5/4 - 9/7)
[1020026] ['1/7', '5/4', '8/7', '8/9', '8/9'] -> 8/9 / (1/7 + 8/7 - 5/4) - 8/9
[1020030] ['1/7', '5/4', '8/7', '8/9', '9/7'] -> 9/7 / (1/7 / 8/9 - (5/4 - 8/7))
[1020065] ['1/7', '5/4', '8/9', '9/7', '9/7'] -> 9/7 / (9/7 / 8/9 - 1/7 - 5/4)
[1020076] ['1/7', '5/4', '9/2', '9/4', '9/8'] -> (9/2 / 1/7 + 9/4) / 5/4 / 9/8
[1020079] ['1/7', '5/4', '9/2', '9/5', '9/8'] -> (9/2 / (1/7 * /4) + 9/5) / 9/8
[1020083] ['1/7', '5/4', '9/4', '9/4', '9/4'] -> 5/4 + (9/4 / 9/4 + 9/4) / 1/7
[1020091] ['1/7', '5/4', '9/4', '9/7', '9/8'] -> (9/4 + 5/4 * 9/7) / 1/7 / 9/8
[1020097] ['1/7', '5/4', '9/5', '9/7', '9/8'] -> 5/4 * (9/5 + 9/7) / 1/7 / 9/8
[1020106] ['1/7', '5/6', '5/6', '5/6', '5/9'] -> (5/6 / 1/7 + 5/6) / (5/6 - 5/9)
[1020109] ['1/7', '5/6', '5/6', '5/6', '7/2'] -> 7/2 / 1/7 - 5/6 / (5/6 + 5/6)
[1020120] ['1/7', '5/6', '5/6', '5/6', '9/2'] -> (9/2 - 5/6) / 1/7 - 5/6 - 5/6
[1020124] ['1/7', '5/6', '5/6', '5/6', '9/8'] -> 5/6 / (((9/8 - 5/6) * /7) * /6
)[1020130] ['1/7', '5/6', '5/6', '5/7', '7/2'] -> (5/6 / (5/6 - 5/7) - 1/7) * 7/2
[1020135] ['1/7', '5/6', '5/6', '5/7', '7/8'] -> (1/7 + 5/7 / 5/6) / (7/8 - 5/6)
[1020137] ['1/7', '5/6', '5/6', '5/7', '8/3'] -> (5/6 + 5/6 / (1/7 * /7)) * 8/3
[1020139] ['1/7', '5/6', '5/6', '5/7', '8/7'] -> (8/7 / (1/7 * (5/6 / 5/7)) - 5/6))
[1020149] ['1/7', '5/6', '5/6', '5/8', '6/7'] -> 5/6 * 6/7 / 1/7 / (5/6 - 5/8)
[1020150] ['1/7', '5/6', '5/6', '5/8', '7/2'] -> 5/6 - 5/6 / 5/8 + 7/2 / 1/7
[1020154] ['1/7', '5/6', '5/6', '5/8', '7/6'] -> 5/6 / (((5/6 - 5/8) * /7) * /6
