[672783] ['1/5', '2/7', '5/8', '7/5', '9/8'] -> 5/8 + 7/5 / 1/5 / 2/7 - 9/8
[672791] ['1/5', '2/7', '5/8', '7/6', '9/2'] -> 9/2 / ((2/7 - 1/5 * 5/8) * 7/6)
[672803] ['1/5', '2/7', '5/8', '7/8', '9/4'] -> (5/8 + 7/8) / 1/5 / 2/7 - 9/4
[672804] ['1/5', '2/7', '5/8', '7/8', '9/5'] -> 9/5 / (1/5 * (5/8 - 2/7 * 7/8))
[672806] ['1/5', '2/7', '5/8', '7/8', '9/8'] -> 9/8 / ((2/7 - 1/5) * 5/8 * 7/8)
[672819] ['1/5', '2/7', '5/8', '8/3', '8/7'] -> 8/7 / (1/5 * 5/8 * 8/3 - 2/7)
[672829] ['1/5', '2/7', '5/8', '8/5', '9/2'] -> 9/2 / (5/8 - 1/5 / 2/7 / 8/5)
[672833] ['1/5', '2/7', '5/8', '8/5', '9/8'] -> 9/8 / ((1/5 / 2/7 - 5/8) / 8/5)
[672838] ['1/5', '2/7', '5/8', '8/7', '9/5'] -> 9/5 / (1/5 * (5/8 - 2/7 / 8/7))
[672840] ['1/5', '2/7', '5/8', '8/7', '9/8'] -> 9/8 / ((2/7 - 1/5) * 5/8 / 8/7)
[672841] ['1/5', '2/7', '5/8', '8/9', '8/9'] -> 8/9 / 1/5 / 2/7 / 5/8 - 8/9
[672850] ['1/5', '2/7', '5/8', '9/2', '9/7'] -> 9/7 / ((2/7 + 5/8) / 1/5 - 9/2)
[672853] ['1/5', '2/7', '5/8', '9/4', '9/5'] -> 9/5 / (2/7 * (1/5 + 9/4) - 5/8)
[672857] ['1/5', '2/7', '5/8', '9/5', '9/7'] -> 9/7 / (5/8 - 2/7 * (1/5 + 9/5))
[672874] ['1/5', '2/7', '5/9', '5/9', '8/7'] -> 8/7 / (2/7 * 5/9 - 1/5 * 5/9)
[672884] ['1/5', '2/7', '5/9', '6/5', '7/3'] -> (6/5 / 1/5 - 2/7) / 5/9 * 7/3
[672900] ['1/5', '2/7', '5/9', '6/7', '7/2'] -> 7/2 / (1/5 / (2/7 / 5/9 + 6/7))
[672901] ['1/5', '2/7', '5/9', '6/7', '7/3'] -> (2/7 + 6/7) / 1/5 / 5/9 * 7/3
[672910] ['1/5', '2/7', '5/9', '6/7', '8/9'] -> 6/7 / 1/5 / 2/7 / 5/9 * 8/9
[672915] ['1/5', '2/7', '5/9', '6/7', '9/8'] -> 6/7 / 1/5 / 2/7 / 5/9 / 9/8
[672918] ['1/5', '2/7', '5/9', '7/2', '7/4'] -> 1/5 + 7/2 / 2/7 / 5/9 + 7/4
[672940] ['1/5', '2/7', '5/9', '7/3', '8/7'] -> 8/7 / (2/7 / 5/9 - 1/5 * 7/3)
[672965] ['1/5', '2/7', '5/9', '7/5', '8/3'] -> 8/3 / (5/9 * (2/7 * 7/5 - 1/5))
[672966] ['1/5', '2/7', '5/9', '7/5', '8/5'] -> 8/5 / ((2/7 - 1/5) * 5/9 * 7/5)
[672980] ['1/5', '2/7', '5/9', '7/6', '8/9'] -> 8/9 / (1/5 * 2/7 * 5/9 * 7/6)
[672998] ['1/5', '2/7', '5/9', '7/9', '8/3'] -> 8/3 / (2/7 * 7/9 - 1/5 * 5/9)
[672999] ['1/5', '2/7', '5/9', '7/9', '8/5'] -> 8/5 / (1/5 * (5/9 - 2/7 * 7/9))
[673001] ['1/5', '2/7', '5/9', '7/9', '8/9'] -> 8/9 / ((2/7 - 1/5) * 5/9 * 7/9)
[673012] ['1/5', '2/7', '5/9', '8/3', '9/4'] -> 8/3 / (5/9 - 1/5) / 2/7 - 9/4
[673034] ['1/5', '2/7', '5/9', '8/9', '9/5'] -> 9/5 / (1/5 / 2/7 - 5/9 / 8/9)
[673035] ['1/5', '2/7', '5/9', '8/9', '9/7'] -> 9/7 / ((2/7 - 1/5) * 5/9 / 8/9)
[673050] ['1/5', '2/7', '5/9', '9/7', '9/8'] -> 9/7 / (2/7 - 1/5) / 5/9 / 9/8
[673053] ['1/5', '2/7', '6/5', '6/5', '6/7'] -> (6/5 + 6/5) / (2/7 - 1/5) * 6/7
[673054] ['1/5', '2/7', '6/5', '6/5', '7/2'] -> (6/5 / 1/5 - 2/7) * 6/5 * 7/2
[673056] ['1/5', '2/7', '6/5', '6/5', '7/4'] -> (6/5 + 6/5) / 1/5 / 2/7 / 7/4
[673058] ['1/5', '2/7', '6/5', '6/5', '7/6'] -> (6/5 + 6/5) / (2/7 - 1/5) / 7/6
[673062] ['1/5', '2/7', '6/5', '6/5', '8/5'] -> (6/5 / 2/7 - 6/5) / 1/5 * 8/5
[673064] ['1/5', '2/7', '6/5', '6/5', '8/9'] -> (6/5 / 2/7 + 6/5) / 1/5 * 8/9
[673066] ['1/5', '2/7', '6/5', '6/5', '9/4'] -> 6/5 / (2/7 - 1/5 * 6/5) - 9/4
[673067] ['1/5', '2/7', '6/5', '6/5', '9/5'] -> 6/5 / 1/5 / 2/7 + 6/5 + 9/5
[673069] ['1/5', '2/7', '6/5', '6/5', '9/8'] -> (6/5 / 2/7 + 6/5) / 1/5 / 9/8
[673071] ['1/5', '2/7', '6/5', '6/7', '7/2'] -> (2/7 + 6/7) / (1/5 / 6/5) * 7/2
[673076] ['1/5', '2/7', '6/5', '6/7', '7/8'] -> (6/5 + 6/7 / 2/7) / 1/5 / 7/8
[673079] ['1/5', '2/7', '6/5', '6/7', '8/5'] -> 8/5 / (2/7 / 6/5 - 1/5 * 6/7)
[673080] ['1/5', '2/7', '6/5', '6/7', '8/7'] -> (6/5 + 6/7 / 2/7) / 1/5 * 8/7
[673082] ['1/5', '2/7', '6/5', '6/7', '9/2'] -> (6/5 - 2/7) / 1/5 / 6/7 * 9/2
[673085] ['1/5', '2/7', '6/5', '6/7', '9/7'] -> (6/5 / 2/7 + 6/7) / 1/5 - 9/7
[673101] ['1/5', '2/7', '6/5', '7/2', '9/7'] -> (2/7 + 7/2) / (1/5 / 6/5) + 9/7
[673104] ['1/5', '2/7', '6/5', '7/3', '7/4'] -> (6/5 * 7/3 / 1/5 - 2/7) * 7/4
[673109] ['1/5', '2/7', '6/5', '7/3', '8/3'] -> 6/5 / 1/5 / 2/7 / 7/3 * 8/3
[673110] ['1/5', '2/7', '6/5', '7/3', '8/5'] -> 8/5 / (6/5 - (1/5 + 2/7) * 7/3)
[673113] ['1/5', '2/7', '6/5', '7/3', '9/2'] -> (6/5 / 1/5 - 2/7 * 7/3) * 9/2
