[1399766] ['2/5', '3/2', '5/4', '7/8', '9/5'] -> (9/5 / ((2/5 + 7/8) - (3/2 / 5/4)))
[1399779] ['2/5', '3/2', '5/4', '8/3', '8/3'] -> (((8/3 / (3/2 - 5/4)) / 2/5) - 8/3)
[1399780] ['2/5', '3/2', '5/4', '8/3', '8/5'] -> (8/5 / ((2/5 * (5/4 + 8/3)) - 3/2))
[1399785] ['2/5', '3/2', '5/4', '8/3', '9/5'] -> ((((3/2 / 2/5) + 5/4) * 8/3) * 9/5)
[1399792] ['2/5', '3/2', '5/4', '8/5', '9/4'] -> ((8/5 / ((2/5 + 5/4) - 3/2)) * 9/4)
[1399793] ['2/5', '3/2', '5/4', '8/5', '9/5'] -> (9/5 / (3/2 * ((2/5 + 5/4) - 8/5)))
[1399801] ['2/5', '3/2', '5/4', '8/7', '9/7'] -> (9/7 / (5/4 * ((2/5 + 8/7) - 3/2)))
[1399809] ['2/5', '3/2', '5/4', '9/2', '9/2'] -> (9/2 / (((3/2 * 5/4) / 2/5) - 9/2))
[1399837] ['2/5', '3/2', '5/6', '5/6', '8/3'] -> ((8/3 / 2/5) / (5/6 - (5/6 / 3/2)))
[1399838] ['2/5', '3/2', '5/6', '5/6', '8/5'] -> ((8/5 / 2/5) / ((5/6 + 5/6) - 3/2))
[1399858] ['2/5', '3/2', '5/6', '5/7', '8/3'] -> (8/3 / (((5/6 / 3/2) - 2/5) * 5/7))
[1399859] ['2/5', '3/2', '5/6', '5/7', '8/5'] -> (8/5 / ((2/5 + (5/6 / 5/7)) - 3/2))
[1399868] ['2/5', '3/2', '5/6', '5/8', '5/9'] -> ((5/6 / ((5/8 / 2/5) - 3/2)) / 5/9)
[1399872] ['2/5', '3/2', '5/6', '5/8', '7/3'] -> (7/3 / (((5/6 / 3/2) - 2/5) * 5/8))
[1399874] ['2/5', '3/2', '5/6', '5/8', '7/5'] -> (7/5 / (((2/5 / 3/2) + 5/8) - 5/6))
[1399879] ['2/5', '3/2', '5/6', '5/8', '8/5'] -> (8/5 / (2/5 * (3/2 - (5/6 / 5/8))))
[1399884] ['2/5', '3/2', '5/6', '5/8', '9/5'] -> ((5/6 / ((5/8 / 2/5) - 3/2)) * 9/5)
[1399948] ['2/5', '3/2', '5/6', '7/2', '8/3'] -> ((((7/2 / 2/5) / 5/6) - 3/2) * 8/3)
[1399952] ['2/5', '3/2', '5/6', '7/2', '9/2'] -> (((2/5 * 5/6) + (3/2 + 7/2)) * 9/2)
[1399954] ['2/5', '3/2', '5/6', '7/2', '9/5'] -> ((5/6 + ((3/2 + 7/2) / 2/5)) * 9/5)
[1399963] ['2/5', '3/2', '5/6', '7/3', '8/3'] -> (8/3 / ((5/6 * (7/3 - 2/5)) - 3/2))
