[1538167] ['2/7', '6/7', '6/7', '6/7', '8/3'] -> (6/7 + 6/7 + 6/7) * 8/3 / 2/7
[1538168] ['2/7', '6/7', '6/7', '6/7', '8/5'] -> 6/7 / (6/7 - 6/7 / 8/5 - 2/7)
[1538170] ['2/7', '6/7', '6/7', '6/7', '8/9'] -> 6/7 / (8/9 - 6/7) - 6/7 / 2/7
[1538171] ['2/7', '6/7', '6/7', '6/7', '9/2'] -> ((6/7 + 6/7) * 9/2 - 6/7) / 2/7
[1538175] ['2/7', '6/7', '6/7', '6/7', '9/8'] -> 6/7 / ((9/8 - (6/7 / 6/7)) * /7
)[1538183] ['2/7', '6/7', '6/7', '7/2', '8/3'] -> 6/7 * 6/7 * 7/2 / 2/7 * 8/3
[1538198] ['2/7', '6/7', '6/7', '7/3', '8/3'] -> (6/7 / 2/7 + 6/7) * 7/3 * 8/3
[1538210] ['2/7', '6/7', '6/7', '7/4', '7/8'] -> 2/7 * 6/7 * 7/4 / (7/8 - 6/7)
[1538226] ['2/7', '6/7', '6/7', '7/5', '8/5'] -> 8/5 / (7/5 - (2/7 + 6/7) / 6/7)
[1538239] ['2/7', '6/7', '6/7', '7/6', '8/7'] -> (8/7 / (2/7 * 7/6) - (6/7 / 6/7)))
[1538246] ['2/7', '6/7', '6/7', '7/8', '7/8'] -> (6/7 / (2/7 * 7/8) - (6/7 * 7/8)))
[1538247] ['2/7', '6/7', '6/7', '7/8', '7/9'] -> 2/7 / (((7/8 - 6/7) * /7) * /9
)[1538248] ['2/7', '6/7', '6/7', '7/8', '8/3'] -> (2/7 + 6/7) / (7/8 - 6/7) / 8/3
[1538255] ['2/7', '6/7', '6/7', '7/8', '9/7'] -> 2/7 / ((7/8 - 6/7) * /7) * 9/7
[1538262] ['2/7', '6/7', '6/7', '7/9', '9/2'] -> (6/7 + 6/7 * 7/9) / 2/7 * 9/2
[1538272] ['2/7', '6/7', '6/7', '8/3', '9/4'] -> 6/7 * 8/3 / (6/7 / 9/4 - 2/7)
[1538287] ['2/7', '6/7', '6/7', '8/7', '9/4'] -> 8/7 / (6/7 / 9/4 - 2/7 / 6/7)
[1538289] ['2/7', '6/7', '6/7', '8/7', '9/7'] -> 8/7 / ((2/7 + 6/7) / 6/7 - 9/7)
[1538292] ['2/7', '6/7', '6/7', '8/9', '9/2'] -> (6/7 + 6/7) * 8/9 / 2/7 * 9/2
[1538297] ['2/7', '6/7', '6/7', '9/2', '9/2'] -> (6/7 + 9/2) / 2/7 + 9/2 / 6/7
[1538298] ['2/7', '6/7', '6/7', '9/2', '9/4'] -> (6/7 + 6/7 + 9/2) / 2/7 + 9/4
[1538300] ['2/7', '6/7', '6/7', '9/2', '9/7'] -> (6/7 + 6/7 / 9/7) * 9/2 / 2/7
[1538301] ['2/7', '6/7', '6/7', '9/2', '9/8'] -> (6/7 + 6/7) * 9/2 / 2/7 / 9/8
[1538302] ['2/7', '6/7', '6/7', '9/4', '9/4'] -> 6/7 / (9/4 - 6/7 * 9/4 - 2/7)
[1538317] ['2/7', '6/7', '7/2', '7/2', '7/8'] -> 6/7 * (7/2 + 7/2) / 2/7 / 7/8
[1538321] ['2/7', '6/7', '7/2', '7/2', '8/7'] -> 6/7 * (7/2 + 7/2) / 2/7 * 8/7
[1538341] ['2/7', '6/7', '7/2', '7/3', '9/7'] -> 9/7 * (6/7 * 7/2 + 7/3) / 2/7
[1538348] ['2/7', '6/7', '7/2', '7/4', '8/3'] -> 6/7 * (7/2 / 2/7 - 7/4) * 8/3
[1538362] ['2/7', '6/7', '7/2', '7/5', '8/5'] -> 8/5 / (7/5 / 7/2 - 2/7 / 6/7)
[1538373] ['2/7', '6/7', '7/2', '7/6', '8/3'] -> 6/7 * 7/2 / 2/7 / 7/6 * 8/3
[1538375] ['2/7', '6/7', '7/2', '7/6', '8/7'] -> 8/7 / ((2/7 - 6/7 / 7/2) * 7/6)
[1538379] ['2/7', '6/7', '7/2', '7/6', '9/5'] -> (7/2 + 7/6 - 6/7) / 2/7 * 9/5
[1538398] ['2/7', '6/7', '7/2', '7/9', '9/2'] -> 6/7 * (7/2 + 7/9 / 2/7) * 9/2
[1538405] ['2/7', '6/7', '7/2', '8/3', '8/7'] -> 8/7 / (6/7 * 7/2 - 2/7 - 8/3)
[1538408] ['2/7', '6/7', '7/2', '8/3', '9/4'] -> (2/7 + 6/7) * 7/2 * 8/3 * 9/4
[1538409] ['2/7', '6/7', '7/2', '8/3', '9/5'] -> 7/2 * (2/7 + 6/7 + 8/3) * 9/5
[1538410] ['2/7', '6/7', '7/2', '8/3', '9/7'] -> 9/7 * 8/3 / (2/7 * 7/2 - 6/7)
[1538420] ['2/7', '6/7', '7/2', '8/7', '8/7'] -> 6/7 / (8/7 / 7/2 - 2/7) * 8/7
[1538432] ['2/7', '6/7', '7/2', '8/9', '9/8'] -> 6/7 / ((2/7 - (8/9 / 7/2)) * /8
)[1538456] ['2/7', '6/7', '7/3', '7/3', '8/7'] -> 8/7 / (7/3 - 6/7 * 7/3 - 2/7)
[1538460] ['2/7', '6/7', '7/3', '7/3', '9/5'] -> (7/3 + 7/3 - 6/7) / 2/7 * 9/5
[1538523] ['2/7', '6/7', '7/3', '8/3', '8/3'] -> 6/7 / ((8/3 - 7/3) * /7) * 8/3
[1538524] ['2/7', '6/7', '7/3', '8/3', '8/5'] -> 6/7 * (7/3 + 8/3) / 2/7 * 8/5
[1538530] ['2/7', '6/7', '7/3', '8/3', '9/7'] -> 6/7 * 7/3 * 8/3 / 2/7 * 9/7
[1538540] ['2/7', '6/7', '7/3', '8/7', '8/7'] -> 8/7 / (7/3 - 2/7 - 6/7 - 8/7)
[1538542] ['2/7', '6/7', '7/3', '8/7', '9/2'] -> 7/3 * (2/7 + 6/7 + 8/7) * 9/2
[1538553] ['2/7', '6/7', '7/3', '9/2', '9/2'] -> (6/7 * 9/2 - 7/3) / 2/7 * 9/2
[1538561] ['2/7', '6/7', '7/3', '9/4', '9/8'] -> (6/7 + 7/3) * 9/4 / 2/7 - 9/8
[1538592] ['2/7', '6/7', '7/4', '7/5', '9/5'] -> 6/7 / (7/4 - 2/7 - 7/5) * 9/5
[1538598] ['2/7', '6/7', '7/4', '7/6', '8/3'] -> 8/3 / (2/7 * (7/4 - 7/6 / 6/7))
[1538600] ['2/7', '6/7', '7/4', '7/6', '8/7'] -> 8/7 / (6/7 * 7/4 - 2/7 - 7/6)
[1538619] ['2/7', '6/7', '7/4', '7/9', '8/3'] -> 8/3 / (7/9 / 7/4 - 2/7 / 6/7)
[1538632] ['2/7', '6/7', '7/4', '8/3', '9/2'] -> (2/7 + 6/7) * 7/4 * 8/3 * 9/2
[1538633] ['2/7', '6/7', '7/4', '8/3', '9/4'] -> 9/4 / (6/7 - (2/7 + 7/4) / 8/3)
[1538634] ['2/7', '6/7', '7/4', '8/3', '9/5'] -> (7/4 * 8/3 - 6/7) / 2/7 * 9/5
[1538678] ['2/7', '6/7', '7/5', '7/5', '8/5'] -> (8/5 / (2/7 * (7/5 / 6/7)) - 7/5))
[1538690] ['2/7', '6/7', '7/5', '7/6', '8/5'] -> 8/5 / (7/5 - (2/7 + 6/7) * 7/6)
[1538707] ['2/7', '6/7', '7/5', '7/8', '9/7'] -> 9/7 / (2/7 + 7/8 / 7/5 - 6/7)
[1538723] ['2/7', '6/7', '7/5', '8/3', '9/2'] -> 7/5 * (2/7 + 6/7 + 8/3) * 9/2
[1538728] ['2/7', '6/7', '7/5', '8/5', '8/5'] -> 6/7 / ((8/5 - 7/5) * /7) * 8/5
[1538734] ['2/7', '6/7', '7/5', '8/5', '9/7'] -> 9/7 / ((7/5 - 6/7) / 8/5 - 2/7)
[1538750] ['2/7', '6/7', '7/5', '9/2', '9/4'] -> (6/7 + 9/2) * 7/5 / 2/7 - 9/4
[1538769] ['2/7', '6/7', '7/6', '7/6', '8/7'] -> (8/7 / (2/7 * 7/6) - (6/7 * 7/6)))
[1538771] ['2/7', '6/7', '7/6', '7/6', '9/2'] -> (6/7 / 2/7 + 7/6 + 7/6) * 9/2
[1538782] ['2/7', '6/7', '7/6', '7/8', '9/2'] -> 9/2 / ((2/7 + 7/8) / 6/7 - 7/6)
[1538785] ['2/7', '6/7', '7/6', '7/8', '9/7'] -> 9/7 * 7/6 * 2/7 / (7/8 - 6/7)
[1538790] ['2/7', '6/7', '7/6', '7/9', '8/7'] -> 8/7 / (6/7 * (7/6 - 7/9) - 2/7)
[1538792] ['2/7', '6/7', '7/6', '7/9', '9/2'] -> (6/7 + 7/9 / 7/6) / 2/7 * 9/2
[1538806] ['2/7', '6/7', '7/6', '8/5', '8/5'] -> 8/5 / (6/7 - 2/7 * (7/6 + 8/5))
[1538821] ['2/7', '6/7', '7/6', '8/9', '8/9'] -> 8/9 / (2/7 * (7/6 - 8/9 / 6/7))
[1538822] ['2/7', '6/7', '7/6', '8/9', '9/2'] -> 6/7 / (((2/7 + 8/9) - 7/6) * /2
)[1538827] ['2/7', '6/7', '7/6', '9/2', '9/2'] -> (7/6 + 9/2 - 2/7 / 6/7) * 9/2
[1538834] ['2/7', '6/7', '7/6', '9/4', '9/7'] -> 9/7 / ((7/6 - 2/7 - 6/7) * 9/4)
[1538842] ['2/7', '6/7', '7/8', '7/8', '7/8'] -> 6/7 / (((7/8 / 7/8) - 7/8) * /7
)[1538853] ['2/7', '6/7', '7/8', '7/9', '7/9'] -> 6/7 / ((7/8 - 7/9) * /7) * 7/9
[1538861] ['2/7', '6/7', '7/8', '7/9', '9/7'] -> 6/7 / (((7/8 - 7/9) * /7) * /7
)[1538865] ['2/7', '6/7', '7/8', '8/3', '8/7'] -> 8/7 / (8/3 / 7/8 - 6/7 / 2/7)
[1538869] ['2/7', '6/7', '7/8', '8/3', '9/5'] -> (2/7 / (7/8 - 6/7) - 8/3) * 9/5
[1538878] ['2/7', '6/7', '7/8', '8/5', '9/7'] -> 9/7 / (7/8 - 6/7 / 8/5 - 2/7)
