[1755806] ['3/5', '3/8', '5/3', '7/8', '8/5'] -> 8/5 / (7/8 / 3/8 - 3/5 - 5/3)
[1755813] ['3/5', '3/8', '5/3', '7/8', '9/8'] -> 9/8 / (3/8 * (3/5 * 5/3 - 7/8))
[1755819] ['3/5', '3/8', '5/3', '7/9', '9/2'] -> (5/3 / 3/5 - 7/9) / 3/8 * 9/2
[1755828] ['3/5', '3/8', '5/3', '8/3', '9/2'] -> (3/5 * 5/3 / 3/8 + 8/3) * 9/2
[1755833] ['3/5', '3/8', '5/3', '8/5', '8/5'] -> 8/5 / (5/3 / 8/5 - 3/5 - 3/8)
[1755846] ['3/5', '3/8', '5/3', '8/7', '9/7'] -> 9/7 / (3/8 * (8/7 - 3/5 * 5/3))
[1755851] ['3/5', '3/8', '5/3', '8/9', '9/5'] -> 8/9 / (5/3 - 3/5 / 3/8) * 9/5
[1755859] ['3/5', '3/8', '5/3', '9/4', '9/4'] -> 9/4 / (3/5 - 3/8 * 9/4 / 5/3)
[1755865] ['3/5', '3/8', '5/3', '9/5', '9/8'] -> 9/5 / ((5/3 - (3/5 / 3/8)) * /8
)[1755868] ['3/5', '3/8', '5/3', '9/8', '9/8'] -> 9/8 / (3/8 * (9/8 - 3/5 * 5/3))
[1755873] ['3/5', '3/8', '5/4', '5/4', '5/9'] -> (5/4 / (5/4 * 3/8) - (3/5 * 5/9)))
[1755889] ['3/5', '3/8', '5/4', '5/4', '9/5'] -> (5/4 / (5/4 * 3/8) - (3/5 / 9/5)))
[1755909] ['3/5', '3/8', '5/4', '5/6', '9/2'] -> 9/2 / (5/4 * (3/5 - 3/8 / 5/6))
[1755932] ['3/5', '3/8', '5/4', '5/7', '9/5'] -> 9/5 / ((3/5 / 5/4 - 3/8) * 5/7)
[1755937] ['3/5', '3/8', '5/4', '5/8', '6/5'] -> 6/5 / (5/4 - 3/8 / 5/8 - 3/5)
[1755947] ['3/5', '3/8', '5/4', '5/8', '8/5'] -> 3/8 / (5/4 - 3/5 - 5/8) * 8/5
[1755954] ['3/5', '3/8', '5/4', '5/8', '9/8'] -> 9/8 / (3/8 * (3/5 * 5/4 - 5/8))
[1755970] ['3/5', '3/8', '5/4', '5/9', '9/4'] -> 9/4 / (5/4 * (3/8 / 5/9 - 3/5))
[1755971] ['3/5', '3/8', '5/4', '5/9', '9/5'] -> 9/5 / (3/5 * 5/4 - 3/8 / 5/9)
[1755984] ['3/5', '3/8', '5/4', '6/5', '8/5'] -> 8/5 / (5/4 / 6/5 - 3/5 - 3/8)
[1755989] ['3/5', '3/8', '5/4', '6/5', '9/5'] -> 9/5 / (6/5 - 3/5 * 5/4 - 3/8)
[1755996] ['3/5', '3/8', '5/4', '6/7', '7/5'] -> 3/5 / (((5/4 - 3/8) - 6/7) * /5
)[1756012] ['3/5', '3/8', '5/4', '7/2', '7/5'] -> 3/5 / ((3/8 - (5/4 / 7/2)) * /5
)[1756016] ['3/5', '3/8', '5/4', '7/2', '8/3'] -> 7/2 / (3/5 - 3/8 * 5/4) - 8/3
[1756020] ['3/5', '3/8', '5/4', '7/2', '9/2'] -> (7/2 - 3/8 / 5/4) / 3/5 * 9/2
[1756036] ['3/5', '3/8', '5/4', '7/3', '9/4'] -> 9/4 / (3/8 * (7/3 - 5/4 / 3/5))
[1756038] ['3/5', '3/8', '5/4', '7/3', '9/7'] -> 9/7 / (3/8 - 3/5 * 5/4 / 7/3)
[1756050] ['3/5', '3/8', '5/4', '7/4', '9/4'] -> 9/4 / (3/5 * 5/4 - 3/8 * 7/4)
[1756052] ['3/5', '3/8', '5/4', '7/4', '9/7'] -> 9/7 / (3/5 * 5/4 / 7/4 - 3/8)
[1756054] ['3/5', '3/8', '5/4', '7/5', '7/5'] -> 7/5 / ((5/4 - 3/8) / 3/5 - 7/5)
[1756062] ['3/5', '3/8', '5/4', '7/5', '9/2'] -> (3/5 + 5/4 / 3/8 + 7/5) * 9/2
[1756085] ['3/5', '3/8', '5/4', '7/8', '9/2'] -> 9/2 / (5/4 * (3/5 * 7/8 - 3/8))
[1756086] ['3/5', '3/8', '5/4', '7/8', '9/4'] -> 9/4 / (7/8 - 3/8 * 5/4 / 3/5)
[1756087] ['3/5', '3/8', '5/4', '7/8', '9/5'] -> 9/5 / (7/8 / 5/4 - 3/8 / 3/5)
