[1873325] ['3/8', '5/8', '7/2', '7/4', '7/4'] -> 7/2 / ((7/4 - (5/8 / 3/8)) * /4
)[1873328] ['3/8', '5/8', '7/2', '7/4', '7/8'] -> (7/2 + 7/4) / (5/8 - 3/8) / 7/8
[1873330] ['3/8', '5/8', '7/2', '7/4', '8/3'] -> (3/8 + 7/2 + 7/4) / 5/8 * 8/3
[1873331] ['3/8', '5/8', '7/2', '7/4', '8/5'] -> (7/2 + 7/4) / 3/8 / 5/8 + 8/5
[1873332] ['3/8', '5/8', '7/2', '7/4', '8/7'] -> (7/2 + 7/4) / (5/8 - 3/8) * 8/7
[1873334] ['3/8', '5/8', '7/2', '7/4', '9/2'] -> 9/2 / (3/8 * 7/2 + 5/8 - 7/4)
[1873338] ['3/8', '5/8', '7/2', '7/4', '9/8'] -> 9/8 / (3/8 * (5/8 - 7/4 / 7/2))
[1873348] ['3/8', '5/8', '7/2', '7/5', '9/4'] -> 7/2 / (3/8 * /8 * /5) * 9/4
[1873350] ['3/8', '5/8', '7/2', '7/5', '9/7'] -> 9/7 * (7/2 / 5/8 + 7/5) / 3/8
[1873353] ['3/8', '5/8', '7/2', '7/6', '7/8'] -> 7/2 / (((7/6 - 3/8) - 5/8) * /8
)[1873356] ['3/8', '5/8', '7/2', '7/6', '8/5'] -> 5/8 / (3/8 - 7/6 / 7/2) * 8/5
[1873357] ['3/8', '5/8', '7/2', '7/6', '8/7'] -> 7/2 / (7/6 - 3/8 - 5/8) * 8/7
[1873366] ['3/8', '5/8', '7/2', '7/8', '8/3'] -> (7/2 / 7/8 - 5/8) / 3/8 * 8/3
[1873372] ['3/8', '5/8', '7/2', '7/8', '9/5'] -> (5/8 + 7/2 + 7/8) / 3/8 * 9/5
[1873375] ['3/8', '5/8', '7/2', '7/9', '7/9'] -> 7/9 / (5/8 - 7/9 / (3/8 * /2)
)[1873388] ['3/8', '5/8', '7/2', '8/3', '8/9'] -> 7/2 / (3/8 - 5/8 / 8/3) - 8/9
[1873390] ['3/8', '5/8', '7/2', '8/3', '9/4'] -> (7/2 / 3/8 - 8/3) / 5/8 * 9/4
[1873391] ['3/8', '5/8', '7/2', '8/3', '9/5'] -> (7/2 - 3/8) * 8/3 / 5/8 * 9/5
[1873398] ['3/8', '5/8', '7/2', '8/5', '9/4'] -> (7/2 / 5/8 - 8/5) / 3/8 * 9/4
[1873399] ['3/8', '5/8', '7/2', '8/5', '9/5'] -> (7/2 / (3/8 * /8) - 8/5) * 9/5
[1873411] ['3/8', '5/8', '7/2', '8/9', '9/4'] -> 7/2 / (5/8 / 8/9 - 3/8) * 9/4
[1873416] ['3/8', '5/8', '7/2', '9/2', '9/4'] -> 5/8 * 7/2 * 9/2 / 3/8 - 9/4
[1873417] ['3/8', '5/8', '7/2', '9/2', '9/5'] -> 5/8 * (7/2 + 9/2) / 3/8 * 9/5
[1873420] ['3/8', '5/8', '7/2', '9/4', '9/4'] -> 9/4 / (5/8 * 9/4 - 3/8 * 7/2)
[1873425] ['3/8', '5/8', '7/2', '9/5', '9/7'] -> 9/7 / (3/8 - 5/8 * 9/5 / 7/2)
[1873435] ['3/8', '5/8', '7/3', '7/3', '7/9'] -> (7/3 + 7/3) / (5/8 - 3/8) / 7/9
[1873443] ['3/8', '5/8', '7/3', '7/3', '9/7'] -> (7/3 + 7/3) / (5/8 - 3/8) * 9/7
[1873445] ['3/8', '5/8', '7/3', '7/4', '7/4'] -> 7/4 / (7/3 * (3/8 * 7/4 - 5/8))
[1873447] ['3/8', '5/8', '7/3', '7/4', '7/6'] -> 7/3 / ((7/4 - (5/8 / 3/8)) * /6
)[1873450] ['3/8', '5/8', '7/3', '7/4', '8/3'] -> 3/8 / (5/8 + 7/4 - 7/3) * 8/3
[1873455] ['3/8', '5/8', '7/3', '7/4', '9/4'] -> 9/4 / (5/8 * 7/4 / 7/3 - 3/8)
[1873457] ['3/8', '5/8', '7/3', '7/4', '9/7'] -> 9/7 / (5/8 / 7/3 - 3/8 / 7/4)
[1873458] ['3/8', '5/8', '7/3', '7/4', '9/8'] -> 9/8 / (3/8 * (7/4 / 7/3 - 5/8))
[1873482] ['3/8', '5/8', '7/3', '7/6', '9/7'] -> 9/7 / (3/8 / 7/6 - 5/8 / 7/3)
[1873483] ['3/8', '5/8', '7/3', '7/6', '9/8'] -> 9/8 / (3/8 * (5/8 - 7/6 / 7/3))
[1873485] ['3/8', '5/8', '7/3', '7/8', '7/9'] -> 7/3 / (((3/8 + 5/8) - 7/8) * /9
)[1873489] ['3/8', '5/8', '7/3', '7/8', '8/9'] -> 7/3 / ((7/8 - 5/8) * /8) - 8/9
[1873496] ['3/8', '5/8', '7/3', '7/9', '8/3'] -> 8/3 / (5/8 / 3/8 + 7/9 - 7/3)
[1873497] ['3/8', '5/8', '7/3', '7/9', '8/5'] -> 5/8 / (3/8 - 7/9 / 7/3) * 8/5
[1873498] ['3/8', '5/8', '7/3', '7/9', '8/7'] -> 7/3 / (5/8 * 7/9 - 3/8) * 8/7
[1873505] ['3/8', '5/8', '7/3', '8/3', '8/3'] -> (7/3 + 8/3) / 3/8 / 5/8 + 8/3
[1873509] ['3/8', '5/8', '7/3', '8/3', '9/2'] -> (7/3 + 3/8 * 8/3) / 5/8 * 9/2
[1873513] ['3/8', '5/8', '7/3', '8/3', '9/8'] -> 9/8 * (7/3 + 8/3) / (3/8 * 5/8)
[1873517] ['3/8', '5/8', '7/3', '8/5', '9/2'] -> (3/8 + 5/8 + 7/3) * 8/5 * 9/2
[1873520] ['3/8', '5/8', '7/3', '8/5', '9/7'] -> 9/7 / (5/8 * 8/5 / 7/3 - 3/8)
[1873530] ['3/8', '5/8', '7/3', '8/9', '9/2'] -> (7/3 / 8/9 - 5/8) / 3/8 * 9/2
[1873540] ['3/8', '5/8', '7/3', '9/4', '9/4'] -> 7/3 / (3/8 * 9/4 - 5/8) * 9/4
[1873541] ['3/8', '5/8', '7/3', '9/4', '9/5'] -> (7/3 + 9/4 / 3/8) / 5/8 * 9/5
[1873553] ['3/8', '5/8', '7/4', '7/4', '7/8'] -> 7/4 / ((7/4 - (5/8 / 3/8)) * /8
)[1873557] ['3/8', '5/8', '7/4', '7/4', '8/7'] -> 7/4 * 8/7 / (7/4 - 5/8 / 3/8)
[1873572] ['3/8', '5/8', '7/4', '7/5', '9/2'] -> 7/4 / (3/8 * /8 * /5) * 9/2
[1873578] ['3/8', '5/8', '7/4', '7/6', '7/8'] -> 7/8 / ((3/8 * 7/4 - 5/8) * 7/6)
[1873581] ['3/8', '5/8', '7/4', '7/6', '8/5'] -> 8/5 / (7/6 / 7/4 - 3/8 / 5/8)
[1873590] ['3/8', '5/8', '7/4', '7/8', '7/9'] -> 7/4 / (((7/8 - 5/8) * /8) * /9
)[1873595] ['3/8', '5/8', '7/4', '7/8', '9/2'] -> (7/4 + 7/8 - 5/8) / 3/8 * 9/2
[1873596] ['3/8', '5/8', '7/4', '7/8', '9/4'] -> 9/4 / (3/8 * (7/4 - 5/8 - 7/8))
[1873598] ['3/8', '5/8', '7/4', '7/8', '9/7'] -> 7/4 / ((7/8 - 5/8) * /8) * 9/7
[1873599] ['3/8', '5/8', '7/4', '7/8', '9/8'] -> 9/8 / (3/8 * (5/8 - 7/8 / 7/4))
[1873604] ['3/8', '5/8', '7/4', '7/9', '8/9'] -> 7/9 / (3/8 * 7/4 - 5/8) - 8/9
[1873610] ['3/8', '5/8', '7/4', '8/3', '8/3'] -> ((5/8 + 7/4) / 3/8 + 8/3) * 8/3
