[2000011] ['5/2', '5/2', '5/2', '5/2', '5/8'] -> ((((5/2 + 5/2) * 5/2) + 5/2) / 5/8)
[2000023] ['5/2', '5/2', '5/2', '5/2', '8/5'] -> ((((5/2 + 5/2) * 5/2) + 5/2) * 8/5)
[2000028] ['5/2', '5/2', '5/2', '5/2', '9/5'] -> (5/2 + ((5/2 + 5/2) * (5/2 + 9/5)))
[2000039] ['5/2', '5/2', '5/2', '5/3', '7/2'] -> ((5/2 + (5/2 / 5/3)) * (5/2 + 7/2))
[2000040] ['5/2', '5/2', '5/2', '5/3', '7/3'] -> ((5/2 + (5/2 / 5/3)) / (5/2 - 7/3))
[2000041] ['5/2', '5/2', '5/2', '5/3', '7/4'] -> (((5/2 + 5/2) / (7/4 - 5/3)) / 5/2)
[2000050] ['5/2', '5/2', '5/2', '5/3', '9/2'] -> ((5/2 / 5/3) + ((5/2 + 5/2) * 9/2))
[2000056] ['5/2', '5/2', '5/2', '5/4', '5/6'] -> (5/2 / (((5/2 * 5/4) * 5/6) - 5/2))
[2000060] ['5/2', '5/2', '5/2', '5/4', '6/5'] -> (5/2 / (((5/2 * 5/4) / 6/5) - 5/2))
[2000063] ['5/2', '5/2', '5/2', '5/4', '7/3'] -> (((5/2 + 5/2) / (5/2 - 7/3)) / 5/4)
[2000065] ['5/2', '5/2', '5/2', '5/4', '7/5'] -> ((5/2 + 5/4) * ((5/2 + 5/2) + 7/5))
[2000066] ['5/2', '5/2', '5/2', '5/4', '7/6'] -> (((5/2 + 5/2) / (5/4 - 7/6)) / 5/2)
[2000069] ['5/2', '5/2', '5/2', '5/4', '8/3'] -> (((5/2 + 5/2) / (8/3 - 5/2)) / 5/4)
[2000081] ['5/2', '5/2', '5/2', '5/6', '5/9'] -> ((((5/2 + 5/2) * 5/2) + 5/6) / 5/9)
[2000084] ['5/2', '5/2', '5/2', '5/6', '7/2'] -> ((5/2 + ((5/2 + 5/2) * 7/2)) / 5/6)
[2000086] ['5/2', '5/2', '5/2', '5/6', '7/4'] -> ((((5/2 * 5/2) + 7/4) * 5/2) / 5/6)
[2000091] ['5/2', '5/2', '5/2', '5/6', '8/3'] -> ((((5/2 + 5/2) + 5/2) * 8/3) / 5/6)
[2000093] ['5/2', '5/2', '5/2', '5/6', '8/7'] -> (5/2 / ((5/2 / 8/7) - (5/2 * 5/6)))
[2000096] ['5/2', '5/2', '5/2', '5/6', '9/4'] -> (((5/2 + 5/2) / (5/2 - 9/4)) / 5/6)
[2000099] ['5/2', '5/2', '5/2', '5/6', '9/8'] -> ((5/2 / (9/8 - (5/2 / 5/2))) / 5/6)
[2000101] ['5/2', '5/2', '5/2', '5/7', '5/8'] -> ((5/2 * (5/2 + (5/2 / 5/7))) / 5/8)
[2000113] ['5/2', '5/2', '5/2', '5/7', '8/5'] -> ((5/2 * (5/2 + (5/2 / 5/7))) * 8/5)
[2000117] ['5/2', '5/2', '5/2', '5/7', '9/4'] -> ((5/2 + (5/2 / 5/7)) / (5/2 - 9/4))
[2000121] ['5/2', '5/2', '5/2', '5/8', '5/8'] -> ((((5/2 * 5/2) * 5/2) - 5/8) / 5/8)
[2000128] ['5/2', '5/2', '5/2', '5/8', '7/5'] -> ((5/2 * (5/2 + (5/2 * 7/5))) / 5/8)
[2000129] ['5/2', '5/2', '5/2', '5/8', '7/6'] -> ((5/2 / (7/6 - (5/2 / 5/2))) / 5/8)
[2000132] ['5/2', '5/2', '5/2', '5/8', '8/3'] -> (((5/2 + 5/2) + (5/2 / 5/8)) * 8/3)
[2000136] ['5/2', '5/2', '5/2', '5/8', '9/2'] -> (((5/2 * (5/2 + 9/2)) - 5/2) / 5/8)
[2000155] ['5/2', '5/2', '5/2', '5/9', '9/2'] -> ((5/2 * (5/2 + (9/2 / 5/9))) - 5/2)
[2000164] ['5/2', '5/2', '5/2', '6/5', '7/4'] -> ((5/2 * 6/5) * ((5/2 * 5/2) + 7/4))
[2000169] ['5/2', '5/2', '5/2', '6/5', '8/3'] -> ((((5/2 + 5/2) + 5/2) * 6/5) * 8/3)
[2000170] ['5/2', '5/2', '5/2', '6/5', '8/5'] -> ((((5/2 + 5/2) * 5/2) * 6/5) * 8/5)
[2000171] ['5/2', '5/2', '5/2', '6/5', '8/7'] -> (5/2 / ((5/2 / 8/7) - (5/2 / 6/5)))
[2000174] ['5/2', '5/2', '5/2', '6/5', '9/4'] -> (((5/2 + 5/2) * 6/5) / (5/2 - 9/4))
[2000175] ['5/2', '5/2', '5/2', '6/5', '9/5'] -> ((5/2 + 5/2) * ((5/2 * 6/5) + 9/5))
[2000177] ['5/2', '5/2', '5/2', '6/5', '9/8'] -> ((5/2 * 6/5) / (9/8 - (5/2 / 5/2)))
[2000189] ['5/2', '5/2', '5/2', '6/7', '8/9'] -> (5/2 / ((5/2 / 6/7) - (5/2 / 8/9)))
[2000194] ['5/2', '5/2', '5/2', '6/7', '9/8'] -> (5/2 / ((5/2 / 6/7) - (5/2 * 9/8)))
[2000202] ['5/2', '5/2', '5/2', '7/2', '8/3'] -> ((((5/2 + 5/2) * 5/2) - 7/2) * 8/3)
[2000204] ['5/2', '5/2', '5/2', '7/2', '8/7'] -> (5/2 + (7/2 * ((5/2 + 5/2) + 8/7)))
[2000208] ['5/2', '5/2', '5/2', '7/2', '9/5'] -> (((5/2 + 5/2) * (7/2 + 9/5)) - 5/2)
[2000218] ['5/2', '5/2', '5/2', '7/3', '8/5'] -> (8/5 / ((5/2 / 5/2) - (7/3 / 5/2)))
[2000232] ['5/2', '5/2', '5/2', '7/4', '8/5'] -> (5/2 * (((5/2 * 5/2) + 7/4) + 8/5))
[2000244] ['5/2', '5/2', '5/2', '7/5', '8/3'] -> (((5/2 + 5/2) - 7/5) * (5/2 * 8/3))
[2000245] ['5/2', '5/2', '5/2', '7/5', '8/5'] -> ((5/2 * (5/2 + (5/2 * 7/5))) * 8/5)
[2000248] ['5/2', '5/2', '5/2', '7/5', '9/2'] -> (((5/2 + 5/2) * (5/2 + 7/5)) + 9/2)
[2000249] ['5/2', '5/2', '5/2', '7/5', '9/4'] -> ((5/2 + (5/2 * 7/5)) / (5/2 - 9/4))
[2000250] ['5/2', '5/2', '5/2', '7/5', '9/5'] -> (((5/2 + 5/2) + 5/2) * (7/5 + 9/5))
[2000257] ['5/2', '5/2', '5/2', '7/6', '8/5'] -> ((5/2 * 8/5) / (7/6 - (5/2 / 5/2)))
[2000259] ['5/2', '5/2', '5/2', '7/6', '8/9'] -> (5/2 / ((5/2 * 7/6) - (5/2 / 8/9)))
[2000289] ['5/2', '5/2', '5/2', '8/3', '8/9'] -> ((5/2 * 8/3) / (5/2 - (5/2 * 8/9)))
[2000290] ['5/2', '5/2', '5/2', '8/3', '9/2'] -> ((((5/2 + 5/2) * 8/3) * 9/2) / 5/2)
[2000294] ['5/2', '5/2', '5/2', '8/3', '9/8'] -> ((5/2 * 8/3) / (5/2 - (5/2 / 9/8)))
[2000296] ['5/2', '5/2', '5/2', '8/5', '8/7'] -> (((5/2 * 5/2) + 5/2) * (8/5 + 8/7))
[2000311] ['5/2', '5/2', '5/2', '8/9', '9/2'] -> ((((5/2 + 5/2) + 8/9) * 9/2) - 5/2)
[2000316] ['5/2', '5/2', '5/2', '9/2', '9/2'] -> (((5/2 * 5/2) + (9/2 * 9/2)) - 5/2)
[2000318] ['5/2', '5/2', '5/2', '9/2', '9/5'] -> ((5/2 * (5/2 + (9/2 * 9/5))) - 5/2)
[2000319] ['5/2', '5/2', '5/2', '9/2', '9/7'] -> (((5/2 + 9/2) * (5/2 + 9/7)) - 5/2)
[2000335] ['5/2', '5/2', '5/3', '5/3', '5/8'] -> ((5/2 / (5/3 - (5/2 / 5/3))) / 5/8)
[2000344] ['5/2', '5/2', '5/3', '5/3', '7/8'] -> ((5/2 + 5/2) / (5/3 - (5/3 * 7/8)))
[2000348] ['5/2', '5/2', '5/3', '5/3', '8/7'] -> ((5/2 + 5/2) / (5/3 - (5/3 / 8/7)))
[2000349] ['5/2', '5/2', '5/3', '5/3', '8/9'] -> ((5/2 + 5/2) / ((5/3 / 8/9) - 5/3))
[2000354] ['5/2', '5/2', '5/3', '5/3', '9/8'] -> ((5/2 + 5/2) / ((5/3 * 9/8) - 5/3))
[2000362] ['5/2', '5/2', '5/3', '5/4', '7/2'] -> ((5/2 + 7/2) / ((5/2 / 5/3) - 5/4))
[2000370] ['5/2', '5/2', '5/3', '5/4', '8/5'] -> (((5/2 * 5/2) * 8/5) / (5/3 - 5/4))
[2000388] ['5/2', '5/2', '5/3', '5/6', '7/6'] -> (5/3 / (5/2 - ((5/2 * 5/6) * 7/6)))
[2000392] ['5/2', '5/2', '5/3', '5/6', '8/5'] -> ((5/2 * 8/5) / (5/6 - (5/3 / 5/2)))
[2000401] ['5/2', '5/2', '5/3', '5/7', '5/8'] -> ((5/2 / (5/2 - (5/3 / 5/7))) / 5/8)
[2000406] ['5/2', '5/2', '5/3', '5/7', '7/3'] -> ((5/2 + (5/2 / 5/7)) * (5/3 + 7/3))
[2000413] ['5/2', '5/2', '5/3', '5/7', '8/5'] -> ((5/2 * 8/5) / (5/2 - (5/3 / 5/7)))
[2000416] ['5/2', '5/2', '5/3', '5/7', '9/2'] -> ((((5/2 + 5/2) / 5/7) - 5/3) * 9/2)
[2000422] ['5/2', '5/2', '5/3', '5/8', '5/9'] -> ((((5/2 + 5/2) * 5/3) / 5/8) / 5/9)
[2000428] ['5/2', '5/2', '5/3', '5/8', '7/5'] -> ((5/2 / 5/8) / (5/2 - (5/3 * 7/5)))
[2000435] ['5/2', '5/2', '5/3', '5/8', '8/9'] -> ((5/3 / 5/8) / ((5/2 / 5/2) - 8/9))
[2000438] ['5/2', '5/2', '5/3', '5/8', '9/5'] -> ((((5/2 + 5/2) * 5/3) / 5/8) * 9/5)
[2000444] ['5/2', '5/2', '5/3', '5/9', '7/2'] -> (((5/2 * (5/2 + 7/2)) - 5/3) / 5/9)
[2000449] ['5/2', '5/2', '5/3', '5/9', '7/8'] -> ((5/3 / 5/9) / ((5/2 / 5/2) - 7/8))
[2000452] ['5/2', '5/2', '5/3', '5/9', '8/5'] -> ((((5/2 + 5/2) * 5/3) / 5/9) * 8/5)
[2000456] ['5/2', '5/2', '5/3', '5/9', '9/4'] -> ((5/3 + ((5/2 + 5/2) / 5/9)) * 9/4)
