[1064544] ['1/8', '2/3', '7/8', '9/4', '9/5'] -> (9/4 - 2/3 * 7/8) / 1/8 * 9/5
[1064545] ['1/8', '2/3', '7/8', '9/4', '9/7'] -> 9/4 / 1/8 / 2/3 / 7/8 / 9/7
[1064547] ['1/8', '2/3', '7/8', '9/5', '9/5'] -> (2/3 + 7/8) * 9/5 / 1/8 + 9/5
[1064549] ['1/8', '2/3', '7/8', '9/5', '9/8'] -> 9/8 / (1/8 * (7/8 - 2/3) * 9/5)
[1064560] ['1/8', '2/3', '7/9', '7/9', '9/5'] -> (2/3 + 7/9 / 7/9) / 1/8 * 9/5
[1064561] ['1/8', '2/3', '7/9', '7/9', '9/7'] -> (7/9 + 7/9) / 1/8 / 2/3 * 9/7
[1064563] ['1/8', '2/3', '7/9', '8/3', '8/3'] -> 8/3 / (2/3 * (7/9 / 8/3 - 1/8))
[1064564] ['1/8', '2/3', '7/9', '8/3', '8/5'] -> (7/9 + 2/3 * 8/3 / 1/8) * 8/5
[1064569] ['1/8', '2/3', '7/9', '8/3', '9/5'] -> (7/9 / 1/8 + 8/3) / 2/3 * 9/5
[1064583] ['1/8', '2/3', '7/9', '8/7', '9/4'] -> 7/9 * 8/7 / 1/8 / 2/3 * 9/4
[1064591] ['1/8', '2/3', '7/9', '8/9', '9/7'] -> 9/7 / (1/8 / (2/3 + 7/9 + 8/9))
[1064599] ['1/8', '2/3', '7/9', '9/4', '9/5'] -> (7/9 * 9/4 / 1/8 - 2/3) * 9/5
[1064602] ['1/8', '2/3', '7/9', '9/5', '9/5'] -> 9/5 / ((7/9 - 2/3) * 9/5 - 1/8)
[1064605] ['1/8', '2/3', '7/9', '9/7', '9/7'] -> 9/7 / (1/8 * (9/7 - 2/3 / 7/9))
[1064617] ['1/8', '2/3', '8/3', '8/5', '8/5'] -> 8/3 / 1/8 + 2/3 * 8/5 + 8/5
[1064621] ['1/8', '2/3', '8/3', '8/5', '9/4'] -> 8/3 / 1/8 + 2/3 / 8/5 + 9/4
[1064623] ['1/8', '2/3', '8/3', '8/5', '9/7'] -> 9/7 / (1/8 / (2/3 + 8/3 / 8/5))
[1064628] ['1/8', '2/3', '8/3', '8/7', '9/4'] -> 9/4 / (2/3 / 8/3 / 8/7 - 1/8)
[1064629] ['1/8', '2/3', '8/3', '8/7', '9/5'] -> (8/3 / 8/7 - 2/3) / 1/8 * 9/5
[1064633] ['1/8', '2/3', '8/3', '8/9', '9/2'] -> (8/9 / 1/8 - 2/3 * 8/3) * 9/2
[1064634] ['1/8', '2/3', '8/3', '8/9', '9/4'] -> (8/3 - 8/9 / 2/3) / 1/8 * 9/4
[1064636] ['1/8', '2/3', '8/3', '8/9', '9/7'] -> 9/7 / (1/8 / (8/3 / 8/9 - 2/3))
[1064647] ['1/8', '2/3', '8/3', '9/5', '9/5'] -> 9/5 / (8/3 - 1/8 - 2/3 - 9/5)
