[1250896] ['1/9', '5/3', '5/4', '5/7', '7/5'] -> 7/5 / (1/9 * 5/4 / (5/3 + 5/7))
[1250897] ['1/9', '5/3', '5/4', '5/7', '7/6'] -> 5/3 / (5/4 - 5/7) / 1/9 / 7/6
[1250905] ['1/9', '5/3', '5/4', '5/7', '9/4'] -> 5/3 * 5/4 / 1/9 / 5/7 - 9/4
[1250915] ['1/9', '5/3', '5/4', '5/8', '7/4'] -> (5/3 + 5/4) / 1/9 / 5/8 / 7/4
[1250916] ['1/9', '5/3', '5/4', '5/8', '7/5'] -> 7/5 / ((5/4 - 1/9) / 5/3 - 5/8)
[1250923] ['1/9', '5/3', '5/4', '5/8', '8/9'] -> 8/9 / (1/9 * (5/4 / 5/8 - 5/3))
[1250924] ['1/9', '5/3', '5/4', '5/8', '9/2'] -> (5/3 + 5/8 / 5/4) / 1/9 + 9/2
[1250934] ['1/9', '5/3', '5/4', '5/9', '7/4'] -> 5/3 / 1/9 / 5/9 - 5/4 - 7/4
[1250943] ['1/9', '5/3', '5/4', '5/9', '9/2'] -> (5/3 + 5/9 / 1/9) / 5/4 * 9/2
[1250961] ['1/9', '5/3', '5/4', '6/5', '9/2'] -> (5/3 / 1/9 + 5/4) * 6/5 + 9/2
[1251002] ['1/9', '5/3', '5/4', '7/3', '7/6'] -> 5/3 * 7/3 / 1/9 / 5/4 / 7/6
[1251007] ['1/9', '5/3', '5/4', '7/3', '8/7'] -> 8/7 / (7/3 / (1/9 + 5/4) - 5/3)
[1251010] ['1/9', '5/3', '5/4', '7/3', '9/4'] -> 5/4 / 5/3 + 7/3 / 1/9 + 9/4
[1251014] ['1/9', '5/3', '5/4', '7/4', '7/4'] -> (5/3 + 5/4 + 7/4) / 1/9 / 7/4
[1251016] ['1/9', '5/3', '5/4', '7/4', '7/6'] -> ((5/3 + 5/4) / 1/9 + 7/4) / 7/6
[1251017] ['1/9', '5/3', '5/4', '7/4', '7/8'] -> 5/3 * 7/4 / 1/9 / 5/4 / 7/8
[1251021] ['1/9', '5/3', '5/4', '7/4', '8/7'] -> 5/3 * 7/4 / 1/9 / 5/4 * 8/7
[1251022] ['1/9', '5/3', '5/4', '7/4', '8/9'] -> 8/9 / (1/9 * (5/3 * 5/4 - 7/4))
[1251035] ['1/9', '5/3', '5/4', '7/5', '8/9'] -> 8/9 / (1/9 * 5/4 * (5/3 - 7/5))
[1251037] ['1/9', '5/3', '5/4', '7/5', '9/4'] -> 5/3 * 5/4 * 7/5 / 1/9 - 9/4
[1251052] ['1/9', '5/3', '5/4', '7/6', '9/8'] -> 9/8 / ((5/4 - 7/6) / (1/9 + 5/3))
[1251075] ['1/9', '5/3', '5/4', '8/3', '8/5'] -> (5/4 * 8/3 - 5/3) / 1/9 * 8/5
[1251085] ['1/9', '5/3', '5/4', '8/5', '8/9'] -> 8/9 / (1/9 * (5/4 * 8/5 - 5/3))
[1251118] ['1/9', '5/3', '5/4', '9/8', '9/8'] -> (5/3 + 5/4) / 1/9 - 9/8 - 9/8
[1251119] ['1/9', '5/3', '5/6', '5/6', '5/6'] -> (5/3 * 5/6 + 5/6) / 1/9 / 5/6
[1251123] ['1/9', '5/3', '5/6', '5/6', '6/5'] -> (5/3 * 5/6 + 5/6) / 1/9 * 6/5
[1251137] ['1/9', '5/3', '5/6', '5/6', '9/4'] -> (5/3 + 5/6 / 1/9 / 5/6) * 9/4
[1251140] ['1/9', '5/3', '5/6', '5/6', '9/8'] -> (5/3 + 5/6) / 1/9 / 5/6 / 9/8
[1251141] ['1/9', '5/3', '5/6', '5/7', '5/7'] -> (5/3 / 1/9 - 5/7) / 5/6 / 5/7
[1251147] ['1/9', '5/3', '5/6', '5/7', '7/3'] -> (5/3 - 5/7) / 1/9 / 5/6 * 7/3
[1251149] ['1/9', '5/3', '5/6', '5/7', '7/5'] -> 7/5 / (5/6 / (5/3 / 1/9 - 5/7))
[1251160] ['1/9', '5/3', '5/6', '5/7', '9/7'] -> (5/3 + 5/7 / 5/6) / 1/9 + 9/7
[1251171] ['1/9', '5/3', '5/6', '5/8', '7/8'] -> (5/3 + 5/6) / 1/9 + 5/8 + 7/8
[1251178] ['1/9', '5/3', '5/6', '5/8', '9/4'] -> (5/3 + 5/8 / 5/6) / 1/9 + 9/4
[1251181] ['1/9', '5/3', '5/6', '5/8', '9/8'] -> (5/3 + 5/6 / 5/8) / 1/9 / 9/8
[1251182] ['1/9', '5/3', '5/6', '5/9', '5/9'] -> (5/3 + 5/9 / 1/9) / (5/6 - 5/9)
[1251185] ['1/9', '5/3', '5/6', '5/9', '7/2'] -> (5/3 + 5/6 + 5/9) / 1/9 - 7/2
[1251186] ['1/9', '5/3', '5/6', '5/9', '7/3'] -> (1/9 - 7/3) / (5/6 - 5/3 * 5/9)
[1251190] ['1/9', '5/3', '5/6', '5/9', '7/8'] -> (5/3 + 5/9 / 5/6) / 1/9 / 7/8
[1251191] ['1/9', '5/3', '5/6', '5/9', '7/9'] -> (5/3 / 1/9 + 5/9) / 5/6 / 7/9
[1251194] ['1/9', '5/3', '5/6', '5/9', '8/7'] -> (5/3 + 5/9 / 5/6) / 1/9 * 8/7
[1251197] ['1/9', '5/3', '5/6', '5/9', '9/4'] -> 5/3 / (5/6 - 5/9) / 1/9 / 9/4
[1251199] ['1/9', '5/3', '5/6', '5/9', '9/7'] -> (5/3 / 1/9 + 5/9) / 5/6 * 9/7
[1251213] ['1/9', '5/3', '5/6', '6/5', '8/9'] -> (5/3 + 5/6) * 6/5 / 1/9 * 8/9
[1251215] ['1/9', '5/3', '5/6', '6/5', '9/4'] -> (5/3 + 5/6 * 6/5 / 1/9) * 9/4
[1251216] ['1/9', '5/3', '5/6', '6/5', '9/5'] -> (5/6 + 5/3 / 1/9 / 6/5) * 9/5
[1251218] ['1/9', '5/3', '5/6', '6/5', '9/8'] -> (5/3 + 5/6) * 6/5 / 1/9 / 9/8
[1251221] ['1/9', '5/3', '5/6', '6/7', '7/3'] -> (5/3 / 5/6 - 6/7) / 1/9 * 7/3
[1251225] ['1/9', '5/3', '5/6', '6/7', '7/8'] -> 5/3 / 1/9 / 5/6 / 6/7 / 7/8
[1251229] ['1/9', '5/3', '5/6', '6/7', '8/7'] -> 5/3 / 1/9 / 5/6 / 6/7 * 8/7
[1251232] ['1/9', '5/3', '5/6', '6/7', '9/4'] -> (5/3 + 5/6) / 1/9 / 6/7 - 9/4
[1251239] ['1/9', '5/3', '5/6', '7/2', '7/5'] -> 7/5 / (1/9 / (5/3 + 5/6 / 7/2))
[1251246] ['1/9', '5/3', '5/6', '7/2', '8/9'] -> (7/2 - 5/6 / 5/3) / 1/9 * 8/9
[1251251] ['1/9', '5/3', '5/6', '7/2', '9/8'] -> (7/2 - 5/6 / 5/3) / 1/9 / 9/8
[1251252] ['1/9', '5/3', '5/6', '7/3', '7/3'] -> 7/3 / (5/6 / (5/3 + 7/3) - 1/9)
[1251253] ['1/9', '5/3', '5/6', '7/3', '7/4'] -> 5/3 * 7/3 / 1/9 / 5/6 / 7/4
[1251261] ['1/9', '5/3', '5/6', '7/3', '8/9'] -> 8/9 / (1/9 * (7/3 - 5/3 / 5/6))
[1251264] ['1/9', '5/3', '5/6', '7/3', '9/5'] -> (5/3 + 7/3) / 1/9 / 5/6 / 9/5
[1251285] ['1/9', '5/3', '5/6', '7/5', '8/3'] -> 8/3 / (5/6 * (5/3 - 7/5) - 1/9)
[1251295] ['1/9', '5/3', '5/6', '7/6', '7/8'] -> 5/3 * 7/6 / 1/9 / 5/6 / 7/8
[1251297] ['1/9', '5/3', '5/6', '7/6', '8/3'] -> 8/3 / (5/3 * 5/6 - 1/9 - 7/6)
[1251299] ['1/9', '5/3', '5/6', '7/6', '8/7'] -> 5/3 * 7/6 / 1/9 / 5/6 * 8/7
[1251302] ['1/9', '5/3', '5/6', '7/6', '9/4'] -> (5/3 + 5/6) * 7/6 / 1/9 - 9/4
[1251318] ['1/9', '5/3', '5/6', '7/9', '8/3'] -> (5/3 / 5/6 + 7/9 / 1/9) * 8/3
[1251322] ['1/9', '5/3', '5/6', '7/9', '9/2'] -> (5/3 * 5/6 + 7/9) / 1/9 + 9/2
[1251343] ['1/9', '5/3', '5/6', '8/5', '9/8'] -> (5/3 + 5/6 * 8/5) / 1/9 / 9/8
[1251357] ['1/9', '5/3', '5/6', '9/2', '9/2'] -> (9/2 / 5/6 - 1/9 / 5/3) * 9/2
[1251358] ['1/9', '5/3', '5/6', '9/2', '9/4'] -> (5/6 / 1/9 - 5/3) * 9/2 - 9/4
