[1360820] ['2/3', '5/8', '5/9', '7/5', '7/9'] -> 7/9 / ((2/3 - 5/8) * 5/9 * 7/5)
[1360821] ['2/3', '5/8', '5/9', '7/5', '8/3'] -> 8/3 / (5/8 * (7/5 - 2/3 - 5/9))
[1360822] ['2/3', '5/8', '5/9', '7/5', '8/5'] -> 8/5 / (7/5 - 5/9 / 2/3 / 5/8)
[1360828] ['2/3', '5/8', '5/9', '7/5', '9/7'] -> 9/7 / ((2/3 - 5/8) / 5/9 / 7/5)
[1360833] ['2/3', '5/8', '5/9', '7/6', '8/3'] -> 8/3 / (5/9 / 5/8 - 2/3 * 7/6)
[1360845] ['2/3', '5/8', '5/9', '7/8', '8/5'] -> 5/8 / (7/8 - 5/9 / 2/3) * 8/5
[1360848] ['2/3', '5/8', '5/9', '7/8', '9/2'] -> 9/2 / (7/8 / 2/3 - 5/8 / 5/9)
[1360864] ['2/3', '5/8', '5/9', '8/3', '8/5'] -> 5/8 * 8/3 / (2/3 - 5/9) * 8/5
[1360867] ['2/3', '5/8', '5/9', '8/3', '9/2'] -> (5/9 / 5/8 + 8/3) / 2/3 * 9/2
[1360868] ['2/3', '5/8', '5/9', '8/3', '9/4'] -> (5/9 / (2/3 - 5/8) - 8/3) * 9/4
[1360874] ['2/3', '5/8', '5/9', '8/5', '8/9'] -> 8/9 / ((2/3 - 5/8) * 5/9 * 8/5)
[1360879] ['2/3', '5/8', '5/9', '8/5', '9/8'] -> 9/8 / ((2/3 - 5/8) / 5/9 / 8/5)
[1360884] ['2/3', '5/8', '5/9', '8/7', '9/5'] -> 5/9 / (5/8 - 2/3 / 8/7) * 9/5
[1360895] ['2/3', '5/8', '5/9', '9/2', '9/5'] -> 2/3 * 9/2 / (5/8 - 5/9) / 9/5
[1360899] ['2/3', '5/8', '5/9', '9/4', '9/5'] -> 9/5 / ((2/3 + 5/8) / 5/9 - 9/4)
[1360905] ['2/3', '5/8', '5/9', '9/7', '9/7'] -> 9/7 / (5/8 * (9/7 - 2/3 / 5/9))
[1360907] ['2/3', '5/8', '5/9', '9/8', '9/8'] -> 9/8 / (5/8 * (2/3 / 5/9 - 9/8))
[1360908] ['2/3', '5/8', '6/5', '6/5', '6/5'] -> 6/5 / (2/3 * 6/5 - 5/8 * 6/5)
[1360910] ['2/3', '5/8', '6/5', '6/5', '7/2'] -> 6/5 / (2/3 * 6/5 - 5/8) * 7/2
[1360914] ['2/3', '5/8', '6/5', '6/5', '7/6'] -> (6/5 + 6/5) / (7/6 - 2/3 / 5/8)
[1360915] ['2/3', '5/8', '6/5', '6/5', '7/8'] -> 6/5 / 6/5 / (5/8 - 2/3 * 7/8)
[1360917] ['2/3', '5/8', '6/5', '6/5', '8/3'] -> 6/5 / (6/5 - 2/3 / 5/8) * 8/3
[1360918] ['2/3', '5/8', '6/5', '6/5', '8/5'] -> 8/5 / (2/3 / 5/8 - 6/5 / 6/5)
[1360923] ['2/3', '5/8', '6/5', '6/5', '9/5'] -> 9/5 / (6/5 - 5/8 * 6/5 / 2/3)
[1360926] ['2/3', '5/8', '6/5', '6/7', '6/7'] -> 6/7 / (5/8 * (6/7 - 2/3 * 6/5))
[1360928] ['2/3', '5/8', '6/5', '6/7', '7/3'] -> 6/7 / (5/8 * 6/5 - 2/3) * 7/3
[1360935] ['2/3', '5/8', '6/5', '6/7', '8/5'] -> 8/5 - 6/5 / (2/3 * 6/7 - 5/8)
[1360940] ['2/3', '5/8', '6/5', '6/7', '9/5'] -> 9/5 / (6/5 * (5/8 / 6/7 - 2/3))
[1360941] ['2/3', '5/8', '6/5', '6/7', '9/7'] -> 9/7 / (5/8 * (6/7 / 2/3 - 6/5))
[1360945] ['2/3', '5/8', '6/5', '7/2', '7/4'] -> 7/2 / (5/8 * 6/5 - 2/3) / 7/4
[1360954] ['2/3', '5/8', '6/5', '7/2', '9/2'] -> (2/3 + 7/2 / 5/8 / 6/5) * 9/2
[1360955] ['2/3', '5/8', '6/5', '7/2', '9/4'] -> 7/2 / (6/5 - 2/3 / 5/8) - 9/4
[1360956] ['2/3', '5/8', '6/5', '7/2', '9/5'] -> 7/2 / (6/5 - 5/8 / 2/3) * 9/5
[1360961] ['2/3', '5/8', '6/5', '7/3', '7/5'] -> 7/3 / (5/8 - 2/3 / 6/5) / 7/5
[1360962] ['2/3', '5/8', '6/5', '7/3', '7/6'] -> 7/3 / (5/8 * 6/5 - 2/3) / 7/6
[1360966] ['2/3', '5/8', '6/5', '7/3', '8/5'] -> 8/5 / (7/3 - 2/3 / 5/8 - 6/5)
[1360971] ['2/3', '5/8', '6/5', '7/3', '9/5'] -> 7/3 / (2/3 * 6/5 - 5/8) * 9/5
[1360974] ['2/3', '5/8', '6/5', '7/4', '7/4'] -> 7/4 / (5/8 * (2/3 + 6/5 - 7/4))
[1360977] ['2/3', '5/8', '6/5', '7/4', '7/8'] -> 7/4 / (5/8 * 6/5 - 2/3) / 7/8
[1360981] ['2/3', '5/8', '6/5', '7/4', '8/7'] -> 7/4 / (5/8 * 6/5 - 2/3) * 8/7
[1360998] ['2/3', '5/8', '6/5', '7/5', '9/5'] -> 9/5 / (5/8 * 7/5 - 2/3 * 6/5)
