[1425746] ['2/5', '4/3', '4/7', '5/4', '7/5'] -> 7/5 / (2/5 * (4/3 - 5/4) / 4/7)
[1425752] ['2/5', '4/3', '4/7', '5/4', '8/7'] -> 8/7 / ((4/7 - 2/5 * 4/3) * 5/4)
[1425757] ['2/5', '4/3', '4/7', '5/4', '9/7'] -> 9/7 / ((4/7 - 2/5 * 5/4) / 4/3)
[1425763] ['2/5', '4/3', '4/7', '5/6', '6/5'] -> 6/5 / (2/5 * (5/6 / 4/7 - 4/3))
[1425778] ['2/5', '4/3', '4/7', '5/6', '9/5'] -> 9/5 / (2/5 / 4/7 - 5/6 / 4/3)
[1425795] ['2/5', '4/3', '4/7', '5/7', '8/7'] -> 8/7 / (2/5 * (4/3 + 4/7) - 5/7)
[1425797] ['2/5', '4/3', '4/7', '5/7', '9/2'] -> (4/3 + 4/7 / 5/7) / 2/5 * 9/2
[1425826] ['2/5', '4/3', '4/7', '5/9', '7/3'] -> 4/7 / (5/9 / 2/5 - 4/3) * 7/3
[1425828] ['2/5', '4/3', '4/7', '5/9', '7/5'] -> 2/5 * 4/3 / (4/7 - 5/9) / 7/5
[1425833] ['2/5', '4/3', '4/7', '5/9', '8/5'] -> 4/3 / (5/9 - 2/5) / 4/7 * 8/5
[1425845] ['2/5', '4/3', '4/7', '6/5', '7/4'] -> 6/5 / (4/7 / 4/3 - 2/5) / 7/4
[1425851] ['2/5', '4/3', '4/7', '6/5', '8/5'] -> 8/5 / ((6/5 - 2/5) / 4/7 - 4/3)
[1425854] ['2/5', '4/3', '4/7', '6/5', '9/2'] -> (4/3 / 4/7 + 6/5 / 2/5) * 9/2
[1425867] ['2/5', '4/3', '4/7', '6/7', '8/3'] -> 6/7 / (4/7 / 2/5 - 4/3) * 8/3
[1425887] ['2/5', '4/3', '4/7', '7/2', '9/2'] -> (4/3 / 2/5 + 4/7 * 7/2) * 9/2
[1425899] ['2/5', '4/3', '4/7', '7/3', '8/5'] -> 8/5 / ((4/7 / 4/3 - 2/5) * 7/3)
[1425929] ['2/5', '4/3', '4/7', '7/5', '9/2'] -> (4/3 + 4/7 * 7/5) / 2/5 * 9/2
[1425937] ['2/5', '4/3', '4/7', '7/6', '8/3'] -> 8/3 / ((4/7 / 2/5 - 4/3) * 7/6)
[1425954] ['2/5', '4/3', '4/7', '7/8', '9/5'] -> 4/3 / (4/7 * 7/8 - 2/5) * 9/5
[1425959] ['2/5', '4/3', '4/7', '7/9', '8/5'] -> 8/5 / (2/5 - 4/7 * 7/9 / 4/3)
[1425967] ['2/5', '4/3', '4/7', '8/3', '8/3'] -> (4/3 / 4/7 + 8/3 / 2/5) * 8/3
[1425976] ['2/5', '4/3', '4/7', '8/5', '8/5'] -> 8/5 / ((8/5 - 4/3) / 4/7 - 2/5)
[1425988] ['2/5', '4/3', '4/7', '8/7', '9/5'] -> 4/3 / (4/7 / 8/7 - 2/5) * 9/5
[1425998] ['2/5', '4/3', '4/7', '9/2', '9/4'] -> 4/3 * 9/2 / 2/5 / 4/7 - 9/4
[1426014] ['2/5', '4/3', '4/9', '4/9', '5/3'] -> (4/3 + 4/9) / (4/9 - 2/5) / 5/3
[1426019] ['2/5', '4/3', '4/9', '4/9', '5/9'] -> 4/3 * 4/9 / (4/9 - 2/5) / 5/9
[1426029] ['2/5', '4/3', '4/9', '4/9', '8/3'] -> 4/3 / (4/9 - 2/5) - 8/3 / 4/9
[1426030] ['2/5', '4/3', '4/9', '4/9', '8/5'] -> 8/5 / (2/5 + 4/9 / 4/9 - 4/3)
