[1502197] ['2/7', '3/8', '3/8', '4/7', '9/8'] -> 9/8 / 3/8 / (2/7 / 4/7 - 3/8)
[1502217] ['2/7', '3/8', '3/8', '4/9', '8/7'] -> 8/7 / ((3/8 + 3/8) * 4/9 - 2/7)
[1502232] ['2/7', '3/8', '3/8', '5/2', '6/7'] -> 6/7 / (3/8 + 3/8 - 2/7 * 5/2)
[1502256] ['2/7', '3/8', '3/8', '5/3', '6/7'] -> 6/7 / (2/7 + 3/8 - 3/8 * 5/3)
[1502279] ['2/7', '3/8', '3/8', '5/4', '6/7'] -> 6/7 / (2/7 + 3/8 / 3/8 - 5/4)
[1502280] ['2/7', '3/8', '3/8', '5/4', '7/2'] -> (5/4 - 2/7) / 3/8 / 3/8 * 7/2
[1502285] ['2/7', '3/8', '3/8', '5/4', '7/8'] -> 3/8 / (3/8 - 2/7 * 5/4) / 7/8
[1502289] ['2/7', '3/8', '3/8', '5/4', '8/7'] -> 3/8 * 8/7 / (3/8 - 2/7 * 5/4)
[1502295] ['2/7', '3/8', '3/8', '5/4', '9/8'] -> (3/8 + 9/8) / (3/8 / 2/7 - 5/4)
[1502297] ['2/7', '3/8', '3/8', '5/6', '5/7'] -> 5/7 / (3/8 - 2/7 * (3/8 + 5/6))
[1502311] ['2/7', '3/8', '3/8', '5/6', '8/7'] -> 8/7 / 2/7 / (3/8 / 3/8 - 5/6)
[1502312] ['2/7', '3/8', '3/8', '5/6', '8/9'] -> 5/6 / (3/8 - 2/7) / 3/8 - 8/9
[1502319] ['2/7', '3/8', '3/8', '5/7', '5/8'] -> 3/8 / (2/7 / 5/7 - 3/8) / 5/8
[1502328] ['2/7', '3/8', '3/8', '5/7', '7/8'] -> 3/8 / (2/7 - 3/8 * 5/7) / 7/8
[1502331] ['2/7', '3/8', '3/8', '5/7', '8/5'] -> 3/8 * 8/5 / (2/7 / 5/7 - 3/8)
[1502333] ['2/7', '3/8', '3/8', '5/7', '8/9'] -> 5/7 / (3/8 - 2/7) / 3/8 / 8/9
[1502338] ['2/7', '3/8', '3/8', '5/7', '9/8'] -> 5/7 / (3/8 - 2/7) / 3/8 * 9/8
[1502349] ['2/7', '3/8', '3/8', '5/8', '7/9'] -> 5/8 / (3/8 - 2/7) / 3/8 / 7/9
[1502357] ['2/7', '3/8', '3/8', '5/8', '9/7'] -> 5/8 / (3/8 - 2/7) / 3/8 * 9/7
[1502371] ['2/7', '3/8', '3/8', '5/9', '8/7'] -> 8/7 / 2/7 / (3/8 - 3/8 * 5/9)
[1502389] ['2/7', '3/8', '3/8', '6/5', '8/7'] -> 8/7 / (2/7 - 3/8 / (3/8 + 6/5))
[1502393] ['2/7', '3/8', '3/8', '6/5', '9/5'] -> 9/5 / (2/7 * (3/8 + 6/5) - 3/8)
[1502396] ['2/7', '3/8', '3/8', '6/7', '6/7'] -> 6/7 / 3/8 / (6/7 - 2/7 / 3/8)
[1502397] ['2/7', '3/8', '3/8', '6/7', '7/2'] -> (2/7 + 6/7 / 3/8) / 3/8 * 7/2
[1502407] ['2/7', '3/8', '3/8', '6/7', '8/9'] -> 6/7 / 2/7 / 3/8 / 3/8 / 8/9
[1502411] ['2/7', '3/8', '3/8', '6/7', '9/7'] -> 9/7 / (3/8 * (2/7 + 6/7) - 3/8)
[1502439] ['2/7', '3/8', '3/8', '7/3', '9/2'] -> 9/2 / (3/8 / 2/7 / 7/3 - 3/8)
[1502440] ['2/7', '3/8', '3/8', '7/3', '9/4'] -> 9/4 / 2/7 / (3/8 * 3/8 * 7/3)
[1502442] ['2/7', '3/8', '3/8', '7/3', '9/7'] -> 9/7 / (3/8 / 7/3 - 2/7 * 3/8)
[1502443] ['2/7', '3/8', '3/8', '7/3', '9/8'] -> 9/8 / 3/8 / (2/7 - 3/8 / 7/3)
[1502457] ['2/7', '3/8', '3/8', '7/4', '9/8'] -> 9/8 / 3/8 / (2/7 * 7/4 - 3/8)
[1502460] ['2/7', '3/8', '3/8', '7/5', '7/8'] -> 3/8 / (2/7 - 3/8 / 7/5) / 7/8
[1502463] ['2/7', '3/8', '3/8', '7/5', '8/5'] -> 3/8 * 8/5 / (2/7 * 7/5 - 3/8)
[1502464] ['2/7', '3/8', '3/8', '7/5', '8/7'] -> 3/8 * 8/7 / (2/7 - 3/8 / 7/5)
[1502470] ['2/7', '3/8', '3/8', '7/5', '9/8'] -> 9/8 / 3/8 / ((3/8 - 2/7) * 7/5)
[1502474] ['2/7', '3/8', '3/8', '7/6', '8/3'] -> 3/8 * 8/3 / (3/8 - 2/7 * 7/6)
[1502476] ['2/7', '3/8', '3/8', '7/6', '8/7'] -> 8/7 / 2/7 / (7/6 - 3/8 / 3/8)
[1502478] ['2/7', '3/8', '3/8', '7/6', '9/2'] -> 2/7 * 9/2 / (3/8 - 3/8 / 7/6)
[1502482] ['2/7', '3/8', '3/8', '7/6', '9/8'] -> 9/8 / 2/7 / (3/8 * 3/8 * 7/6)
[1502493] ['2/7', '3/8', '3/8', '7/8', '9/8'] -> 9/8 / 3/8 / (3/8 - 2/7 * 7/8)
[1502519] ['2/7', '3/8', '3/8', '8/5', '9/7'] -> 9/7 / 3/8 / ((3/8 - 2/7) * 8/5)
[1502527] ['2/7', '3/8', '3/8', '8/7', '9/8'] -> 9/8 / 3/8 / (3/8 - 2/7 / 8/7)
[1502542] ['2/7', '3/8', '3/8', '9/4', '9/8'] -> 9/4 / 2/7 / 3/8 + 9/8 / 3/8
[1502558] ['2/7', '3/8', '4/3', '4/3', '5/8'] -> (4/3 / 2/7 + 4/3) / (5/8 - 3/8)
[1502561] ['2/7', '3/8', '4/3', '4/3', '6/7'] -> 4/3 / 4/3 / (3/8 - 2/7 / 6/7)
[1502566] ['2/7', '3/8', '4/3', '4/3', '7/6'] -> 4/3 / 4/3 / (3/8 - 2/7 * 7/6)
[1502569] ['2/7', '3/8', '4/3', '4/3', '8/3'] -> 4/3 / (4/3 - 3/8 / 2/7) / 8/3
[1502572] ['2/7', '3/8', '4/3', '4/3', '8/9'] -> (4/3 + 4/3) / 2/7 / 3/8 - 8/9
[1502579] ['2/7', '3/8', '4/3', '4/5', '4/7'] -> 4/7 / (4/3 * (3/8 - 2/7 / 4/5))
[1502586] ['2/7', '3/8', '4/3', '4/5', '5/8'] -> 5/8 / ((4/3 - 3/8 / 2/7) / 4/5)
[1502604] ['2/7', '3/8', '4/3', '4/5', '9/7'] -> 9/7 / ((3/8 - 2/7) * 4/5 / 4/3)
[1502607] ['2/7', '3/8', '4/3', '4/7', '4/9'] -> 4/3 / (2/7 / 4/7 - 3/8) / 4/9
[1502616] ['2/7', '3/8', '4/3', '4/7', '6/7'] -> 6/7 / (3/8 * (2/7 + 4/3) - 4/7)
[1502622] ['2/7', '3/8', '4/3', '4/7', '7/8'] -> 7/8 / ((4/3 - 3/8 / 2/7) / 4/7)
[1502629] ['2/7', '3/8', '4/3', '4/7', '9/4'] -> 4/3 / (2/7 / 4/7 - 3/8) * 9/4
[1502632] ['2/7', '3/8', '4/3', '4/7', '9/8'] -> 9/8 / ((3/8 - 2/7) / (4/3 + 4/7))
[1502638] ['2/7', '3/8', '4/3', '4/9', '5/7'] -> 4/3 / (3/8 - 2/7) / 4/9 * 5/7
[1502642] ['2/7', '3/8', '4/3', '4/9', '6/7'] -> 4/3 / 2/7 / 3/8 / 4/9 * 6/7
[1502643] ['2/7', '3/8', '4/3', '4/9', '7/2'] -> 7/2 / ((3/8 - 4/9 / 4/3) / 2/7)
[1502646] ['2/7', '3/8', '4/3', '4/9', '7/5'] -> 4/3 / (3/8 - 2/7) / 4/9 / 7/5
[1502647] ['2/7', '3/8', '4/3', '4/9', '7/6'] -> 4/3 / 2/7 / 3/8 / 4/9 / 7/6
[1502658] ['2/7', '3/8', '4/3', '4/9', '9/8'] -> 9/8 / ((4/3 - 3/8 / 2/7) / 4/9)
[1502661] ['2/7', '3/8', '4/3', '5/2', '5/4'] -> 5/4 / ((4/3 - 3/8 / 2/7) * 5/2)
[1502668] ['2/7', '3/8', '4/3', '5/2', '7/2'] -> 7/2 / (3/8 / 2/7 + 4/3 - 5/2)
[1502672] ['2/7', '3/8', '4/3', '5/2', '7/6'] -> (4/3 + 5/2 / 3/8) / 2/7 / 7/6
[1502673] ['2/7', '3/8', '4/3', '5/2', '7/8'] -> 5/2 / (3/8 - 2/7) / 4/3 / 7/8
[1502675] ['2/7', '3/8', '4/3', '5/2', '8/3'] -> 5/2 / (3/8 - 2/7) - 4/3 - 8/3
[1502677] ['2/7', '3/8', '4/3', '5/2', '8/7'] -> 5/2 / (3/8 - 2/7) / 4/3 * 8/7
[1502682] ['2/7', '3/8', '4/3', '5/2', '9/7'] -> 9/7 / (2/7 / (5/2 / 3/8 - 4/3))
[1502692] ['2/7', '3/8', '4/3', '5/3', '7/2'] -> 2/7 / (3/8 + 4/3 - 5/3) * 7/2
[1502695] ['2/7', '3/8', '4/3', '5/3', '7/5'] -> (4/3 + 5/3) / (3/8 - 2/7) / 7/5
[1502696] ['2/7', '3/8', '4/3', '5/3', '7/6'] -> (4/3 + 5/3) / 2/7 / 3/8 / 7/6
[1502702] ['2/7', '3/8', '4/3', '5/3', '8/9'] -> 4/3 * 5/3 / (3/8 - 2/7) - 8/9
[1502703] ['2/7', '3/8', '4/3', '5/3', '9/2'] -> (5/3 / 2/7 - 3/8 * 4/3) * 9/2
[1502711] ['2/7', '3/8', '4/3', '5/4', '5/8'] -> 5/8 / ((4/3 - 3/8 / 2/7) * 5/4)
[1502729] ['2/7', '3/8', '4/3', '5/4', '9/7'] -> 9/7 / ((3/8 - 2/7) / 4/3 / 5/4)
[1502730] ['2/7', '3/8', '4/3', '5/4', '9/8'] -> 9/8 / ((3/8 / 2/7 - 5/4) / 4/3)
[1502757] ['2/7', '3/8', '4/3', '5/7', '6/7'] -> 4/3 / (2/7 / 3/8 - 5/7) * 6/7
[1502762] ['2/7', '3/8', '4/3', '5/7', '7/6'] -> 4/3 / (2/7 / 3/8 - 5/7) / 7/6
[1502768] ['2/7', '3/8', '4/3', '5/7', '8/9'] -> 4/3 / (5/7 - 2/7 - 3/8) - 8/9
[1502771] ['2/7', '3/8', '4/3', '5/7', '9/5'] -> 9/5 / (3/8 - 2/7 / 4/3 / 5/7)
[1502797] ['2/7', '3/8', '4/3', '5/9', '7/2'] -> 7/2 / ((5/9 / 4/3 - 3/8) / 2/7)
[1502804] ['2/7', '3/8', '4/3', '5/9', '8/3'] -> 5/9 / (4/3 - 3/8 / 2/7) - 8/3
[1502814] ['2/7', '3/8', '4/3', '6/5', '6/7'] -> 6/7 / (4/3 * (3/8 / 6/5 - 2/7))
[1502841] ['2/7', '3/8', '4/3', '6/7', '8/7'] -> 8/7 / (4/3 * (3/8 * 6/7 - 2/7))
[1502844] ['2/7', '3/8', '4/3', '6/7', '9/4'] -> 4/3 * 6/7 / 2/7 / 3/8 * 9/4
[1502846] ['2/7', '3/8', '4/3', '6/7', '9/7'] -> 9/7 / ((6/7 - 2/7) / 4/3 - 3/8)
[1502852] ['2/7', '3/8', '4/3', '7/2', '7/6'] -> (7/2 / 3/8 - 4/3) / 2/7 / 7/6
[1502867] ['2/7', '3/8', '4/3', '7/3', '7/6'] -> 7/6 / ((4/3 - 3/8 / 2/7) * 7/3)
[1502873] ['2/7', '3/8', '4/3', '7/3', '8/9'] -> 4/3 + 7/3 / 2/7 / 3/8 + 8/9
[1502875] ['2/7', '3/8', '4/3', '7/3', '9/4'] -> 4/3 / (2/7 - 3/8 / 7/3) * 9/4
[1502885] ['2/7', '3/8', '4/3', '7/4', '8/5'] -> (7/4 / 2/7 / 3/8 - 4/3) * 8/5
[1502886] ['2/7', '3/8', '4/3', '7/4', '8/7'] -> (4/3 + 7/4 / 3/8) / 2/7 * 8/7
[1502889] ['2/7', '3/8', '4/3', '7/4', '9/4'] -> 4/3 / (2/7 * 7/4 - 3/8) * 9/4
[1502891] ['2/7', '3/8', '4/3', '7/4', '9/7'] -> 9/7 / ((2/7 - 3/8 / 7/4) / 4/3)
[1502902] ['2/7', '3/8', '4/3', '7/5', '9/4'] -> 4/3 / (3/8 - 2/7) / 7/5 * 9/4
[1502903] ['2/7', '3/8', '4/3', '7/5', '9/5'] -> 9/5 / (3/8 - 2/7 * 7/5 / 4/3)
[1502904] ['2/7', '3/8', '4/3', '7/5', '9/7'] -> 9/7 / (3/8 / 7/5 - 2/7 / 4/3)
[1502906] ['2/7', '3/8', '4/3', '7/6', '7/6'] -> (4/3 + 7/6) / (3/8 - 2/7) / 7/6
[1502911] ['2/7', '3/8', '4/3', '7/6', '8/7'] -> 8/7 / (4/3 * (3/8 / 7/6 - 2/7))
[1502913] ['2/7', '3/8', '4/3', '7/6', '9/2'] -> 9/2 / ((3/8 - 2/7 / 4/3) * 7/6)
[1502914] ['2/7', '3/8', '4/3', '7/6', '9/4'] -> 4/3 / 2/7 / 3/8 / 7/6 * 9/4
[1502922] ['2/7', '3/8', '4/3', '7/8', '8/7'] -> 8/7 / (3/8 / 7/8 - 2/7 * 4/3)
[1502925] ['2/7', '3/8', '4/3', '7/8', '9/4'] -> 4/3 / (3/8 - 2/7 * 7/8) * 9/4
[1502930] ['2/7', '3/8', '4/3', '7/9', '8/3'] -> 8/3 / (2/7 * 3/8 * 4/3 * 7/9)
[1502934] ['2/7', '3/8', '4/3', '7/9', '9/2'] -> (2/7 + 4/3 / 7/9) / 3/8 * 9/2
[1502941] ['2/7', '3/8', '4/3', '8/3', '8/7'] -> 8/7 / (4/3 - 3/8 * 8/3 - 2/7)
[1502943] ['2/7', '3/8', '4/3', '8/3', '9/2'] -> (4/3 / 2/7 - 8/3) / 3/8 * 9/2
[1502946] ['2/7', '3/8', '4/3', '8/3', '9/7'] -> 9/7 / (2/7 * 3/8 * 4/3 / 8/3)
[1502947] ['2/7', '3/8', '4/3', '8/3', '9/8'] -> 9/8 / (3/8 / (8/3 / 2/7 - 4/3))
[1502953] ['2/7', '3/8', '4/3', '8/5', '9/5'] -> (4/3 / (3/8 - 2/7) - 8/5) * 9/5
[1502956] ['2/7', '3/8', '4/3', '8/7', '8/7'] -> 8/7 / (3/8 * 8/7 - 2/7 * 4/3)
[1502957] ['2/7', '3/8', '4/3', '8/7', '8/9'] -> (4/3 + 8/7) / 2/7 / 3/8 + 8/9
[1502959] ['2/7', '3/8', '4/3', '8/7', '9/4'] -> 4/3 / (3/8 - 2/7 / 8/7) * 9/4
[1502964] ['2/7', '3/8', '4/3', '8/9', '9/2'] -> 9/2 / (4/3 / 8/9 - 3/8 / 2/7)
[1502966] ['2/7', '3/8', '4/3', '8/9', '9/5'] -> (4/3 / 2/7 / 3/8 + 8/9) * 9/5
