[1570497] ['2/9', '3/7', '3/7', '3/8', '8/7'] -> (3/7 + 8/7) / (3/7 * (3/8 - 2/9))
[1570502] ['2/9', '3/7', '3/7', '3/8', '9/7'] -> (9/7 - 3/7) / (2/9 * 3/7 * 3/8)
[1570506] ['2/9', '3/7', '3/7', '4/3', '4/7'] -> 4/7 / 2/9 / (3/7 - 3/7 / 4/3)
[1570513] ['2/9', '3/7', '3/7', '4/3', '5/8'] -> (3/7 + 4/3 / 2/9) / 3/7 / 5/8
[1570517] ['2/9', '3/7', '3/7', '4/3', '7/2'] -> (3/7 + 3/7 + 4/3 / 2/9) * 7/2
[1570524] ['2/9', '3/7', '3/7', '4/3', '8/3'] -> 8/3 / (4/3 - 3/7 / 3/7 - 2/9)
[1570525] ['2/9', '3/7', '3/7', '4/3', '8/5'] -> (3/7 + 4/3 / 2/9) / 3/7 * 8/5
[1570526] ['2/9', '3/7', '3/7', '4/3', '8/7'] -> 8/7 / (3/7 * (4/3 - 2/9) - 3/7)
[1570527] ['2/9', '3/7', '3/7', '4/3', '8/9'] -> 8/9 / (3/7 - 2/9 * (3/7 + 4/3))
[1570531] ['2/9', '3/7', '3/7', '4/3', '9/7'] -> 4/3 / 2/9 / 3/7 * (3/7 + 9/7)
[1570534] ['2/9', '3/7', '3/7', '4/5', '4/7'] -> 4/7 / 2/9 / (3/7 / 4/5 - 3/7)
[1570548] ['2/9', '3/7', '3/7', '4/5', '7/5'] -> (3/7 + 7/5) / (2/9 * 3/7 * 4/5)
[1570579] ['2/9', '3/7', '3/7', '4/7', '8/3'] -> 8/3 / ((4/7 - 3/7) / 3/7 - 2/9)
[1570581] ['2/9', '3/7', '3/7', '4/7', '8/7'] -> 8/7 / (4/7 - 2/9 * 3/7 - 3/7)
[1570597] ['2/9', '3/7', '3/7', '4/9', '6/7'] -> 6/7 / ((3/7 - 2/9) / 4/9 - 3/7)
[1570605] ['2/9', '3/7', '3/7', '4/9', '8/3'] -> 8/3 / (2/9 * 3/7 + 4/9 - 3/7)
[1570608] ['2/9', '3/7', '3/7', '4/9', '8/9'] -> 8/9 / ((3/7 - 2/9) / 3/7 - 4/9)
[1570616] ['2/9', '3/7', '3/7', '5/2', '5/4'] -> (5/2 / 2/9 - 3/7) / 3/7 - 5/4
[1570654] ['2/9', '3/7', '3/7', '5/3', '8/3'] -> ((3/7 + 5/3) / 2/9 - 3/7) * 8/3
[1570657] ['2/9', '3/7', '3/7', '5/3', '8/9'] -> 8/9 / (2/9 * (3/7 + 5/3) - 3/7)
[1570660] ['2/9', '3/7', '3/7', '5/3', '9/5'] -> 5/3 / 2/9 / 3/7 * (9/5 - 3/7)
[1570673] ['2/9', '3/7', '3/7', '5/4', '7/5'] -> (3/7 + 7/5) / (2/9 * 3/7 / 5/4)
[1570693] ['2/9', '3/7', '3/7', '5/6', '7/3'] -> (7/3 - 3/7) / (2/9 * 3/7 * 5/6)
[1570702] ['2/9', '3/7', '3/7', '5/6', '8/9'] -> 8/9 / 2/9 / (3/7 / 3/7 - 5/6)
[1570703] ['2/9', '3/7', '3/7', '5/6', '9/2'] -> (3/7 / 2/9 / 3/7 + 5/6) * 9/2
[1570732] ['2/9', '3/7', '3/7', '5/8', '6/7'] -> 6/7 / 2/9 / (3/7 - 3/7 * 5/8)
