[1683872] ['3/4', '3/4', '3/5', '7/5', '9/5'] -> (3/5 + 9/5) / (3/4 + 3/4 - 7/5)
[1683874] ['3/4', '3/4', '3/5', '7/5', '9/8'] -> (3/5 + 7/5) / (3/4 - 3/4 / 9/8)
[1683878] ['3/4', '3/4', '3/5', '7/6', '8/3'] -> 3/4 * 8/3 / (3/4 / 3/5 - 7/6)
[1683879] ['3/4', '3/4', '3/5', '7/6', '8/5'] -> 3/4 * 8/5 / (3/4 - 3/5 * 7/6)
[1683882] ['3/4', '3/4', '3/5', '7/6', '9/2'] -> 9/2 / 3/4 / (3/5 * (7/6 - 3/4))
[1683893] ['3/4', '3/4', '3/5', '7/8', '9/2'] -> 9/2 / 3/5 / (7/8 - 3/4 * 3/4)
[1683911] ['3/4', '3/4', '3/5', '8/3', '8/9'] -> 3/4 * 8/3 / 3/5 / (8/9 - 3/4)
[1683914] ['3/4', '3/4', '3/5', '8/3', '9/5'] -> 3/4 * 8/3 / (3/4 - 3/5) * 9/5
[1683917] ['3/4', '3/4', '3/5', '8/5', '8/5'] -> 8/5 / (3/4 / 3/4 / 3/5 - 8/5)
[1683919] ['3/4', '3/4', '3/5', '8/5', '8/9'] -> 8/5 / 3/5 / (3/4 / 3/4 - 8/9)
[1683922] ['3/4', '3/4', '3/5', '8/5', '9/5'] -> (3/5 + 9/5) / (8/5 - 3/4 - 3/4)
[1683929] ['3/4', '3/4', '3/5', '8/7', '9/5'] -> 3/4 * 9/5 / (3/4 / 8/7 - 3/5)
[1683933] ['3/4', '3/4', '3/5', '8/9', '9/2'] -> 9/2 / ((3/4 + 3/5) * (8/9 - 3/4))
[1683938] ['3/4', '3/4', '3/5', '9/2', '9/2'] -> 9/2 / (3/4 - 3/5) - 9/2 / 3/4
[1683942] ['3/4', '3/4', '3/5', '9/2', '9/8'] -> 9/2 / (9/8 - 3/4 * 3/4 / 3/5)
[1683944] ['3/4', '3/4', '3/5', '9/4', '9/5'] -> (9/4 + 3/4 * 9/5) / (3/4 - 3/5)
