[1916600] ['4/3', '7/8', '8/7', '9/2', '9/4'] -> 9/4 / (7/8 / (4/3 - 8/7) - 9/2)
[1916603] ['4/3', '7/8', '8/7', '9/2', '9/8'] -> 9/2 / (4/3 - 8/7) / 7/8 / 9/8
[1916606] ['4/3', '7/8', '8/7', '9/4', '9/7'] -> 9/7 / ((4/3 * 7/8 - 8/7) * 9/4)
[1916615] ['4/3', '7/8', '8/9', '8/9', '9/2'] -> 4/3 / (8/9 - 7/8) / 8/9 / 9/2
[1916618] ['4/3', '7/8', '8/9', '8/9', '9/7'] -> 8/9 / 7/8 / 8/9 / (4/3 - 9/7)
[1916619] ['4/3', '7/8', '8/9', '8/9', '9/8'] -> 8/9 / 8/9 / (4/3 * 7/8 - 9/8)
[1916624] ['4/3', '7/8', '8/9', '9/2', '9/8'] -> 9/8 / ((8/9 - 7/8) * 9/2 / 4/3)
[1916628] ['4/3', '7/8', '8/9', '9/4', '9/8'] -> 9/8 / ((9/4 - 4/3 - 7/8) / 8/9)
[1916633] ['4/3', '7/8', '8/9', '9/7', '9/8'] -> 9/8 / ((4/3 - 9/7) / (8/9 / 7/8))
[1916634] ['4/3', '7/8', '8/9', '9/8', '9/8'] -> 9/8 / ((4/3 * 7/8 - 9/8) / 8/9)
[1916635] ['4/3', '7/8', '9/2', '9/2', '9/2'] -> (9/2 * 9/2 - 9/2) / (7/8 / 4/3)
[1916652] ['4/3', '7/8', '9/4', '9/4', '9/7'] -> 9/4 / 7/8 / 9/4 / (4/3 - 9/7)
[1916654] ['4/3', '7/8', '9/4', '9/5', '9/5'] -> 9/5 / (9/4 - 4/3 - 7/8) / 9/5
[1916657] ['4/3', '7/8', '9/4', '9/7', '9/7'] -> 9/7 / (9/4 - 4/3 - 7/8) / 9/7
[1916659] ['4/3', '7/8', '9/4', '9/8', '9/8'] -> 9/8 / (9/4 - 4/3 - 7/8) / 9/8
[1916660] ['4/3', '7/8', '9/5', '9/5', '9/5'] -> 9/5 / (7/8 / (9/5 - 4/3) - 9/5)
[1916661] ['4/3', '7/8', '9/5', '9/5', '9/7'] -> 9/5 / 7/8 / 9/5 / (4/3 - 9/7)
[1916666] ['4/3', '7/8', '9/7', '9/7', '9/7'] -> 9/7 / (4/3 - 9/7) / 7/8 / 9/7
[1916667] ['4/3', '7/8', '9/7', '9/7', '9/8'] -> 9/7 / 9/7 / (4/3 * 7/8 - 9/8)
[1916669] ['4/3', '7/8', '9/8', '9/8', '9/8'] -> 9/8 / (4/3 * 7/8 - 9/8) / 9/8
[1916673] ['4/3', '7/9', '7/9', '7/9', '8/7'] -> 8/7 / (4/3 - 7/9 / 7/9 / 7/9)
[1916674] ['4/3', '7/9', '7/9', '7/9', '8/9'] -> 8/9 / (4/3 * 7/9 - 7/9 / 7/9)
[1916680] ['4/3', '7/9', '7/9', '8/3', '8/3'] -> (8/3 + 8/3) / (7/9 + 7/9 - 4/3)
[1916682] ['4/3', '7/9', '7/9', '8/3', '8/7'] -> 8/7 / ((4/3 + 7/9) / 7/9 - 8/3)
[1916683] ['4/3', '7/9', '7/9', '8/3', '8/9'] -> 8/9 / (4/3 + 7/9 - 7/9 * 8/3)
[1916704] ['4/3', '7/9', '7/9', '8/9', '8/9'] -> 8/9 / (4/3 - 7/9 * (7/9 + 8/9))
[1916727] ['4/3', '7/9', '8/3', '8/3', '8/7'] -> 8/7 / (4/3 - 8/3 / 7/9 / 8/3)
[1916728] ['4/3', '7/9', '8/3', '8/3', '8/9'] -> 8/9 / (4/3 * 7/9 - 8/3 / 8/3)
[1916735] ['4/3', '7/9', '8/3', '8/5', '8/7'] -> 8/7 / (4/3 / 7/9 - 8/3 / 8/5)
[1916736] ['4/3', '7/9', '8/3', '8/5', '8/9'] -> 8/9 / (4/3 - 7/9 * 8/3 / 8/5)
[1916755] ['4/3', '7/9', '8/3', '9/2', '9/2'] -> (7/9 + 4/3 * 8/3) * 9/2 + 9/2
[1916756] ['4/3', '7/9', '8/3', '9/2', '9/4'] -> (4/3 + 7/9 * 8/3 * 9/2) * 9/4
[1916758] ['4/3', '7/9', '8/3', '9/2', '9/7'] -> 9/7 / (8/3 / 7/9 - 9/2 / 4/3)
[1916771] ['4/3', '7/9', '8/5', '8/5', '8/7'] -> 8/7 / (4/3 - 8/5 / 7/9 / 8/5)
[1916772] ['4/3', '7/9', '8/5', '8/5', '8/9'] -> 8/9 / (4/3 * 7/9 - 8/5 / 8/5)
[1916773] ['4/3', '7/9', '8/5', '8/5', '9/2'] -> (8/5 + 8/5) / 7/9 * (4/3 + 9/2)
[1916778] ['4/3', '7/9', '8/5', '8/7', '8/7'] -> 4/3 / (7/9 - 8/7 / 8/5) * 8/7
[1916785] ['4/3', '7/9', '8/5', '8/9', '8/9'] -> 8/9 / (7/9 - 4/3 * 8/9 / 8/5)
[1916796] ['4/3', '7/9', '8/5', '9/4', '9/4'] -> 7/9 / (9/4 / 8/5 - 4/3) * 9/4
[1916800] ['4/3', '7/9', '8/5', '9/5', '9/5'] -> 8/5 / (7/9 - 4/3 / 9/5) / 9/5
[1916801] ['4/3', '7/9', '8/5', '9/5', '9/7'] -> 9/7 / ((9/5 - 4/3 / 7/9) / 8/5)
[1916806] ['4/3', '7/9', '8/7', '8/7', '8/7'] -> 8/7 / (4/3 - 8/7 / 7/9 / 8/7)
[1916813] ['4/3', '7/9', '8/7', '8/9', '8/9'] -> 8/9 / (7/9 * (4/3 - 8/7 / 8/9))
[1916828] ['4/3', '7/9', '8/7', '9/5', '9/5'] -> 8/7 / (9/5 - 4/3 / 7/9) * 9/5
[1916829] ['4/3', '7/9', '8/7', '9/5', '9/7'] -> 8/7 / (7/9 - 4/3 / 9/5) / 9/7
[1916834] ['4/3', '7/9', '8/9', '8/9', '8/9'] -> 8/9 / (4/3 * 7/9 - 8/9 / 8/9)
[1916835] ['4/3', '7/9', '8/9', '8/9', '9/2'] -> 4/3 / (8/9 * 8/9 - 7/9) / 9/2
[1916836] ['4/3', '7/9', '8/9', '8/9', '9/4'] -> 4/3 * 8/9 / (8/9 - 7/9) * 9/4
[1916848] ['4/3', '7/9', '8/9', '9/4', '9/8'] -> 4/3 * 9/4 / (8/9 - 7/9) / 9/8
[1916849] ['4/3', '7/9', '8/9', '9/5', '9/5'] -> 8/9 / (7/9 * 9/5 - 4/3) * 9/5
[1916859] ['4/3', '7/9', '9/2', '9/2', '9/8'] -> (7/9 / 4/3 + 9/2) * 9/2 + 9/8
[1916882] ['4/3', '7/9', '9/5', '9/5', '9/8'] -> 9/5 / (7/9 * 9/5 - 4/3) / 9/8
[1916890] ['4/3', '8/3', '8/3', '8/3', '8/3'] -> (4/3 + 8/3) * (8/3 + 8/3) + 8/3
[1916891] ['4/3', '8/3', '8/3', '8/3', '8/5'] -> 8/3 * 8/3 / (8/5 - 4/3) - 8/3
[1916893] ['4/3', '8/3', '8/3', '8/3', '8/9'] -> (4/3 + 8/3) * (8/3 + 8/3) / 8/9
[1916896] ['4/3', '8/3', '8/3', '8/3', '9/5'] -> ((4/3 + 8/3) * 8/3 + 8/3) * 9/5
[1916898] ['4/3', '8/3', '8/3', '8/3', '9/8'] -> (4/3 + 8/3) * (8/3 + 8/3) * 9/8
[1916909] ['4/3', '8/3', '8/3', '8/7', '9/2'] -> (8/3 / 4/3 + 8/3) * 8/7 * 9/2
[1916913] ['4/3', '8/3', '8/3', '8/7', '9/8'] -> (8/3 + 8/3 / 8/7) / (4/3 - 9/8)
[1916917] ['4/3', '8/3', '8/3', '8/9', '9/5'] -> (8/3 + 8/9) / (8/3 / 9/5 - 4/3)
[1916918] ['4/3', '8/3', '8/3', '8/9', '9/7'] -> 8/9 / (4/3 / 9/7 - 8/3 / 8/3)
[1916920] ['4/3', '8/3', '8/3', '9/2', '9/2'] -> 8/3 * 9/2 / (9/2 - 4/3 - 8/3)
[1916923] ['4/3', '8/3', '8/3', '9/2', '9/7'] -> (8/3 + 4/3 * 8/3 * 9/2) * 9/7
[1916926] ['4/3', '8/3', '8/3', '9/4', '9/5'] -> (4/3 + (8/3 + 8/3) * 9/4) * 9/5
[1916928] ['4/3', '8/3', '8/3', '9/4', '9/8'] -> 4/3 * 8/3 * 8/3 * 9/4 * 9/8
[1916934] ['4/3', '8/3', '8/3', '9/8', '9/8'] -> (4/3 + 8/3) * 8/3 * (9/8 + 9/8)
[1916951] ['4/3', '8/3', '8/5', '8/9', '9/2'] -> 8/5 * (8/3 + 8/9 / 4/3) * 9/2
[1916953] ['4/3', '8/3', '8/5', '8/9', '9/5'] -> (8/3 + 8/9) / (8/5 - 4/3) * 9/5
[1916982] ['4/3', '8/3', '8/7', '8/9', '9/7'] -> (8/3 + 8/9) / (4/3 - 8/7) * 9/7
[1916993] ['4/3', '8/3', '8/7', '9/5', '9/5'] -> 9/5 / ((4/3 + 9/5) / 8/7 - 8/3)
[1917002] ['4/3', '8/3', '8/9', '8/9', '9/5'] -> (8/3 + 8/9) / (8/9 - 4/3 / 9/5)
[1917006] ['4/3', '8/3', '8/9', '9/2', '9/4'] -> 4/3 * (8/3 - 8/9) * 9/2 * 9/4
[1917009] ['4/3', '8/3', '8/9', '9/2', '9/8'] -> 8/3 * 9/2 / (4/3 - 8/9) / 9/8
[1917010] ['4/3', '8/3', '8/9', '9/4', '9/4'] -> 4/3 * (8/3 + 8/9) * 9/4 * 9/4
[1917011] ['4/3', '8/3', '8/9', '9/4', '9/5'] -> (4/3 + 8/9) * 8/3 * 9/4 * 9/5
[1917017] ['4/3', '8/3', '8/9', '9/7', '9/7'] -> 9/7 / ((8/3 - 4/3 - 9/7) / 8/9)
[1917020] ['4/3', '8/3', '9/2', '9/2', '9/2'] -> 4/3 * (9/2 + 9/2) + 8/3 * 9/2
[1917022] ['4/3', '8/3', '9/2', '9/2', '9/5'] -> (8/3 + 4/3 / 9/2) * 9/2 * 9/5
[1917028] ['4/3', '8/3', '9/2', '9/4', '9/8'] -> (4/3 + 8/3) * (9/2 + 9/4) / 9/8
[1917032] ['4/3', '8/3', '9/2', '9/7', '9/7'] -> 9/7 / (8/3 * 9/7 - 9/2 / 4/3)
[1917036] ['4/3', '8/3', '9/4', '9/4', '9/5'] -> (4/3 + 8/3 * (9/4 + 9/4)) * 9/5
[1917058] ['4/3', '8/5', '8/5', '8/5', '9/2'] -> (4/3 * 8/5 + 8/5 + 8/5) * 9/2
[1917060] ['4/3', '8/5', '8/5', '8/5', '9/5'] -> 8/5 / (8/5 + 8/5 - 4/3 - 9/5)
[1917063] ['4/3', '8/5', '8/5', '8/7', '8/7'] -> 8/5 * 8/7 / (8/5 - 4/3 * 8/7)
[1917071] ['4/3', '8/5', '8/5', '8/9', '9/2'] -> 8/5 * 8/9 / (8/5 - 4/3) * 9/2
[1917075] ['4/3', '8/5', '8/5', '8/9', '9/8'] -> 8/5 / 8/9 / (8/5 / 4/3 - 9/8)
[1917076] ['4/3', '8/5', '8/5', '9/2', '9/2'] -> (4/3 + 8/5 * 9/2) / 8/5 * 9/2
[1917079] ['4/3', '8/5', '8/5', '9/2', '9/7'] -> (8/5 + 8/5) * (4/3 + 9/2) * 9/7
[1917082] ['4/3', '8/5', '8/5', '9/4', '9/5'] -> 4/3 * 8/5 * 9/4 / (9/5 - 8/5)
[1917085] ['4/3', '8/5', '8/5', '9/5', '9/5'] -> 9/5 / (8/5 / 4/3 - 9/5 / 8/5)
[1917087] ['4/3', '8/5', '8/5', '9/5', '9/8'] -> (8/5 + 8/5 + 9/5) / (4/3 - 9/8)
[1917088] ['4/3', '8/5', '8/5', '9/7', '9/7'] -> 8/5 * 9/7 / (9/7 - 8/5 / 4/3)
[1917090] ['4/3', '8/5', '8/5', '9/8', '9/8'] -> 8/5 * 9/8 / (8/5 / 4/3 - 9/8)
[1917101] ['4/3', '8/5', '8/7', '8/9', '9/5'] -> 8/9 / (8/5 / 8/7 - 4/3) * 9/5
[1917104] ['4/3', '8/5', '8/7', '9/2', '9/2'] -> 8/5 * (9/2 - 4/3 / 8/7) * 9/2
[1917105] ['4/3', '8/5', '8/7', '9/2', '9/4'] -> 8/5 * 8/7 * (4/3 + 9/2) * 9/4
[1917115] ['4/3', '8/5', '8/7', '9/5', '9/8'] -> 9/5 / (8/5 / 8/7 - 4/3) / 9/8
[1917116] ['4/3', '8/5', '8/7', '9/7', '9/7'] -> 9/7 / (8/7 / 4/3 - 9/7 / 8/5)
[1917130] ['4/3', '8/5', '8/9', '9/4', '9/4'] -> 9/4 / (4/3 / 8/9 - 9/4 / 8/5)
[1917134] ['4/3', '8/5', '8/9', '9/5', '9/5'] -> 9/5 / (4/3 / (8/5 - 8/9) - 9/5)
[1917157] ['4/3', '8/5', '9/4', '9/4', '9/7'] -> 9/4 / (9/4 / 8/5 - 4/3) / 9/7
[1917159] ['4/3', '8/5', '9/4', '9/5', '9/5'] -> 9/5 / (4/3 * 9/4 / 8/5 - 9/5)
[1917165] ['4/3', '8/5', '9/5', '9/5', '9/5'] -> 4/3 * (9/5 + 9/5) / (9/5 - 8/5)
[1917178] ['4/3', '8/7', '8/7', '8/7', '9/4'] -> 8/7 / 4/3 / (8/7 + 8/7 - 9/4)
[1917181] ['4/3', '8/7', '8/7', '8/7', '9/8'] -> 8/7 / (4/3 / 8/7 - 9/8) / 8/7
[1917182] ['4/3', '8/7', '8/7', '8/9', '8/9'] -> 8/7 * 8/9 / (4/3 * 8/9 - 8/7)
[1917183] ['4/3', '8/7', '8/7', '8/9', '9/2'] -> 8/7 * 8/9 / (4/3 - 8/7) * 9/2
[1917184] ['4/3', '8/7', '8/7', '8/9', '9/4'] -> (8/7 + 8/9) / (4/3 - 8/7) * 9/4
[1917187] ['4/3', '8/7', '8/7', '8/9', '9/8'] -> 8/7 / (4/3 * 8/9 - 8/7) / 9/8
[1917190] ['4/3', '8/7', '8/7', '9/2', '9/5'] -> (8/7 + 8/7) * (4/3 + 9/2) * 9/5
[1917192] ['4/3', '8/7', '8/7', '9/2', '9/8'] -> 8/7 * 9/2 / (4/3 - 8/7) / 9/8
[1917202] ['4/3', '8/7', '8/7', '9/8', '9/8'] -> 8/7 / (4/3 / 9/8 - 8/7) / 9/8
[1917208] ['4/3', '8/7', '8/9', '8/9', '9/8'] -> 8/9 / 8/9 / (4/3 / 8/7 - 9/8)
[1917218] ['4/3', '8/7', '8/9', '9/5', '9/5'] -> 9/5 / (9/5 / 8/7 - 4/3 / 8/9)
[1917223] ['4/3', '8/7', '8/9', '9/8', '9/8'] -> 9/8 / ((4/3 / 8/7 - 9/8) / 8/9)
[1917224] ['4/3', '8/7', '9/2', '9/2', '9/2'] -> 4/3 * 8/7 * (9/2 * 9/2 - 9/2)
[1917242] ['4/3', '8/7', '9/4', '9/4', '9/8'] -> 9/4 / 9/4 / (4/3 / 8/7 - 9/8)
[1917258] ['4/3', '8/7', '9/8', '9/8', '9/8'] -> 9/8 / (4/3 / 8/7 - 9/8) / 9/8
[1917263] ['4/3', '8/9', '8/9', '8/9', '9/7'] -> 8/9 / (4/3 / 9/7 - 8/9 / 8/9)
[1917265] ['4/3', '8/9', '8/9', '9/2', '9/2'] -> (4/3 / 8/9 + 9/2) * 8/9 * 9/2
[1917266] ['4/3', '8/9', '8/9', '9/2', '9/4'] -> 4/3 * (8/9 + 8/9) * 9/2 * 9/4
[1917277] ['4/3', '8/9', '8/9', '9/7', '9/7'] -> 9/7 / (4/3 / 8/9 - 9/7 / 8/9)
[1917311] ['4/3', '8/9', '9/7', '9/7', '9/7'] -> 8/9 / (4/3 / 9/7 - 9/7 / 9/7)
[1917322] ['4/3', '9/2', '9/2', '9/4', '9/7'] -> 4/3 * 9/4 * (9/2 + 9/2 / 9/7)
[1917326] ['4/3', '9/2', '9/2', '9/5', '9/8'] -> (9/2 + 9/2) / 9/5 / (4/3 - 9/8)
[1917327] ['4/3', '9/2', '9/2', '9/7', '9/7'] -> 4/3 * (9/2 * 9/2 - 9/7) - 9/7
[1917334] ['4/3', '9/2', '9/4', '9/5', '9/5'] -> 4/3 * 9/2 / (9/4 - 9/5) * 9/5
[1917339] ['4/3', '9/2', '9/4', '9/8', '9/8'] -> (9/2 + 9/8 / 9/4) / (4/3 - 9/8)
[1917353] ['4/3', '9/4', '9/4', '9/4', '9/8'] -> 4/3 * 9/4 / (9/8 - 9/4 / 9/4)
[1917360] ['4/3', '9/4', '9/5', '9/5', '9/5'] -> (9/5 + 9/5) / (4/3 * 9/5 - 9/4)
[1917366] ['4/3', '9/4', '9/7', '9/7', '9/7'] -> (9/7 + 9/7) / (4/3 - 9/7) / 9/4
[1917369] ['4/3', '9/4', '9/8', '9/8', '9/8'] -> 4/3 * 9/4 / (9/8 - 9/8 / 9/8)
[1917374] ['4/3', '9/5', '9/5', '9/7', '9/8'] -> 9/5 / (9/5 / 9/7 - 4/3) / 9/8
[1917375] ['4/3', '9/5', '9/5', '9/8', '9/8'] -> 9/5 / (9/5 / 4/3 / 9/8 - 9/8)
[1917382] ['4/3', '9/7', '9/7', '9/8', '9/8'] -> 9/7 / (4/3 * 9/8 - 9/7 * 9/8)
[1917389] ['4/5', '4/5', '4/5', '4/5', '5/3'] -> (4/5 + 4/5) / (5/3 - 4/5 - 4/5)
[1917395] ['4/5', '4/5', '4/5', '4/5', '6/5'] -> 4/5 / (4/5 / 4/5 / 6/5 - 4/5)
[1917402] ['4/5', '4/5', '4/5', '4/5', '7/8'] -> (4/5 / 4/5 + 4/5) / (7/8 - 4/5)
[1917423] ['4/5', '4/5', '4/5', '4/7', '6/7'] -> 4/5 / (4/7 / 4/5 / 6/7 - 4/5)
[1917428] ['4/5', '4/5', '4/5', '4/7', '7/6'] -> 4/5 / (4/7 * 7/6 / 4/5 - 4/5)
[1917433] ['4/5', '4/5', '4/5', '4/7', '8/7'] -> 4/5 / (8/7 / (4/5 + 4/7) - 4/5)
[1917456] ['4/5', '4/5', '4/5', '4/9', '7/9'] -> (4/9 / (4/5 - 7/9) - 4/5) / 4/5
[1917467] ['4/5', '4/5', '4/5', '5/2', '5/3'] -> 4/5 / (5/3 / 4/5 / 5/2 - 4/5)
[1917479] ['4/5', '4/5', '4/5', '5/2', '7/6'] -> 4/5 / (4/5 * 5/2 - 4/5 - 7/6)
[1917482] ['4/5', '4/5', '4/5', '5/2', '8/3'] -> 4/5 / (8/3 / 4/5 - 4/5 - 5/2)
[1917492] ['4/5', '4/5', '4/5', '5/3', '5/4'] -> 4/5 / (5/3 / 4/5 - 4/5 - 5/4)
[1917497] ['4/5', '4/5', '4/5', '5/3', '6/5'] -> 4/5 / (5/3 / (4/5 + 6/5) - 4/5)
[1917500] ['4/5', '4/5', '4/5', '5/3', '7/3'] -> 4/5 / ((7/3 - 5/3) / 4/5 - 4/5)
[1917501] ['4/5', '4/5', '4/5', '5/3', '7/4'] -> (4/5 + 4/5) / (7/4 - 5/3) / 4/5
[1917502] ['4/5', '4/5', '4/5', '5/3', '7/5'] -> (4/5 + 4/5) / (7/5 - 4/5 * 5/3)
[1917507] ['4/5', '4/5', '4/5', '5/3', '8/5'] -> 4/5 / (4/5 * 5/3 / 8/5 - 4/5)
[1917514] ['4/5', '4/5', '4/5', '5/3', '9/8'] -> 4/5 / (4/5 * 9/8 - (5/3 - 4/5))
[1917520] ['4/5', '4/5', '4/5', '5/4', '6/5'] -> 4/5 / (4/5 * 5/4 / 6/5 - 4/5)
[1917526] ['4/5', '4/5', '4/5', '5/4', '7/6'] -> (4/5 + 4/5) / (5/4 - 7/6) / 4/5
[1917527] ['4/5', '4/5', '4/5', '5/4', '7/8'] -> (4/5 + 4/5 * 5/4) / (7/8 - 4/5)
[1917538] ['4/5', '4/5', '4/5', '5/6', '5/6'] -> 5/6 / (5/6 - 4/5) - 4/5 / 4/5
[1917540] ['4/5', '4/5', '4/5', '5/6', '5/8'] -> 4/5 / (4/5 * 5/6 - 5/8) / 4/5
[1917541] ['4/5', '4/5', '4/5', '5/6', '5/9'] -> 4/5 / (5/9 / 4/5 / 5/6 - 4/5)
[1917548] ['4/5', '4/5', '4/5', '5/6', '7/6'] -> 4/5 / (4/5 / 4/5 / 5/6 - 7/6)
[1917549] ['4/5', '4/5', '4/5', '5/6', '7/8'] -> 4/5 / (4/5 * 7/8 - 4/5 * 5/6)
[1917550] ['4/5', '4/5', '4/5', '5/6', '7/9'] -> 4/5 * 4/5 * 5/6 / (4/5 - 7/9)
[1917553] ['4/5', '4/5', '4/5', '5/6', '8/7'] -> 4/5 / (4/5 / 8/7 - 4/5 * 5/6)
[1917554] ['4/5', '4/5', '4/5', '5/6', '8/9'] -> (4/5 + 4/5) / (4/5 / 8/9 - 5/6)
[1917559] ['4/5', '4/5', '4/5', '5/6', '9/8'] -> (4/5 + 4/5) / (4/5 * 9/8 - 5/6)
[1917564] ['4/5', '4/5', '4/5', '5/7', '6/7'] -> (4/5 + 4/5 * 5/7) / (6/7 - 4/5)
