[272074] ['1/3', '1/7', '1/8', '5/2', '7/5'] -> ((7/5 * 1/7) / ((1/3 / 5/2) - 1/8))
[272075] ['1/3', '1/7', '1/8', '5/2', '7/6'] -> (((5/2 / (1/7 + 1/8)) / 1/3) / 7/6)
[272078] ['1/3', '1/7', '1/8', '5/2', '8/3'] -> (((5/2 / (1/7 + 1/8)) - 1/3) * 8/3)
[272090] ['1/3', '1/7', '1/8', '5/3', '5/7'] -> (5/7 / ((1/7 * 5/3) - (1/3 - 1/8)))
[272096] ['1/3', '1/7', '1/8', '5/3', '7/3'] -> (7/3 / (1/7 * (1/8 + (1/3 * 5/3))))
[272097] ['1/3', '1/7', '1/8', '5/3', '7/4'] -> ((((1/3 * 1/7) + 5/3) / 1/8) * 7/4)
[272099] ['1/3', '1/7', '1/8', '5/3', '7/6'] -> (((5/3 / (1/3 + 1/7)) / 1/8) / 7/6)
[272102] ['1/3', '1/7', '1/8', '5/3', '8/3'] -> (((5/3 / 1/7) - (1/3 / 1/8)) * 8/3)
[272106] ['1/3', '1/7', '1/8', '5/3', '9/2'] -> ((((1/3 / 1/7) - 5/3) / 1/8) * 9/2)
[272107] ['1/3', '1/7', '1/8', '5/3', '9/4'] -> (9/4 / ((1/3 / (5/3 - 1/7)) - 1/8))
[272117] ['1/3', '1/7', '1/8', '5/4', '6/7'] -> (6/7 / (1/3 * (5/4 - (1/7 / 1/8))))
[272120] ['1/3', '1/7', '1/8', '5/4', '7/4'] -> (((5/4 / (1/3 - 1/8)) / 1/7) / 7/4)
[272123] ['1/3', '1/7', '1/8', '5/4', '7/8'] -> (((5/4 / (1/3 + 1/7)) / 1/8) / 7/8)
[272127] ['1/3', '1/7', '1/8', '5/4', '8/7'] -> (((5/4 / (1/3 + 1/7)) / 1/8) * 8/7)
[272128] ['1/3', '1/7', '1/8', '5/4', '8/9'] -> ((1/3 / ((1/8 * 5/4) - 1/7)) - 8/9)
[272132] ['1/3', '1/7', '1/8', '5/4', '9/7'] -> (9/7 / ((1/3 * 1/7) * (5/4 - 1/8)))
[272135] ['1/3', '1/7', '1/8', '5/6', '5/7'] -> (5/7 / (5/6 - ((1/7 + 1/8) / 1/3)))
[272140] ['1/3', '1/7', '1/8', '5/6', '7/2'] -> (((1/3 + (5/6 / 1/8)) - 1/7) * 7/2)
[272147] ['1/3', '1/7', '1/8', '5/6', '8/3'] -> (((1/3 / 1/7) + (5/6 / 1/8)) * 8/3)
[272153] ['1/3', '1/7', '1/8', '5/6', '9/5'] -> (9/5 / (1/7 * (1/8 + (1/3 / 5/6))))
[272163] ['1/3', '1/7', '1/8', '5/7', '7/4'] -> ((((5/7 - 1/7) / 1/3) / 1/8) * 7/4)
[272164] ['1/3', '1/7', '1/8', '5/7', '7/5'] -> (7/5 / (1/8 - ((1/3 * 1/7) / 5/7)))
[272165] ['1/3', '1/7', '1/8', '5/7', '7/6'] -> ((((1/7 + 5/7) / 1/3) / 1/8) * 7/6)
[272169] ['1/3', '1/7', '1/8', '5/7', '8/5'] -> (8/5 / (1/8 * (1/3 + (1/7 / 5/7))))
