[241979] ['1/3', '1/4', '5/9', '6/7', '6/7'] -> 6/7 / (1/4 * (5/9 * 6/7 - 1/3))
[241986] ['1/3', '1/4', '5/9', '6/7', '7/9'] -> 6/7 / (1/3 + 1/4 - 5/9) * 7/9
[241989] ['1/3', '1/4', '5/9', '6/7', '8/7'] -> 8/7 / (1/4 * (5/9 - 1/3) * 6/7)
[241993] ['1/3', '1/4', '5/9', '6/7', '9/5'] -> 5/9 / (1/3 - 1/4 / 6/7) * 9/5
[241994] ['1/3', '1/4', '5/9', '6/7', '9/7'] -> 6/7 / (1/3 + 1/4 - 5/9) / 9/7
[241997] ['1/3', '1/4', '5/9', '7/2', '7/3'] -> 7/3 / ((1/3 + 1/4 - 5/9) * 7/2)
[242012] ['1/3', '1/4', '5/9', '7/3', '7/3'] -> (7/3 / 1/4 - 5/9) / 1/3 - 7/3
[242013] ['1/3', '1/4', '5/9', '7/3', '7/4'] -> 7/3 / (5/9 - 1/3) / 1/4 / 7/4
[242015] ['1/3', '1/4', '5/9', '7/3', '7/6'] -> 1/3 / (1/4 - 5/9 / 7/3) / 7/6
[242022] ['1/3', '1/4', '5/9', '7/3', '9/2'] -> (5/9 + 1/3 * 7/3) / 1/4 * 9/2
[242029] ['1/3', '1/4', '5/9', '7/4', '7/6'] -> 7/6 / ((1/3 + 1/4 - 5/9) * 7/4)
[242031] ['1/3', '1/4', '5/9', '7/4', '7/9'] -> (5/9 + 7/4 / 1/3) / 1/4 + 7/9
[242040] ['1/3', '1/4', '5/9', '7/4', '9/8'] -> 7/4 / (1/4 - 1/3 * 5/9) / 9/8
[242045] ['1/3', '1/4', '5/9', '7/5', '8/3'] -> 8/3 / (1/4 * (5/9 * 7/5 - 1/3))
[242046] ['1/3', '1/4', '5/9', '7/5', '8/5'] -> 8/5 / (1/4 * (5/9 / 1/3 - 7/5))
[242048] ['1/3', '1/4', '5/9', '7/5', '8/9'] -> 8/9 / (5/9 * (7/5 - 1/3 / 1/4))
[242055] ['1/3', '1/4', '5/9', '7/6', '7/8'] -> 7/6 / (5/9 - 1/3) / 1/4 / 7/8
[242056] ['1/3', '1/4', '5/9', '7/6', '7/9'] -> 7/9 / ((1/3 + 1/4 - 5/9) * 7/6)
[242057] ['1/3', '1/4', '5/9', '7/6', '8/3'] -> (1/3 + 7/6 / 1/4) / 5/9 * 8/3
[242059] ['1/3', '1/4', '5/9', '7/6', '8/7'] -> 7/6 / (5/9 - 1/3) / 1/4 * 8/7
[242063] ['1/3', '1/4', '5/9', '7/6', '9/5'] -> 5/9 / (1/3 - 1/4 * 7/6) * 9/5
[242068] ['1/3', '1/4', '5/9', '7/8', '8/3'] -> 8/3 / ((1/3 + 1/4) / 7/8 - 5/9)
[242074] ['1/3', '1/4', '5/9', '7/8', '9/5'] -> 5/9 / (1/3 * 7/8 - 1/4) * 9/5
[242079] ['1/3', '1/4', '5/9', '7/9', '8/5'] -> 8/5 / (7/9 / 5/9 - 1/3 / 1/4)
[242081] ['1/3', '1/4', '5/9', '7/9', '8/9'] -> 8/9 / (7/9 - 1/3 * 5/9 / 1/4)
[242088] ['1/3', '1/4', '5/9', '8/3', '8/5'] -> 8/5 / (1/4 * 8/3 - 1/3 / 5/9)
[242098] ['1/3', '1/4', '5/9', '8/5', '8/9'] -> 8/9 / (5/9 * (1/4 * 8/5 - 1/3))
[242101] ['1/3', '1/4', '5/9', '8/5', '9/5'] -> 5/9 / (1/4 - 1/3 / 8/5) * 9/5
[242108] ['1/3', '1/4', '5/9', '8/7', '9/5'] -> 5/9 / (1/3 / 8/7 - 1/4) * 9/5
[242113] ['1/3', '1/4', '5/9', '8/9', '9/4'] -> 5/9 / (1/3 - 1/4 / 8/9) * 9/4
[242114] ['1/3', '1/4', '5/9', '8/9', '9/5'] -> 9/5 / (1/4 / 5/9 - 1/3 / 8/9)
[242122] ['1/3', '1/4', '5/9', '9/4', '9/4'] -> (5/9 / 1/3 + 9/4 / 1/4) * 9/4
[242133] ['1/3', '1/4', '6/5', '6/5', '6/7'] -> 6/5 / 6/5 / (1/3 - 1/4 / 6/7)
[242138] ['1/3', '1/4', '6/5', '6/5', '7/6'] -> 6/5 / 6/5 / (1/3 - 1/4 * 7/6)
[242139] ['1/3', '1/4', '6/5', '6/5', '7/8'] -> 6/5 / 6/5 / (1/3 * 7/8 - 1/4)
[242142] ['1/3', '1/4', '6/5', '6/5', '8/5'] -> 6/5 / 6/5 / (1/4 - 1/3 / 8/5)
[242143] ['1/3', '1/4', '6/5', '6/5', '8/7'] -> 6/5 / 6/5 / (1/3 / 8/7 - 1/4)
[242150] ['1/3', '1/4', '6/5', '6/7', '6/7'] -> 6/7 / (1/4 / 1/3 - 6/7 / 6/5)
[242151] ['1/3', '1/4', '6/5', '6/7', '7/2'] -> 7/2 / ((1/3 - 1/4 / 6/5) / 6/7)
[242154] ['1/3', '1/4', '6/5', '6/7', '7/5'] -> 6/5 / (1/3 * 6/7 - 1/4) / 7/5
[242157] ['1/3', '1/4', '6/5', '6/7', '7/9'] -> 6/7 / (1/3 / 6/5 - 1/4) * 7/9
[242159] ['1/3', '1/4', '6/5', '6/7', '8/5'] -> 8/5 / (6/5 / 6/7 - 1/3 / 1/4)
[242163] ['1/3', '1/4', '6/5', '6/7', '9/4'] -> 1/4 / (6/5 - 1/3 - 6/7) - 9/4
[242165] ['1/3', '1/4', '6/5', '6/7', '9/7'] -> 6/7 / (1/3 / 6/5 - 1/4) / 9/7
[242168] ['1/3', '1/4', '6/5', '7/2', '7/3'] -> 7/3 / ((1/3 / 6/5 - 1/4) * 7/2)
[242171] ['1/3', '1/4', '6/5', '7/2', '7/6'] -> 7/2 / (1/3 - 1/4 / 6/5) / 7/6
[242174] ['1/3', '1/4', '6/5', '7/2', '8/3'] -> (1/4 + 7/2 / 1/3 / 6/5) * 8/3
[242196] ['1/3', '1/4', '6/5', '7/3', '9/7'] -> 9/7 / ((1/3 - 1/4 / 6/5) / 7/3)
[242199] ['1/3', '1/4', '6/5', '7/4', '7/5'] -> 7/5 / ((1/3 - 1/4 * 6/5) * 7/4)
[242200] ['1/3', '1/4', '6/5', '7/4', '7/6'] -> 7/6 / ((1/3 / 6/5 - 1/4) * 7/4)
[242216] ['1/3', '1/4', '6/5', '7/5', '8/3'] -> (6/5 / 1/4 + 7/5 / 1/3) * 8/3
[242227] ['1/3', '1/4', '6/5', '7/6', '7/9'] -> 7/9 / ((1/3 / 6/5 - 1/4) * 7/6)
[242229] ['1/3', '1/4', '6/5', '7/6', '8/5'] -> 8/5 / (6/5 * 7/6 - 1/3 / 1/4)
[242234] ['1/3', '1/4', '6/5', '7/6', '9/5'] -> 9/5 / (1/4 * (1/3 + 7/6 - 6/5))
[242243] ['1/3', '1/4', '6/5', '7/8', '9/2'] -> 9/2 / ((7/8 - 1/4) / 6/5 - 1/3)
[242244] ['1/3', '1/4', '6/5', '7/8', '9/4'] -> 7/8 / (1/3 - 1/4 * 6/5) - 9/4
[242253] ['1/3', '1/4', '6/5', '7/9', '9/2'] -> (1/3 + 7/9) / (1/4 / 6/5) * 9/2
[242255] ['1/3', '1/4', '6/5', '7/9', '9/5'] -> 6/5 / (7/9 - 1/4 / 1/3) / 9/5
[242264] ['1/3', '1/4', '6/5', '8/3', '9/5'] -> 9/5 / ((6/5 - 1/3) / 8/3 - 1/4)
[242266] ['1/3', '1/4', '6/5', '8/3', '9/8'] -> 9/8 / ((1/3 - 1/4 / 6/5) / 8/3)
[242270] ['1/3', '1/4', '6/5', '8/5', '9/2'] -> (6/5 / 1/4 + 1/3 * 8/5) * 9/2
[242271] ['1/3', '1/4', '6/5', '8/5', '9/4'] -> 8/5 / (1/3 * 6/5 - 1/4) * 9/4
[242285] ['1/3', '1/4', '6/5', '8/9', '9/5'] -> 9/5 / (1/3 / 8/9 - 1/4 * 6/5)
[242290] ['1/3', '1/4', '6/5', '9/2', '9/5'] -> 9/5 / (1/4 * (1/3 * 9/2 - 6/5))
[242297] ['1/3', '1/4', '6/5', '9/5', '9/5'] -> (1/3 + 6/5 + 9/5) / 1/4 * 9/5
[242304] ['1/3', '1/4', '6/7', '6/7', '7/2'] -> (6/7 / 1/3 - 6/7) / 1/4 * 7/2
[242305] ['1/3', '1/4', '6/7', '6/7', '7/3'] -> 7/3 / (1/3 / 6/7 - 1/4 / 6/7)
[242306] ['1/3', '1/4', '6/7', '6/7', '7/4'] -> (6/7 / 1/3 + 6/7) / 1/4 * 7/4
[242309] ['1/3', '1/4', '6/7', '6/7', '7/8'] -> 6/7 / 6/7 / (1/3 * 7/8 - 1/4)
[242312] ['1/3', '1/4', '6/7', '6/7', '8/5'] -> 6/7 / 6/7 / (1/4 - 1/3 / 8/5)
[242313] ['1/3', '1/4', '6/7', '6/7', '8/7'] -> 6/7 / 6/7 / (1/3 / 8/7 - 1/4)
[242321] ['1/3', '1/4', '6/7', '7/2', '7/3'] -> (7/2 / 1/3 - 1/4 * 6/7) * 7/3
[242322] ['1/3', '1/4', '6/7', '7/2', '7/4'] -> (7/2 / 1/4 - 1/3 * 6/7) * 7/4
[242328] ['1/3', '1/4', '6/7', '7/2', '8/5'] -> (7/2 / 6/7 - 1/3) / 1/4 * 8/5
[242332] ['1/3', '1/4', '6/7', '7/2', '9/4'] -> (6/7 * 7/2 - 1/3) / 1/4 * 9/4
[242333] ['1/3', '1/4', '6/7', '7/2', '9/5'] -> (1/3 + 6/7 * 7/2) / 1/4 * 9/5
[242334] ['1/3', '1/4', '6/7', '7/2', '9/7'] -> 9/7 / ((1/4 * 7/2 - 6/7) / 1/3)
[242336] ['1/3', '1/4', '6/7', '7/3', '7/3'] -> 7/3 / (1/3 - 1/4 / 6/7) / 7/3
[242351] ['1/3', '1/4', '6/7', '7/4', '7/4'] -> 7/4 / (1/3 - 1/4 / 6/7) / 7/4
[242353] ['1/3', '1/4', '6/7', '7/4', '7/6'] -> 7/6 / (1/4 * 7/4 - 1/3 / 6/7)
[242358] ['1/3', '1/4', '6/7', '7/4', '8/7'] -> 8/7 / (1/3 * (7/4 - 6/7) - 1/4)
[242360] ['1/3', '1/4', '6/7', '7/4', '9/2'] -> 9/2 / ((6/7 - 1/4 / 1/3) * 7/4)
[242365] ['1/3', '1/4', '6/7', '7/5', '7/5'] -> 7/5 / (1/3 - 1/4 / 6/7) / 7/5
[242375] ['1/3', '1/4', '6/7', '7/5', '9/5'] -> 9/5 / (1/4 * 7/5 / 6/7 - 1/3)
[242376] ['1/3', '1/4', '6/7', '7/5', '9/7'] -> 9/7 / (1/4 / 6/7 - 1/3 / 7/5)
