[540832] ['1/4', '3/7', '4/9', '6/7', '8/3'] -> 8/3 / (4/9 * (3/7 / 6/7 - 1/4))
[540834] ['1/4', '3/7', '4/9', '6/7', '8/7'] -> 8/7 / (1/4 * 4/9 * (6/7 - 3/7))
[540839] ['1/4', '3/7', '4/9', '6/7', '9/7'] -> 9/7 / (1/4 * 6/7 / 4/9 - 3/7)
[540843] ['1/4', '3/7', '4/9', '7/2', '7/4'] -> 7/2 / (((4/9 - 1/4) * /7) * /4
)[540859] ['1/4', '3/7', '4/9', '7/3', '7/5'] -> 7/5 * (7/3 - 3/7) / (1/4 * 4/9)
[540870] ['1/4', '3/7', '4/9', '7/3', '9/7'] -> (3/7 + 7/3 / 4/9) / 1/4 + 9/7
[540875] ['1/4', '3/7', '4/9', '7/4', '7/8'] -> 7/4 / (((4/9 - 1/4) * /7) * /8
)[540891] ['1/4', '3/7', '4/9', '7/5', '8/5'] -> 8/5 / (1/4 * 3/7 * 4/9 * 7/5)
[540894] ['1/4', '3/7', '4/9', '7/5', '9/2'] -> 9/2 / ((1/4 / 4/9 - 3/7) * 7/5)
[540901] ['1/4', '3/7', '4/9', '7/6', '7/9'] -> 7/9 / (1/4 * (7/6 - 4/9 / 3/7))
[540902] ['1/4', '3/7', '4/9', '7/6', '8/3'] -> 8/3 / (4/9 * (3/7 * 7/6 - 1/4))
[540904] ['1/4', '3/7', '4/9', '7/6', '8/7'] -> 8/7 / (1/4 + 3/7 / 4/9 - 7/6)
[540909] ['1/4', '3/7', '4/9', '7/6', '9/7'] -> 9/7 / (1/4 / (4/9 * /6) - 3/7)
[540917] ['1/4', '3/7', '4/9', '7/8', '9/2'] -> 9/2 / (1/4 / 4/9 - 3/7 * 7/8)
[540925] ['1/4', '3/7', '4/9', '7/9', '8/7'] -> 8/7 / (4/9 * (3/7 - 1/4 / 7/9))
[540932] ['1/4', '3/7', '4/9', '8/3', '8/3'] -> (4/9 + 8/3 / 3/7) / 1/4 - 8/3
[540936] ['1/4', '3/7', '4/9', '8/3', '9/2'] -> 3/7 * (4/9 + 8/3) / 1/4 * 9/2
[540943] ['1/4', '3/7', '4/9', '8/5', '8/9'] -> 4/9 / (3/7 / 8/5 - 1/4) - 8/9
[540956] ['1/4', '3/7', '4/9', '8/9', '8/9'] -> 8/9 / (1/4 * (4/9 / 3/7 - 8/9))
[540958] ['1/4', '3/7', '4/9', '8/9', '9/4'] -> 8/9 / ((4/9 - 1/4) * /7) * 9/4
[540960] ['1/4', '3/7', '4/9', '8/9', '9/7'] -> 9/7 * 8/9 / (1/4 * 3/7 * 4/9)
[540970] ['1/4', '3/7', '4/9', '9/4', '9/8'] -> 9/4 / (((4/9 - 1/4) * /7) * /8
)[540975] ['1/4', '3/7', '4/9', '9/7', '9/8'] -> 9/7 / (((1/4 * /7) * /9) * /8
)[540982] ['1/4', '3/7', '5/2', '5/2', '5/8'] -> (5/2 / (5/2 * 5/8) - (1/4 / 3/7)))
[540983] ['1/4', '3/7', '5/2', '5/2', '5/9'] -> (5/2 / 3/7 - 5/2) / 1/4 / 5/9
[540985] ['1/4', '3/7', '5/2', '5/2', '6/7'] -> (5/2 + 5/2) / (3/7 - 1/4) * 6/7
[540987] ['1/4', '3/7', '5/2', '5/2', '7/3'] -> 5/2 * 5/2 / 1/4 - 3/7 * 7/3
[540990] ['1/4', '3/7', '5/2', '5/2', '7/6'] -> (5/2 + 5/2) / (3/7 - 1/4) / 7/6
[540999] ['1/4', '3/7', '5/2', '5/2', '9/5'] -> (5/2 / 3/7 - 5/2) / 1/4 * 9/5
[541003] ['1/4', '3/7', '5/2', '5/3', '5/4'] -> (5/2 / 3/7 + 5/3) / 1/4 / 5/4
[541009] ['1/4', '3/7', '5/2', '5/3', '6/7'] -> 6/7 / (3/7 * 5/3 / 5/2 - 1/4)
[541024] ['1/4', '3/7', '5/2', '5/3', '9/7'] -> 9/7 / (3/7 - 1/4 * 5/2 / 5/3)
[541032] ['1/4', '3/7', '5/2', '5/4', '6/7'] -> 6/7 / (1/4 - 3/7 * 5/4 / 5/2)
[541038] ['1/4', '3/7', '5/2', '5/4', '7/8'] -> (5/2 + 5/4) / (3/7 - 1/4) / 7/8
[541040] ['1/4', '3/7', '5/2', '5/4', '8/3'] -> (1/4 + (5/2 + 5/4) / 3/7) * 8/3
[541042] ['1/4', '3/7', '5/2', '5/4', '8/7'] -> (5/2 + 5/4) / (3/7 - 1/4) * 8/7
[541045] ['1/4', '3/7', '5/2', '5/4', '9/4'] -> (5/2 / 1/4 + 5/4) / 3/7 - 9/4
[541047] ['1/4', '3/7', '5/2', '5/4', '9/7'] -> 5/2 / (1/4 * /7 * /4) * 9/7
[541049] ['1/4', '3/7', '5/2', '5/6', '5/6'] -> (5/2 / 3/7 - 5/6) / 1/4 / 5/6
[541053] ['1/4', '3/7', '5/2', '5/6', '6/5'] -> (5/2 / 3/7 - 5/6) / 1/4 * 6/5
[541056] ['1/4', '3/7', '5/2', '5/6', '7/3'] -> (5/2 / 5/6 - 3/7) / 1/4 * 7/3
[541057] ['1/4', '3/7', '5/2', '5/6', '7/4'] -> (3/7 + 5/2 / 5/6) / 1/4 * 7/4
[541059] ['1/4', '3/7', '5/2', '5/6', '7/6'] -> 5/2 / (((1/4 * /7) * /6) * /6
)[541062] ['1/4', '3/7', '5/2', '5/6', '8/3'] -> (5/2 / 3/7 + 5/6) / 1/4 - 8/3
[541064] ['1/4', '3/7', '5/2', '5/6', '8/7'] -> 8/7 / (3/7 / 1/4 + 5/6 - 5/2)
[541069] ['1/4', '3/7', '5/2', '5/6', '9/7'] -> 9/7 * (5/2 + 5/6) / (3/7 - 1/4)
[541075] ['1/4', '3/7', '5/2', '5/7', '6/7'] -> 6/7 / (1/4 * (3/7 - 5/7 / 5/2))
[541077] ['1/4', '3/7', '5/2', '5/7', '7/3'] -> (5/2 / 1/4 + 5/7 - 3/7) * 7/3
[541096] ['1/4', '3/7', '5/2', '5/8', '7/2'] -> 3/7 * 5/2 / 1/4 / 5/8 * 7/2
[541117] ['1/4', '3/7', '5/2', '5/9', '7/4'] -> 5/2 / (((1/4 * /7) * /9) * /4
)[541129] ['1/4', '3/7', '5/2', '5/9', '9/7'] -> 9/7 / (5/2 * (1/4 / 5/9 - 3/7))
[541131] ['1/4', '3/7', '5/2', '6/5', '6/5'] -> 6/5 / (6/5 / 3/7 - 1/4 - 5/2)
[541132] ['1/4', '3/7', '5/2', '6/5', '6/7'] -> 5/2 * 6/5 / 1/4 / 3/7 * 6/7
[541134] ['1/4', '3/7', '5/2', '6/5', '7/3'] -> (5/2 * 6/5 - 3/7) / 1/4 * 7/3
[541135] ['1/4', '3/7', '5/2', '6/5', '7/4'] -> (3/7 + 5/2 * 6/5) / 1/4 * 7/4
[541137] ['1/4', '3/7', '5/2', '6/5', '7/6'] -> 5/2 * 6/5 / 1/4 / 3/7 / 7/6
[541146] ['1/4', '3/7', '5/2', '6/5', '9/5'] -> 9/5 / (1/4 * (6/5 / 3/7 - 5/2))
[541149] ['1/4', '3/7', '5/2', '6/7', '6/7'] -> 6/7 / (1/4 + 6/7 - 3/7 * 5/2)
[541150] ['1/4', '3/7', '5/2', '6/7', '7/2'] -> (5/2 * 6/7 - 3/7) / 1/4 * 7/2
[541151] ['1/4', '3/7', '5/2', '6/7', '7/3'] -> (3/7 + 5/2 * 6/7) / 1/4 * 7/3
[541157] ['1/4', '3/7', '5/2', '6/7', '8/3'] -> (3/7 + 5/2 * 6/7 / 1/4) * 8/3
[541161] ['1/4', '3/7', '5/2', '6/7', '9/2'] -> (5/2 - 1/4 * 6/7) / 3/7 * 9/2
[541164] ['1/4', '3/7', '5/2', '6/7', '9/7'] -> 9/7 / (1/4 * (3/7 * 5/2 - 6/7))
[541165] ['1/4', '3/7', '5/2', '6/7', '9/8'] -> 9/8 * (5/2 / 1/4 - 6/7) / 3/7
[541167] ['1/4', '3/7', '5/2', '7/2', '7/3'] -> 3/7 * (5/2 + 7/2) / 1/4 * 7/3
[541169] ['1/4', '3/7', '5/2', '7/2', '7/5'] -> (5/2 + 7/2) / (3/7 - 1/4) / 7/5
[541171] ['1/4', '3/7', '5/2', '7/2', '7/8'] -> (1/4 + 5/2 * 7/2) / 3/7 / 7/8
[541174] ['1/4', '3/7', '5/2', '7/2', '8/5'] -> 3/7 * 5/2 * 7/2 / 1/4 * 8/5
[541175] ['1/4', '3/7', '5/2', '7/2', '8/7'] -> (1/4 + 5/2 * 7/2) / 3/7 * 8/7
[541182] ['1/4', '3/7', '5/2', '7/3', '7/3'] -> 3/7 / ((5/2 - 7/3) * /4) * 7/3
[541186] ['1/4', '3/7', '5/2', '7/3', '7/8'] -> (5/2 / (1/4 * /7) - 7/3) / 7/8
[541188] ['1/4', '3/7', '5/2', '7/3', '8/3'] -> (5/2 / 1/4 - 3/7 * 7/3) * 8/3
[541190] ['1/4', '3/7', '5/2', '7/3', '8/7'] -> (5/2 / (1/4 * /7) - 7/3) * 8/7
[541208] ['1/4', '3/7', '5/2', '7/4', '9/5'] -> 5/2 / (1/4 * /7 * /4) * 9/5
[541209] ['1/4', '3/7', '5/2', '7/4', '9/7'] -> 9/7 / (7/4 - (1/4 + 3/7) * 5/2)
[541211] ['1/4', '3/7', '5/2', '7/5', '7/5'] -> 7/5 / (1/4 * 5/2 / 3/7 - 7/5)
[541224] ['1/4', '3/7', '5/2', '7/6', '7/6'] -> (5/2 / 3/7 + 7/6) / 1/4 / 7/6
[541227] ['1/4', '3/7', '5/2', '7/6', '8/3'] -> (3/7 + 5/2 / (1/4 * /6)) * 8/3
[541231] ['1/4', '3/7', '5/2', '7/6', '9/2'] -> (5/2 - 1/4 / 7/6) / 3/7 * 9/2
[541234] ['1/4', '3/7', '5/2', '7/6', '9/7'] -> 9/7 * (5/2 / 3/7 - 7/6) / 1/4
[541238] ['1/4', '3/7', '5/2', '7/8', '8/3'] -> 5/2 / (1/4 * /7 * /8) - 8/3
[541243] ['1/4', '3/7', '5/2', '7/8', '9/4'] -> (5/2 + 7/8 / (1/4 * /7)) * 9/4
[541245] ['1/4', '3/7', '5/2', '7/8', '9/7'] -> 9/7 / (1/4 + 7/8 - 3/7 * 5/2)
[541283] ['1/4', '3/7', '5/2', '8/9', '9/4'] -> 5/2 / (1/4 * /7 * /9) - 9/4
[541287] ['1/4', '3/7', '5/2', '9/2', '9/2'] -> (5/2 / 3/7 - 9/2) / 1/4 * 9/2
[541288] ['1/4', '3/7', '5/2', '9/2', '9/4'] -> (5/2 * 9/2 - 1/4 / 3/7) * 9/4
[541291] ['1/4', '3/7', '5/2', '9/2', '9/8'] -> (5/2 / 3/7 - 1/4) * 9/2 - 9/8
[541294] ['1/4', '3/7', '5/2', '9/4', '9/7'] -> 9/7 * 5/2 / (1/4 * 9/4 - 3/7)
[541296] ['1/4', '3/7', '5/2', '9/5', '9/5'] -> 9/5 / (1/4 * 3/7 * (5/2 - 9/5))
[541297] ['1/4', '3/7', '5/2', '9/5', '9/7'] -> 9/7 / (5/2 * (1/4 * 9/5 - 3/7))
[541299] ['1/4', '3/7', '5/2', '9/7', '9/7'] -> 9/7 / (1/4 * (9/7 - 3/7 * 5/2))
[541306] ['1/4', '3/7', '5/3', '5/3', '5/8'] -> (5/3 / (5/3 * 5/8) - (1/4 / 3/7)))
[541316] ['1/4', '3/7', '5/3', '5/3', '7/9'] -> (5/3 + 5/3) / (3/7 - 1/4) / 7/9
[541324] ['1/4', '3/7', '5/3', '5/3', '9/7'] -> (5/3 + 5/3) / (3/7 - 1/4) * 9/7
[541330] ['1/4', '3/7', '5/3', '5/4', '5/9'] -> (5/3 + 5/4 / (1/4 * /7)) / 5/9
[541338] ['1/4', '3/7', '5/3', '5/4', '7/8'] -> 1/4 / (((3/7 + 5/4) - 5/3) * /8
)[541342] ['1/4', '3/7', '5/3', '5/4', '8/7'] -> 1/4 / (3/7 + 5/4 - 5/3) * 8/7
[541344] ['1/4', '3/7', '5/3', '5/4', '9/2'] -> (5/4 / (3/7 - 1/4) - 5/3) * 9/2
[541345] ['1/4', '3/7', '5/3', '5/4', '9/4'] -> 5/4 / (3/7 / 1/4 - 5/3) - 9/4
[541346] ['1/4', '3/7', '5/3', '5/4', '9/5'] -> (5/3 + 5/4 / (1/4 * /7)) * 9/5
[541350] ['1/4', '3/7', '5/3', '5/6', '5/7'] -> 5/7 / (1/4 * (5/6 - 3/7 * 5/3))
[541354] ['1/4', '3/7', '5/3', '5/6', '6/7'] -> 6/7 / (1/4 - 3/7 * 5/6 / 5/3)
[541369] ['1/4', '3/7', '5/3', '5/6', '9/7'] -> 9/7 * 5/3 / (1/4 * 3/7 * 5/6)
[541372] ['1/4', '3/7', '5/3', '5/7', '5/8'] -> 5/7 / (((3/7 / 1/4) - 5/3) * /8
)[541384] ['1/4', '3/7', '5/3', '5/7', '8/5'] -> 5/7 / (3/7 / 1/4 - 5/3) * 8/5
[541405] ['1/4', '3/7', '5/3', '5/8', '8/7'] -> 8/7 / (5/3 * (3/7 - 1/4 / 5/8))
[541406] ['1/4', '3/7', '5/3', '5/8', '8/9'] -> 5/3 / (1/4 * /7 * /8) - 8/9
[541410] ['1/4', '3/7', '5/3', '5/8', '9/7'] -> 9/7 / (3/7 * (5/8 / 5/3 - 1/4))
[541412] ['1/4', '3/7', '5/3', '5/9', '5/9'] -> (5/3 / 3/7 - 5/9) / 1/4 / 5/9
[541415] ['1/4', '3/7', '5/3', '5/9', '7/2'] -> 7/2 * (3/7 + 5/3) / (5/9 - 1/4)
[541416] ['1/4', '3/7', '5/3', '5/9', '7/3'] -> (5/3 / 5/9 - 3/7) / 1/4 * 7/3
[541417] ['1/4', '3/7', '5/3', '5/9', '7/4'] -> (3/7 + 5/3 / 5/9) / 1/4 * 7/4
[541419] ['1/4', '3/7', '5/3', '5/9', '7/6'] -> 5/3 / (((1/4 * /7) * /9) * /6
)[541423] ['1/4', '3/7', '5/3', '5/9', '8/5'] -> (5/3 / (1/4 * /7) - 5/9) * 8/5
[541428] ['1/4', '3/7', '5/3', '5/9', '9/5'] -> (5/3 / 3/7 - 5/9) / 1/4 * 9/5
[541432] ['1/4', '3/7', '5/3', '6/5', '6/7'] -> 6/7 / (1/4 - 3/7 / (5/3 * /5)
)[541447] ['1/4', '3/7', '5/3', '6/5', '9/7'] -> 9/7 * 6/5 * 5/3 / (1/4 * 3/7)
[541459] ['1/4', '3/7', '5/3', '6/7', '8/7'] -> 8/7 / ((6/7 - 3/7) / 1/4 - 5/3)
[541463] ['1/4', '3/7', '5/3', '6/7', '9/5'] -> 5/3 * 6/7 / 1/4 / 3/7 * 9/5
[541467] ['1/4', '3/7', '5/3', '7/2', '7/3'] -> 7/3 / (1/4 * (5/3 / 3/7 - 7/2))
[541486] ['1/4', '3/7', '5/3', '7/3', '7/8'] -> (5/3 / 1/4 + 7/3) / 3/7 / 7/8
[541488] ['1/4', '3/7', '5/3', '7/3', '8/3'] -> 8/3 / ((3/7 / 1/4 - 5/3) * 7/3)
[541490] ['1/4', '3/7', '5/3', '7/3', '8/7'] -> (5/3 / 1/4 + 7/3) / 3/7 * 8/7
[541491] ['1/4', '3/7', '5/3', '7/3', '8/9'] -> (5/3 / 3/7 + 7/3) / 1/4 - 8/9
[541493] ['1/4', '3/7', '5/3', '7/3', '9/4'] -> (5/3 + 3/7 * 7/3) / 1/4 * 9/4
[541499] ['1/4', '3/7', '5/3', '7/4', '7/6'] -> 3/7 / ((7/4 - 5/3) * /4) * 7/6
[541506] ['1/4', '3/7', '5/3', '7/4', '9/2'] -> 5/3 / ((3/7 - 1/4) * /4) * 9/2
[541516] ['1/4', '3/7', '5/3', '7/5', '8/5'] -> 8/5 / ((3/7 / 1/4 - 5/3) * 7/5)
[541533] ['1/4', '3/7', '5/3', '7/6', '9/5'] -> 5/3 / (1/4 * /7 * /6) * 9/5
[541534] ['1/4', '3/7', '5/3', '7/6', '9/7'] -> 9/7 / (1/4 * 3/7 * (5/3 - 7/6))
[541540] ['1/4', '3/7', '5/3', '7/8', '8/7'] -> 8/7 / (1/4 * 5/3 / 7/8 - 3/7)
[541544] ['1/4', '3/7', '5/3', '7/8', '9/5'] -> 5/3 / (3/7 * 7/8 - 1/4) * 9/5
[541548] ['1/4', '3/7', '5/3', '7/9', '8/3'] -> (3/7 + 5/3 / (1/4 * /9)) * 8/3
[541552] ['1/4', '3/7', '5/3', '7/9', '9/2'] -> (5/3 - 3/7 * 7/9) / 1/4 * 9/2
[541555] ['1/4', '3/7', '5/3', '7/9', '9/7'] -> 9/7 * (5/3 / 3/7 + 7/9) / 1/4
[541557] ['1/4', '3/7', '5/3', '8/3', '8/3'] -> 8/3 / (5/3 - 1/4 * 8/3 / 3/7)
[541560] ['1/4', '3/7', '5/3', '8/3', '8/9'] -> 5/3 * 8/3 / (3/7 - 1/4) - 8/9
[541567] ['1/4', '3/7', '5/3', '8/5', '8/7'] -> 8/7 / (5/3 * (3/7 - 1/4 * 8/5))
[541568] ['1/4', '3/7', '5/3', '8/5', '8/9'] -> 5/3 * 8/5 / 1/4 / 3/7 - 8/9
[541574] ['1/4', '3/7', '5/3', '8/7', '8/7'] -> 8/7 / (1/4 * 5/3 * 8/7 - 3/7)
[541577] ['1/4', '3/7', '5/3', '8/7', '9/4'] -> 5/3 * 8/7 / (3/7 - 1/4) * 9/4
[541578] ['1/4', '3/7', '5/3', '8/7', '9/5'] -> 5/3 / (3/7 / 8/7 - 1/4) * 9/5
[541585] ['1/4', '3/7', '5/3', '8/9', '9/7'] -> 9/7 * 8/9 / (3/7 / 1/4 - 5/3)
[541590] ['1/4', '3/7', '5/3', '9/2', '9/7'] -> 9/7 / ((3/7 - 1/4 * 5/3) * 9/2)
[541599] ['1/4', '3/7', '5/3', '9/7', '9/7'] -> 9/7 * (5/3 + 9/7 / 3/7) / 1/4
