[5] ['1/7', '5/9', '8/9', '7/4', '6'] -> ((8/9 - (5/9 / 7/4)) / (1/7 / 6))
[3] ['1/7', '4/5', '5/3', '7/4', '5'] -> (((5 / 7/4) - 4/5) / (1/7 / 5/3))
[4] ['2/9', '2/9', '2/9', '4/5', '5'] -> ((2/9 + (5 * (2/9 + 4/5))) / 2/9)
[2] ['7/9', '4/5', '7/3', '5/2', '6'] -> ((6 + (4/5 * 5/2)) / (7/9 / 7/3))
[6] ['2/7', '8/9', '9/5', '9/5', '4'] -> (8/9 * (9/5 + (4 / (2/7 / 9/5))))
[1] ['4/9', '2/3', '3/4', '1', '6/5'] -> (1 / ((4/9 / 2/3) - (3/4 / 6/5)))
[7] ['1/9', '6/5', '3/2', '7/4', '5'] -> ((3/2 / 1/9) + (5 * (6/5 * 7/4)))
[8] ['1/4', '2/3', '4/5', '7/4', '8'] -> ((7/4 * 8) / ((2/3 / 4/5) - 1/4))
[9] ['7/9', '4/5', '7/3', '8/3', '6'] -> (7/3 * (6 + (8/3 / (7/9 * 4/5))))
[10] ['1/8', '4/3', '7/4', '7/4', '9'] -> ((4/3 - (7/4 / 7/4)) / (1/8 / 9))
[11] ['5/6', '5/4', '9/5', '9/5', '4'] -> ((9/5 * 4) / (9/5 - (5/4 / 5/6)))
[12] ['4/9', '2/3', '3/4', '1', '5/4'] -> ((2/3 / 4/9) / (1 - (3/4 * 5/4)))
[13] ['1/3', '2/5', '8/7', '8/3', '3'] -> ((8/7 * 3) * (1/3 + (8/3 / 2/5)))
[14] ['1/7', '4/5', '5/3', '9/4', '5'] -> ((5 / (5/3 * (1/7 * 4/5))) - 9/4)
[15] ['3/7', '4/9', '6/7', '9/5', '4'] -> (4 / (4/9 - ((3/7 / 6/7) / 9/5)))
[16] ['1/7', '5/9', '8/9', '9/4', '6'] -> ((6 / (8/9 * (1/7 / 5/9))) - 9/4)
[17] ['7/9', '4/5', '7/3', '9/2', '6'] -> (4/5 * ((7/3 / 7/9) + (9/2 * 6)))
[18] ['5/6', '5/4', '9/5', '8/3', '4'] -> ((9/5 * 4) * (8/3 + (5/6 / 5/4)))
[19] ['2/9', '2/9', '2/9', '7/8', '5'] -> (5 / (7/8 - (2/9 + (2/9 + 2/9))))
[20] ['4/9', '2/3', '3/4', '1', '7/5'] -> (2/3 / ((7/5 * (1 - 4/9)) - 3/4))
[21] ['1/7', '5/9', '8/9', '7/3', '6'] -> ((8/9 * 6) / (5/9 - (1/7 * 7/3)))
[22] ['2/7', '8/9', '9/5', '5/2', '4'] -> (5/2 * (4 + (9/5 / (2/7 / 8/9))))
[23] ['7/8', '8/7', '9/7', '8/5', '3'] -> ((9/7 * 3) / (7/8 - (8/7 / 8/5)))
[24] ['1/7', '4/5', '5/3', '5/2', '5'] -> ((5 / 1/7) / ((5/2 / 4/5) - 5/3))
[25] ['1/9', '6/5', '8/5', '8/5', '5'] -> ((8/5 / 1/9) + (5 * (6/5 * 8/5)))
[26] ['1/8', '4/3', '7/4', '7/3', '9'] -> ((7/4 / 1/8) + (9 - (4/3 - 7/3)))
[27] ['1/6', '1/5', '2/9', '1/4', '4'] -> (1/4 + ((4 + (1/6 / 2/9)) / 1/5))
[28] ['2/9', '2/9', '2/9', '9/8', '5'] -> ((5 + (2/9 / 2/9)) / (2/9 * 9/8))
[29] ['1/9', '6/5', '8/5', '5/3', '5'] -> ((5/3 + 5) / (1/9 / (8/5 - 6/5)))
[30] ['3/7', '4/9', '6/7', '5/2', '4'] -> (((6/7 + (5/2 * 4)) / 4/9) - 3/7)
