[177292] ['4/7', '5/6', '5/3', '9/4', '6'] -> ((((5/6 + 5/3) * 6) / 4/7) - 9/4)
[177293] ['4/5', '9/8', '8/5', '5/2', '4'] -> (4/5 + ((9/8 + 5/2) * (8/5 * 4)))
[177294] ['3/4', '7/6', '6/5', '5/4', '5'] -> (5 / (3/4 * (5/4 - (7/6 / 6/5))))
[177295] ['3/8', '8/9', '9/2', '9/2', '7'] -> ((7 + (9/2 / 9/2)) / (3/8 * 8/9))
[177296] ['1/6', '6/7', '1', '7/4', '9/4'] -> (1 / (9/4 - (1/6 + (7/4 / 6/7))))
[177297] ['7/8', '7/8', '4/3', '5/3', '3'] -> (3 / (7/8 * (5/3 - (4/3 / 7/8))))
[177298] ['1/9', '2/7', '1/3', '5/4', '9'] -> ((1/3 + 9) / (2/7 * (1/9 + 5/4)))
[177299] ['5/7', '5/6', '7/8', '9/5', '9'] -> (9 / (9/5 * (5/6 - (5/7 * 7/8))))
[177300] ['2/7', '4/3', '9/5', '8/3', '6'] -> (9/5 * ((4/3 / 2/7) + (8/3 + 6)))
[177301] ['4/7', '5/6', '5/3', '5/2', '6'] -> ((5/2 + ((6 * 5/3) / 4/7)) / 5/6)
[177302] ['2/3', '5/7', '6/5', '5/4', '2'] -> (2 / ((5/7 * (2/3 + 6/5)) - 5/4))
[177303] ['2/5', '5/6', '8/7', '7/4', '6'] -> ((6 + (8/7 * 7/4)) / (2/5 * 5/6))
[177304] ['7/8', '7/8', '4/3', '7/4', '3'] -> ((7/4 * 3) / (7/8 - (7/8 / 4/3)))
[177305] ['3/8', '9/8', '9/8', '7/6', '7'] -> (7 / ((3/8 / 9/8) + (9/8 - 7/6)))
[177306] ['5/7', '5/6', '7/8', '7/3', '9'] -> (9 / (7/8 - (5/6 / (5/7 * 7/3))))
[177307] ['4/7', '3/4', '3/4', '3/2', '3'] -> (3 / ((3/4 / (4/7 * 3/2)) - 3/4))
[177308] ['1/9', '2/7', '1/3', '7/5', '9'] -> ((9 - (1/3 / (1/9 * 7/5))) / 2/7)
[177309] ['3/7', '4/9', '7/9', '1', '9/8'] -> ((1 / 3/7) / ((4/9 + 7/9) - 9/8))
[177310] ['4/7', '5/8', '8/9', '9/2', '8'] -> ((8 + ((9/2 * 8/9) / 4/7)) / 5/8)
[177311] ['7/8', '7/8', '4/3', '7/3', '3'] -> ((7/3 * 3) / ((7/8 * 4/3) - 7/8))
[177312] ['4/7', '5/6', '5/3', '9/2', '6'] -> ((4/7 * 6) * (9/2 + (5/6 + 5/3)))
